Texas Two Finger 2019,Club - Mixed ,15,6,2019
https://play.usaultimate.org/events/Texas-Two-Finger-2019/schedule/Mixed/Club-Mixed
Public Enemy,1
4,Eric Carter
02,Jason Christian
03,Matthew Hudspith
05,Chris Casey
06,Chris Pleshek
09,Josh Moore
10,Nicolas Ceaser
11,Veronica Coombs
12,Kevin Christian
13,Megan Tormey
15,Abe Gambert
16,Michael Hays
18,Kendra Hess
18,Emma Ackels
19,Jonathan Costello
20,Casey Hogg
21,Danielle Runzo
24,Jenna Bigbie
26,Maricar Lafita Navarro
27,Jamie Eriksson
34,Madison Tomasek
35,Matt Chambers
42,Skye Fernandez
50,Jon DeAmicis
95,Brooke Wooldridge
b,r,e,a,k
blOKC party,8
0,Caitlin Harris
0,Camille Schlegel
0,Chris Dellenbaugh
0,Eric Eitrheim
0,Garrett Taylor
0,Greg Olson
0,Jane Hansen
0,Lily Shu
0,Sarah Eitrheim
0,Kameron Boren
0,Tabi Majewski
0,Melanie Althaus
0,Parker Dooly
1,Cullen Landry
2,Jonathan Summers
3,Samuel Mehan
6,Eleanor Burg
7,Logan Allen
9,Harper Stanfield
10,Traci DuBose
10,Tram Le
23,Clark Reimer
24,Alex Mudd
54,Liana Gaudreault
95,Brandon Widner
99,William Dubose
b,r,e,a,k
Mud Turtles,16
0,Aaron Dunn
0,Amanda Postolowski
0,Andrew Munoz
0,Bernard Barcio
0,Chelsea Graham
0,Christi Timm
0,Erica Hall
0,Jessica Rodriguez
0,Jonathan Chiou
5,Michael Arnold
7,Sarah Maller
7,Michael Woodbeck
9,Mary Fuzat
10,Xavier Fuzat
11,Cullen Baker
17,Chris McClean
22,Schuyler Ellis
29,Kevin Valenti
31,Julio Rodriguez
47,Gabriel Fuzat
66,Eric Chao
69,Clay Waldrop
b,r,e,a,k
Impact,9
0,Luke Grieger
2,Holly Webb
3,Jacob Pfeifer
4,John Winter
5,Tim Dinh
6,Alyssa Whalen
8,Hannah Roberts
11,Jacob Purdy
13,Angela Reimer
17,Jordan Ast
20,Reid Christensen
22,Isaac Blick
23,Victoria Schultz
33,Kate Olson
37,Jake Reimer
42,David Slagle
66,Melanie Frost
86,Emily Beeson
88,Jayne Roberts
99,Jordan Becquer
99,Hector Toro
b,r,e,a,k
Chili Poppers,17
0,Gianna Grief
0,Kaitlin Pierce
0,Philip O'Hara
0,Ryan Welch
1,Donald Quinones
4,Rachel Hundley
8,Daniel Smith
04,Michael Samek
12,Kendall Hunt
15,Mark Hill
41,Dennis Miller II
99,Vinh Foussell
b,r,e,a,k
Waterloo,2
0,Annie Phan
0,Charlie Stavlo
0,C. Rickner
0,Jacob Thomas
0,Kyle Teske
0,Meghan Rutledge
0,Paul Starkel
0,Richard Hornbuckle
0,Ryan Pickens
0,Willy Goal
1,Matthew Johnson
7,Victoria Salimov
8,Mikayla Slimmer
9,Rebecca Smith
10,Gaby Cuina
13,Nash Mock
15,Emily Scholten
33,Erin Schran
69,Nick Loughran
89,Jack Wooldridge
91,Alex Hodgson
b,r,e,a,k
Memphis STAX,7
02,Ben Ben Hirschman
05,Kellie Cummings
05,Morgan Melton
07,Andy Ballard
17,Whitney Elliott
18,Grace Robinson
19,Maggie Paoli
20,Stephen Tankersley
21,John Laubscher
22,Amy Robinson
22,Tanner Robinson
23,Madeline Spolin
32,Aubrey Nelson
34,Lars Nelson
35,Steven Cummings
37,Boris Li
41,Joseph Oswald
44,Samuel Peter
77,Jeff Williams
b,r,e,a,k
Wildstyle,15
0,Allison Wassel
0,Amberly Malone
0,Angela Vujosevic
0,Ashley Abrigo
0,Carley Garrett
0,Chago Espinosa
0,David Haeussler
0,Kevin Yuk
0,Mackenzie Magner
0,Sarah Piersall
0,Stacey Nava
0,Guadalupe Garcia
0,Hannah Starkel
0,Victoria Bellamy
0,Weston Wolf
2,Thomas Rapp
5,Joseph Feeney
6,Elliot Sonoqui
7,Cole Lamkins
14,George Panga
15,James Sims
17,Gregory Militello
87,Tim Tevdovich
b,r,e,a,k
rubber duck ultimate.,10
0,Rachel Tebbetts
3,Curtis Asher
13,Lizzie Cagle
14,Kelsey Maynard
19,Courtney McClain
21,Camaron Phillips
22,Barry Hart
24,Josue Bolanos
26,Trevor Wingate
33,Mark Vazquez
