Northeast Club Mixed Regional Championship 2019,Club - Mixed ,21,9,2019
https://play.usaultimate.org/events/Northeast-Club-Mixed-Regional-Championship-2019/schedule/Mixed/Club-Mixed
Wild Card,1
2,Reba Havis
3,Ian Engler
4,Hannah Crowley
5,Andrew Pillsbury
6,Jac Carreiro
7,Maxwell Rick
8,Connor Fortin
9,John Rahill
11,Lloyd Olson
12,Andrea Brown
15,Claire Dunn
17,Tamar Austin
21,Eva Petzinger
22,Kayla Huddell
23,Jodi Robert
27,Sarah Judd
30,Kyle Johnson
31,Sarah Hansen
33,Margo Urheim
34,Gustav Haflin
35,Cody McInnis
37,Matthew Heath
46,Luke Webb
73,Katharine Sullivan
84,Alex Kapinos
87,Nate August
88,Hailey Alm
b,r,e,a,k
Happy Valley,14
0,Anna Kaplan
0,Anna Ruth Halberstadt
0,Caroline Pellegrini
0,Erin O'Connor
0,Gabriel Voisin
0,Eliana Moskovitz
0,Kenneth Montgomery
0,Leila Tunnell
0,Nolan Benoit
0,Lily Harris-Hendry
0,Luca  Harwood
0,Timocles Copland
0,William Van Heuvelen
0,Zoe Weizenbaum
1,Dylan Tunnell
2,Jeremiah Berlin
4,Samuel Laur
5,Joe Costello
8,Shelly Peyton
9,Dan Kaplan
9,Micah Flynn
10,Shira Yeskel-Mednick
11,Blake Spitz
13,Liam Earley
22,Dory Ziperstein
30,Tim Coppinger
33,Elizabeth Calkins
b,r,e,a,k
The Feminists,8
0,Charlotte Fleming
0,Chi Hiu Yim
0,Christina Chin
0,Courtney Remm
0,Dan Bush
0,Dana Grandoni
0,David Vuckovich
0,Jeffrey Wang
0,Andrei Stephens
0,Julie Sussman
0,Katherine Cole
0,Mariah Widman
0,Minerva Muzquiz
0,Rebekah Souder-Russo
0,Sophie Hines
0,Wesley Wong
0,Zach Finkelstein
1,Ryan Schulz
5,Peter Gilchrist
6,Andrew Tang
8,Jenna Ray
17,Adrianna Tan
24,Brendan Awerbuch
33,Luke Wolckenhauer
35,Pierre-Yves Lavertu
42,Mark Lessard
71,Kevin Stewart-Mercurio
b,r,e,a,k
Garbage Plates,11
0,Amanda Davis
0,Bradford Montgomery
0,Cassidy Strassner
0,Douglas Urbino
0,Marisa Wilson
0,Matthew Rybak
0,Max Franklin
0,Nick Hunter
0,Sean Bowers
0,Talia Brewer
0,Emily Cho
0,Emmett Wilson
0,Gillian Crysler
0,John Serafini
0,Jonathan Shapiro
0,Ken (KJ) Dziak
9,Jonathan Gill
10,Erin Sullivan
10,Thomas Mariano
11,Thomas Benati
11,Elizabeth LeeJohnson
11,Briana Newman
13,William Johnson
28,Angela Dana
30,Malachi Schultz
37,Danielle Callard
b,r,e,a,k
Slow White,2
6,Piper Curtis
9,Eric Shaw
10,Ryan Turner
15,Caitlin Fitzgerald
19,Olivia Hampton
21,Patrick Barron
24,Andy Schachter
25,Alexander Trahey
27,Lauren Baecher
50,Shaun Doherty
51,Tannor Johnson
53,Brett Tan
54,David Friedman
55,Ryan Cardinal
56,Amy Stoddard
57,Arielle Nelson
59,Renata Pepi
60,Caitlin Go
61,Caroline Collis
62,Leanne Go
63,Tess Johnson
64,Ivan Tran
65,Eli Motycka
66,Emilia Scheemaker
67,Walker Hatchett
68,Marcel Oliart
69,Orion Cable
b,r,e,a,k
Grand Army,7
0,Abigail Schuster
0,Alex Eacker
0,Andrew Bustle
0,Christopher Cox
0,Hazuki Irie
0,Henry Zhang
0,Iris Malfetano
0,Jeannine Opie
0,Kylie Sterling
0,Miranda Moore
0,Noah Christians
00,Kevin Donlin
03,Kyle Blaeuer
04,Alicia Monfre
05,Kyla Dayer
06,Jae Lee
07,Jimmy Chen
08,Kevin Hsu
12,Annie Yang
13,John Sakon
14,Brianna Dayer
14,Gina Stees
23,Andrew Werblin
24,Sean Petterson
40,Justin Thomas
69,Peter Luo
77,Mafe Alizo
b,r,e,a,k
Eat Lightning,12
0,Alex Becker
0,Amanda Loh
0,Ashton Carrick
0,Camille Victoria Delgado
0,Celeste Royo
0,Elizabeth (Cassie) Bradley
0,Eliana Simon
0,Eric Zimmerman
0,Ethan Jones
0,Hy Ha
0,Jennifer Song
0,Jessica Chen
0,John Patrick (JP) Letourneau
0,Jonathan Read
0,Jan Vanous
0,Nathan Abrams
0,Robert Devoogd
0,Sonia Bloom
0,Zach Bokhour
2,Jean Colangelo
4,Jaime Perez
7,Zach Bark
15,Elizabeth Meiman
16,Kimberly Tan
20,Will Percival
22,Jordan Chow
39,David Chen
b,r,e,a,k
Birds,13
0,Allison Dowling
0,Brandon Hughes
0,Brian Walsh
0,Brigett Echeverria
0,Christianna Wilbert
0,Christopher Kizis
0,Danica Vasa
0,Elizabeth Kuzman-McRae
0,Evan Greenberg
0,Jack Pica
0,Leanne Beyel
0,Lindsey Stevens
0,Sarah Cotter
0,Scott Mulderig
0,Stacey Ng
0,Philip Iaccarino
1,May Patino
10,Patricia Burks
15,James Green
21,Christopher Cabot
28,Matthew Bartell
30,Jessica Jolley
31,Collin Bartoldus
38,Will Burks
96,Eric Cannella
99,Ryan Benincase
b,r,e,a,k
Snake Country,3
2,Allison Springer
6,Tessa Jones
7,Jon Cox
10,Alex Grintsvayg
11,Christopher Waite
11,Anna MacNaughton
11,Annie Fisher
11,Auralyn Mackenzie
11,Brian Garcia
11,Jon Hirschberger
11,Kimberly Levins
11,Kirsten Lundquist
11,David Reshef
11,Davis Whitehead
11,Jacob Taylor
11,Jake Herman
11,Jamie Quella
11,Jesse Wolf
11,Misha Herscu
11,Peter Prial
11,Piers MacNaughton
11,Ryan Levins
22,Chelsea Murphy
25,Chelsea Witte-Garcia
27,Colette Pellegrini
28,Shellie Cohen
32,Lauren Doyle
b,r,e,a,k
Metro North,9
0,Danielle Purdy
0,Nicole DiTolla
02,Jenna Forman
03,Kaitlyn Clay
04,Dave Tedeyan
09,Austin Raymond
10,Matt Chun
11,Katherine England
12,Emma Stoltze
13,Christine Georgakakos
14,Joseph Ouellette
17,Eric Hemphill
18,Rebecca Baldwin
19,Jacob Komenda
20,Garrett Clay
21,Cara Brown
22,Darren McAuliffe
23,Anna Tarren
24,Seth Canetti
25,Patrick Laramee
27,Elizabeth Clark
44,Luke Perkins
47,Lucas Murphy
73,Daniel Vandam
80,John Palmer
91,Victoria Sanchez
92,Bryan Forman
b,r,e,a,k
League of Shadows,6
0,Connor Haines
0,Daniel Hartsoe
0,David Lyle
0,George Holt
0,Jack Deschler
0,Jaelee Cruz
0,Jason Shnipes
0,Abby Ritterband
0,Alison Hill
0,Amanda Giles
0,Casey  Phalen
0,Meredith Duffy
0,Rosanna Vitiello
0,Shi-Min Chin
0,Thomas Barry
1,Patricia Neckowicz
5,Qingyun Lu
10,Nevil Desai
13,Oliver Chartock
13,Leo Blooston
17,Lillian Huang
17,Cici Wang
19,Karissa  Tabtieng
21,Charles Marokhovsky
29,Tate Tabtieng
55,Stephen Mock
77,Matthew Fasano
b,r,e,a,k
Scarecrow,16
0,Dan Lapolla
0,Dennis Poirier III
0,Gabriella  Palermo
0,Hilda Doan
0,Maura Beggin
0,Mary Nicole Palmer
0,Trent Linker
0,Zack Sheehan
9,Jay Delani 
15,Stephanie Esker
16,Robert Hsu
20,Rachel Stevens
20,Marissa Beggin
24,Travis Ellyson
27,Sean Murphy
32,Kaitlin Purdy Murphy
33,Adam Kustwan
41,Lewis Seton
48,Lauren Kraemer
52,Anthony Bevilacqua
56,Jen Beatty
59,George Abuhamad
70,Mark Phelps
99,Kristi Schmeling
99,Christopher Linskey
b,r,e,a,k
XIST,4
0,Kevin Ludwig
01,Robert Smith
02,Karen Chalif
03,Gary Dixon
05,Madison Cannon
07,Ryan Drost
10,Tricia Smit
11,Angel Li
12,Joe Babbino
13,Brian Kibler
15,Matthew Baum
18,Caitlyn Hauswirth
21,Molly McCauley
22,Alexander Hem
23,Luke Ding
25,Amelia Murphy
27,Noriaki To
28,Rachel Attix
32,Lauren Piontek
33,Brian Varis
36,Matt Wiener
42,Tim Kominos
44,Ruthie Tabatchnick
48,Adam Stern
52,Sarah Kay Dela Cruz
80,Hannah Garfield
85,Jacqueline Lee
b,r,e,a,k
Darkwing,5
0,Alexander Nagle
0,Alexander Donadio
0,Anna Zucchero
0,Brianna  Considine
0,Caroline Passalacqua
0,Dean Bullock
0,Emet Schwartz
0,Eugene L'Heureux
0,Giancarlo Cincotta
0,Jacob Arwe
0,Jerry  Wang
0,Mckenzie Finigan
0,Mitch Giroux
0,Nilos Makino
0,Sophie Shen
0,Yigit Demiralp
3,Steven Her
5,Conor Dowling
6,Justinne Guarin
9,Sara Rudolph
13,Kat Brock
15,Julianne Kloza
17,Meaghan Rose Costello
24,Pablo Reimers
49,Lamia Farah
72,Joseph Sadok
b,r,e,a,k
Chaotic Good,10
0,Andrew Applegate
0,Axis Sivitz
0,Benjamin Rosenfeld
0,Christopher Mark
0,Claire Rostov
0,Erica Tangney
0,Jaime Benites
0,Jaquille Jones
0,Kathryn Haapala
0,Laura  Bither
0,Maddie Marx
0,Matthew NK Smith
0,Meghan O'Hearn
0,Meghan Gannon
1,Shawna Zielstorff
2,Matt Goldberg
3,Samantha Paulsen
5,Raymond Tetreault
6,Lauren Bertino
9,Lisa Liu
9,Andrew Yale
10,Olivia Player
11,Jacob Dummeldinger
26,Hannah Barnstone
40,Holden Cookson
99,Dan Huddell
99,Nicholas Lucchesi
b,r,e,a,k
Buffalo Lake Effect,15
0,Alexander Holmwood
0,Benjamin Kammerman
0,Bethany Ortquist
0,Brandon Kahler
0,Daniel Wang
0,Dave Schneggenburger
0,Erica Stamboulian
0,George Scheibel
0,Greg Burganowski
0,Jennine Kanaby
0,Jessica Brownschidle
0,Jessie Chiello
0,Katie Bilicki
0,Miles McKey
0,Molly Booi
0,Paul Sperr
0,Robert Lindenthaler
0,Sarah Bryant
0,Timothy (TJ) Burns
0,Zachary Flint
1,Jeffrey Harvey
3,Richard Milleville
9,Michael Kanaby
22,Kelsey Scanlon
31,Sarah Burns
61,Kristin Poinar
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Wild Card,Garbage Plates,13,7,"09/21/2019, 10:35",Pool A
The Feminists,Happy Valley,8,13,"09/21/2019, 10:35",Pool A
Wild Card,Happy Valley,13,3,"09/21/2019, 12:10",Pool A
The Feminists,Garbage Plates,11,8,"09/21/2019, 12:10",Pool A
Wild Card,The Feminists,13,3,"09/21/2019, 13:45",Pool A
Garbage Plates,Happy Valley,10,11,"09/21/2019, 13:45",Pool A
pool,Pool B
Slow White,Eat Lightning,13,5,"09/21/2019, 09:00",Pool B
Grand Army,Birds,13,6,"09/21/2019, 09:00",Pool B
Slow White,Birds,13,8,"09/21/2019, 10:35",Pool B
Grand Army,Eat Lightning,13,5,"09/21/2019, 10:35",Pool B
Slow White,Grand Army,13,9,"09/21/2019, 12:10",Pool B
Eat Lightning,Birds,12,11,"09/21/2019, 12:10",Pool B
pool,Pool C
Snake Country,Metro North,13,8,"09/21/2019, 09:00",Pool C
League of Shadows,Scarecrow,13,5,"09/21/2019, 09:00",Pool C
Snake Country,Scarecrow,13,6,"09/21/2019, 12:10",Pool C
League of Shadows,Metro North,9,13,"09/21/2019, 12:10",Pool C
Snake Country,League of Shadows,13,8,"09/21/2019, 13:45",Pool C
Metro North,Scarecrow,13,3,"09/21/2019, 13:45",Pool C
pool,Pool D
XIST,Chaotic Good,13,6,"09/21/2019, 09:00",Pool D
Darkwing,Buffalo Lake Effect,13,6,"09/21/2019, 09:00",Pool D
XIST,Buffalo Lake Effect,13,1,"09/21/2019, 10:35",Pool D
Darkwing,Chaotic Good,10,9,"09/21/2019, 10:35",Pool D
XIST,Darkwing,10,7,"09/21/2019, 12:10",Pool D
Chaotic Good,Buffalo Lake Effect,13,4,"09/21/2019, 12:10",Pool D
b,r,e,a,k
clusters,Round 4 Crossovers
cluster,Crossovers
Wild Card,Snake Country,14,10,"09/21/2019, 15:20",
Slow White,XIST,11,10,"09/21/2019, 15:20",
Darkwing,Eat Lightning,7,10,"09/21/2019, 15:20",
Metro North,The Feminists,14,8,"09/21/2019, 15:20",
Grand Army,Chaotic Good,15,5,"09/21/2019, 15:20",
Happy Valley,League of Shadows,9,13,"09/21/2019, 15:20",
b,r,e,a,k
brackets,Brackets
bracket,1st/2nd Place
Wild Card,Slow White,15,11,"09/22/2019, 13:00",1st/2nd Place
Wild Card,Metro North,15,7,"09/22/2019, 11:00",1st Semifinals
Snake Country,Slow White,10,14,"09/22/2019, 11:00",1st Semifinals
Wild Card,Grand Army,14,13,"09/22/2019, 09:00",1st Quarters
Metro North,XIST,11,7,"09/22/2019, 09:00",1st Quarters
Snake Country,Eat Lightning,15,7,"09/22/2019, 09:00",1st Quarters
League of Shadows,Slow White,5,15,"09/22/2019, 09:00",1st Quarters
bracket,3rd Place
Snake Country,League of Shadows,15,8,"09/22/2019, 15:00",3rd/4th Place
XIST,Snake Country,9,15,"09/22/2019, 13:00",3rd Semifinals
League of Shadows,Metro North,15,10,"09/22/2019, 13:00",3rd Semifinals
Grand Army,XIST,11,12,"09/22/2019, 11:00",3rd Quarters
Eat Lightning,League of Shadows,7,15,"09/22/2019, 11:00",3rd Quarters
bracket,7th/8th Place
Grand Army,Eat Lightning,13,11,"09/22/2019, 13:00",7th/8th Place
bracket,5th/6th Place
XIST,Metro North,0,0,"09/22/2019, 15:00",5th/6th Place
bracket,9th/10th Place
Darkwing,The Feminists,13,9,"09/22/2019, 15:00",9th/10th Place
Darkwing,Happy Valley,15,10,"09/22/2019, 13:00",9th Semifinals
Chaotic Good,The Feminists,9,15,"09/22/2019, 13:00",9th Semifinals
Darkwing,Garbage Plates,11,10,"09/22/2019, 11:00",9th Quarters
Birds,Happy Valley,9,15,"09/22/2019, 09:00",9th Quarters
Chaotic Good,Scarecrow,15,8,"09/22/2019, 09:00",9th Quarters
Buffalo Lake Effect,The Feminists,11,12,"09/22/2019, 09:00",9th Quarters
bracket,11th/12th Place
Happy Valley,Chaotic Good,1,0,"09/22/2019, 15:00",11th/12th Place
bracket,13th/14th Place
Garbage Plates,Buffalo Lake Effect,1,0,"09/22/2019, 15:00",13th/14th Place
Garbage Plates,Birds,11,9,"09/22/2019, 13:00",13th Semifinals
Scarecrow,Buffalo Lake Effect,9,10,"09/22/2019, 11:00",13th Semifinals
bracket,15th/16th Place
Birds,Scarecrow,1,0,"09/22/2019, 13:00",15th/16th Place
b,r,e,a,k
