Florida Warm Up 2019,College - Men ,8,2,2019
Tampa,FL,2019-02-08,2019-02-10
https://play.usaultimate.org/events/Florida-Warm-Up-2019/schedule/Men/CollegeMen/
Brigham Young,33
24,Shaun Seidenberger
26,Mark Baldauf
27,Matthew Wilson
28,Parker Rzasnicki
33,Michael Wilson
37,Connor Okonski
41,Reece Rose
b,r,e,a,k
Harvard,11
teamInfo,Red Line,"Cambridge, Massachusetts",http://www.hcs.harvard.edu/~disc/,https://www.facebook.com/HarvardUltimate,https://twitter.com/HarvardRedLine
0,Ashwin Krishna
0,Bryn Huxley-Reicher
0,Adam Park
0,Drew Edwards
0,Eliot Fenton
0,Jack Deschler
0,James Wolfe
0,James Conant
0,Galdino Guzman
0,Kaishu Mason
0,Mikel  Davies
0,Ray Jiang
0,Shelly Tsirulik
0,Victor Qin
0,William Strang
0,William Hartog
0,William Quan
4,Alexander Curreri
6,Zachary Dietz
10,Olivia Player
17,Cameron Reaves
24,Pablo Reimers
27,Jordan Lee
39,Keiran Carpen
46,Eric Chin
72,Ryan Plunkett
91,Christopher Haley
b,r,e,a,k
Carleton College,3
teamInfo,CUT,"Northfield, Minnesota",http://orgs.carleton.edu/cut/,https://www.facebook.com/CUTrules,https://twitter.com/cutrules
02,Michael Walsh
03,Tony Ngo
05,Noah Hanson
06,Edwin Driver
10,Elias Levey-Swain
11,Harrison Wolff Landau
12,Tim Schoch
13,Benjamin Preiss
13,Chris Padilla
14,Dillon Lanier
19,Stanley Birdsong
21,Ethan Bloodworth
22,Austin Baxter
23,Alexander Kucich
24,Noah Cohen
25,Justin Washington
32,Andrew Roy
53,David O'Dea
67,Elijah Babcock
81,Eric Wright
90,Jared Kannel
b,r,e,a,k
Alabama-Huntsville,30
teamInfo,Nightmares,"Huntsville, Alabama",,https://www.facebook.com/UAHultimatefrisbee/?fref=ts,https://twitter.com/uahultimate
0,Matthew Mabry
1,Beau Waldron
3,Callahan Diercks
4,Jason Eames
6,Brett Hulsmeyer
7,Isaac Schlagel
8,Nick Hildebrandt
10,Andrew Sentell
11,Elijah Jaime
12,Bradley Fleming
13,Raymond Cribbs
14,Aaron Aberle
17,Gage Gammon
22,Jonathan Lee
24,Andrew Tharp
33,Jere Goldsmith
42,Noah Schwalb
54,Elijah McKinley
