Cooler Classic 31,Club - Men ,17,8,2019
https://play.usaultimate.org/events/Cooler-Classic-31/schedule/Men/Club-Men/
Swans,4
0,Zachary Lin
2,Andy Buys
6,Kyle Palmolea
8,Joseph Kosterman
8,Chandler Good
9,Scott Wilson
10,Robert Mitchell McCarthy
10,Brian Lucido
11,Ben Ransom
11,Daniel Tarasi
11,Matt Adams
17,Timothy Swanson
20,Huynh Vo
21,Noah Werling
23,Hunter May
24,Curtis Nuzback
28,Trevor Sawatzky
34,Sam Habel
42,Carter Genrick
52,Bryan Hall
95,Zachary Diener
b,r,e,a,k
HouSE,9
0,Alec Treacy
0,Evan Treacy
0,Kevin Pettit-Scantling
0,Rusty McDonald
1,Nick Lilla
2,Shane Mueller
3,Blake Kiefner
6,Nick Robinson
7,David Ashmore
8,Miles Hong
8,Nicholas Pritzl
9,Donald James
10,Scott Wenzel
11,James Firth Fountain
12,David Zickus
13,Andrew Workman
15,Ryan O'Reilly
16,Benjamin Tompkins
19,Karl Fauerbach
20,Brett Robinson
23,Glenn Kaboskey
24,Jacob Ngo
27,Joshua Collins
30,Matt Marshall
34,Justin Brockmann
91,Austin Johnson
99,Matt Hulsether
b,r,e,a,k
Timber,12
00,Frank Ontaneda
03,Trey Anderson
07,Logan Mueller
09,Aaron Lichtenwalner 
11,Nicholas Tompkins
12,Chad Heldt
13,Cory Ladwig
15,Daniel Rowan
16,Tate Klauck
21,Scott Sawinski
25,Joseph Lett
26,Bruce McKinney
30,Thomas Doro
37,Matthew Krause
38,Jason Hataj
45,Thomas Mattimiro
55,Jonah Casimir
88,Cameron Junion
95,Bryan Geenen
97,Jeremiah Kramasz
99,Daniel Lang
b,r,e,a,k
CaSTLe,15
0,Cameron Yuan
02,Delmar Tarrago
04,Alexander Bernier
06,Robert Kirkum
07,Thomas Crockett
11,Wyatt Lien
14,Albert Su
15,Alex Semaca
16,Nate Clancy
17,Joshua Gabella
18,Trystan Alexander
19,George Brell
20,Benjamin Emanuel-Prude
21,Brendan Carriel
24,Jeff Morrison
26,Rory Shaw
27,Nicholas Biggs
29,Andrew Lam
44,Lawrence Eastman
54,Alex Stumphauzer
60,Brett Virgin-Downey
66,William (Will) Imming
b,r,e,a,k
Chimney,18
0,Aaron Steiger
0,Alexander Jarufe
0,Daniel Estrin
0,Derek Pryber
0,Dmitriy Estrin
0,Benjamin March
0,Jarrett Hsieh
0,Joshua Cummings
0,Kyle Jasany
0,Martin Oswald
0,Steven Tokar
0,Tristan Greiner
0,Vlad Estrin
3,Gabriel Gerry
3,Noah Bena
6,Stanton Olson
8,Kunal Rath
16,Sean Lavelle
21,Paul McClellan
21,Andrew Griffin
21,Ben Alexander
22,Ethan Heiss
23,Noah Spaetti
28,Brian Lin
77,Will Oltjen 
b,r,e,a,k
Imperial,10
0,Andrew Johnson
0,Ethan Li
0,Graham Dommer
0,Jacob Johnson
0,Joseph Quaal
1,Wyatt DeYoung
3,Jacob Ertz
4,Dalton Dowd
5,Cesario Velasco
8,Reuben Gardos Reid
10,Adam Egemo
15,Nikolaus Elsaesser
18,Liam McConnell
19,Michael (Max) Vinyon
20,Chad Messerich
27,Josh Yira
28,Anthony Doan
55,Brandon Krekelberg
70,Octavio Bruetman
76,Steven Wagner
84,Gavin Kritzeck
86,John Helgeson
87,Trent Brunner
95,Eric Volkmeier
97,Alex Bush
b,r,e,a,k
Kansas City Smokestack,14
0,Everett Arruda
1,Stephen Karst
2,Robert Castaneda
3,Matt Bandes
5,Jacob Rickwa
7,Darien Parr
