Heavyweights 2019,Club - Men ,3,8,2019
https://play.usaultimate.org/events/Heavyweights-2019/schedule/Men/Club-Men/
Yogosbo,1
0,Branavan Yogarajah
2,Tyler Williams
4,Sam Hebert
6,Gordon Peterson
07,Avery Johnson
10,Victor Luo
12,Chris Wilen
17,Thomas Gallagher
19,Nate Bosscher
23,Tarik Akyuz
25,Ryan Tucker
27,Elliot Mawby
32,Colin Camp
37,Jan Szmanda
41,Colin Sunde
76,Colin Grandon
77,Jack Kelly
91,Sef van Kan
b,r,e,a,k
Brickyard,2
0,Alex Henderson
0,Christopher Miller
0,David Hortemiller
0,Eli Mock
0,Jeremy Keusch 
0,Nick Phillips
0,Stephen Conner Henderson
1,Joseph Cubitt
2,Nickolas Hutton
3,Cameron Brock
4,Cameron Thatcher
8,Lucas Coniaris
11,Colton Steiner
12,Colin Ringwood
18,Aaron Weaver
18,AJ  Humbert
23,Zach Zebarth
37,Travis Carpenter
44,Donovan Triplett
45,Trey Dynes
51,Chris Ginet
81,Matthew McHugh
85,John Jones
b,r,e,a,k
Haymaker,3
0,Damen Erf
0,David Thomas
0,Ian Blanke
0,Jacob Ward
0,Jesse Johnson
0,Ryan Shea
0,Ryan Watson
0,Milan Rivas
0,Ricky Ramirez
0,Willem Longendyke
3,Kaden Han
10,Eric Swan
12,Matt Finley
19,Stephen Hendrickson
22,Brandon Deihl
24,Andrew Fischer
40,Anthony Davis
50,Adam Klopfenstein
54,Jack Carmichael
71,Wesley Green
77,Robert Dreier
b,r,e,a,k
ISO Atmo,4
0,Alexander Nichols
0,Brett Youngerman
0,Camden McPhee
0,Christopher Ward
0,Eric Silverman
0,Holt Crawford
0,Lucas Giaco Robert Corsiglia
0,Mark Donohue
0,Patrick Ellsworth
0,Sam Hale
0,Shane Eckert
0,Tyler Nguyen
2,Owen Martin
3,Elliott Woodward
7,Stephen Semmens
8,Andrew Soto
10,Zane Barber
13,Clay Elliott
14,Kyle Rogers
16,Conrad Hougen
21,David Popp
23,Nick Banks
25,Chris Fox
39,Phillip Korolog
64,Eric Gillwald
90,Kendrick Hougen
b,r,e,a,k
Swans,5
0,Alex Griswold
0,Joey Tillman
0,Jordan Rosevold
0,Joseph Branca
0,Sam Kleven
0,Tyler Thomegreene
1,Sam Sincere
4,Jason Finkelstein
6,Corey Clifford
7,Garrett Geib
10,Nick  Snyder
12,Jordan Benson
13,Nolan Bessler
19,Beau Hawkinson
22,Mitchell McGahan
24,Pete Elholm
24,Michael Sauer
35,Michael Merwin
42,Matt Burkhardt
42,Raheem Ishaque
47,Matthew Rodway
69,Danny Gollin
69,Tucker Hoffman
b,r,e,a,k
Satellite,14
0,Alex Cawley
0,Alex Jacobson
0,Blake Seegers
0,Boyd Rinehart
0,Harrison Davenport
0,Kollin Kaczynski
0,Patrick Lott
0,Phuoc-an Vo
0,Seth Gudeman
0,Stephen McCracken
1,Alex Straczek
2,Dexter Straczek
4,Ryan Fitzgerald 
11,Isaac Degenhart
13,Caleb Backstrom
16,Alex Castillo
27,Tanner Graham
b,r,e,a,k
Ditto A,15
0,Bailey Blum
0,Benjamin Girard
0,DeAngelo Barragan
0,Dylan Petiprin
0,Andrew Kindseth
0,Nathan Graber-Lipperman
0,Neil Makhija
0,Stephen Giunta
0,Zaddeen Benaissa
4,Anthony Colucci
11,Micah Thompkins
20,Jay Valdillez
32,Kenneth Xuan
32,Sean McSweeney
33,Jakub Jezusek
96,George Irving
b,r,e,a,k
Carolina Sky,24
04,Ben Fuguet
06,Joseph Ma
08,Ruben Keane
10,Alex Zhuang
11,Ben Hodgins
16,Kyle Halstater
18,Elliott Salter
18,Hiatt von Alten
19,John Fogg
22,Blaine Garner
27,Wilson Matsuo
30,Isaac Palmer
33,Sam Grant
36,Ryan Norris
39,Feliks Ciesielski
42,Ryan Bliss
49,William Hassell
66,Jackson Meisner
76,Logan Heck
95,Jack Hartingh
b,r,e,a,k
Battery,6
0,Bryant Wolf
0,Cyrus Ready-Campbell
0,Eli Fay
0,Joseph Gu
6,Chen Su
00,Joseph Schindler
00,Sam Murphy
00,Tyler Adams
04,Ryan Kerr
05,Grady Watkins
06,Nick Buccelli
07,Brian Bedord
12,Johnny Chen
15,Gilbert Chong
25,Hayden Mans
28,Morgan Sommer
32,Joshuah Kapilivsky
33,Satish Raj
40,Stephen Guerin
44,Andrew Rodman
49,Zibi Braniecki
69,Brian Culy
b,r,e,a,k
Imperial,13
0,Andrew Johnson
0,Graham Dommer
0,Jacob Johnson
0,Ethan Li
0,Joseph Quaal
1,Wyatt DeYoung
2,Eric Holter
3,Jacob Ertz
4,Dalton Dowd
5,Cesario Velasco
8,Reuben Gardos Reid
10,Adam Egemo
13,Maxwell Larkin
15,Nikolaus Elsaesser
18,Liam McConnell
19,Michael (Max) Vinyon
20,Chad Messerich
27,Josh Yira
28,Anthony Doan
55,Brandon Krekelberg
70,Octavio Bruetman
76,Steven Wagner
84,Gavin Kritzeck
86,John Helgeson
87,Trent Brunner
95,Eric Volkmeier
97,Alex Bush
b,r,e,a,k
Midnight Meat Train,16
0,Austin Masselink
0,Malachi Quakkelaar
0,Michael Lin
0,Mike Zaagman
0,Phouttasone (Preston) Saycocie
0,Sam Hoffman
0,Zachary Tetreau
4,Michael Zwayer
4,Liam French
8,Nathanael Olander
8,Brad Agee
10,Perry-David van Dillen
13,John Akers
21,Darin Shillair
21,Elliot Perpich
24,Denny Olejniczak
27,Mason Medeiros
32,Cody Smith
49,Adam Assink
50,Ryan Ernst
68,Gerald Chizmadia
83,Andrew Curtin
b,r,e,a,k
Kettering,23
4,Matthew Donar
7,Bradley Krzywosinski
9,Cavanaugh Penberthy
13,Joshua  Kalahar
14,Casey Puckett
15,Connor McVannel
16,Samuel Strickhouser
18,Jason Dietrich
26,Tyler Bliznik
38,Perry Heppe
52,Colin Donar
67,Logan Wykes
68,Levi Bischer
72,Noah Banick
b,r,e,a,k
Black Lung,7
0,Brian DeRosa
0,Jay White
0,Jesse McInturf
0,Kendrick Yuen
0,Mason Montgomery
0,Miles Riggs
0,Tadhg Young
1,Adam Houk
3,Jake Carrico
4,Michael Rudy
5,David High
8,Peyton  Schock
9,Preston Goulson
10,Larry Farmer Jr
11,Christopher Empie
13,Jared Gibson
13,Michael Harr
14,Matt Henry
22,Andrew Shields
22,Charlie Fleming
27,Wyatt Driskell
33,Collin O'Donnell
35,Zachary Stambaugh
44,Jake Hughes
93,Richard Murt
94,Tyler Karnes
b,r,e,a,k
Timber,12
3,Trey Anderson
12,Chad Heldt
16,Tate Klauck
21,Scott Sawinski
26,Bruce McKinney
30,Thomas Doro
38,Jason Hataj
45,Thomas Mattimiro
55,Jonah Casimir
69,Logan Roy
88,Cameron Junion
95,Bryan Geenen
99,Daniel Lang
b,r,e,a,k
Foxtrot,17
0,Eric Sun
0,Eric Blackburn
0,Gregory Dono
0,Hayden Pfaff
0,Johnny Chang
0,Joseph Dal Santo
0,Tom Ferguson
0,Wesley Bailey
0,Anthony Bauer
0,Austin McDaniel
0,Brandon Wilson
0,Brian Ontiveros-Kersch
0,Chris Lindsey
17,Bryan Kirchmeier
80,Christopher Griego
87,Daniel McKenna
b,r,e,a,k
Black Market III,22
0,Asa Bowen
0,Ben Lee
0,David Castillo
0,Harrison Krebs
0,Joel Peterson
0,Jonathan Humer
0,Mitchel  O'Day
0,Richard Davis
0,Shivam Boghra
0,Zachary Boehm
1,Eric Delgado-Quinones
3,Christopher Nguyen
5,Syed Akbar Jaffery
7,Bill SooHoo
11,Piers Collier
16,Moses Oh
22,Joe Spengel
22,Gavin Klancnik
26,Jimmy Chaudoin
28,Anthony Marolda
32,Brandon Daliones
35,Zach Eiden
42,Kerrick Klancnik
55,Murray Chen
69,Pramod Venkatesh
82,Samuel Bove
89,Alex Tam
b,r,e,a,k
Cryptic,8
0,Tyler Barrett
1,Jacob Arnold
2,Jacob Peiper
3,Shawn Smith
4,Benton Habel
5,Dillon Crowell
7,Nick Patrum
8,Jacob Knobloch
9,Ben Masterson
10,Julian Gallo
11,Blake Krapfl
12,David Lopez
15,Kyle Krukowski
18,Jonathan Beavers
21,Matthew Weber
22,Gage Sears
23,Bobby Reding
24,Peter Rethwisch
25,Chase Everett
26,Zach Ohnesorge
32,Blake Metz
33,Ian Taylor
36,Ryan Moore
42,Daniel Neese
63,Mason Burken
88,Bradley Kennis
b,r,e,a,k
Black Market II,11
0,Daniel O'Dell
0,Dylan Steele
0,Evan Power
0,Grant Kern
0,Jason Belzer
0,Juan Amador
0,Kevin DeAngelis
0,Louis Nagle
0,Michael Newman
0,Nigel Smucker
0,Stephen Linden
0,Tim Clark
2,Joe Sidrys
4,Zachary Schwulst
4,Gabriel Valencia
4,Colin McMahon
15,John McElmeel
19,Steven Czechowski
19,Austin Lee
34,Christopher O'Hara
38,John Kulikowski
39,Ross Tuttle
45,Brent Studenroth
48,Ian Foley
53,Joe Berry
61,Brian Payne
93,Manan Kothari
b,r,e,a,k
Red Imp.ala,21
00,Trevor Kyle
03,Aaron Troilo
03,Dom Zampardo
05,Zachary Turner
07,Brennen Scholten
14,Tristan Bowerman
18,Neil Proefrock
21,Justin Von Kulajta Winn
26,Sawyer Fil
35,Jon Gibson
56,Gregory Korinek
