Ski Town Classic 2019,Club - Mixed ,24,8,2019
https://play.usaultimate.org/events/Ski-Town-Classic-2019/schedule/Mixed/Club-Mixed
Pivot,1
0,Sierra Jensen
0,Kerry Younts
0,Mackenzie Bailey
0,Tom Atchity
0,Tyler Perry
9,Marshall Payne
11,Allegra Donadio
15,Jessica Hartzer
18,Tanner Moore
55,Theodore Weisman
b,r,e,a,k
California Burrito,10
0,Anders Ruden
0,Andrew Muro
0,Esau Gotlieb
0,Auralee Walmer
0,Blair Messner
0,Christina Debowski 
0,Christine Chen
0,Corey Atkins
0,Abe Shklar
0,Eimear Keyes
0,Emily Czar
0,Graham Gerhart
0,Jeremy Cho
0,Jordan Denecour
0,Luke Sanford
0,Maria Zavala
0,Micah Blazar
0,Peter Osseward
0,Vincent Liang
4,Sara Zhang
4,Emily Baker
5,Jordan Harmer
11,Adam Bronstein
11,Dan Hunt
21,Yana Rose
23,Zoe Tessler
51,Akihiro Horie
b,r,e,a,k
Springs Mixed Ulty Team (SMUT),15
0,Abigail Leibowitz
0,Ali Hartley
0,Carolina Gonzalez-Llanos
0,Dan Scogin
0,Elijah Kramer
0,Emily Woolridge
0,Ethan Latinsky
0,Garrett Wilson
0,Kevin Chubet
0,Michael Fuson
0,Natalie Hanson
0,Nathan Woolridge
4,Dana Jefferson
14,Heather Scogin
23,Justin Woodman
30,Leah Dolan-Kelley
41,Cara Utesch
41,Theodore (Teddy) Taggart
53,Sarah Nurmi
77,Kelly Swiryn
99,Paul Utesch
b,r,e,a,k
Rogue,18
0,Alec DeSantis
0,Carleigh High
0,Ian Janis
0,James Fagan
0,Jeff Meyer
0,Joe Weisshaar
0,Julien Hartmann
0,Rebecca Hildenbrand
0,Rebecca Kemper
0,Sara Knepper
0,Sean Smith
0,Tim McConnell
0,Nicholas Huttsell
2,Jake Thomason
13,Mandy Proctor
20,Jeffrey Lewis
22,Lauren Meadows
27,Haden Hogan
32,Philip Kletzli
33,Elizabeth Bacal
40,Dan Nowicki
77,Ali Bramson
b,r,e,a,k
Instant Karma,11
0,Abigail Lindsay
0,Calyssa Zismann
0,Darrien Dorr
0,David Ball
0,Devon Chapman
0,Garrett Hable
0,Holt Newton
0,Jordan Harn
0,Joseph Lindsay
0,Laura Morehouse
0,Lauren Pisani
0,Matt Varney
0,Michelle Tanner
0,Nicholas Arnaud
0,Nicole Garnes
0,Patrick Gaetz
0,Peggy Monkemeier
0,Russell Knox
0,Shane Abeshaus
0,Stefanie Nguyen
0,Talia Troyo
0,Timothy Wood
0,Vincent Chase
3,James Weinstein
10,Christopher Metz
21,Brendon Hudnell
36,Ryan Thornhill
b,r,e,a,k
Flight Club,6
0,Andrew Kiminski
0,Anna Kassner
0,Benjamin Hogan
0,Betsy Basch
0,Erin Berg
0,Evan Doucett
0,Lindsay Merriken
0,Oliver Cunningham
0,Rachel Stockdale
0,Rex Fortgang
0,Savanna Guerrero
0,Tabetha Ridgway
0,Christopher Drew
0,Zacary Parkhill
2,Tom Parry
4,Corey Nuechterlein
8,Brandon Galllagher
9,Maxwell Langevin
9,Rosemary Widenor
15,Christiana Hellinga
26,Weston Mauz
36,Bryan Downey
81,Ryan Wolfe
b,r,e,a,k
Family Style,14
0,Jacquelin Severson
04,Elliott Lamborn
05,Joseph Forbes
07,Rebecca Velez
09,Chelsea Baldemor
10,Cheryl Lee
11,Ellen Ebat
12,Paul Kempler
13,Erika Ye
14,Andrew McRae
20,Adam Paicely
21,Nathan Warden
25,Joseph Bobman
26,Annie Kean
27,Thomas Lin
33,Samuel Ross
35,Alison Forbes
42,Bryan DeVore
46,Sarah Kibler
51,Joyce Chen
57,Andrew Dunn
75,Benjamin Ma
77,Greta Becker
99,Maria Kazantsev
b,r,e,a,k
Ouzel,3
0,Brianna Rick
1,John Foeller
2,Jonathan Steiner
3,Philip Campbell
5,Heyward Gualandi
8,Stevie Shock
11,Michelle Verant
13,Courtney Ngai
15,Rachel Ericson
18,Lewis Faller
20,Robert Perry
21,Ian Golembeski
22,Amanda Benedict
22,Daniel Sponaugle
24,Evan Barrientos
25,Jessica Rick
33,Ben Pettis
44,Kathryn Moore
50,Logan Stagg
87,Katie Abrahamson 
88,Max Abrahamson
89,Michael McCaffery
92,Alanna Pipkin
b,r,e,a,k
The Strangers,19
0,Alex Sottile
0,Alice Murphy
0,Alyssa May
0,Courtney Butler
0,Dalton Chaffee
0,Kate Oetheimer
0,Laura Menacho
0,Leonard Donadio
0,Matthew Bailey
0,Natalie Fan
0,Raymond  Chen
0,Catherine Smith
0,Scott Harris
0,Troy Wojick
3,Hannah Dryke
3,Austin Outhavong
12,Benjamin Godwin
22,Christian Gentry
23,Jason Howard
27,Joseph Delnero
31,William Allen
77,Thomas Hennen
84,Alison Haddad
b,r,e,a,k
Cutthroat,5
0,Amy Schimschock
0,Becca Reighard
0,Gabriel Somoza
0,Monica Davis
0,Randi May
0,Rebecca Mills
0,Sage Kruleski
0,Warren Kinson
2,R. Miguel Gonzales
3,Logan Greenwood
4,Pete Marshall
9,Thomas Fiock
12,Ryan Takayama
12,Christopher Liu
12,Daniel Ortiz
13,Brent Moore
17,Eric  Nielsen
17,Maxwell Michelini
21,Kathleen Mills
23,Lydia  Morrison
23,Gabriel Camacho
24,Krista Takayama
27,Morgan Greenwood
35,Raymond Lopez
44,Giovanni Danforth
71,Ryan Polka
94,Ryan Schoenfeld
b,r,e,a,k
Argo,12
02,Candace Adelberg
04,Colan Dray
05,Kosuke Hasegawa
06,Shelby Triplitt
07,Victor Smith
08,Wyatt Eberspacher
10,Nick James
11,Adam Koehler
13,Jean Tuvilla
15,Joseph Barker
16,Lily Zhang
17,Alisa Yu
21,Nicole Love
22,Caroline McKee
23,Carrie Curtin
24,Andrew Riggs
26,Devin Oliver
27,Eric Angell
28,Chris Stewart
47,Christopher Akers
50,Maika Isogawa
55,Kimberly Yu
64,Sophie Grutzner
66,Zachary Esakof
77,Sheneth Bell
78,Mauricio Bell'Albero
86,Jordan Seaberg
b,r,e,a,k
Firefly,4
0,Danielle Kleidon
0,Erica Messner
0,Jacqueline Bonner
0,Jake Rifkin
0,Jamie Lam
0,Kaitlin Marin
0,Katie Palmer
0,Lauren Margolis
0,Abigail Karp
0,Angus Kitchell
0,Arianna Aldebot
0,Charles Stratton
0,Peter Zellman
0,Sarah Tenpas
0,Skylohr Taylor
4,Austin Benavides
5,Suk lyn Lim
7,Zachary Purdy
14,Dan  Greeley
17,Chris Godek
17,Noelle Nelson
23,Veera Sethuraman
44,Shane Tracy
66,Stephen Cockerill
97,Omar Cornejo-Esquivel
b,r,e,a,k
Wasatch Sasquatch,20
0,Amber Shepherd
0,Anna Cassell
0,Cassee Hayes
0,Mati Chessin
0,Mike Yang
0,Sasha Harrison-Gunzelman
0,Sean Stackhouse
3,Isaac Conley
4,Daniel Durham
07,Ben Jones
10,Wes Speight
12,Ed Ryon
15,Megan Maxfield
22,Linze Struiksma
23,Bill Razey
24,Grayson  Anderson
24,Kara Curtis
26,Matthew Wattendorf
27,Rebecca Gregg
29,Brandon Henshaw
62,Dillon Burke
68,Marc Coppi
69,Kyle Husebye
72,Aaron Coleman
82,Laura Carr
90,Liz Bunderson
93,Emmett Ross
b,r,e,a,k
Mixed Signals,13
0,Amelia Schmidt
0,Andrew Stratford
0,Colleen Amori
0,Grace Trautman
0,Horacio Guzman
0,Jessica Larson
0,Kelly Moses
0,Lillian Tobias
0,Quinn Martindale-George
0,Riley Gustafson
0,Rita Hill
0,Ryan Colby
0,Sophia Thayer
0,Tim Kefalas
14,Matthew Bush
14,Brian Crabtree
16,Matthew Schoenwald
18,Jacob  Freedman
20,Marissa Melton
27,Ginie Kwan
30,Sten Larson
31,Jake Russell
34,Cody Spicer
36,Dan  Wiegert
45,Glenn Parr
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Pivot,Sweet Action,13,3,"08/24/2019, 09:00",Pool A
Absolute Zero,Fear and Loathing,13,4,"08/24/2019, 09:00",Pool A
Pivot,Absolute Zero,13,6,"08/24/2019, 10:45",Pool A
Alchemy,Fear and Loathing,13,5,"08/24/2019, 10:45",Pool A
Fear and Loathing,Sweet Action,9,13,"08/24/2019, 12:30",Pool A
Alchemy,Absolute Zero,13,8,"08/24/2019, 12:30",Pool A
Pivot,Fear and Loathing,13,1,"08/24/2019, 14:15",Pool A
Alchemy,Sweet Action,9,10,"08/24/2019, 14:15",Pool A
Pivot,Alchemy,12,9,"08/24/2019, 16:00",Pool A
Absolute Zero,Sweet Action,13,6,"08/24/2019, 16:00",Pool A
pool,Pool B
Moontower,Rogue,13,4,"08/24/2019, 09:00",Pool B
California Burrito,Springs Mixed Ulty Team (SMUT),9,8,"08/24/2019, 09:00",Pool B
Moontower,California Burrito,11,12,"08/24/2019, 10:45",Pool B
Donuts,Springs Mixed Ulty Team (SMUT),12,9,"08/24/2019, 10:45",Pool B
Springs Mixed Ulty Team (SMUT),Rogue,13,5,"08/24/2019, 12:30",Pool B
Donuts,California Burrito,10,5,"08/24/2019, 12:30",Pool B
Moontower,Springs Mixed Ulty Team (SMUT),13,12,"08/24/2019, 14:15",Pool B
Donuts,Rogue,13,5,"08/24/2019, 14:15",Pool B
Moontower,Donuts,12,11,"08/24/2019, 16:00",Pool B
California Burrito,Rogue,13,2,"08/24/2019, 16:00",Pool B
pool,Pool C
Ouzel,The Strangers,13,7,"08/24/2019, 09:00",Pool C
Instant Karma,Family Style,10,8,"08/24/2019, 09:00",Pool C
Ouzel,Instant Karma,11,10,"08/24/2019, 10:45",Pool C
Flight Club,Family Style,11,9,"08/24/2019, 10:45",Pool C
Family Style,The Strangers,11,5,"08/24/2019, 12:30",Pool C
Flight Club,Instant Karma,5,11,"08/24/2019, 12:30",Pool C
Ouzel,Family Style,9,11,"08/24/2019, 14:15",Pool C
Flight Club,The Strangers,11,10,"08/24/2019, 14:15",Pool C
Ouzel,Flight Club,8,10,"08/24/2019, 16:00",Pool C
Instant Karma,The Strangers,13,5,"08/24/2019, 16:00",Pool C
pool,Pool D
Firefly,Wasatch Sasquatch,13,3,"08/24/2019, 09:00",Pool D
Argo,Mixed Signals,8,12,"08/24/2019, 09:00",Pool D
Firefly,Argo,10,11,"08/24/2019, 10:45",Pool D
Cutthroat,Mixed Signals,13,12,"08/24/2019, 10:45",Pool D
Mixed Signals,Wasatch Sasquatch,9,11,"08/24/2019, 12:30",Pool D
Cutthroat,Argo,13,9,"08/24/2019, 12:30",Pool D
Firefly,Mixed Signals,13,7,"08/24/2019, 14:15",Pool D
Cutthroat,Wasatch Sasquatch,13,5,"08/24/2019, 14:15",Pool D
Firefly,Cutthroat,8,10,"08/24/2019, 16:00",Pool D
Argo,Wasatch Sasquatch,13,6,"08/24/2019, 16:00",Pool D
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,Championship Bracket
Donuts,Instant Karma,10,7,"08/25/2019, 12:30",Finals
Pivot,Donuts,9,11,"08/25/2019, 22:45",Semi-Finals
Instant Karma,Cutthroat,13,6,"08/25/2019, 22:45",Semi-Finals
Pivot,Argo,12,7,"08/25/2019, 09:00",Quarterfinals
Donuts,Flight Club,11,9,"08/25/2019, 09:00",Quarterfinals
Instant Karma,Moontower,13,7,"08/25/2019, 09:00",Quarterfinals
Cutthroat,Alchemy,13,6,"08/25/2019, 09:00",Quarterfinals
bracket,3rd Place Placement
Pivot,Cutthroat,10,12,"08/25/2019, 12:30",3rd Place
bracket,Ninals Bracket
California Burrito,Springs Mixed Ulty Team (SMUT),10,11,"08/25/2019, 12:30",Ninals 
Absolute Zero,California Burrito,7,12,"08/25/2019, 10:45",Ninals Semis 
Springs Mixed Ulty Team (SMUT),Sweet Action,11,8,"08/25/2019, 10:45",Ninals Semis 
Absolute Zero,Wasatch Sasquatch,13,8,"08/25/2019, 09:00",Ninals Quarter
California Burrito,Ouzel,12,8,"08/25/2019, 09:00",Ninals Quarter
Family Style,Springs Mixed Ulty Team (SMUT),10,13,"08/25/2019, 09:00",Ninals Quarter
Firefly,Sweet Action,12,13,"08/25/2019, 09:00",Ninals Quarter
bracket,11th Place Placement 
Absolute Zero,Sweet Action,10,11,"08/25/2019, 12:30",11th Place
bracket,5th Place G1
Argo,Flight Club,11,7,"08/25/2019, 10:45",5th Place Game 1
bracket,5th Place G2
Moontower,Alchemy,8,12,"08/25/2019, 10:45",5th Place Game 2
bracket,13th Place G1
Wasatch Sasquatch,Ouzel,6,13,"08/25/2019, 12:30",13th Game 1
bracket,13th Place G2
Family Style,Firefly,13,8,"08/25/2019, 12:30",13th Game 2
b,r,e,a,k
pools,Consolation Pool
pool,Pool E
Fear and Loathing,The Strangers,3,13,"08/25/2019, 09:00",Pool E
Rogue,Mixed Signals,6,13,"08/25/2019, 09:00",Pool E
Fear and Loathing,Mixed Signals,8,13,"08/25/2019, 10:45",Pool E
Rogue,The Strangers,4,13,"08/25/2019, 10:45",Pool E
b,r,e,a,k
