Trouble in Vegas 2019,College - Men ,23,3,2019
https://play.usaultimate.org/events/Trouble-in-Vegas-2019/schedule/Men/CollegeMen/
Southern California,1
0,Camilo Barrera
0,Chris Doehring
0,Alexander Tovar
0,Evan Ostrowski
0,Jack Damiani
0,Jonathan Jalajas
0,Mitchell Maruyama
0,Randy Hoang
0,Rowan McEvoy
2,Sam Cook
3,Ricky Kirkpatrick
4,Wyatt Paul
7,Washington Zhao
8,Diego Frankel
11,Cy Toriello
13,Kevin Stearns
14,Hill Balliet
15,Jake Shoyer
18,Phillip Yang
29,David Sealand
44,Daniel Rabinovich
55,Drew Okenfuss
75,Benjamin Ma
b,r,e,a,k
Florida,4
0,Alec Hunziker
0,Joel Buenrostro
3,Alexander Janelle
5,Ryan Hiser
8,David Pincus
8,Joshua Layton
9,John Gonzalez
10,Michael Arbutine
11,Ross Lynam
12,Brandon Turnage
13,William  Field
16,Samuel Gordon
19,Enrico Bautista
25,Unmil Patel
26,Matthew Molinaro
27,Michael Heym
29,Hayden Chappel
31,Brendan Fieger
54,Jarett Cox
55,Logan Storts
72,Gabriel Cornejo
77,Javier Sahagun
98,Will Marberry
b,r,e,a,k
Nevada-Reno,5
0,Erick Bandala Sanchez
2,Kyle Glanzmann
07,David Haulot
08,Spencer Lee
09,Thomas Fiock
13,Trevor Olsen
17,Maxwell Michelini
21,Anthony Zasada
22,Matthew Uran
23,Gabriel Camacho
24,Samuel Eardley
25,Trevor Sortor
30,Donne Lenard Lomugdang
32,Luke Moreno
35,Raymond Lopez
55,Thomas McCrone
69,John Dougherty
73,Ravi O'Brien
88,Justin Blau
b,r,e,a,k
Northern Arizona,10
0,Blake Lawton
0,Brandon Hutcheson
0,Aiden Cody
0,James Severson
0,Nikeal Mahabir
0,Shane Rice
0,Travis Neville
0,Trevor Call
0,Truman Hight
0,Tyler Patton 
5,Caleb Conley
7,Kevin Farnam
8,Evan Taylor
10,Harry Bell
13,Eric Chavet
16,Dawson Peters
17,Will  Hopkins
20,Frank KyawSwar Aung
21,Hayden  Hoekstra
24,Issac Granados
24,Alejandro Marquez
27,Logan Beaschler
42,Hunter Stuits
42,Drake DenHartog
49,Tyler Liddie
b,r,e,a,k
Chico State,7
0,Alexander Vina
0,Andrew Matheson
0,Benjamin Laplante
0,Cameron  Hinman 
0,Devin Mitchell
0,Dominic La Frantz
0,Harrison  Pointer
0,James Ross
0,Nicholas Dahms
0,Nick McConnell
0,S Schneider
22,John Anthony
42,Trenton Duncan
b,r,e,a,k
Montana State,9
0,Daniel Cook
0,Eli Karsh-Lombardo
0,Jake Ralston
0,James Anderson
0,Ethan Senna
0,Matthew Hickey
0,Scott Kaltenecker
0,William Vandenberg
2,Jack Lokowich
4,Quintin McCoy
5,Max Lineberger
5,Jonathan Haberman
12,Zain Wedemeyer
13,Steven Kassebaum
14,Logan Rice
16,Aaron Rhoderick
19,Nathan Morrow
23,Dominic Guzzarde
27,Enzo Mejia
29,Zach Baumann
32,Eric Healy
49,Sebastian Gralla
55,Joseph Chybinski
