Cooler Classic 31,Club - Mixed ,17,8,2019
https://play.usaultimate.org/events/Cooler-Classic-31/schedule/Mixed/Club-Mixed
Chalice,1
0,Daniel Brennan
0,Eliza Hutchings
0,Elizabeth Honigfort
0,Gabriella Lavezzi
0,Julia Hill
0,Justin Van Sant
0,Kate Halloran
0,Mason Zetsch
0,Max Morgan
0,Megan Woodring
0,Neil Wessling
0,Ryan Jarvis
0,Samantha Cohen
4,Matt Nuoffer
4,Henry Sundermann
6,Emma Randolph
7,Cody Fox
7,Michael Faaborg
9,Stephenie Wang
15,Ben Clark
21,Nathaniel Mahieu
24,Loren Goodrich
26,Grant Eschmann
29,Stephen Hawkins
37,Mary Hermann
69,Mahliyah Adkins-Threats
98,Julia Schroeder
b,r,e,a,k
Toast,5
0,Brendan Schwalm
0,Carmella Vizza
0,Cian Johnson
0,Corie Auger
0,Edward Taylor
0,Marcus Prigge
0,Mitchell DeNooyer
1,Sean Clark
1,Michael Mansfield
2,Lucinda Toppen
5,Owen O'Neil
5,Ryan Lee
9,Anna McClurkan
13,Brian Keefe
14,Trevor Polisuk-Balfour
15,Brittany  Dooley
16,Samantha Phillips
19,Stephen Hoffman
19,Aaron Riess
22,Jamie Petroelje
29,Jayleen Rossi
32,Justine Volz
54,Aaron Schwieterman
84,Michael Weber
85,Michael Stephen
92,Greg Hensen
99,Mya Hernandez
b,r,e,a,k
Risky Business,8
0,Abigail Thorpe
0,Christina Jones
0,Colleen Casadaban
0,Cristina Carreon
0,Emiko FitzGerald
0,Yvette Tran
1,Austin Henke
3,Allie Long
4,Callista Benavides
5,Bryan Rowes
7,Christopher Schultz-Davis
7,Austin Reed
7,Matthew Melendez
9,Dalio Losch
14,Kristopher Dapprich
19,Eric LaPietra
21,Blake Abbott
22,Paul DiFiore
23,Angga Widodo
35,Alexander Brewster
65,Samuel Bondurant
69,Bristol Lovoy
73,Louisa Xie
88,Zoey Clark
b,r,e,a,k
Stripes,4
0,Emily Molloy
0,Erin Newman
0,Gail Reich
0,Jeffrey Spetter
0,Jessica Sipperley
0,Kevin Hanzel
0,Kyle Sternkopf
0,Michael Kaminski
0,Nate Boddy
0,Sarah Arnberger
0,Sean Parker
2,Rob Hirsch
3,Michael Egan
9,Jorge Duarte
11,Kevin Wickman
16,Alison Ellis
b,r,e,a,k
Hybrid,3
01,Alex Edinger
02,Justin Perticone
05,Hannah Cheng
07,Elizabeth Benedetto
08,Dan Donovan
10,Connor Lukas
11,Jacob Scobey-Polacheck
12,Leah Cann
13,Benjamin Murphy
14,Tessa Champoux
15,Alex Bertoia
16,Marissa Ray
17,John Goodwin
20,Madalyn Simko
21,Christina Hanson
22,Michael Dagher-Margosian
23,Alex Kapiamba
25,Amanda Decker
30,James Highsmith
34,Annie Mei
42,Mike Ogren
61,Riely Kuznicki
84,Nathan Champoux
88,Mark Whitton
90,Eryn Ogren
94,Ryan Ivey
b,r,e,a,k
Woodwork,2
0,Brad Ashley
0,Cat  Henning 
0,Christa Fisher
0,Erin Healey
0,Grant Maynard
0,James West
0,Kayla Anderson
0,Kersten Hanson
0,Michael Atsma
0,Trevor Rice
3,Richelle Rock
7,Zachery Mahler
7,Isaiah  Moore
9,Samantha Gillen
11,Miranda Neil
11,Austin Wehrwein
13,Cole Petsche
14,Kelli Rice
28,Andrew Curry
32,Nicole Lenczowski
33,Emily Wehrwein
42,Chas Busch
51,Isaac Entz
66,William Schmitt
71,Dayton Wright
b,r,e,a,k
Northern Comfort,6
02,Oliver Rytman
03,Erika Watson
04,Kaleigh Wurster
05,Brittney Joy
07,Matthew Caballero
08,Heather Vilbrandt
10,Laura Nelson
11,Mackenzie Carpenter
12,Brian Benge
13,Jay Kinzel
14,Osvaldo Velez-Martinez
19,Heather Posl
21,Jake Leutenegger
22,Max Carpenter
24,Lauren Williams
27,Annalise Heuser
29,Mike Armstrong
32,Annie Waniger
34,Sarah Garstecki
43,Sharon Cross
44,Hannah Frank
45,Matthew Branham
49,Tim Posl
77,Dan Margulis
84,Peter Guerin
88,Daphne Branham
99,Wyatt Meyer
b,r,e,a,k
PanIC,7
0,Alexis Rose
0,Claire Meyer
0,David Dalton
0,Jessica Derry
0,Nathan Gibbons
0,Samantha Bartlett
0,Nicole Johnson
0,Peter Shayman
0,Troy Stapleton
0,Zane Pennock
0,Zoe Bakken-Heck
4,Sean Schoephorster
10,Jacob Jahnke
16,Amanda Stapleton
17,Shivam Patel
19,Johanna Chambers
20,Rebecca Crown
21,James Hean
22,Nick Culver
24,Thomas Robinson
27,Evan Kerr
33,James (Drew) Walters
42,Raleke Hughes
66,Tyler Stutzman
99,Dana Demmert
b,r,e,a,k
EMU,16
0,Andrew Patel
0,Cindy Mei
0,Collin Klenke
0,Jacob Wham
0,Jordan Brooks
0,Kenneth Allen
0,Talia Willmert
1,Sarah Johnson
3,Sara Gnolek
12,Taylor  Pochetti
15,Max Moore
19,Anna Scarbrough
25,Hindeke Tewodros
41,Christian Rozolis
44,Grace Young
55,Grace Goulson
85,Hunter Latson
88,Catherine Chen
88,Jason Paul
99,Joe Harari
b,r,e,a,k
Point of No Return,17
0,Bryan Cook
00,Dylan Boucher
00,Kirk Prince
00,Lillee Stanke
00,Quest Meyer
03,Kathryn Dumke
04,Gerene Taylor
06,Kevin Reimer
07,Thomas Roltgen
08,Brennan Nelson
09,Kate Propp
10,Emily Rouse
12,Veiga Goethel
15,Tim Larsen
16,Jacob Dreves
17,Jarrett Stanke
31,Kyle Taylor
33,Katherine Ebensperger
44,Daniel Maatta
81,Olivia Schilcher
87,David Horgan
90,Trent Grair
b,r,e,a,k
Bird,15
01,Adam Meckstroth
02,Brian Wilson
03,Greta Friedrichs
04,Katherine Wilmes
05,Samuel Hedrick
06,Michael Ruble
08,Patrick La Course
10,Erin Mirocha
12,Aidan Clements
14,Jessica Hendrickson
15,Morgan Harris
16,Carly Siewert
18,Angelica Montanez
19,Kevin Harrow
23,David Stemper
24,Sumaya Mohamed
25,Jacob Salzman
27,Leslie Boey
28,Cole Stiegler
29,Brian Paulus
41,Jacob Mutch
52,Vivian Hett
79,Victoria  Snyder
81,Tyler Meyer
97,Steven Anderson
99,Donna Johnston
b,r,e,a,k
Rocket LawnChair,18
0,Cherie Netzloff
0,Erica Mehra
0,Ian Pearsall
0,Joe Kowalkowski
0,Lindy Torvinen
0,Loriann Hom
0,Melissa Herta
0,Ryan Pakula
0,Toby Hartman
4,Paul Versluis
5,Ian Eisnaugle
9,Rachel Torrez
13,Ryan Donnelly
13,Kellyann Barnett
14,Nicholas Kraft
17,Andrew Foldesi
17,Markus Borsch
18,Ashley Pepple
18,Franchesca Cassanese
23,Sara Herta
25,Rachel Cawkwell
28,Aidan Tank
31,Scott Hetu
36,Stephan Maxe
67,Stephen Bloetscher
88,Maria Aristizabal
b,r,e,a,k
Pandamonium,14
0,Alison Kidd
0,Amy Suek
0,Brandon Haus
0,Chuck  Dudek
0,Jesse Peterson-Brandt
0,Jonah Shaver
0,Julia Clare
