North Central Club Mixed Regional Championship 2019,Club - Mixed ,21,9,2019
https://play.usaultimate.org/events/North-Central-Club-Mixed-Regional-Championship-2019/schedule/Mixed/Club-Mixed
Drag'n Thrust,1
02,Brett Sullivan
03,Patrick Niles
04,Erica Baken
06,Logan Weiss
07,Blake Trantina
08,Greta Regan
09,Emily Regan
10,Erin McCann
12,Marty Adams
13,Jacob Lien
14,Austin Lien
16,Brian Schoenrock
17,James Hron
18,Ellie Sjordal 
18,Sam Berglund
19,Tavis Leighton
20,Neal Hanke
22,Kathryn Ritzmann
24,Holly Denecour
26,Rebecca Ludford
30,Leo Sovell-Fernandez
31,Maggie Peck
33,Jaime Glader
43,Bryan Vohnoutka
44,Sarah Meckstroth
49,Caleb Denecour
59,Claire Thallon
b,r,e,a,k
Northern Comfort,8
02,Oliver Rytman
03,Erika Watson
04,Kaleigh Wurster
05,Brittney Joy
07,Matthew Caballero
08,Heather Vilbrandt
10,Laura Nelson
11,Mackenzie Carpenter
12,Brian Benge
13,Jay Kinzel
14,Osvaldo Velez-Martinez
20,Justine Espisito
21,Jake Leutenegger
22,Max Carpenter
23,Paul Watson
24,Lauren Williams
27,Annalise Heuser
32,Annie Waniger
34,Sarah Garstecki
44,Hannah Frank
45,Matthew Branham
49,Tim Posl
77,Dan Margulis
84,Peter Guerin
88,Daphne Branham
96,William Mansfield
99,Wyatt Meyer
b,r,e,a,k
Mojo Jojo,12
0,Emily Dalhoff
1,Stephanie Pieper
3,Remy Eisendrath
3,Graham Sutherland
4,Andrew Lawrence
5,Daniel Schultz
8,Roberto Caballero
9,Joe Simonelli
10,Michael Jordan
11,Justin Wollin
12,Ryan Welch
14,Ben Valley
16,Brittany Faust
18,Ana Caballero
22,Tyler Latham
23,Clancy Ferris
24,Brendan Gessner
26,April Strzelczyk Haverstock
27,Grace Carlson
27,McKenna Hage
28,Meredith  Johnson
34,Luis Caballero
42,Malik Earle
45,Katherine Berglund
84,Nicole Havel
88,Jonah Giese
99,Amanda Huber
b,r,e,a,k
Impact,13
0,Luke Grieger
2,Holly Webb
3,Jacob Pfeifer
4,John Winter
5,Tim Dinh
6,Alyssa Whalen
8,Hannah Roberts
11,Jacob Purdy
13,Angela Reimer
14,Kiana Broadley
16,Ellane Bergen
20,Reid Christensen
22,Isaac Blick
23,Victoria Schultz
30,Andrew Rummery
33,Kate Olson
37,Jake Reimer
39,Makayla Ladwig
42,David Slagle
59,John Wildman
59,Sarah Wildman
66,Melanie Frost
81,Patrick Loganbill
86,Emily Beeson
88,Jayne Roberts
99,Jordan Becquer
99,Hector Toro
b,r,e,a,k
The Chad Larson Experience,2
0,Adam Levine
0,Annee Rempel
0,Annemiek Arkema
0,Charlie Hubbard
0,Cody Rohlf
0,Colin Lord
0,Ethan Levine
0,Janna Coulter
0,Jillian Olson
0,Katherine Goode
0,Katie Miller
0,Linda Morton
1,Kevin Seiler
2,Logan Grothus
5,Matt Stoker
5,Sarah Stoker
6,Scott Hearne
12,Katie Walther
16,Jon Olson
19,Ben Joerger
24,Megan Jameson
30,Tanner Boyle
33,Peter Miller
44,Chuan Jie Loy
61,Kelly Hubbard
69,Jia Yue Sum
99,Dylan DeClerck
b,r,e,a,k
Minnesota Star Power,7
0,Alex Kensgaard
0,Benjamin Longchamp
0,Claire Cech
0,Cole Jensen
0,Eva Maxson
0,Lillian Bailey
0,Rebekah Swanson
0,Nick Heid
1,Tanner Mayo
1,Tristan Grovender
7,Danica Cutshall
8,Kevin Ruda
9,Ben Roske
11,Rachel Thompson
13,Kelsey Mueller
16,Lisa Barnes
19,Eric Vandermolen
20,Kelsey Percy
21,Tyler Mahony
24,Eric Alexander
25,Joe Moravec
26,Ian Hahn
29,Kelsey Peterson
31,Bradley Malmsten
37,Ming Cheng Chew
92,Martin Stecker
97,Megan Asturias
b,r,e,a,k
Pandamonium,11
0,Brandon Haus
0,Chuck  Dudek
0,Cloid Green
0,Amy Suek
0,Ashley Green
0,Erik Bredesen
0,Jesse Peterson-Brandt
0,Jonah Shaver
0,Julie Bender-Awalt
0,Julia Clare
0,Kaiya Sygulla
0,Katelin Goebel
0,Katherine Johnson
0,Kelsey Daly
0,Peter Schmitt
0,Stephanie O'Connor
2,Ben Finkelstein
3,Matt Theisen
4,Tanya Natwick
15,Eric Andersen
17,Raechell Nelson
22,Mikhail Golben
47,Ian Andre-Knudsen
89,Micah Peterson-Brandt
b,r,e,a,k
Bird,14
01,Adam Meckstroth
02,Brian Wilson
03,Greta Friedrichs
04,Katherine Wilmes
08,Patrick La Course
09,Samuel Hedrick
12,Aidan Clements
13,Michael Seffren
14,Jessica Hendrickson
15,Morgan Harris
16,Carly Siewert
17,Mikayla Yoder
18,Angelica Montanez
19,Kevin Harrow
23,David Stemper
24,Sumaya Mohamed
25,Jacob Salzman
27,Leslie Boey
28,Cole Stiegler
29,Brian Paulus
44,Jonathan Lovagnini
50,Jacob Raatz
52,Vivian Hett
79,Victoria  Snyder
81,Tyler Meyer
97,Steven Anderson
99,Donna Johnston
b,r,e,a,k
Woodwork,6
0,Brad Ashley
0,Cat  Henning 
0,Christa Fisher
0,Erin Healey
0,Grant Maynard
0,James West
0,Jonathan Kramer
0,Kayla Anderson
0,Kersten Hanson
0,Michael Atsma
0,Rebecca Kramer
0,Trevor Rice
3,Richelle Rock
7,Isaiah  Moore
7,Zachery Mahler
9,Samantha Gillen
11,Miranda Neil
11,Austin Wehrwein
13,Cole Petsche
14,Kelli Rice
28,Andrew Curry
32,Nicole Lenczowski
33,Emily Wehrwein
42,Chas Busch
51,Isaac Entz
66,William Schmitt
71,Dayton Wright
b,r,e,a,k
7 Sins,10
0,Aaron Johnson
0,Alexander DeMarais
0,Brendan Cirillo
0,Brock Hicks
0,Caleb Cauthon
0,Callie Warren
0,Emilia Budzowski
0,Emily Buford
0,Jonah Larsen
0,Katelyn Patterson
0,Lauren Wiggins
0,Matthew Beers
0,Meeli Patel
0,Michael Montesano
0,Taylor Hicks
9,Alex Turner
9,Christina Griese
11,Handel Aiken
13,Amanda Frakes
16,Tommy Gebhardt
20,Mei Lin Branit
24,Abby Acker
25,Jessica Tiller
42,Dana Jensen
44,Jesse Fisher
49,Heather Fielding Gebhardt
55,Patrick Lansdon
