Nor Cal Mixed Club Sectional Championship 2019,Club - Mixed ,7,9,2019
Davis,CA,2019-09-07,2019-09-08
https://play.usaultimate.org/events/Nor-Cal-Mixed-Club-Sectional-Championship-2019/schedule/Mixed/Club-Mixed
Blackbird,1
04,Deanna Bjorkquist
07,Rachel Holz
08,Donnya Ajdari
09,Adam Farren
10,Malina Wiebe
11,Corey Lee
13,Sally Mimms
16,Vincenzo Vitiello
17,John Kolb
19,Ryo Kawaoka
20,Sam Swink
21,Stephen Sullivan
24,Andrea Romano
25,Julia Ting
27,Abigail Edwards VanMuijen
30,Megan Schoellhamer
32,Vivian Chu
35,Lucas Dallmann
37,Molly Hallweaver
40,Mac Taylor
84,Shane Earley
89,Alexandra Stambaugh
98,Sonny Zaccaro
99,Tim Gilligan
b,r,e,a,k
Firefly,9
0,Danielle Kleidon
0,Erica Messner
0,Jacqueline Bonner
0,Jake Rifkin
0,Jamie Lam
0,Kaitlin Marin
0,Katie Palmer
0,Lauren Margolis
0,Nicholas Davis
0,Abe McKay
0,Abigail Karp
0,Arianna Aldebot
0,Charles Stratton
0,Peter Zellman
0,Sarah Tenpas
0,Skylohr Taylor
4,Austin Benavides
5,Suk lyn Lim
7,Zachary Purdy
12,Simon Margolis
14,Dan  Greeley
17,Chris Godek
17,Noelle Nelson
23,Veera Sethuraman
44,Shane Tracy
66,Stephen Cockerill
97,Omar Cornejo-Esquivel
b,r,e,a,k
Alchemy,8
0,Alexis Whitaker
0,Alyssa Abbey
0,Anna Sciaruto
0,Charlie Capron
0,Lydia Auch
0,Malachi Wickman
0,Matthew Kissmann
0,James (Jim)  Boley
0,Lauren Byrne
0,Rebecca Plotnick
0,Thomas Kilmer
0,Tiffany Nguyen
0,Xinran Wang
2,Crystal Alton
5,Elliot Goodrich
5,Leilani Nelson
9,Eric Shaw
13,Brett Naul
13,Robert Barron
16,Thomas Konogeris
18,Daniel DeTone
33,Cathleen Hartge
44,Alexander Lloyd-Evans
48,Hannah Gannon
66,Montana Roberts
80,Nick Petru
99,Amanda Karakoudas
b,r,e,a,k
Megalodon,17
1,Laura Morell
00,Christopher Roberts
04,Melanie Hock
06,Chrissy Shuh
07,Marta Shocket
08,Jonathan Brand
09,Aaron Gemmell
10,Vishnukarthik Lakshmanan
18,Chelsea Verhasselt
23,Arthur Gonigberg
26,Jon Stewart
34,Matthew Brown
38,Conor McNamara
40,Katelyn Sweeney
42,David Towey
44,Emily Healy
45,Jack Zhang
47,Sicong Li
72,Tim Lindberg
82,Malcolm Deck
83,John Moore
88,Niklas Beck
99,Xinzhi Zou
b,r,e,a,k
DR,16
0,Anna Luberoff
0,Anusha Nagabandi
0,Cong (Carl) Ma
0,Dani Carrillo
0,Erica Pool
0,Jacob Maynard
0,Jules Fogarty
0,Matthew Sheehan
0,Stephanie Caro
1,Halleh Balch
2,Katelyn Barrett
2,Marianne Olson
