Motown Throwdown 2019,Club - Mixed ,6,7,2019
Sylvania,OH,2019-07-06,2019-07-07
https://play.usaultimate.org/events/Motown-Throwdown-2019/schedule/Mixed/Club-Mixed
Hybrid,1
teamInfo,,"Ann Arbor, Michigan",,https://www.facebook.com/HybridUltimate/,https://twitter.com/HybridUltimate
01,Alex Edinger
02,Justin Perticone
05,Hannah Cheng
07,Elizabeth Benedetto
08,Dan Donovan
10,Connor Lukas
11,Jacob Scobey-Polacheck
12,Leah Cann
13,Benjamin Murphy
14,Tessa Champoux
15,Alex Bertoia
16,Marissa Ray
17,John Goodwin
20,Madalyn Simko
21,Christina Hanson
22,Michael Dagher-Margosian
27,Bailey Besser
30,James Highsmith
34,Annie Mei
35,Joseph Besser
42,Mike Ogren
61,Riely Kuznicki
84,Nathan Champoux
88,Mark Whitton
90,Eryn Ogren
94,Ryan Ivey
b,r,e,a,k
Liquid Hustle,9
teamInfo,,"Indianapolis, Indiana",http://www.liquidhustle.com,https://www.facebook.com/LiquidHustle?ref_type=bookmark,https://twitter.com/LiquidHustle
0,Benjamin Hannan
0,Briana Mork
0,Charlette Peyer
0,Chris Doehring
0,Freddie Dixson
0,Jared Peyer
0,Jesse Jenkins
0,Joseph Byerly
0,Kelsie Sparks
0,Noah Peyer
0,Sarah Haynie
0,Zion Huber
2,Trevor Russell
3,Catherine Soto Lozada
10,Nathan Bussberg
11,Emma Sirkin
11,Margaret Nelson
13,Nathan Hershberger
14,Sam Settlemyre
23,Julie Raduenz
25,Kyle Brun
33,Jalyn Baumgartner
35,Paul Avilez
42,Kelly Kerker
66,Collin Koury
69,Brittney Ballard
74,Collin McCartney
b,r,e,a,k
Petey's Scallywags,16
teamInfo,,"Columbus, Ohio",http://www.peteyspirates.com,https://www.facebook.com/peteyspirates,https://www.twitter.com/peteyspirates
0,Anna Longhurst
0,Cole Hughes
0,Danielle Johnson
0,Grace Osborn
0,Jacob Brown
0,Keiko Sjostrom
0,Mary Doherty
0,Matthew Wiebe
0,Meredith McCormack-Mager
0,Nathan Morgan
0,Wei Yang
5,Jake Kenniv
7,Alexandria Hughes
8,Harrison Davis
04,David Hazlett
20,Abigail Nypaver
26,Andrew Wiebe
26,Travis Hare
27,Aaron Keck
37,Tony Donato
99,Stephen Drew
b,r,e,a,k
Goose Lee,8
teamInfo,,"Cincinnati, Ohio",,,
02,Mary Timmons
05,Connor Shirley
06,Matt Woods
07,Michael Partusch
08,Timothy Hale
09,Dominic Camperchioli
10,Chris Alber
11,Sam Dreyfuss
12,Sophia Needham
13,John Cassidy
14,Kameron Horn
15,Aaron Bacon
18,Kegan Carroll
19,Samuel Fox
22,Liz Anderson
24,Julia Desrosiers
27,Emilee Armbruster
28,Sylvia Ulmer
29,Bailey Perkins
30,Justin Mattingly
31,Kit Carle
44,Malika Smoot
54,Jacob Fields
59,Daniel Brissette
66,Daniel Conrad
81,Kimberly Cooper
b,r,e,a,k
Skyhawks,17
teamInfo,,"South Bend, Indiana",,https://www.facebook.com/Skyhawks-427022961197953/,
0,AndY LaFree
0,Jessica Price
0,Sean McGuinness
00,William Theisen
00,Nicholas Botzer
00,Rex Miller
00,Ryan Ntende
00,Sarah Sutter
00,Joel Gerig
00,John Moore
00,Joshua Bustos
00,Luke Graber
00,Margo Wang
00,Michael Ntende
00,Aidan Friesen
00,Aidan Boyd
00,Drew Schramm
00,Jared Christophel
13,Danica Keefe
15,Tierney Miller
20,Jeff Martin
23,Morgan Miller
79,Hannah Scrafford
88,Franklin Mejia
b,r,e,a,k
Los  Heros,10
teamInfo,,"Bloomington, Indiana",,,https://twitter.com/HerosUltimate
0,Gus Klofta
1,Madilynn Werbianskyj
2,Jeremy Davis
4,Ryan Opal
5,Connor Regan
6,Megan Peplinski
7,James Quill
9,Shannon Regan
10,Benjamin Gerroll
14,Alicia Freel
15,Audrey Williams
16,Jacqueline Lai
17,Forrest Jackson
19,Benjamin Adams
22,Emily Wyckoff
24,Claire Soisson
25,Raymundo Lopez
32,Mackenzie Alameda
34,Geri McInerney
40,Jacob Lucas
43,Caleb Ritchey
44,Kye Butler
69,Abigail Stark
72,Trevor Cook
84,Vaughn Vargo-Alevras
91,Eric Johnson
b,r,e,a,k
Toast,2
teamInfo,,"Grand Rapids, Michigan",,https://www.facebook.com/toastultimate/,https://twitter.com/toastultimate
0,Brendan Schwalm
0,Carmella Vizza
0,Cian Johnson
0,Corie Auger
0,Edward Taylor
0,Jennifer Knister
0,Madeline Guimond
0,Marcus Prigge
1,Michael Mansfield
1,Sean Clark
2,Lucinda Toppen
5,Owen O'Neil
5,Ryan Lee
9,Anna McClurkan
13,Brian Keefe
14,Trevor Polisuk-Balfour
15,Brittany  Dooley
16,Samantha Phillips
19,Aaron Riess
20,Zach Jawahir
22,Jamie Petroelje
29,Jayleen Rossi
54,Aaron Schwieterman
84,Michael Weber
92,Greg Hensen
99,Mya Hernandez
b,r,e,a,k
EMU,18
teamInfo,,"Evanston, Illinois",,,
0,Andrew Patel
0,Cindy Mei
0,Jacob Wham
0,Jordan Brooks
0,Kenneth Allen
0,Samantha Cohen
0,Talia Willmert
1,Sarah Johnson
12,Taylor  Pochetti
15,Max Moore
19,Anna Scarbrough
25,Hindeke Tewodros
41,Christian Rozolis
44,Grace Young
85,Hunter Latson
88,Jason Paul
88,Catherine Chen
99,Joe Harari
b,r,e,a,k
Prion,7
teamInfo,,"Champaign, Illinois",modules/common/www.prionultimate.com,,
0,Alli Young
0,Cora Wessman
0,Eden Brewer
0,Gabriel Posluszny
0,Gregory Schwarz
0,Katherine Koch
0,Maria Janina Sarol
0,Megan Brazelton
0,Michelle Lore
0,Rebecca Napoli
2,"Luisa ""RJ"" Ruge-Jones"
7,Laura Rolfes
9,Brittney Gorman
20,Scott Nelson
22,Andrew Almeter
29,Lucas Newman-Johnson
29,Jake Corley
42,Brandon Carrel
42,Manasven Grover
46,Anthony Heath
69,Eric Badger
74,Anthony Ruzzo
b,r,e,a,k
Mastodon,15
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/MastodonUltimate/?ref=aymt_homepage_panel,https://www.twitter.com/MastodonUlti
0,Anh Bao Tran-Le
0,Bethany Krasuski
0,Cam Keys
0,Courtney Botelho
0,Kendra Reams
0,Kristina Geiger
0,Kye Hanson
0,Luke Bodnar
0,Marika Witt
0,Peter Lin
0,Trevor Smith
0,Vikas Biliyar
1,Caitlin Clevenger
9,Sarah Mancina
13,Annalise Ho
13,Daniel Huncosky
19,Aric Doak
20,Noah Webster
33,Justin Chenevert
99,Lauren Bradshaw
b,r,e,a,k
Rocket LawnChair,6
teamInfo,,"Ann Arbor, Michigan",,,
0,David Backus
0,Erica Mehra
0,Ian Pearsall
0,Joe Kowalkowski
0,Lindy Torvinen
0,Loriann Hom
0,Cherie Netzloff
0,Melissa Herta
0,Toby Hartman
3,Croix Jastrow
4,Paul Versluis
9,Rachel Torrez
12,Ann Oldani
14,Nicholas Kraft
17,Andrew Foldesi
18,Ashley Pepple
23,Sara Herta
25,Rachel Cawkwell
28,Aidan Tank
31,Scott Hetu
36,Stephan Maxe
67,Stephen Bloetscher
88,Maria Aristizabal
b,r,e,a,k
Buffalo Lake Effect,3
teamInfo,,"Buffalo, New York",modules/common/www.nickelcityultimate.com,https://www.facebook.com/groups/50331329455/,
0,Alexander Holmwood
0,Benjamin Kammerman
0,Brandon Kahler
0,Daniel Wang
0,Dave Schneggenburger
0,Erica Stamboulian
0,George Scheibel
0,Greg Burganowski
0,Jennine Kanaby
0,Jessica Brownschidle
0,Jessie Chiello
0,Katie Bilicki
0,Miles McKey
0,Molly Booi
0,Paul Sperr
0,Robert Lindenthaler
0,Sarah Bryant
0,Timothy (TJ) Burns
