TCT Elite-Select Challenge 2019,Club - Men ,17,8,2019
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2019/schedule/Men/Club-Men/
SoCal Condors,1
0,Jonathan Helton
1,Michael Kiyoi
2,Seam Ham
3,Michael Tran
4,Scott Radlauer
6,Nathan Bridges
8,Nathan Ransom
9,Maxwell Hume
10,Sean McDougall
11,Steven Milardovich
13,Mark Leggio
14,William Turner
16,Zach Theodore
17,Kenrick Koo
19,Jeff Silverman
22,Wesley Groth
24,David Ritchie
27,Collin Gall
28,Bailey Wu
42,Marcel Osborne
44,Tim Okita
55,Tyler Bacon
80,Travis Dunn
81,Calvin Brown
84,Jesse Cohen
88,Samuel Fontaine
b,r,e,a,k
Chain Lightning,8
00,Daniel Sperling
01,William Lindquist
02,Austin Taylor
03,Matthew Knowles
04,Player Pierce
05,Michael Fairley
07,Zack Avello
08,Christian Olsen
10,Danny On
11,Kelvin Williams
12,Matthew Smith
12,Phillip Dougherty
13,Josh Turner
14,John Stubbs
16,Anders Olsen
17,Alexander Trautman
21,Jacques Perivier
22,Sean Sears
23,Sun Choi
26,Christian Gaeta
27,Paul Lally
67,Devin Waldrop
69,Bradley Seuntjens
81,Joseph Burns
82,Sam Batson
87,Trenton Spinks
99,Mac McClellan
b,r,e,a,k
Prairie Fire,12
02,Austin Barnes
03,Jeffrey Rehm
04,Joe Young
05,Bret Bergmeier
08,Allen Jones
09,Brooks Hidaka
11,Tim Robbins
12,Casey Aldridge
13,Jared VanLandingham
15,Cameron Hunter
16,Keaton Bowers
17,Joe Wheelock
18,Josh Manning
19,Thomas Schreiber
20,JT Stancil
21,Christian Simpson
22,Ryan Tuschhoff
24,Danny Kurz
27,Kyle Thompson
28,Wint Doering
34,Colin Beauregard
35,Ryan Irvin
38,Yipeng Wang
51,Ethan Sabado
67,Spencer Patterson
b,r,e,a,k
Red Circus,13
0,Brent Wallace
0,Breton McPhee
0,Brett Chiasson
0,Casper Macaulay
0,Evan Mercer
0,Grant MacDonald
0,Greg Webb
0,Liam Archibald
0,Luke Martelli
0,James McKenna
0,Stephen Creaser
5,David Archibald
16,Martin James
17,John Brown
19,Sam Cameron
56,Dennis Trainor
80,Hannes Becker
91,Andrew Johnston
b,r,e,a,k
Johnny Bravo,7
0,Mark Rauls
