Boston Invite 2019,Club - Men ,22,6,2019
Devens,MA,2019-06-22,2019-06-23
https://play.usaultimate.org/events/Boston-Invite-2019/schedule/Men/Club-Men/
DiG,1
teamInfo,,"Boston, Massachusetts",https://instagram.com/digultimate/,https://www.facebook.com/digultimate,https://twitter.com/digultimate
2,Ryan Dinger
3,Gabriel Colton
4,Tanner Halkyard
5,Noah Backer
6,Rocco Essex-Linehan
8,Michael Sender
10,William Stewart
11,Mat Little
12,Mac Hecht
13,Alex Liu
14,Andrew Hooker
16,Nathaniel Dick
17,Jonah Kurman-Faber
21,Ethan Bloodworth
22,Benjamin Tseytlin
23,Jeremy Bernier
24,Henry Babcock
25,Ilya Yudkovich
31,Ben Krupp
32,Spencer Diamond
33,Michael Dillard
42,Brent Lo
65,Topher Davis
97,Alex Dagley
99,Josh Markette
b,r,e,a,k
Red Circus,8
teamInfo,,"Halifax, Nova Scotia CA",,https://www.facebook.com/rcultimate/,https://twitter.com/rcultimate?lang=en
0,Greg Dennis
0,Stephen Creaser
00,Breton McPhee
01,Greg Webb
05,David Archibald
07,Cooper Toogood
09,Grant MacDonald
11,John Snow
16,Martin James
17,John Brown
19,Sam Cameron
21,Felix Zhou
24,Alan Schneider
27,Brent Wallace
28,Brett Chiasson
30,James McKenna
54,Luke Pitts
56,Dennis Trainor
80,Hannes Becker
81,Casper Macaulay
83,Garrett Jung
89,Stephen Snow
91,Andrew Johnston
99,Evan Mercer
b,r,e,a,k
Deathsquad,9
teamInfo,,"Needham, Massachusetts",,,https://www.twitter.com/Death_SquadUlt
0,Asher Lehrer-Small
0,Matthew Johnson
2,Henry Brecher
3,Jonathan Young
4,Matthew Barnes
7,Tom Bassett
8,Sam Dushay
12,Adam Newman
14,Henry Kapp
15,Ethan Nash
24,Brendan Chambers
27,Bryan Rothenberg
29,Dan Hourigan
38,Matt Caswell
39,Matthew Cote
44,Brian Clarkson
80,Joseph Kane
b,r,e,a,k
Club M - Magma,16
teamInfo,,"Montreal, Québec CA",http://www.multimate.club,https://www.facebook.com/ClubMUltimate/,
0,Charles Guay
0,Charles Richards
0,Dany Fortin
0,Emile Riel-Proulx
0,Etienne Lamarche
0,Alexandre Labrie-Chausse
0,Antoine Faucher
0,Gabriel Gefter
0,Louis Rivet-Préfontaine
0,Ludovic Cao
0,Marc-Alexandre Houle
0,Philippe Garand
0,Henri Labonté
0,Ian Côté
0,Samuel Perras
3,Georges-Emile Cote
15,Raphael Salvas
21,Arthur Limoges
29,Jacob Duquette
84,Félix Pelletier
b,r,e,a,k
Sprout,2
teamInfo,,"Amherst, Massachusetts",,,
0,Ben Faust
1,Alex Sylvester
3,Ben Sadok
9,Dillon Monti
02,John Irvine
07,William Neff
10,Rustin Ingold-Smith
12,Gabriel Franklin
14,Miles Montgomery-Butler
17,Reuben Philip
18,Brett Gramann
19,Spencer Pitkin
21,Jeff Graham
24,Cameron Wariner
26,William Thornton
27,Amos Adams
31,Eddie Scott
33,Russell Wallack
42,Liam Gallinagh
47,Caleb Seamon
80,Chris Bartoli
88,Lukas Becker
96,Jared Scheinberg
b,r,e,a,k
Shade,7
teamInfo,,"New York, New York",,https://www.facebook.com/shadeulti/,https://www.twitter.com/shadeulti
0,Bennett Taren
0,Chris Nelson
0,Dean Acheson
0,Dustin Becker
0,Eric Tagliaferre
0,Eric Moore
0,Steven Calebrese
0,William Perry
0,Xaver Kandler
1,Taylor Rasco
2,Ryan Saffa
3,Brandon Shaw
3,Calvin Vannoy
6,Alexander Heath
13,Jay Sehgal
13,Nicholas Eng
16,Patrick So
16,Brett Kaiser
21,Mitchell Sayasene
23,Michael Agarenzo
36,Ethan Holmgren
40,Jordan Hupp
68,Chris Kelly
99,Stefan Dicker
b,r,e,a,k
Regiment,10
teamInfo,,"St Johns, Newfoundland/Labrador CA",,https://www.facebook.com/RegimentUltimate/,
0,Craig Stoyles
0,Jeffrey Summers
0,Keith Krieger
0,Ken Budgell
0,Michael Walsh
0,Mike Pineau
0,Nick Mitchell
0,Paolo Mascarin
0,Rob Fleming
16,Jordan Kavanagh
24,Nicholas House
91,Luke Dyer
b,r,e,a,k
Red Tide,15
teamInfo,,"Portland, Maine",,,
0,Calvin Stoughton
0,Gabe Doble
0,Justin Fereshetian
0,Olin Rhoads
0,Patrick Kelsey
0,Phillip Jacques
7,Davis Ritger
7,Jonathan Gilbert
11,Paul Rees II
23,Max Vogel
34,Cameron Jack
b,r,e,a,k
Club M - Manic,6
teamInfo,,"Montreal, quebec CA",modules/common/www.multimate.club,https://www.facebook.com/ClubMUltimate/,
0,Bryan Mallette
0,Dylan Lacombe Burgoyne
0,Étienne Favre
0,Jean-François Morin
0,Jean-Philippe Hamel
0,Thomas Dubois
