Black Penguins Classic 2019,College - Men ,30,3,2019
Manteno,IL,2019-03-30,2019-03-31
https://play.usaultimate.org/events/Black-Penguins-Classic-2019/schedule/Men/CollegeMen/
Black Penguins Alumni,1
teamInfo,,"Bourbonnais, Illinois",,,
00,David Picone
00,JACOB RYAN
00,Ray Page
00,Robert Strohmeyer
00,Ryan London
02,Ryan Murray
27,Ryan Logan
36,Zac Carlton
42,John Quandt
72,Phillip Warren
b,r,e,a,k
Butler,17
teamInfo,Butler Bulldogs,"Indianapolis, Indiana",,,https://twitter.com/BUultimatedisc
0,Dillon O'Donovan
0,Thomas Pierce
11,Sean Thomas
12,Richard Ware
16,Harrison Hensel
17,Harry Winter
20,Robert Campbell
22,Toran Thompson
24,Alan Field
34,Ethan  Cunningham
48,Brendan Kelly
69,Aaron Conde
89,Colin Meade
99,Benjamin Rempfer
b,r,e,a,k
Olivet Nazarene,8
teamInfo,Black Penguins,"Bourbonnais, Illinois",http://www.blackpenguinsultimate.com,https://www.facebook.com/pages/Olivet-Nazarene-Black-Penguins/141726015948860?ref=ts&fref=ts,https://twitter.com/blackp3nguins
0,Caleb Hasselbring
0,Derrick McBride
0,Hudson Whittaker
0,Jackson Howell
0,Jacob Woodard
0,Jacob Griffith
0,Jeremy  McGrath
0,Justin Comfort
0,Nathan Wahrman
0,Spencer Tong
1,Andrew Bender
2,Kevin Cheney
3,Timothy Benedict
7,Michael King
15,Daniel Pietz
16,Jack Corcoran
19,Luke Wilson
23,Kyle Trojan
26,AJ McCasland
32,Jace Patacsil
33,Michael Yerge
35,Robert Schmalz
59,Jordan Verhulst
77,Robert Mueller
83,Ben Mannaioni
b,r,e,a,k
Indiana Wesleyan,16
teamInfo,2 Kings Ultimate,"Marion, Indiana",,https://www.facebook.com/IWUultimate,https://twitter.com/IWU_Ultimate
coaches,Zakk Mabrey
0,Grant Armstrong
1,Caleb Davis
2,Daniel Whetlor
3,Ben Kintner
5,Isaac Huff
7,David Hulings
11,Caleb Mikolajczyk
12,Joel Kellum
14,Quinten Laytham
15,James Snyder
17,Morgan Miller
21,Jessica McDonell
22,Cameron Newman
24,Connor Van Farowe
35,Gavin Wall
41,Alexander Henry
b,r,e,a,k
Southern Indiana,9
teamInfo,Fusion,"Evansville, Indiana",http://usiultimatefrisbee.weebly.com/,,fUSIonFlatball
0,Johnroy Curry
0,landon winstead
01,Bret Fleetwood
