Northeast College Mixed Regional Championship,College - Mixed ,2,11,2019
https://play.usaultimate.org/events/Northeast-College-Mixed-Regional-Championship-2019/schedule/mixed/College-Mixed/
Somerville,1
0,Benjamin Kass-Mullet
0,Caleb Seamon
0,Isabella Lombino
0,Jerry  Wang
0,Molly Lipman
0,Ryan Megathlin
0,Samuel Saron
1,April Weintraub
1,Henry Caron
3,Margo Urheim
4,Anthony Goss
6,Justinne Guarin
9,Jordan Bricknell
10,Nikhil Bhatia-Lin
11,Aaron Epstein
19,Jac Carreiro
19,Emily Decker
22,Rosanna Vitiello
23,Claire Dunn
27,Charles Caron
33,Fernanda Brena
66,Miranda Briseno
77,Bryce Walsh
97,Daniel Bronshvayg
b,r,e,a,k
Boston University,16
0,Aidan McCall
0,Bryan Zhang
0,Constanza Pena
0,Edmund Ruan
0,Elizabeth Diamond
0,George Holt
0,Jacqueline Kresse
0,Margaret Atkins
0,Michael Farrugia
0,Natalie Wheeler
0,Nilos Makino
0,Presley Simmons
0,Taya Christianson
2,Elizabeth Wu
10,Nevil Desai
19,Alex Fukuchi
24,Nathan Lucchino
27,Bryan Rothenberg
37,Allison Chien
73,Benjamin Kukura
b,r,e,a,k
Bates College,9
0,Luke Sedor Protti
00,Madison Liistro
00,Anna Helms
00,Cameron Brown
00,Clay Hundertmark
00,Tamsin Stringer
03,Nick Holmes
03,Grace Warder
04,William Davis
07,Reilly Dwight
13,Sophie Nahirny
14,Maddie Sirois
17,Sarah Delany
19,Harris Manganiello
23,Nora Finley
80,Adam Banks
81,Max Rein
b,r,e,a,k
Harvard,8
0,William Quan
00,William Hartog
00,Zachary Dietz
00,Vicky Xu
00,Victor Qin
00,Adam Park
00,Ashwin Krishna
00,Eliot Fenton
00,Marina Matsudaira
00,Mikel  Davies
00,Sarah Beckwith
15,Audrey  Sheehy
18,Eliza Scharfstein
69,Jordan Lee
69,Shelly Tsirulik
b,r,e,a,k
Brandeis University,17
0,Adam Dean
0,Allie Mundis
0,Jackie Mundis
0,Lauren Lindman
0,Micah Alexander
0,Sarah Abramson
14,August Soderberg
18,Noam Gumerman
20,Jacob Smith
97,Oliver Daniels-Koch
b,r,e,a,k
Middlebury (Upper),7
0,Allegra Molkenthin
0,Alyssa Brown
0,Anna Omizo
0,Asher Lantz
0,Benjamin Morris
0,Brooke Laird
0,Adin Insoft
0,Claire Babbott-Bryan
0,Ian Hanson
0,Josephine Bourne
0,Leo Sovell-Fernandez
0,Noah Fine
0,Rebecca Wishnie
1,Warren Lundsgaard
2,Raechel Zeller
6,Magnus Cleveland
7,Zach Levitt
11,Lily Barter
25,Adrienne Goldstein
26,Charles Caldwell
34,Tara Santi
69,Jack Landrigan
b,r,e,a,k
Dartmouth College,2
0,Chloe Fugle
0,Daniel Shen
0,Margaret Nichols
0,Shikhar Sinha
13,Oliver Chartock
19,Jackson Elder
69,Stephen Crowe
69,Hannah Marr
69,Connor Coale
69,Abby Ritterband
69,Alec Miller
69,Barrett Noone
b,r,e,a,k
Williams College,10
0,Benjamin Siciliano
0,Casey  Phalen
0,Corinna Rhum
0,Dominic Chui
0,Eli Miller
0,Elsa Bjornlund
0,Erica Gibble
0,Gray Livingston
0,Kirby Gordon
0,Lev Gordon
0,Louisa Nyhus
0,Nathaniel Munson-Palomba
0,Nicholas Servedio
0,Nicholas Weed
0,Petra Baldwin
0,Siri Bohacek
0,Sofie Netteberg
0,Tula Schapiro
0,Victoria  Pysher
14,Asher Kolman
22,Simon Kessel
41,William Newton
99,Kees Humes
b,r,e,a,k
Brown University,18
0,Abigail Shepler
0,Aidan Cassel-Mace
0,Ashley Battenberg
0,Chloe  Wray
0,Daniel Tompkins
0,Emma Kaufman
0,Guillaume Pagnier
0,John Graves
0,Mariko Kishimoto
0,Michelle Adler
0,Morgann Thain
0,Ronan Fitzgerald
0,Saoirse MaherGreene
0,Sarah Zylberfuden
0,Sophia Sordilla
0,Sophie Kush
0,Suji Kim
0,Talon Johnson
7,Nell Salzman
12,David Coady
13,Alex Liu
20,Claire McEwen
21,Alexander Philips
24,Jacques Nissen
42,Leo Gordon
b,r,e,a,k
MIT,15
0,Helen Li
00,Jiaming Cui
00,Kevin Ren
00,Kuo-An Wei
00,Andrew Churchill
00,Ashley Chen
00,Cynthia Ni
00,Eshaan Nichani
00,Mathew (Ganatra) Ganatra
00,Michael Ma
00,Munir Libos
00,Peter Rowley
00,Sarah Antilla
00,Tamara Brabson
04,Samantha D'Alonzo
27,Saroja Erabelli
81,Maggie Zhang
b,r,e,a,k
New Hampshire,14
0,Anna Botts
0,Brenna McNamara
0,Gabriella  Palermo
0,Jonathan Ells
0,Matthew Porter
0,Nathaniel Kelly
0,Sierra Lamphere
2,Kevin Kiernan
2,Colby Jacques
3,Thomas Stover
6,Robert Ricci
10,Tanner Hyslop
10,Leah Rubinstein
22,Bridget Bailey
24,Meghan Montgomery
25,Ivan Tran
28,Cole MacKinnon
30,Ethan Oglesby
b,r,e,a,k
Massachusetts,6
0,Adrena Seferian
0,Alexander Donadio
0,Eugene L'Heureux
0,Jaden Busch
0,Jared Scheinberg
0,Kitzia Diaz
0,Lauren Voccio
0,Sierra  Powers
0,Tess Johnson
3,Elana Sadok
3,Analise Castillo
5,Jacob Radack
7,Benjamin Juitt
9,Dillon Monti
11,Kate Terrell
13,Kat Brock
14,Gregory Oreste
17,Leoni Foster
21,Stella Wenczel
31,Eddie Scott
42,Liam Gallinagh
47,Ethan Smith
72,Joseph Sadok
87,Ian Miller
b,r,e,a,k
Cornell,11
0,Alex Lindsay
0,Casandra Moisanu
0,David Maniloff
0,Noah Schulman
0,Phoebe Lee
0,Roan Chadsey
0,Sabrina Xie
0,Sami Smalling
0,Thomas Zhao
0,Emily Lasher
0,Gabriel Curran
0,Grace McCartney
0,Leo Decter
0,Lydia Reiner
2,Maxwell Tomsick
7,Dena Behar
11,James Mullmann
13,Anna Goodman
13,Tomer Poole-Dayan
18,Vincent Calderon
18,Elliot Hare
69,Aaron Bu
97,Adele Kong
b,r,e,a,k
Drexel,19
00,Harry Chace
01,Francesca Corna
02,Josh Conlon
07,Hayden Feldscher
09,Angela Campanella
11,Kyle Shallow
14,Sophie Redila
15,Layne Dodge
17,Izzy Heal
18,Cameron Rabinowitz
21,Patrick Oniate
22,Dylan Smith
24,Mike Worth
25,Nolan Boyle
28,Simon Wakeley
31,Daniel Admirand
39,Inesse Hanna
77,Harrison Wittmeyer 
86,Alexander Vasserman
87,Andrew Seibert
b,r,e,a,k
Northeastern,3
0,Ashley Wong
0,Briana Ross
0,Derrick Salvatore
0,Duschia Bodet
0,Eva Power
0,Gabriella Fernando-McKinley
0,Henry Stock
