Southwest D-I College Men's Regionals,College - Men ,27,4,2019
San Luis Obispo,CA,2019-04-27,2019-04-28
https://play.usaultimate.org/events/Southwest-D-I-College-Mens-Regionals-2019/schedule/Men/CollegeMen/
Cal Poly-SLO,1
teamInfo,SLOCORE,"San Luis Obispo, California",http://slocore.com,https://www.facebook.com/slocoreultimate/,https://twitter.com/CORE_ultimate
coaches,Cody Mills
02,Chris Kaspar
05,Matt Miller
08,Dillon Whited
09,Nathan Pettyjohn
10,Jeremy Dolezal-Ng
11,Hudson Stuck
12,Ed Ryon
13,Theodore Watkins
14,Dean Otsuka
15,Allen Zhai
19,Conor Schofield
20,Sean Liston
21,Caleb Merriam
22,William Wilcox
23,Jake Thorne
24,Nate Johnson
27,Kenrick Koo
28,Morgan Sommer
31,Samuel Wedegaertner
33,Ian Sweeney
35,Justin Ting
42,Keaton Bates
52,Andrew Stratford
70,Emmet Holton
80,Tate Hoyer
81,Calvin Brown
87,Matthew Ryan
95,Jake Biancur
b,r,e,a,k
California-Santa Cruz,10
teamInfo,Slugs,"Santa Cruz, California",http://www.slugultimate.com/,https://www.facebook.com/slugultimate,https://twitter.com/slugultimate
0,David Woodfin
0,Eli Fay
0,Ethan Kleinman
0,Gilbert Chong
0,Ashton Paulus
0,Johnny Chen
0,Kai Schniedergers
0,Kristopher Rollert
0,Liam Jay
0,Liem Pham
0,Robert Parke
0,Roberto Alvaro
0,Roland Christ
0,Sachin Deepak
0,Tate Pieper
1,Joseph Chanin-Meiers
3,Aaron Kees
3,Xaul  Starr
5,Grady Watkins
7,Billy Fague
14,Justin Tsuchiyama
16,Sean Hyslop
17,Robert Gallagher
23,Annan Harray
24,Aaron Mercado
25,Simon Filippenko
26,Zack Renick
27,Aaron Hom
b,r,e,a,k
Las Positas,15
teamInfo,Hawks,"Livermore, California",http://www.lpcultimate.com,,
0,Clayton Hensley
0,Julian Abreu
0,Ryan Shephard
0,Stephen Johnson
7,Martin Hytonen
7,Eli Fischberg-Robinson
7,Zachary Wiegel
38,Jonah Taylor
44,Conor Bauman
98,Wyatt Berreman
b,r,e,a,k
California-Davis,8
teamInfo,Davis Dogs,"Davis, California",http://www.ucdavisultimate.com/,https://www.facebook.com/davis.dogz?fref=ts&ref=br_tf,
0,Anders Eckburg
0,Austin Joseph
0,Austin Lourie
0,Benjamin Elliott
