TCT Elite-Select Challenge 2019,Club - Women ,17,8,2019
Rockford,IL,2019-08-17,2019-08-18
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2019/schedule/Women/Club-Women/
Phoenix,1
teamInfo,,"Raleigh, North Carolina",http://phoenixultimate.com,https://www.facebook.com/PhxUltimate,https://twitter.com/PhxUltimate
coaches,Edwin Alcorn
0,Kristen Reed
1,Lindsay Soo
2,Savannah Erwin
3,Lyra Olson
5,Jessica Jones
6,Qing (Jenny) Wei
8,Georgia Tse
9,Jinny Riedel
10,Emma Peaslee
11,Dawn Culton
12,Katie Backus
13,Amanda Murphy
14,Lyla Stanland
15,Ashley Powell
15,Carmen Tormey
20,Bridget Mizener
21,Kyra Catabay
22,Anne Worth
25,Judy Ledlee
28,Claire Revere
31,Anna Ceschi
42,Rebecca Fagan
57,Elisabeth Parker
58,Rowan Jaynes
62,Becky Widmayer
66,Jackie Wang
b,r,e,a,k
LOL,12
teamInfo,,"Oakland, California",,,
0,Anneli Andersson
0,Caroline Buhse
0,Emily Tucci
0,Katherine Wilson
0,Krista McDonald
0,Marlena Hartman-Filson
0,Megan Molteni
0,Megan Andrews
1,Carol Chen
3,Loryn Kanemaru
5,Anne Gordon
7,Katie Ogden
8,Rachel Habbert
13,Arlie Stern
14,Mei Bruist
16,Jennifer Founds
22,Sarah Carnahan
23,Remy Schor
27,Christina Contreras
27,Ness Fajardo
28,Sheeva Slovan
71,Angela Lin
b,r,e,a,k
Grit,8
teamInfo,,"Washington, District of Columbia",https://gritultimate.wordpress.com/,https://www.facebook.com/GritUltimate,https://www.twitter.com/GritUltimate
coaches,Samantha Broaddus
0,Amy Wickner
0,Anne Price
0,Grace Riley-Adams
0,Grace Champion
0,Jillian Du
0,Kate Trenerry
0,Claire Smullen
0,Elena Rubino
0,Meghan  Bartlett
0,Molly Barlow
0,Nami Sumida
0,Neena Kashyap
0,Paige Nelson
0,Sarah Buxbaum
0,Shannon Tsai
0,Shirlee Wohl
5,Khin  Kyaw 
8,Anastasia Mark
9,Maria Pascale
10,Sarah Pagan
17,Elizabeth Pugh
17,Kristie Kelly
17,Juliet Bishop
37,Carolyn Clendenin
47,Marlena Luhr
64,Lukiih Cuan
64,Becca Arbacher
b,r,e,a,k
Heist,13
teamInfo,,"Madison, Wisconsin",http://heistultimate.com/,https://www.facebook.com/heistultimate,https://twitter.com/HeistUltimate
02,Sabrina Hoffman
04,Ellie Daniels
05,Rose Glinka
06,Alexandra Hu
07,Sammi Wong
08,Adrienne Wells
11,Maya Banks
12,Emily Orner
13,Brittney Kokinos
14,Rachel Enyeart
16,Margaret Walker
17,Cassandra Doody
20,Lauren Perucco
21,Tenley Abbott
22,Alex Ballinger
24,Camila Flowerman
26,Kayla Patterson
27,Kelly O'Connor
30,Jean Huang
40,Amelia Cuarenta
70,Charlotte Francoeur
84,Sara Stuedemann
b,r,e,a,k
BENT,11
teamInfo,,"New York, New York",http://bentultimate.weebly.com,https://www.facebook.com/bentultimate,https://www.twitter.com/BentUltimateNYC
0,Amanda Dobbyn
0,Brittany Kaplan
0,Elissa Sutherland
0,Elizabeth Merritt
0,Jessica Whelan
0,Julie Xia
0,Kayla Seeger
0,Lauren Woods
0,Janine Hlavaty
0,Melanie Sawyer
0,Wei Gao
4,Jessica Shatkin
5,Margo Cody
6,Mary Zhong
07,Luisa Maria Neves
11,Emma March
14,Michelle Landis
18,Abagael Cheng
19,Megan Randall
88,Nastasia Tangherlini
b,r,e,a,k
Rival,2
teamInfo,,"Columbus/Ann Arbor, Ohio",http://www.rivalultimate.com/,https://www.facebook.com/rivalultimate/,https://twitter.com/RivalUltimate
coaches,DeAnna Ball
0,Paige Soper
02,Lucy Bender
03,Grace Conerly
05,Stephanie (Stevie) Miller
06,Corinn Pruitt
07,Sara Nitz
08,Becky Moore
09,Janine Walker
10,Kristen Smiach
11,Tracey Lo
13,Lake Fleming
14,Sharon Yee
15,Brittany Wright
16,Lilly Mendoza
18,Caitlin Harley
19,Laura Soter
20,Sophia Knowles
22,Elizabeth Lehman
28,Emma Schroder
30,Mackenzie Fazekas
37,Kari Paine
38,Jennifer Perry
42,Meg Duffy
83,Zoe Hecht
99,Iris Javersak
b,r,e,a,k
Underground,7
teamInfo,,"Seattle, Washington",,https://www.facebook.com/SeattleUnderground,https://twitter.com/UG_Seattle
coaches,Nora Carr,Frank Nam
01,Jessica Spaulding
02,Alexa Yadama
04,Nicole Cramer
05,Tiffany Phan
07,Taylor Hartman
09,Nina Janjic
10,Julia Johnson
11,Nora Landri
12,Katie Raynolds
14,Madeline Stephenson
15,Noel Hanzel
16,Alyssa Worsham
19,Meagan Brown
20,Grace Noah
23,Anh-Thu Chang
25,Elise Rasmussen
26,Emily Zukowski
27,Marlie Somers
31,Ikran Elmi
32,Allison Kahn
33,Catherine (Cate) Roscoe
45,Alyssa Kelly
47,Anne Silver
77,Jillian Goodreau
80,Emma Kahle
88,Julia Wilkins
b,r,e,a,k
Wicked,14
teamInfo,,"Kansas City, Kansas",modules/common/Wickedultimate.com,https://www.facebook.com/kcwickedultimate,https://twitter.com/WickedUltimate
0,Ashley Newson
0,Grace Castro
0,Hannah Volpert-Esmond
0,Kendra Norton
0,Laurel Thompson
1,Ashleigh Buch
2,Christina Baker
5,Courtney Walbe
5,Taylor Cauthon
6,Jill Iwanski
8,Stephanie Rupp
9,Caitlin Lisk
11,Jordan Warren
13,Malaina Piyassaphan
14,Sowmya Ragothaman
14,Janani Ragothaman
