Meltdown 2019,College - Men ,23,3,2019
https://play.usaultimate.org/events/Meltdown-2019/schedule/Men/CollegeMen/
Marquette,1
0,Joseph Branca
05,Liam Johnson
06,Matthew Goetsch
10,Shane Kealy
11,Peter Christian
13,Nicholas Becker
22,Jordan Liff
24,Jack Drolen
25,Jeffrey Weaver
28,John Smedley
47,Aidan Kellaher
51,Andrew Galgan
55,Timothy Nowak
72,Andrew Pecunia
76,Benjamin Nowak
77,Peter Dobbs
99,Eric Blais
b,r,e,a,k
Winona State,8
01,Jordan Killacky
03,Michael Sauer
05,Jacob Mutch
06,Lucas Bordeau
10,Paul Valley
12,Wyatt Schmitt
13,Jordan Benson
14,Aaron Turcott
15,Emmet O'Connell
17,Jacob Schlaefer
21,Preston McNamar
21,Nick Kendell
24,Pete Elholm
25,Cody Bernarde
28,Ryan Skow
34,Grant Fogt
39,Quinn Severson
47,Nick Kopp
b,r,e,a,k
Loyola-Chicago,9
0,Alec Anglin
0,Collin Dannheim
0,daniel kabat
0,Daniel Lore
0,Grant Carlson
0,Henry Martin
0,Honami Nelson
0,Hubert Gawin
0,Jack Hopper
0,Jared RAFFERTY
0,Jeffrey Aguilar
0,Jeremiah  Jacob-Dolan
0,Joseph Roarty
0,Julian  Brennan-Pomatto 
0,Karl Sheeran
0,Kyle Baker
0,Matthew Fix
0,Nic Nagata
0,Ryan Cunnea
0,Samuel Carlson
0,Tommy Oswood
0,Troy Richardson
3,Jacob Zeidner
4,Alec Ricker
16,Drew Byrne
b,r,e,a,k
Milwaukee School of Engineering,16
0,Caleb Hummel
0,Erick Jansen
0,Jackson Hussar
5,Zachary Barrow
7,Timothy Baldocchi
10,Sam Wilshire
11,Zachary Rian
11,Gavan Schotzko
12,Zach Yergens 
13,Mitch Mueller
17,Matthew Benedum
18,Brandon Stoller
21,Kyle Esser
22,Daniel Folos
23,Ricardo Flores
27,David Behning
28,Brad Johnson
33,Noah Wagenknecht
80,Philip Helwig
87,Cole Price
99,Daniel Lang
b,r,e,a,k
Coe,17
0,Kristjan Nixon
3,Henry Hoyhtya
6,Duy Pham
7,Frederick Moeslein
9,Sarah Reilly
10,Ryley McMahen
12,Tyler Bossom
13,Josiah  Oleson
18,Ronda Tannous
27,Michael Martinez-Szewcyk
29,Zoe Bakken-Heck
46,Keita Imoto
b,r,e,a,k
Wisconsin-Whitewater,2
0,Dominic Ottens
0,Kyle Ferris
0,Matthew  McNulty
0,Nick Goran
0,Nick Trent
0,Nikolas Yray
11,Nirwant Pangli
12,Andrew Wilks
13,Glenn Kaboskey
17,Grant Behrens
18,Riley Lamberty
19,Zach Ostermann
23,Grant Good
27,Shane Otis 
28,Benjamin Duval
33,Jonathan Humer
44,Alex Kreuger
69,Josh Kuse
71,Dylan Power
b,r,e,a,k
Valparaiso,10
0,Braden Updike
1,Kade  Kovarik
2,Benjamin Ratschan
5,Tanner Lee Gesell
6,David-Paul Schulze
8,James Rolland
9,Noah Niesen
11,Reid Gleason
12,Timothy Carpenter
17,Adam Albertin
21,Scott Stonis
23,Michael Boyajian
24,Adam Scheuman
24,Brian Barrett
28,Brian Schmit
34,John Readdy
37,Mike  Soldan
39,Nathaniel DeGoede
44,Samuel Rookstool
48,Vincent Leonard
63,Francisco Vazquez
97,Isaac Jauch
99,Kyle Langreck
b,r,e,a,k
Northern Illinois,7
0,Jesse Johansen
0,Jonathan Hernandez
0,Michael Wagner
0,Mitchel  O'Day
0,Thomas Belles
4,Colin McMahon
5,Ryan Lim
6,Ben Connors
32,Brandon Daliones
81,Alex Tam
97,Matthew Blauw
b,r,e,a,k
Illinois State (B),15
0,Mitch Hughes
1,Evan Powers
2,Dexter Straczek
3,Kollin Kaczynski
4,Alex Cawley
5,Aaron Zilinskas
7,Jason Belzer
9,Nathan Keeney
11,Josh Graunke
15,John McElmeel
17,Kevin Szczygiel
20,Phuoc-an Vo
21,Nick Williamson
22,Dominick Pietrantonio
23,Maksymilian Sobkowicz
25,Charlie Pomrehn
26,Luke Graf
31,Kyle Jones
32,Jonathan Gancarczyk
35,Zach Eiden
40,Nicholas Bernas
42,Abraham Lowy
51,Austin Mitchell
74,Kyle Ooley
81,Shivam Boghra
99,Joshua Sanabria
b,r,e,a,k
Marquette (B),18
01,Kyle Wolf
04,Matt McGuire
09,Nicholas Woida
14,William Scheuerman
15,Aaron Broeckert
30,Michael Starosta
32,Riordan Brennan
37,Joseph Miscimarra
40,James Steinhafel
41,Jason Moens
44,Luke Dibler
46,Tim Stirrat
52,Paddy Cogan
87,David Castillo
89,Denny Malec
b,r,e,a,k
Truman State,6
0,Sean Eberle
3,Austin Heineman
8,Jacob Hearst
07,Michael Anderson
10,Zac Dwyer
12,Benjamin Wolf
13,Andrew Hilliard
15,Jacob Jackson
16,Taylor Hession
