Philly Open 2019,Club - Mixed ,3,8,2019
Allentown,PA,2019-08-03,2019-08-04
https://play.usaultimate.org/events/Philly-Open-2019/schedule/Mixed/Club-Mixed
Birds,1
0,Brian Walsh
0,Brigett Echeverria
0,Christianna Wilbert
0,Christopher Kizis
0,Allison Dowling
0,Brandon Hughes
0,Danica Vasa
0,Evan Greenberg
0,Jack Pica
0,Leanne Beyel
0,Lindsey Stevens
0,Sarah Cotter
0,Scott Mulderig
0,Stacey Ng
0,Philip Iaccarino
1,May Patino
10,Patricia Burks
21,Christopher Cabot
31,Collin Bartoldus
33,Daniel Probst
35,Brian Tretter
38,Will Burks
96,Eric Cannella
99,Ryan Benincase
b,r,e,a,k
Soft Boiled,8
01,Francesca Corna
02,Zoe Lewis
03,Scott Neupauer
06,Jacob Doss
07,Katherine Neupauer
10,Daniel Stokes
12,Devin Malanaphy
14,Courtney Dougherty
17,Jeffrey Zhou
20,Annie Want
26,Alden Daniel
27,Katie Dai
31,Samuel Wedegaertner
36,Charlotte Edelstein
51,Victoria Spofford
64,Adam Alper
73,Faith Geating
77,Jez Dunnett
80,Tara Peng
87,Matt Kerrigan
b,r,e,a,k
Mashed,9
0,Andrea Urueta
0,Andrew Lunetta
0,Andrew Gotham
0,Christopher Losapio
0,Dan  McCune
0,Dimple Sangani
0,Elias Griffin
0,Jonathan Ballard
0,Kelly O'Mara
0,Kristine Carlsen
0,Olivia Brown
0,Ryan Osborn
0,Sara Robinson
1,Danielle Dattler
4,Alaina Wallace
5,Ty Torregrosa
8,Larry Fredsell
13,Cody Tipton
28,Allison Case
69,Joey Marzocchi
77,Brian Erwin
b,r,e,a,k
Baltimore BENCH,16
0,Christopher Murray
0,Grant Sullivan
0,Hannah Brown
0,Jackson Hickey
0,Janeanne Levenstein
0,Joshua Adler
0,June Naiki
0,Michael Mooney
0,Molly (Meredith) Finch
0,Patrick Leavey
0,Rebecca Hazany
0,Taylor Binnix
4,Robin Gilmore
6,Zanne Gogan
7,Kai Inoki
10,Nathan Hetzler
11,Travis Kneen
18,Rebecca Nicacio
29,Cameron Avelis
34,Benjamin DeForest
45,Ben Saeks
53,Elizabeth Urban
b,r,e,a,k
Turnstyle,17
b,r,e,a,k
Garbage Plates,2
0,Amanda Davis
0,Anissa Elahi
0,Bradford Montgomery
0,Cassidy Strassner
0,Chelsea Rybak
0,Douglas Urbino
0,Marisa Wilson
0,Matthew Rybak
0,Max Franklin
0,Nick Hunter
0,Sean Bowers
0,Talia Brewer
0,Emmett Wilson
0,Jonathan Shapiro
0,Ken (KJ) Dziak
10,Erin Sullivan
10,Thomas Mariano
11,Thomas Benati
11,Elizabeth LeeJohnson
11,Briana Newman
13,William Johnson
28,Angela Dana
30,Malachi Schultz
37,Danielle Callard
b,r,e,a,k
Unlimited Swipes,10
0,Alex Solomon
0,Angel Weng
0,Anthony Havens
0,Benjamin Raudabaugh
0,Greg Hulet
0,Helen Wu
0,Kelsey McDermott
0,Kimin Fox
0,Mazahidul Islam
0,Phillip Hou
3,Allie Hinsberg
12,Jonathan Bobkov
13,Antonio Valentin
13,Adam Wesley
14,Anjile An
17,Kevin Lai
21,Benjamin Korman
25,Patrick Sheil
26,Michole Vergeire
26,Arianna Munro
34,William Suitt
50,Caitlyn Horgan
73,Bohao Liu
95,Connor Dougherty
b,r,e,a,k
Philly Twist,7
0,Caroline O'Brien
0,Christina Holgado
0,Christine Siebels-Lindquist
0,Aly Goldberg
0,Dean Manno
0,Melissa Frankil
0,Michael Grzybowski
0,Marissa Coolidge
0,Matt Ferreri
0,Zachary Jacobs
2,Jamie McClintock
4,Emily Gallagher
7,Ben Fournier
22,Keith Zuckerman
28,Matthew Newman
33,Adam Federbusch
55,Timothy Brubaker
56,Lauren Feder
72,Eli Block
80,Christopher Cruz
81,Troy Zirkel
b,r,e,a,k
Stormborn,15
0,Alison Palmer
