Southeast Club Men's Regional Championship 2019,Club - Men ,21,9,2019
https://play.usaultimate.org/events/Southeast-Club-Mens-Regional-Championship-2019/schedule/Men/Club-Men/
Ring of Fire,1
00,Alexander Davis
00,Allan Laviolette
00,Anders Juengst
00,Andrew McKelvey
00,Austin von Alten
00,Bobby Ley
00,Connor Russell
00,Elijah Long
00,Jacob Mouw
00,Liam Searles-Bohs
00,Mischa Freystaetter
00,Roosevelt Ward
00,Stanley Birdsong
00,Walker Matthews
01,Justin Allen
04,Dillon Lanier
09,JD Hastings
10,Henry Fisher
12,Joey Cretella
13,Shane Sisco
15,Eric Taylor
21,Matt Gouchoe-Hanas
22,Solomon Yanuck
24,Noah Saul
28,Jack Williams
51,Tim McAllister
99,Joshua Hartzog
b,r,e,a,k
Lost Boys,8
0,Adam Russell
0,Michael Miller
1,Taylor Waters
1,Trip Crowley
2,Jonhenry Allen
3,Adam Bailey
5,Cleve Fisher
7,William Carmichael
8,Matthew Hogue
11,Hunter Nadeau
12,Johnnie Lynch
13,Jacob Luksik
16,Clarence Frady
17,Christopher Church
18,Chris Wilson
20,Chuck Turner
21,Stephen Trello
23,John Bonas
27,Joseph  Cammarata
41,Andrell Caldwell
43,Robert Locke
44,Reid O'Brien
45,Lukas McClamrock
64,Jacob Blackman
81,Deven Riley
b,r,e,a,k
El Niño,10
00,Charlie Smith
00,Juan Vila
00,Robert Dennis
02,Steven Kobrin
06,Frank Grande
10,Adam Salwen
10,Byron Fang
11,Christian Luneburg
12,Travis Catron
13,Alton Gaines
17,Shaun McLaughlin
20,Anthony Lopez
21,Anish Indhupuru
22,Edwin Sanchez
23,Jacob Larsen
23,Michael Fioramonti
25,Brandon Garcia
27,Matteo Focchi
30,Bradford Capuozzo
33,Alex Jacoski
35,Elijah Grady
42,Matt Helms
66,Scott Klein
69,Javier Sahagun
81,Harrison Slate
95,Luis Paz
99,Carlos Nunez
b,r,e,a,k
Swamp Horse,15
0,Daniel Buwalda
0,Daniel Silva
0,Glenn VanWinkle
0,Doug Roman
0,Joshua Newman
0,Mark Mendelevitz
0,Mieshko Debicki
0,Riley Robertson
0,Scott DeLuca
0,Shane Voshell
0,Walker Larson
2,Brandon Dessingue
3,Terence Murphy
5,Curtis Landry
7,Christian Villar
9,David Witte
11,Austin Simpson
11,Jacob Clary
19,Alex Mayes
33,Alex Martin
40,Jacob Bandoni
74,John Fonte
85,Eric Tumelty
87,Kerrington Witherspoon
b,r,e,a,k
Chain Lightning,2
0,Daniel Sperling
1,William Lindquist
2,Austin Taylor
3,Matthew Knowles
4,Player Pierce
5,Michael Fairley
7,Zack Avello
8,Christian Olsen
10,Danny On
11,Kelvin Williams
12,Matthew Smith
12,Phillip Dougherty
13,Josh Turner
14,John Stubbs
16,Anders Olsen
17,Alexander Trautman
21,Jacques Perivier
22,Sean Sears
23,Sun Choi
26,Christian Gaeta
27,Paul Lally
28,Devin Waldrop
69,Bradley Seuntjens
81,Joseph Burns
82,Sam Batson
87,Trenton Spinks
99,Mac McClellan
b,r,e,a,k
Turbine,9
0,Andrew (AJ) Collins
0,Clayton Carey
0,Daniel Gallagher
0,Joel Guerra
0,John Wilkes
0,Ramzi Cope-Musleh
0,Rashaad Saunders
3,Casey Degnan
3,Jacob Ramsey
4,Joshua Smith
4,Spencer Olmsted
4,Quinn Garner
13,David Huie
13,Bryan Conklin
14,Jakeem Polk
14,John Kost
21,Caleb Louie
21,Danny Wilson-Simpson
23,Taylor Crotts
32,Mac Schmidt
37,Lucas Meade
48,Brian Elgart
48,Santiago Velosa
49,Evan Crawford
66,Jeff Loperfido
73,Andrew Vande Berg
80,Benj Thomsen
b,r,e,a,k
Rush Hour ATL,16
0,Ahmaad Daniel
0,Bart Turney
0,Blaine Brown
0,Kiran Potula
0,Krishan Chib
0,Matthew Riddle
0,Samuel Trent
0,Stuart Hughes
3,John Boezi
3,Andrew Benton
7,Zaki Durry
