Easterns Qualifier 2019,College - Men ,16,2,2019
Little River,SC,2019-02-16,2019-02-17
https://play.usaultimate.org/events/Easterns-Qualifier-2019/schedule/Men/CollegeMen/
Johns Hopkins,16
10,Peter Olson
12,Alex Jones
14,William White
15,Matthew Freels
18,Jacob Flowers
25,Andrew Geisel
30,Ethan Baughman
40,Brennan Wessels
40,Skyler Swafford
44,Kyle Dolwick
80,William Fleming
91,Tanner Cook
b,r,e,a,k
Georgetown,4
0,Paul Castaybert
3,David Fitzpatrick
4,Zachary Hankin
8,Jackson Cochran
9,Henry Gunderson
11,Schuyler Colloredo-Mansfeld
12,Holden Corcoran
13,Ryan Kelly
18,Jack Romp
21,Jonathan Toib
22,Thomas Elbert
23,Jack Palaski
24,Michael Xiao
31,Blake Spangler
33,Luke Curran
35,Michael Stricker
45,Ian Woods
77,David Wilke
84,Harry Bellwoar
88,Kunwoo Shin
96,John Montesanto
98,Christopher Dunn
b,r,e,a,k
Case Western Reserve,5
0,Daniel Estrin
0,Glenn Matamoros
0,James Kennelly
0,Jarrell Imamura
0,Michael O'Brien
0,Ellis Wright
0,Wesley Lee
00,Zach Sedor
00,Ethan Liaw
00,Michael Connerton
00,Nick Longo
00,Pete Digre
00,Kunal Rath
00,David Casente
00,Dmitriy Estrin
00,Adam Cox
00,Benjamin March
05,Bryan Dunbar
10,Evan Haug
37,Ellis Saupe
51,Andrew Thompson
63,Ben Alexander
b,r,e,a,k
New Hampshire,20
02,Kevin Kiernan
03,Thomas Stover
05,Noah Phillips 
06,Rocco Essex-Linehan
10,Tanner Hyslop
12,Nick Pollak
15,Luke Tighe
16,Robert Ricci
17,Kevin Cusick
18,Austin Butler
22,Christian Lamers
27,Nathaniel Kelly
30,Ethan Oglesby
42,Jonathan Ells
b,r,e,a,k
Elon,13
0,Amon Ferrell
0,Carson Blythe
0,Joshua  Wimer
0,Jonathan  Duen
0,Michael Lesmez
0,Remy Benzel
4,Ethan Gould
5,Josh Strauss
00,Josh Poland
00,Mikey Golaski
00,Kyle Cho
00,Liam Brailey
00,Matthew Oertel
00,Sam Alston
00,Alex DiMassimo
00,Wil Fiegoli
00,Daniel Ryan
00,Daniel Byrne
00,Devin Lewis
00,Harrison Ornest-Leslie
00,Jack Libby
00,Jacob  Wheeler
00,Jake Parrish
00,Jake Brewster
00,Jesse Newman
00,Christofer Moreira
00,Christopher Ervin
00,Andy Galkin
00,Austin Kreeger
00,Ben Helpin
02,Garrett Wibbelsman
16,Blake Fang
24,Connor Whiffen
36,Peter Brennan
49,Matthew Minford
87,Thomas Murphy
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Connecticut,Dayton,12,9,"02/16/2019, 09:00",Pool A,Final
Tennessee-Chattanooga,Johns Hopkins,7,13,"02/16/2019, 09:00",Pool A,Final
Connecticut,Tennessee-Chattanooga,12,9,"02/16/2019, 10:45",Pool A,Final
Virginia,Johns Hopkins,11,12,"02/16/2019, 10:45",Pool A,Final
Johns Hopkins,Dayton,13,11,"02/16/2019, 12:30",Pool A,Final
Virginia,Tennessee-Chattanooga,12,11,"02/16/2019, 12:30",Pool A,Final
Connecticut,Johns Hopkins,8,11,"02/16/2019, 14:15",Pool A,Final
Virginia,Dayton,13,6,"02/16/2019, 14:15",Pool A,Final
Connecticut,Virginia,2,13,"02/16/2019, 16:00",Pool A,Final
Tennessee-Chattanooga,Dayton,12,4,"02/16/2019, 16:00",Pool A,Final
pool,Pool B
Georgia Tech,Indiana,9,12,"02/16/2019, 09:00",Pool B,Final
Clemson,George Mason,12,10,"02/16/2019, 09:00",Pool B,Final
Georgia Tech,Clemson,13,9,"02/16/2019, 10:45",Pool B,Final
Ohio,George Mason,13,5,"02/16/2019, 10:45",Pool B,Final
George Mason,Indiana,5,13,"02/16/2019, 12:30",Pool B,Final
Ohio,Clemson,13,7,"02/16/2019, 12:30",Pool B,Final
Georgia Tech,George Mason,13,10,"02/16/2019, 14:15",Pool B,Final
Ohio,Indiana,7,13,"02/16/2019, 14:15",Pool B,Final
Georgia Tech,Ohio,12,8,"02/16/2019, 16:00",Pool B,Final
Clemson,Indiana,5,9,"02/16/2019, 16:00",Pool B,Final
pool,Pool C
Vermont,Georgia Southern,13,4,"02/16/2019, 09:00",Pool C,Final
Purdue,Pennsylvania,13,11,"02/16/2019, 09:00",Pool C,Final
Vermont,Purdue,13,7,"02/16/2019, 10:45",Pool C,Final
James Madison,Pennsylvania,10,8,"02/16/2019, 10:45",Pool C,Final
Pennsylvania,Georgia Southern,12,9,"02/16/2019, 12:30",Pool C,Final
James Madison,Purdue,7,13,"02/16/2019, 12:30",Pool C,Final
Vermont,Pennsylvania,13,12,"02/16/2019, 14:15",Pool C,Final
James Madison,Georgia Southern,13,8,"02/16/2019, 14:15",Pool C,Final
Vermont,James Madison,11,9,"02/16/2019, 16:00",Pool C,Final
Purdue,Georgia Southern,13,3,"02/16/2019, 16:00",Pool C,Final
pool,Pool D
Georgetown,New Hampshire,W,L,"02/16/2019, 09:00",Pool D,Final
Tennessee,Elon,11,9,"02/16/2019, 09:00",Pool D,Final
Georgetown,Tennessee,8,13,"02/16/2019, 10:45",Pool D,Final
Case Western Reserve,Elon,10,5,"02/16/2019, 10:45",Pool D,Final
Elon,New Hampshire,8,11,"02/16/2019, 12:30",Pool D,Final
Case Western Reserve,Tennessee,8,13,"02/16/2019, 12:30",Pool D,Final
Georgetown,Elon,13,8,"02/16/2019, 14:15",Pool D,Final
Case Western Reserve,New Hampshire,13,11,"02/16/2019, 14:15",Pool D,Final
Georgetown,Case Western Reserve,8,7,"02/16/2019, 16:00",Pool D,Final
Tennessee,New Hampshire,13,8,"02/16/2019, 16:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Johns Hopkins,Virginia,9,15,"02/17/2019, 13:00",Finals,Final
Johns Hopkins,Purdue,15,13,"02/17/2019, 11:00",Semifinals,Final
Vermont,Virginia,10,15,"02/17/2019, 11:00",Semifinals,Final
Johns Hopkins,Georgia Tech,15,12,"02/17/2019, 09:00",Quarterfinals,Final
Purdue,Tennessee,13,10,"02/17/2019, 09:00",Quarterfinals,Final
Vermont,Georgetown,15,7,"02/17/2019, 09:00",Quarterfinals,Final
Virginia,Indiana,14,13,"02/17/2019, 09:00",Quarterfinals,Final
bracket,3rd Place
Purdue,Vermont,14,15,"02/17/2019, 13:00",3rd Place,Final
bracket,5th Place
Tennessee,Georgetown,13,15,"02/17/2019, 13:00",5th Place,Final
Georgia Tech,Tennessee,6,15,"02/17/2019, 11:00",5th Place Semis,Final
Georgetown,Indiana,15,11,"02/17/2019, 11:00",5th Place Semis,Final
bracket,7th Place
Georgia Tech,Indiana,10,11,"02/17/2019, 13:00",7th Place,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
Clemson,New Hampshire,12,10,"02/17/2019, 13:00",9th Place,Final
Clemson,Pennsylvania,15,12,"02/17/2019, 11:00",9th Place Semis,Final
New Hampshire,Ohio,14,13,"02/17/2019, 11:00",9th Place Semis,Final
Connecticut,Clemson,12,13,"02/17/2019, 09:00",9th Place Quarters,Final
Pennsylvania,Case Western Reserve,11,8,"02/17/2019, 09:00",9th Place Quarters,Final
James Madison,New Hampshire,11,12,"02/17/2019, 09:00",9th Place Quarters,Final
Tennessee-Chattanooga,Ohio,13,15,"02/17/2019, 09:00",9th Place Quarters,Final
bracket,11th Place
Pennsylvania,Ohio,10,13,"02/17/2019, 13:00",11th Place,Final
bracket,13th Place
Case Western Reserve,Tennessee-Chattanooga,8,11,"02/17/2019, 13:00",13th Place,Final
Connecticut,Case Western Reserve,10,15,"02/17/2019, 11:00",13th Place Semis,Final
James Madison,Tennessee-Chattanooga,9,14,"02/17/2019, 11:00",13th Place Semis,Final
bracket,15th Place
Connecticut,James Madison,9,14,"02/17/2019, 13:00",15th Place,Final
b,r,e,a,k
pools,Consolation Pool
pool,Pool E
Dayton,Georgia Southern,14,12,"02/17/2019, 09:00",Pool E,Final
George Mason,Elon,12,13,"02/17/2019, 09:00",Pool E,Final
Dayton,Elon,14,15,"02/17/2019, 11:00",Pool E,Final
George Mason,Georgia Southern,10,15,"02/17/2019, 11:00",Pool E,Final
Dayton,George Mason,15,11,"02/17/2019, 13:00",Pool E,Final
Georgia Southern,Elon,14,15,"02/17/2019, 13:00",Pool E,Final
b,r,e,a,k
