Presidents' Day Invite 2019,College - Women ,16,2,2019
La Jolla,CA,2019-02-16,2019-02-18
https://play.usaultimate.org/events/Presidents-Day-Invite-2019/schedule/Women/CollegeWomen/
California-San Diego,1
teamInfo,UCSD D-Co Womxn's Ultimate,"San Diego , California",http://www.psychoultimate.com/,https://www.facebook.com/psychoultimate?ref=br_tf,@psychoultimate
coaches,Carlo Mosca,Alisha Stoun,Sheliemae Lai
02,Alexandra Diaz
04,Sara Zhang
05,Jessica Freeman
08,Sage Tanji
11,Avery Jones
14,Jessica Nguyen
16,Lauren Stuart
16,Madison Tenney
17,Anna Adams
18,Rebeca Ellis
20,Kelli Iwamoto
21,Emily Kunselman
25,Samantha Wool
31,Ava Hanna
35,Shaina Jewett-Wolf
43,Stacy Tran
45,Vijaya George
45,Lydia Smith
46,Zosalia Lee
47,Dena Elimelech
60,Leanne Go
64,Quinn Fujii
66,Pin-Hsuan Chen
69,Catherine Trevino
75,Marissa Hing
77,Charlotte Sue
92,Lauren Hanna
93,Kaitlyn  Kissner
96,Chantal Rabay
b,r,e,a,k
Western Washington,5
teamInfo,Chaos,"Bellingham, Washington",,https://www.facebook.com/pages/WWU-Chaos-Ultimate/374278315920245,https://twitter.com/WWUchaos
coaches,Alyssa Weatherford
4,Madison Brodahl
8,Tova Breen
01,Hue Tien
02,Riley Tauer
05,Delaney Adams
07,Eleanor Joselyn
10,Ruby Cassidy
11,Sonya Morris
13,Julia Downing
15,Macy Schelbert
16,Samiya Ismail
17,Madeline Gilbert
18,Vail Dark
20,Genisis Kommavongsa
21,Eleanor Heberlein
23,Paige Jeantette-Coca
47,sarah stoev
73,Ruby Volker
77,Emma Lindsay
b,r,e,a,k
Northwestern,13
teamInfo,GungHo,"Evanston, Illinois",http://nugungho.com,https://www.facebook.com/NUgungho,GungHoUltimate
0,Abby Jones
0,Caitlin Hayner-Slattery
0,Grace Hauser
0,Jessica Esteves
0,Kylie Chesner
0,Rachel Anderson
0,Cindy Mei
1,Sarah Johnson
3,Sara Gnolek
6,Samantha Cohen
7,Sydney Stelzer
8,Grace Goulson
16,Sarah Kim
19,Anna Scarbrough
20,Corinne Burger
25,Hindeke Tewodros
28,Talia Willmert
29,Jade Hostein
44,Grace Young
88,Catherine Chen
b,r,e,a,k
Oregon,2
teamInfo,Fugue,"Eugene, Oregon",http://oregonfugue.weebly.com/,https://www.facebook.com/Fugueultimate/,https://twitter.com/OregonFugue
coaches,Angela Tocchi
0,Takisha Tarvin
03,Chihiro Tokashiki
09,Zarina Rogers
11,Evelyn Reding
12,Kaiyana Petrus
15,Emily Fagan
17,Morgan Caldwell
19,Amy Turner
20,Kayla Walker
21,Kimberly Muth
24,Payton Anthony
26,Shaelynn Davis
33,Maya Otsuki
36,Madeleine Boyle
43,Ella Hansen
46,Emmy Hunt
55,Ava Jones
95,Rachel Hess
b,r,e,a,k
Vermont,8
teamInfo,Ruckus,"Burlington , Vermont",,https://www.facebook.com/UVMRuckus/,https://twitter.com/ruckusultimate
coaches,Daron Byerly,Sara Jacobi
0,Emily Bridgers
1,Charlotte Laseter
2,Dakota Hanke-Ledwith
3,Anna  Humphreys 
4,Greta Pellerin
5,Eliana Moskovitz
8,Caroline Green
11,Olivia Phillips
13,Bethany  Eldridge
15,Sarah Rose
18,Allison Huresky
19,Samantha Blumstein
21,Ellie Hasenohr
23,Mariz Mangundayao
24,Bettina Fahndrich
28,Megan Tammaro
29,Juliana Landis
31,Emma Massey
33,Ashley Brogan
42,Jessica Godes
b,r,e,a,k
California,14
teamInfo,Pie Queens,"Berkeley, California",http://www.piequeens.org,https://www.facebook.com/piequeensultimate,https://www.twitter.com/piequeens
01,Anna Wysen
02,Maia Griffith
03,Amy Holm
04,Aline Halliday
05,Valerie Hsieh
10,Bianca Champenois
12,Kathryn Carlson
13,Sydney Horanic
16,Jing Hui (Vanessa) Ng
17,Alison Mathews
18,Anita Mokkapati
20,Claire Toth
28,Cidney Weng
33,Jenna Krugler
37,Hannah Newcombe
40,Camille Moore
72,Zi Jun Kan
78,Miranda Jen
97,Zoe Luke
98,Janelle Lee
b,r,e,a,k
Texas,3
teamInfo,Melee,"Austin, Texas",http://texaswomensultimate.github.io/home/,https://www.facebook.com/utexasultimate/,https://twitter.com/txmelee
coaches,Shereen Rabie
02,Alysa Chiovatero
03,Domenica Sutherland
04,Cameron Bryan
06,Ivy Harrison
07,Madison Hiu
08,Sierra Jensen
09,Summer Wilson
11,Amberly Malone
12,Caroline OConnell
13,Jasmine Anand
14,Lauren Gregorczyk
18,Carolina Bayon
22,Emma Berrigan
28,Alana Hughes
29,Shannon Ray
30,Kathryn Raska
32,Megan Bell
33,Sanja Stojcic
44,Katia Krupa
47,Anna Hutton
64,Jessica Heighway
72,Hannah DeVault
b,r,e,a,k
Northeastern,11
teamInfo,Valkyries A,"Boston, Massachusetts",http://www.ultimate.neu.edu/women/,,https://twitter.com/ValksUltimate
coaches,Jason Adams
02,Brianna  Considine
03,Katharine Gilbert
05,Eleanor Patten
07,Lamia Farah
09,Duschia Bodet
11,Arielle Nelson
13,Ellen  Harsha 
15,Julianne Kloza
17,Anna Cullen
18,Natalie Hopkins
19,Isabel Tripp
25,Sophie Shen
28,Ariel Bloch
30,Nancy  Jin 
46,Sofia Horan
73,Clara Stewart
76,Emma Palacio
81,Jasmine Der
84,Gabriella Fernando-McKinley
91,Anna Sciaruto
b,r,e,a,k
UCLA,15
teamInfo,BLU,"Los Angeles, California",http://uclaclubsports.com/index.aspx?path=wuf,https://www.facebook.com/UCLABLU,https://www.twitter.com/blultimate
0,Angela  Lin
0,Anna Reed
0,Annie Whalen
0,Athena Lynch
0,Cameron Jewett
0,Hannah Daijo
0,Juliette Oliver
0,Sarina Morales
2,Emily Beck
3,Stephanie Yen
4,Katherine Jordak
5,Cameron Hastings
6,Malia Smith
7,Maddy Fisher
8,Francesca Clarke
9,Morgan Baxter
12,Sonia Lele
14,Amy Zhu
19,Erin Doyle
20,Moorea Henn
21,Audree Hsu
26,RT Kan
99,Olivia Alicea
b,r,e,a,k
Colorado,4
teamInfo,Quandary,"Boulder, Colorado",http://www.kaliultimate.com/,https://www.facebook.com/ColoradoWomensUltimate,https://twitter.com/Kaliultimate
coaches,Christina Mickle,Claire Chastain,Elliott Erickson
0,Tess Cartin
4,Mei Hecht
5,Rachel Wilmoth
6,Emma Capra
