2026 Select Flight Invite East,Club - Mixed ,25,7,2026
Sylvania,OH,2026-07-25,2026-07-26
http://play.usaultimate.org/events/2026-Select-Flight-Invite-East/schedule/Mixed/Club-Mixed
Union,1
teamInfo,,,,,
b,r,e,a,k
FlyTrap,10
teamInfo,,"Wilmington, North Carolina",,https://www.instagram.com/flytrap_ultimate?igsh=MTJ5ODBzYWZkYTI0cA==&utm_source=ig_contact_invite,
0,Allyn Holcomb
0,Colin Hines
0,Brenna McDannold
0,Danny Lemmen
0,Joseph Sharp
0,Jessica Cheu
0,John Synowsky
0,Jacqueline  Chivers
0,Mary Kopf
0,Sarah Hasch
0,Sophia Thayer
0,Maia Griffith
0,Rennie Crockett
0,Julien Hartmann
0,Kelly Funderburk
2,Braden Distel
5,Aaron Crockett
10,Tate Klauck
10,Luke Hancock
15,Brittani Isidoro
18,Jacob  Freedman
22,Matt Hunt
25,Jake Gallagher
88,Dalton Vestal
b,r,e,a,k
Steamboat,7
teamInfo,,"Cincinnati, Ohio",http://www.steamboatultimate.com/,https://www.facebook.com/steamboatultimate,https://x.com/cincysfb
03,Lauren DeMarks
05,Ryan Gorman
10,Brennan Nelson
13,Kristin Baxter
15,Cassandra Patterson
20,Nick Culver
21,Julia Desrosiers
22,Brittany Winner
23,Aaron Morris
28,Kemper Ackermann
29,Jocelyn Palyo
31,Laurel Shepherd
33,Jacob Vejar
35,Lauren Klein
50,Ryan Walker
51,Zion Oh
59,Maple Adkins-Threats
70,Carter Malott
78,Aidan Stevens
87,Mason Montgomery
94,Max Egendoerfer
b,r,e,a,k
CLX,16
teamInfo,,"Ames, Iowa",,https://www.facebook.com/profile.php?id=100086386637873,https://twitter.com/clxbttp
0,Ethan Levine
0,Niko Beauchamp
1,Camden Boyde
2,Logan Grothus
3,Elle Stewart
6,Tara Lamb
9,Charlie Hubbard
10,David Dalton
11,Jacob Badger
16,Marissa Glodosky
17,Emily Opsal
19,Kaitlyn Gehrels
25,Anna Erickson
29,Adam Levine
33,Sean Fjellman
40,Taylor Hanson
41,Brian Goode
42,Maeve Maher
52,Solomon Golden
61,Jayna Wanamaker
69,Jacob Thomae
71,Dayton Wright
b,r,e,a,k
Big Rig,8
teamInfo,,"Burlington, Vermont",,,
coaches,Beorn Morrow-Caron
0,Bryce Lublin
0,Ella Monaghan
0,Maren Hennessy
0,Mateo Bolen
0,Nevaeh Parrish
0,Willa Morales
3,Nico Gabby
4,Elsa Winslow
4,Wyatt Smith
9,True Hanson
9,Meribel Collin
10,Forrest Williams
13,Cale Ellingson
14,Tatum Cubrilovic
16,Seamus Dailey
17,Scout Harper
18,Ella Polli
22,Rita Narbonne
28,Declan Kervick
43,Vance Mader
50,Krane Davis
52,Jovan Strange
67,Innocent Ndikuriyo
b,r,e,a,k
RAMP,15
teamInfo,,"Chicago, Illinois",http://rampultimate.com/,,https://twitter.com/RAMP_ultimate
0,Benjamin March
0,Connor Dowd
0,Lydia Auch
0,Samuel DeVine
2,Letitia Ho
3,Ethan Jones
4,Justin Forman
5,Seokhee Burningham
8,ManHua Zhu
10,Nathan King
11,Julia Binder
14,Gina Stees
15,Caroline Bach
17,Anna Martinello
19,Emily Molloy
19,Kelly Kulig
20,Ellie Lind
21,Aaron Del Real
24,Courtney Rachke
30,Caleb Moran
32,Sean McSweeney
33,Christopher Asta
47,Penelope Wu
56,DeAngelo Barragan
71,Matt Gubernick
93,Katy Ross
b,r,e,a,k
'Shine,2
teamInfo,,"Nashville, Tennessee",https://www.nashvilleultimate.com/nashville-shine-mixed,https://www.facebook.com/nashvilleshineultimate,https://twitter.com/nashvilleshine
0,Elena Rubino
0,Dane Gore
0,Morgan Butts
00,Jeffrey Durrance
00,Kelsea LeBeau
00,Trip Adams
00,Mia Letterie
00,Nicolas Lanas
00,Rebecca Henley
00,Levi Branan
00,Katharine Gilbert
00,Jacob Flowers
00,Christopher Calhoun
00,Grace Castro
00,Grace Robinson
00,Adam Vinson
00,Avi Ghitterman
00,Carson Chamberlain
00,Chris Bauer
00,Benjamin Price
00,Cate McAfee
18,Stacy Lu
b,r,e,a,k
Chicago Parlay,9
teamInfo,,"Chicago, Illinois",https://www.notion.so/parlay-ultimate/Parlay-Ultimate-2025-96484c11d649494e9142e1933b28fce2,https://www.instagram.com/parlayultimate/,https://twitter.com/ParlayUltimate
0,Caitlin Pedraja
0,Christian Cameron
0,Alexandra Moxley
0,Andriana Tompary
0,Ethan Niedzwiedz
0,Faith Cramer
0,Jordyn Churchwell-Garcia
0,Joseph Palaran
0,Ricky Ramirez
0,Nate Pascale
0,Wengyin Ho
0,Varad Sant
0,Sukhmani Grover
0,Molly Bingham
1,Adam Klaus
6,Risa Umeno
10,Ricky Chung
15,Zach Kieffer
23,Jonathan Burrell
25,Elaine Sundberg
28,Gabriel Scheck
29,Mateo Liguori
47,Matthew Rodway
55,Char Bokhof
88,Julia Kasner
b,r,e,a,k
Pittsburgh Port Authority,3
teamInfo,,"Pittsburgh, Pennsylvania",https://www.instagram.com/portauthorityultimate/,,https://twitter.com/portauth0rity
coaches,Matthew Duffy,Annette Kukunas-Piper,Ryan Birchard
0,Kristin Dudley
1,Max Sheppard
4,Kailey Rugani
6,Darra Reppermund
7,Ryan Kindell
8,Vivian Shen
9,Patrick McMullen
10,Jake Murray
11,Harry Park
14,Jenna Nold
15,Dylan Best
16,Christopher Wohl
19,Haley Young
20,Lucius Christie
24,Alexander Thomas
25,Ian Piper
26,Griffin O'Neal-Freeman
27,Kit Asterin
32,Shani Rosenthal
33,Lexie Thomas
38,Ryan Ward
45,Kevin Nicholl
60,Miya Liang
66,Rachel Graber
97,Kasey Schock
99,Alex Warrington
b,r,e,a,k
Spice,14
teamInfo,,"Charlottesville, Virginia",https://www.instagram.com/spiceultimateva/,,
0,Ava Foulk
0,Christopher Messmore
0,Hannah Elledge
0,Arianna Lawton
0,Brian Walter
0,Emma Colavincenzo
0,Gregory Cho
0,Joseph Burton
0,Elisabeth Doty
0,Keila Strick
0,Matthew Callen
0,LeeAnn Dempsey
0,Joseph Dokken
0,Josh Rosenberg
0,Keisha Enriquez
0,Kelsey Bernal
0,Phillip Johnson
0,Sammy Calhoun
3,Franklin Ahrens
4,Lynn Mandeltort
5,Andrew Kennedy
11,Olivia Bearman
