Needle in a Ho-Stack 2026,College - Men ,14,3,2026
Oxford,OH,2026-03-14,2026-03-15
https://play.usaultimate.org/events/Huckleberry-Flick-2026/schedule/Women/CollegeWomen/
North Carolina-Charlotte,1
teamInfo,,,,,
b,r,e,a,k
Florida State,6
teamInfo,,,,,
b,r,e,a,k
Georgia State,9
teamInfo,,,,,
b,r,e,a,k
South Carolina,10
teamInfo,,,,,
b,r,e,a,k
Tennessee-Chattanooga,2
teamInfo,,,,,
b,r,e,a,k
Appalachian State,5
teamInfo,Lakers,"Allendale, Michigan",,,
0,Aiden Webber
0,Blake Baumann
0,Brady Gallagher
0,Canon Kruger
0,Dennis Rennells
0,Gabriel Johnson
0,Garrett McFarlane
0,Isaac Haapala
0,Isaac Root
0,Jacob Timmer
0,John Beloskur
0,Jordan Gabrielse
0,Todd Leatherman
17,Grant Bush
b,r,e,a,k
North Carolina (B),8
teamInfo,SERF,"Gambier, Ohio",,,https://twitter.com/kenyonserf
0,Aidan Martin-Weinbaum
0,Elias Kradel
0,Jack Ross
0,Loic Poirier
0,Max Fishman
0,Nolan Iurino
0,Paul Snyder
0,Samuel VanderWeele
0,Miles Ford
0,Milo Goldmark
0,Travis Smith
0,Zayd Curtis
2,Henry Wopschall
3,William Margeson
4,Griffin Meyer
6,Aidan Cullen
12,August Greer
14,Henry Markwardt
15,Tobias Hughes
23,Nicholas Forsyth
77,Bryce Moretti
95,Conor Kennealy
99,Micah Arenstein
b,r,e,a,k
Miami (Florida),11
teamInfo,Boomland,"Champaign, Illinois",,,https://twitter.com/boomlandulti?lang=en
0,Andrew Ma
0,Anyu Tian
0,Bryce Kurfman
0,Jeffrey Lefkovitz
0,Gautam Kothavade
0,Jacob Ellens
0,Nathan Thomas
4,Andrew Brown
8,Sujay Subramanian
9,JT DeLongchamp
11,Ryan Hof
16,Michael Hu
19,Declan Delgado
21,Kevin Tanner
23,Erik Rothenberger
24,Rohil Saxena
29,Jeff Gao
30,Gang Xu
67,Robert Skrentny
78,Patrick Huang
84,Ben Lareau
88,Eric Ho
89,Luca Iasinschi
b,r,e,a,k
Franciscan,3
teamInfo,B.L.O.B.,"Cincinnati, Ohio",,,https://twitter.com/BLOB_ultimate
0,Benjamin Immerman
5,Emery Tullis
6,Cooper Varone
8,Josh Spacagna
9,Anthony  Caccavari
10,Bryson Fitzgerald
11,Nicholas Farmer
15,Alec Nederveld
18,Alex Huseman
20,Andrew Schmidt
22,Colin Bruggeman
55,Cameron Muttitt
70,Andrew Immerman
77,Jonas Dargis
78,Stephen Klayer
81,John Flynn III
99,Leo Holcomb
b,r,e,a,k
Alabama,4
teamInfo,Wizardz,"Muncie, Indiana",,,
02,Alex Konz
05,Adam Boesen
06,Harper Dotas
07,Parker Smith
10,Deeleiloh Allie
12,Joseph Henck
13,Caeden Moughler
14,Landon Weller
15,Charlotte Hollingshead
17,William Sullivan
20,Finley Bailey
22,dylan barkey
23,Nick Adams
27,Nathaniel Fryman
27,Jarrett Puma
32,Tyler Robertson
69,Matilyn Rhoades
73,Liam Robertson
88,Jakob Orth
b,r,e,a,k
East Carolina,7
teamInfo,Vikings,"Chicago, Illinois",,,
0,Adrian  Martinez-Jones
0,Arthur Gonzales
0,Evan Foster
0,Ty Hawkinson
b,r,e,a,k
Asbury,12
teamInfo,Riot Control,"East Lansing, Michigan",,,
0,Andrew Denney
0,Cameron Black
0,Jude Badreddine
0,Mason Dreizen
0,Nathan Hansen
0,Nicklas Geraci
0,Ran Zheng
0,Sam Ebihara
0,Trenton O'Dea
2,Gavin  Gutiérrez
2,Hung Nguyen
4,Callum Mellish
5,Gavin Lee
14,Lucas Venegas Cabrera
18,Tristan Bakker
24,Landon Gardella
41,John Eaton
64,Cameron Dick
81,Finn Weinstein
87,Naythan McKuras
b,r,e,a,k
Clemson,13
teamInfo,Cornland,"Urbana, Illinois",,,
0,Caleb McCloud
0,Charles Huang
0,Eric Zheng
0,Jason Szymanski
0,Juntao Liu
0,Michael Bauer
0,Sidarth Subramanian
7,Edward Lin
17,Kent Kampa
32,Shovan Jagadev
40,Maxwell Hong
42,Jonathan Kang
54,John Smolen
77,Nicholas Burns
90,Ryan Courtney
b,r,e,a,k
Wake Forest,18
teamInfo,Illinois) (Mastodon,"Wheaton, Illinois",https://www.wheatonmastodon.com,https://m.facebook.com/WheatonMastodonUltimate,https://twitter.com/wheatonmastodon
02,Forest Hines
07,Hudson Martin
09,Benjamin Adamson
10,Daniel Yi
12,DJ Swaner
14,Isaac Long
17,Kaelan Hou
18,Anthony Dao
20,William Acker
b,r,e,a,k
Embry-Riddle,21
teamInfo,Dirty Birds,"Daytona Beach, Florida",,,
0,Eldon Crossett
0,Jacob Johnson
0,Xander Klein
1,Josh Warner
4,Grant Michael Cashin Jr
7,Rumi Barsotti
11,Carl Dahlberg
12,Aaron Watt
13,Matthew Daly
17,Emily McGhee
19,Cooper Glasgow
20,Andrew Schmeiser
40,Sean Nguyen
42,Seth Tracy
48,Solon Marshall
81,Elizabeth Krueger
b,r,e,a,k
George Washington (B),22
teamInfo,George Washington Men’s Club Ultimate B,"Washington, D.C., District of Columbia",,,https://twitter.com/GDub_B
0,Ethan Lun
0,Henry Lin
0,Isaiah Emerson
0,Maxim Markiw
0,William Magnus
30,Cade Klimasewski
31,Ethan Teich
40,Yashaswin Shivaprasad
41,Kaito Kuwahara
43,Henry O'Boyle
48,Solomon Bernstein
64,Andrew McCoy
91,Isaac Adler
b,r,e,a,k
George Washington,14
teamInfo,George Washington Men’s Club Ultimate,"Washington, District of Columbia",,,https://twitter.com/Gdub_Ultimate
coaches,Bridgette Heine
0,Alejandro Plata
0,Alexander Winnett
0,Archer Martin
0,Daniel Sabados
0,Robert Welles
1,Levi Crossan
3,Connor Walsh
4,Joshua Lench
11,Mark Loeffler
13,Diego Asencio
23,Charles Walters
24,Daniel Davis
25,Myles Wasserman
27,Travis Lee
28,Benjamin Wood
32,Chris Briggs
36,Alexander Lagrant
37,Dill Eisendrath
78,Eytan Carolan
83,Thomas Dillon
b,r,e,a,k
Northeastern (B),17
teamInfo,Beastern,"Boston, Massachusetts",http://www.ultimate.neu.edu,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
0,Benjamin Marler
0,George  Knapick
