2026 Select Flight Invite East,Club - Men ,25,7,2026
Sylvania,OH,2026-07-25,2026-07-26
http://play.usaultimate.org/events/2026-Select-Flight-Invite-East/schedule/Men/Club-Men/
GOAT,1
teamInfo,,"St. Louis, Missouri",,https://www.facebook.com/STL-Lounar-109283871717037,https://twitter.com/STLlounar
coaches,Joseph Barzilai
0,Steven Ladenberger
0,Trent Wetherington
1,Hector Chaidez
3,Will Sanders
4,Ben Fuguet
5,Patrick LaVallee
8,Joel Brown
10,Mitchell O'Keefe
11,Dillon McGinnis
12,Jacob Geisen
14,Matthew Ball
15,Evan Sebastian
16,Sam Papin
17,William Voss
21,Campbell Tucker-Hill
23,Finn Hanson
23,Christopher Roberts
27,Josh Lowe
30,Jesse Zawitkowski
33,Jonathan Zawitkowski
40,Michael Lahmeyer
44,Bryan Dunbar
81,Kai Tang
89,Wesley Fransen
b,r,e,a,k
I-69,5
teamInfo,,"Indianapolis, Indiana",,,
69,Camilo Santiago
69,Christopher Sowards
69,Hank Havlin
69,Connor Modglin
69,Ethan Uribe
69,Ethan  Teske
69,Noah  Wahl
69,Joshua Wang
69,Jack Kempe
69,Matthew Weaver
69,Joel Close
69,Mace Chope
69,Nicky Walker
69,Jasper Suiter
69,Shawon Nixon
69,Sedrik Sweet
69,Richard Ware
69,William Lilegdon
69,Owen Woodward
69,Truman Daleke
b,r,e,a,k
Nighthawk,14
teamInfo,,"Phoenix, Arizona",,,
0,Kakeru Chiba
3,Joshua Saad
7,Jake Hageman
8,Elijah Salmon
03,Mario Verdugo
05,Brandon Watabe
09,Jake Paulson
12,Ethan Gaiser
14,Kento Araki
25,Jake Thomason
50,Samuel Besse
51,Nathan Page
59,Jeremy Harris
67,Taylor Gilman
72,Alex Van Der Geest
76,Connor Garrison
80,Travis Dunn
81,Caden Sigerud
88,Garrett Hable
89,Adam Whitton
b,r,e,a,k
Pittsburgh Temper,6
teamInfo,,"Pittsburgh, Pennsylvania",,https://www.facebook.com/pghtemper/,https://twitter.com/pghtemper
0,Aiden Landis
0,Alexander Kirages
0,David Berg
0,David Friedman
0,Ethan Campion
0,Joe Molder
0,Jacob Rollins
0,Sam Gombiner
3,Gage Silverman
3,Drew Girard
8,Wyatt Krisky
9,Joe Dosch
05,Noah Celuch
17,Chris Chang
20,Peter Zaccardi
24,Will Hoffenkamp
29,JJ McMonigal
29,Everitt Meer
31,Lucas Storm
47,Marcel Oliart
49,Dan Nichols
80,Maxwell Olesen
82,Lucas Henry
b,r,e,a,k
Mallard,4
teamInfo,,"Minneapolis, Minnesota",https://www.mplsmallard.com/,https://www.instagram.com/mplsmallard,https://www.instagram.com/mplsmallard
0,Alex Kraft
0,Alexander Vasil
0,Caleb Griffiths
0,Antonio Cervantes
0,George Lefkowicz
0,Jedidiah Pratt
0,Dylan Schearf
0,Isaac Boardman
0,Clay Rosselot
0,Cameron Schleeper
0,Johnny Haas
0,Luke Hobday
0,Venice Fan
0,Matthew Gunter
0,Kaiden Thiers
0,Quinn Lander
0,Maximus Gaffney
4,Luke Schultz
9,Andrew Yakes
10,Eli Hubbard
13,Josh Kautz
13,Luke Bleers
15,Noah Johnson
40,Calvin Ciorba
86,John Helgeson
88,Evan Ellis
b,r,e,a,k
Mint,11
teamInfo,,"Atlanta, Georgia",,,
0,Luke Huffman
1,Jeremy Langdon
7,Jacques Perivier
8,Johnny Griffing
9,Joseph Griffing
10,Skyler Pitts
11,Arjun Samudrala
14,Matthew Greenberg
15,Alex Liu
22,José  Caetano
25,Collin Hill
39,Jarrett Swanson
42,Jon Fey
47,David van Pelt
54,Aaron Schwieterman
58,John Baggenstoss
b,r,e,a,k
ELDL,13
teamInfo,,"East Lansing, Michigan",,,
0,Alexander Krantz
0,Collin Mead
0,Isaac Haapala
0,Jaden Hanold
0,Sawyer Fil
1,Peter Cauchy
1,John Peterson
5,Dom Zampardo
6,Jordan Gabrielse
7,Michael Mansfield
8,Dan Donovan
11,Jesse Cwengros
15,Alex Bertoia
18,Aidan Williams
19,Aidan Hale
21,Justin Von Kulajta Winn
22,John  Iannetta
24,David Zoldan
27,Jacob Pruitt
27,Colin Fremeau
28,Benjamin Clark
35,Mitchell Savage
45,Aiden Rudy
51,Joseph Cubitt
77,Matthew Martell
81,Noah Sawyer
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
GOAT,General Strike,15,9,"07/25/2026, 09:30",Pool A,Final
Colt,Mischief,15,4,"07/25/2026, 09:30",Pool A,Final
GOAT,Mischief,15,3,"07/25/2026, 11:30",Pool A,Final
Colt,General Strike,15,10,"07/25/2026, 11:30",Pool A,Final
GOAT,Colt,15,5,"07/25/2026, 13:45",Pool A,Final
General Strike,Mischief,15,8,"07/25/2026, 13:45",Pool A,Final
pool,Pool B
Florida Untied,Tanasi,15,13,"07/25/2026, 09:30",Pool B,Final
Flying Dutchmen,Hazard,15,10,"07/25/2026, 09:30",Pool B,Final
Florida Untied,Hazard,13,8,"07/25/2026, 11:30",Pool B,Final
Flying Dutchmen,Tanasi,15,10,"07/25/2026, 11:30",Pool B,Final
Florida Untied,Flying Dutchmen,0,0,"07/25/2026, 13:45",Pool B,Scheduled
Tanasi,Hazard,15,11,"07/25/2026, 13:45",Pool B,Final
pool,Pool C
Blueprint,Lounar,15,9,"07/25/2026, 09:30",Pool C,Final
I-69,Nighthawk,15,11,"07/25/2026, 09:30",Pool C,Final
Blueprint,Nighthawk,15,12,"07/25/2026, 11:30",Pool C,Final
I-69,Lounar,8,15,"07/25/2026, 11:30",Pool C,Final
Blueprint,I-69,15,8,"07/25/2026, 13:45",Pool C,Final
Lounar,Nighthawk,0,0,"07/25/2026, 13:45",Pool C,Scheduled
pool,Pool D
Mallard,Mint,15,11,"07/25/2026, 09:30",Pool D,Final
Pittsburgh Temper,ELDL,11,15,"07/25/2026, 09:30",Pool D,Final
Mallard,ELDL,15,12,"07/25/2026, 11:30",Pool D,Final
Pittsburgh Temper,Mint,15,3,"07/25/2026, 11:30",Pool D,Final
Mallard,Pittsburgh Temper,14,15,"07/25/2026, 13:45",Pool D,Final
Mint,ELDL,14,9,"07/25/2026, 13:45",Pool D,Final
b,r,e,a,k
brackets,Select Flight Invite East Championship
bracket,Championship
b,r,e,a,k
brackets,Placement Brackets
bracket,Third Place
bracket,Fifth Place Bracket
bracket,Seventh Place
bracket,Ninth Place Bracket
bracket,Eleventh Place
bracket,Thirteenth Place Bracket
bracket,Fifteenth Place
b,r,e,a,k
