Heavyweights 2026,Club - Men ,11,7,2026
Aurora,IL,2026-07-11,2026-07-12
https://play.usaultimate.org/events/Heavyweights-2026/schedule/Men/Club-Men/
Mad Men,1
teamInfo,,"Madison, Wisconsin",https://sites.google.com/view/madmenultimate,https://www.facebook.com/madmenultimate/,https://twitter.com/MadMenUltimate
0,Maddox Hill
0,Robert Mitchell McCarthy
0,Joshua Ho
0,Gabe Vordick
0,Noah Petersen
0,Oliver Bostian
11,Mac Weber
13,Alex Liu
15,Samuel Stark
25,Daniel Miller
27,Shane Otis
29,Jack Nelson
35,Valentin Post
55,Kelsen Alexander
66,Ted Schewe
77,Jack Walters-Medaris
b,r,e,a,k
Roundhouse,16
teamInfo,,"Chicago, Illinois",,,
0,Asa Kahle
0,Brian Jorgensen
0,Calvin Harris
0,Conrad Nguyen
0,Evan Dobson
0,Andrew Kindseth
0,Jackson Kiedaisch
0,Henry Carlisle
0,Charlie Hogg
0,Owen Schleif
0,James Karl
0,Mikey Golaski
0,Lachlan Bond
0,Javier Emilio Henriquez
0,Theo Conroy
0,Lucius Johnson
0,Noah Peters
3,Taye Bradford
4,Kaidan Mavros
7,Chad Villhauer
9,Marshal Paz
04,Jacob Ward
13,Glenn Kaboskey
19,Griffin Kelley
24,Anthony Scibelli
31,Hederik Kosten
b,r,e,a,k
DeMo,17
teamInfo,,"Des Moines, Iowa",,,https://twitter.com/demoultimate
b,r,e,a,k
Minnesota Superior U17B,32
teamInfo,,"Minneapolis, Minnesota",http://minnesotaultimate.org,,
coaches,Ian Andre-Knudsen,Lauren Ostrem,Shelby Meyer
1,Caleb Bortscheller
2,Emilio Lara Walen
3,Mateo Hernandez
4,Harrison Grommesch
5,Eliot Krohn
7,Eli Oken
9,Nolan Sanga
10,McCai Cummins
11,Aidyn Glaser
13,Chasen Gilbert
14,Neko Lee
16,Akio Griswold
18,Owen Kast
26,Ari Dahl
27,Mateo DiNino
30,Charlie Gunter
32,Gabriel Sammon
33,Ash Anderson
51,Culley Flood
89,Byron Becker
99,Ben August-White
b,r,e,a,k
Haymaker,2
teamInfo,,"Chicago, Illinois",https://www.chicagohaymaker.com,,
0,Ben Brink
0,Ian Falck
0,Dean Gottlieb
0,Joseph Sifakis
0,Maxwell Devine
1,Gabe Schoepke
5,Landon Evans
8,Cam Copeland
11,Girolamo S Kelly
23,Joe Cercello
78,Malachi Neil
b,r,e,a,k
Endgame,15
teamInfo,,"Cincinnati, Ohio",,,
0,Ben Min
0,Connor Bard
0,Maxwell Hanson
0,Peter Fu
18,Michael Bruggeman
26,Jack Havey
32,Chris Ellis
58,Kydan Young
77,Daniel Khoe
88,Owen Ball
b,r,e,a,k
UpRoar,18
