Metro East D-I College Men's Regionals,College - Men ,25,4,2026
Middletown,NY,2026-04-25,2026-04-26
https://play.usaultimate.org/events/Metro-East-D-I-College-Mens-Regionals-2026/schedule/Men/CollegeMen/
Yale,1
teamInfo,Süperfly,"New Haven, Connecticut",http://superfly.sites.yale.edu,https://www.facebook.com/SuperflyUltimate,https://twitter.com/yalesuperfly
0,Ben Lind
0,Giancarlo Angelats
00,Alec Brainard
00,Hanson Qin
00,Isaac Kleppner
00,George Bruce
00,Henry Sol
00,Henry Foushee
00,Javier Pardo
00,Jack Cloherty
00,Nic Spangler
00,Joaquin Fernandez Odell
00,Manuel Bosteels
00,Rishabh Garg
00,Matthew Dunlay
03,Owen Hathaway Hacker
04,Jack Griffin
08,John Kiely
13,Ben Chaimberg
15,John Timmers
19,Thomas Venarde
22,Robert Hodges
26,George Cheung
28,Eric Bormann
31,Aman Jain
33,Ayden Lee
47,Zaki Siraj
84,William McGlynn
99,Carson Punt
b,r,e,a,k
Connecticut,8
teamInfo,UConn Huskies,"Storrs, Connecticut",https://www.instagram.com/uconnultimate/,,https://twitter.com/UConnMensUlti
00,Alexander Manos
00,Andrew Wanzenried
00,Coleman Ross
00,Ari Sobel-Pressman
00,Daniel Drlik
00,Daniel Cirella
00,Jaden Sailer
00,John Carrenard
00,Jiahao Wang
00,Emmett Bandzak
00,Joel Harris
00,John Sylvain
00,Jack Fields
00,Philip Nelson
00,Sam O'Sullivan
00,Ryan Walsh
00,Malcolm Ferguson
00,William Turgeon
00,Yinan Cao
00,Ryan Matan
00,Mark Lumpinski
00,Phillip Purcell
00,Tommy Bennert
25,Davide Bussone
b,r,e,a,k
NYU,12
teamInfo,New York University,"New York, New York",,https://www.facebook.com/nyuhaze,https://twitter.com/NYUpurplehaze
coaches,Matthias Ling,Cara Sieber
00,Nicolas Wong
04,Miles Katz
05,Gary Chen
06,Pranav Chivukula
07,Andy Shi
08,Romeo Hendel
09,Nicholas DeFilippis
10,Sam Rawdon
11,Joseph Vadakkan
12,Lucas Xia
13,Ethan Wang
16,Justin Cheung
17,Zixin Xie
19,Kyle  He
20,Eddie Kim
21,Hewitt Ho
23,Alfardil Alam
32,John Fan
51,Benjamin Edidin
67,Michael  Ji
69,Zach Saidiner
73,Gavin Zhao
b,r,e,a,k
SUNY-Albany,13
teamInfo,SCAM,"Albany, New York",https://www.instagram.com/ualbanyultimate/,,
0,Abdulraouf Kablaoui
