Colorado Summer Solstice 2026 Part 2,Club - Mixed ,20,6,2026
Boulder,CO,2026-06-20,2026-06-21
https://play.usaultimate.org/events/Colorado-Summer-Solstice-2026-Part-2/schedule/Mixed/Club-Mixed
shame.,1
teamInfo,,"Fort Collins, Colorado",,https://www.facebook.com/shame.ultimate/,https://twitter.com/ultimate_shame
coaches,Marvin Vuong,Thomas Echols
0,Linda Jencyowski
04,Sarah Itoh
05,Danielle Love
06,Simon Montague
07,Robin Fassett-Carman
08,Shayna Brock
09,Sam Goldstein
11,Matthew Russell
13,Elizabeth Murphy
14,Jade McLaughlin
14,Mohammud Tilmo
15,Spencer Tibbs
19,O'Linda (Blaise) Sevier
22,Thomas Brewster
24,Megan Jameson
25,Marilyn Reich
29,Casey Wu
33,Alexandra Daniels
39,Sandy Brown
44,Edwin Finley
48,Aubree Dietrich
71,Cole Wallin
81,Joel Ives
88,Kasey Anderson
93,Carter Hawkins
97,Sarah Pesch
b,r,e,a,k
Oregon Scorch,8
teamInfo,,"Oregon, Oregon",,,
0,Avi Taylor
2,Sylvi Barnes
4,Neala Anderson
5,Amir Kaghazwala
8,Benjamin Whitenack
9,Andrew Akins
10,Braque Pike
11,Jackie Matonis
12,Sebastian  Williamson
14,Carol  Newton
15,Avery Laliberte
21,Nahlah Mkaouri
22,Alexander Vencill
23,Jedi Casas
29,Elliot Davis
33,Charlie Wagner
41,Nicholas Redmond
43,Aaron Abraham
56,Valerie Peacock
66,Amelie Steer
88,Rebecca Hamilton
89,Raina Kamrat
91,Jackie Riley
96,Sam London
97,Presten Berg
b,r,e,a,k
MOONDOG,11
teamInfo,,"Montana, Montana",,,https://twitter.com/MoondogUltimate
0,Abby Brown
0,Artie Battaglin
0,Beeman Rabut
0,Caldwell Armstrong
0,Ethan Yourd
0,Eva Santos
0,Erin Hannon
0,Cole Buller
0,Cooper Hubbard
0,Claire Kushnick
0,Lloyd Furuta
0,Sam Hines
0,Kari Shelkey
0,Madeline Guimond
0,Jake Ralston
0,Willow Purvis
0,Gracie Hietala
2,Jack Lokowich
3,Tyler Fritz
