Portland Kleinman 2026,Club - Mixed ,8,8,2026
Portland,OR,2026-08-08,2026-08-09
https://play.usaultimate.org/events/Portland-Kleinman-2026/schedule/Mixed/Club-Mixed
Lights Out,1
0,Sofia Murtaugh
0,Kauanoe Greene
1,Michael Palmer
11,Caleb Stanley
14,Cedric Petty Jr
21,Jae McLendon
26,Amber Yonamine
51,Andrew Ryan
85,Michael Stephen
99,Wei Shen Lim
b,r,e,a,k
Igneous Ultimate,14
teamInfo,,"Bend, Oregon",https://sites.google.com/view/bendultimate/club-teams/igneous-ultimate,,
coaches,Christopher Graham
0,Abraham  Bentley
0,Cassidy Miller
0,Ben Kogot
0,Christopher Graham
0,Emily Lasselle
0,Joe Nolan
0,Holland Bills
0,Grady Perkins
0,Erica Pon
0,Zach Starr
0,Silas Vossler
4,Wyatt Barnes
4,Bailey Borsuk
6,Josh Zylstra
13,Douglas Taylor
16,Melina Maltese
22,Nishant Biswas
50,Caitlyn Horgan
84,Anna Tinker
88,Robin Hayakawa
b,r,e,a,k
BOP,11
teamInfo,,"Seattle, Washington",,,
02,Linda Phan
03,Josh Rudolph
04,Nicolas Sherman
08,Danielito Prevost-Reilly
09,Dillon Cox
10,Lillian Montalvo
13,Kendra Fang
14,Rebecca Ferber
19,Jena Douville
21,Alyssa Joy De Guzman
22,Melanie Jochheim-Atkins
24,Clara Amorosi
27,Joshua Blome
33,Jon Abramson
52,Christopher Vandervoort
54,Samantha Sauerbrei
59,Michael Makar
60,Victoria Knutson
61,Jessica Pan
69,Keivaun Waugh
70,Jack Ceverha
96,Patrick Paulus
99,Jonathan Red
b,r,e,a,k
Hive,4
teamInfo,,"Portland, Oregon",https://www.instagram.com/hiveultimate?igsh=dnFmbXR2c2loOGZv,,
0,Pete Overright
0,Sienna Patton
2,Paul Telford
3,Ian Fouts
4,Katelyn Osborne
6,Ben Beckman
7,Devon Graham
8,Jeremy Randolph-Flagg
9,Allison Owen
10,Morgan Wilbur
11,Jonah Goldberg
12,Sierra Gray
13,Abby VanLeuven
14,Haley Bollier
15,Cameron Lamont
17,Mira Larrance
22,Timothy Wood
23,Elizabeth Kolb
27,Noah Martin
28,Marissa Bertuccio
29,Dean Romine
36,Abby Dunn
77,Mikah Keetch
88,Hank Munro
90,Samuel Perreth
92,Brian Paulus
b,r,e,a,k
Seattle Soft Serve,5
teamInfo,,"Seattle, Washington",,,https://twitter.com/SeattleSofties
0,Amanda Baker
0,Cece Hildreth
0,Jon Fok
0,Laura Manson
0,Luke Jesperson
0,Jessica Haga
0,Spencer Nelson
0,Erica Mehra
0,Leanne Beyel
0,Wyatt Lien
0,Philip Chan
0,Sean Fudenna
0,Marissa Look
3,Goda Raslan
7,Benjamin Canade
8,Sarah Ciambrone
21,Alex Fussell
26,Samuel Swenson-Reinhold
26,Niels Christoffersen
47,Aakar Mehra
60,Aidan Malone
66,Jennifer Norris
89,Sophia Scofield-Selby
99,Wade Hankin
b,r,e,a,k
Goose Run,12
teamInfo,,"Portland, Oregon",,,
0,Amelia Davis
0,Coye Gerald
0,Gabe Blaney
0,Samuel Kaufman
0,Kezha Neale-Sacks
3,Grace Alston
5,Georgia Corson
7,Izzy Quattrucci
8,Andrew Sakahara
9,Bethany Llewellyn
13,Ethan Gerds
18,Audra Bialik
21,John Allan
22,Wyatt Schrumpf
23,Riley Wunderlich
24,Lily Cahill
27,Leslie Boey
28,Anika Alschuler
31,Jeff Hagen
32,Evan Holliday
42,Ethan Quesada
77,Mette Peluce
81,Lena Freebury
83,Emmett Williamson
99,Kiarra Ko-Madden
99,Martis Artis
b,r,e,a,k
Grit City,13
teamInfo,,"Tacoma, Washington",https://gritcityultimate.carrd.co/,https://www.facebook.com/profile.php?id=100090202771262,https://twitter.com/GritCityUlti?s=20
0,Eve  Goddard
1,Nicholas Poolman
2,Aaron Phillips
4,Melissa Ostendorf
6,Nathalie Belmonte
7,Hailey Olafson
09,Zac Nix
11,Maya Kaizuka-Smith
14,Steven Villa
20,Ryan Cote
25,Savannah Cobb
26,Claire Su
27,Lydia Taw
33,Naren Fuller
35,Jeffrey Abeshima
39,Michael Leaumont
41,Joseph Cannistraro
42,Terence Moultrie
44,Dylan Rivers
88,Eleanor Hoekman
92,Jacob Keister
98,Nathan Palmer
98,Natalie Flick
99,Tiara Laurenne Manalo
b,r,e,a,k
s,t,a,g,e,s
pools,Kleinman pool play
pool,Pool A
Lights Out,Nova,15,8,"08/08/2026, 09:00",Pool A,Final
Choco Ghost House,VU,15,7,"08/08/2026, 09:00",Pool A,Final
Lights Out,Choco Ghost House,15,9,"08/08/2026, 11:00",Pool A,Final
Pegasus,VU,15,7,"08/08/2026, 11:00",Pool A,Final
VU,Nova,8,11,"08/08/2026, 13:00",Pool A,Final
Pegasus,Choco Ghost House,13,12,"08/08/2026, 13:00",Pool A,Final
Lights Out,VU,15,7,"08/08/2026, 15:00",Pool A,Final
Pegasus,Nova,8,14,"08/08/2026, 15:00",Pool A,Final
Lights Out,Pegasus,15,7,"08/09/2026, 09:00",Pool A,Final
Choco Ghost House,Nova,13,12,"08/09/2026, 09:00",Pool A,Final
pool,Pool B
Viking Blood,SkyLab,15,8,"08/08/2026, 09:00",Pool B,Final
Drip,Squid Inc.,13,11,"08/08/2026, 09:00",Pool B,Final
Viking Blood,Drip,15,9,"08/08/2026, 11:00",Pool B,Final
Heat Wave,Squid Inc.,12,14,"08/08/2026, 11:00",Pool B,Final
Squid Inc.,SkyLab,13,12,"08/08/2026, 13:00",Pool B,Final
Heat Wave,Drip,10,14,"08/08/2026, 13:00",Pool B,Final
Viking Blood,Squid Inc.,15,7,"08/08/2026, 15:00",Pool B,Final
Heat Wave,SkyLab,15,7,"08/08/2026, 15:00",Pool B,Final
Viking Blood,Heat Wave,15,11,"08/09/2026, 09:00",Pool B,Final
Drip,SkyLab,15,9,"08/09/2026, 09:00",Pool B,Final
pool,Pool C
Porch Bears,BOP,15,6,"08/08/2026, 09:00",Pool C,Final
Party Wave,Igneous Ultimate,15,7,"08/08/2026, 09:00",Pool C,Final
Porch Bears,Igneous Ultimate,15,8,"08/08/2026, 11:00",Pool C,Final
Party Wave,BOP,15,7,"08/08/2026, 11:00",Pool C,Final
Porch Bears,Party Wave,15,8,"08/08/2026, 13:00",Pool C,Final
BOP,Igneous Ultimate,8,13,"08/08/2026, 13:00",Pool C,Final
pool,Pool D
Hive,Goose Run,15,9,"08/08/2026, 09:00",Pool D,Final
Seattle Soft Serve,Grit City,15,10,"08/08/2026, 09:00",Pool D,Final
Hive,Grit City,10,13,"08/08/2026, 11:00",Pool D,Final
Seattle Soft Serve,Goose Run,15,8,"08/08/2026, 11:00",Pool D,Final
Hive,Seattle Soft Serve,15,12,"08/08/2026, 13:00",Pool D,Final
Goose Run,Grit City,11,7,"08/08/2026, 13:00",Pool D,Final
b,r,e,a,k
clusters,C/D pool crossovers
cluster,C and D crossovers
Porch Bears,Seattle Soft Serve,13,8,"08/09/2026, 09:00",,Final
Hive,Party Wave,10,15,"08/09/2026, 09:00",,Final
Igneous Ultimate,Grit City,8,12,"08/09/2026, 09:00",,Final
Goose Run,BOP,14,11,"08/09/2026, 09:00",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Champs
Lights Out,Party Wave,0,0,"08/09/2026, 11:00",Semis,Scheduled
Viking Blood,Porch Bears,12,13,"08/09/2026, 11:00",Semis,Final
bracket,3rd place game
b,r,e,a,k
brackets,5th Place
bracket,Fiv-als
Hive,Seattle Soft Serve,0,0,"08/09/2026, 13:00",Fivals,Scheduled
Drip,Hive,11,15,"08/09/2026, 11:00",Semi fivals,Final
Nova,Seattle Soft Serve,8,12,"08/09/2026, 11:00",Semi fivals,Final
bracket,7th place
Drip,Nova,0,0,"08/09/2026, 13:00",7th,Scheduled
b,r,e,a,k
brackets,Ninals
bracket,Ninals
Grit City,Squid Inc.,0,0,"08/09/2026, 13:00",Ninals,Scheduled
Choco Ghost House,Grit City,8,13,"08/09/2026, 11:00",Semi-ninals,Final
Squid Inc.,Goose Run,12,11,"08/09/2026, 11:00",Semi-ninals,Final
bracket,11th place
Choco Ghost House,Goose Run,0,0,"08/09/2026, 13:00",11th,Scheduled
b,r,e,a,k
clusters,13-18 crossovers
cluster,13-18 crossovers
Pegasus,Igneous Ultimate,15,8,"08/09/2026, 11:00",,Final
Heat Wave,BOP,13,10,"08/09/2026, 11:00",,Final
VU,SkyLab,15,10,"08/09/2026, 11:00",,Final
VU,Igneous Ultimate,0,0,"08/09/2026, 13:00",,Scheduled
SkyLab,BOP,0,0,"08/09/2026, 13:00",,Scheduled
Pegasus,Heat Wave,0,0,"08/09/2026, 13:00",,Scheduled
b,r,e,a,k
