Heavyweights 2026,Club - Mixed ,11,7,2026
Aurora,IL,2026-07-11,2026-07-12
https://play.usaultimate.org/events/Heavyweights-2026/schedule/Mixed/Club-Mixed
Chicago Parlay,1
teamInfo,,"Chicago, Illinois",https://www.notion.so/parlay-ultimate/Parlay-Ultimate-2025-96484c11d649494e9142e1933b28fce2,https://www.instagram.com/parlayultimate/,https://twitter.com/ParlayUltimate
coaches,Jordan Lange
0,Aidan McLeod
0,Alexandra Moxley
0,Andriana Tompary
0,Caitlin Pedraja
0,Christian Cameron
0,Larkin Johnson
0,Jordyn Churchwell-Garcia
0,Joseph Palaran
0,Ethan Niedzwiedz
0,Faith Cramer
0,Ricky Ramirez
0,Nate Pascale
0,Wengyin Ho
0,Varad Sant
0,Sukhmani Grover
10,Ricky Chung
15,Zach Kieffer
23,Jonathan Burrell
25,Elaine Sundberg
47,Matthew Rodway
51,Miki Ling
55,Char Bokhof
88,Julia Kasner
98,Lucas Tarnowski
b,r,e,a,k
Madison United Mixed Ultimate,12
teamInfo,,"Madison, Wisconsin",,,
0,Anna Wozniak
0,Keith McCarthy
0,Zach Hallum
0,Kylee Martens
0,Lynx Yuan
0,Luke Bodnar
3,Jordan Speicher
7,Hannah Nygard
9,Ronaldo Lopez Vega
11,Amanda Roesch
12,Kevin Scopoline
12,Kaylin Weber
16,Kyle Halstater
16,Jeremy Wilson
18,Libby Sweitzer
18,Erin Niesen
21,Ana Alejandre-Lara
25,David Cann
32,Maggie Lincoln
51,Kylie Moynihan
89,Patrick Kopp
96,Andrew Taber
99,Emma Cosby
b,r,e,a,k
Stackcats,13
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/stackcatsultimate/,http://@stackcatsultimate
coaches,Benton Fletcher
0,Alicia Skulsky
0,Andrew Cory
0,Joseph Roarty
0,Haili McConnell
0,Isaiah Cochran
0,Lauren Levinson
0,Ryan Kantor
0,Rachel Hunt
0,Mia Fischel
3,Hannah Amaya
14,Dennis Gisler
14,Claire Szilagyi
15,Jonathan Saunders
17,Daniel Grosch
24,Dylan Mcgarr
26,Matthew Golz
37,Carolina Szoepe
b,r,e,a,k
Pixel,24
teamInfo,,"Detroit, Michigan",,https://www.facebook.com/pixeldetroitultimate/,https://twitter.com/pxlultimate
0,Brian Marland
0,Claire Sleigh
0,Karli Raimondo
0,Jordan Skully
0,Julia Danci
0,Hunter Krebs
0,Hannah Schurman
0,Isaiah Hilkemann
2,Sydney Zimmerman
3,Whitney Gertlar
4,Connor Lang
12,Annie Oldani
16,Hope Lundberg
24,Jack O'Connor
64,Stephen Grondin
b,r,e,a,k
RAMP,2
teamInfo,,"Chicago, Illinois",http://rampultimate.com/,,https://twitter.com/RAMP_ultimate
0,Jake Blatt
0,Lydia Auch
0,Samuel DeVine
2,Letitia Ho
4,Justin Forman
5,Seokhee Burningham
8,ManHua Zhu
11,Julia Binder
14,Gina Stees
