Presidents' Day Invite 2026,College - Women ,14,2,2026
La Jolla,CA,2026-02-14,2026-02-16
https://play.usaultimate.org/events/Presidents-Day-Invite-2026/schedule/Women/CollegeWomen/
Carleton College,1
teamInfo,Syzygy,"Northfield, Minnesota",http://carletonsyzygy.weebly.com,https://www.facebook.com/Syzygy-Carleton-Womens-Ultimate-15998745997/,https://twitter.com/SyzygyUltimate
coaches,Claire Thallon
01,Chloe Hakimi
02,Melba Henley
03,Florence Basile
05,Eliza Barton
06,Emily Kretschmer
07,Naomi Fina
08,Rebecca Marshall
09,Gwendolyn Morris
10,Kyliah Mcroy
11,Opal Burruss
12,Matilda Pro
14,Helen Burruss
15,Zoe McDaniel
17,Weizhi Zhang
18,Fiona Wong
19,Chagall Gelfand
22,Pilar Abele
24,Samantha Merritt
25,Mia Fischer
37,Audrey Goeddeke
49,Madeline Kallin
b,r,e,a,k
Oregon,8
teamInfo,Fugue,"Eugene, Oregon",http://oregonfugue.weebly.com/,https://www.facebook.com/Fugueultimate/,https://twitter.com/OregonFugue
coaches,Katherine Wilson,Yausi Khajavei,Angela Lin
0,Chloe Isaacman
0,Jasmine Tea
0,Meena Shah
0,Molly Talbot
0,Neala Anderson
0,Olive Weyrens
0,Sarah Ross
0,Syris Linkfield
2,Acacia Hahn
3,Shea Lily Whelan
4,Lily Ellsworth Yow
5,Lillian Hodges
6,Jeannie Feng
10,Nghia Warren
11,Mara Hindery-Glasinovic
12,Cecilia Seldera-Bahnson
13,Anna Carlson
17,Keira Lanegraff
18,Bee Marquiss
21,Samaya Madrone
22,Elizabeth Nelson
23,Brielle Ramsdal
40,Sophia Faucher
72,Ezra Weybright
73,Eli Donohue
92,Michiko Ishii-Magnant
b,r,e,a,k
UCLA,9
teamInfo,BLU,"Los Angeles, California",http://uclaclubsports.com/index.aspx?path=wuf,https://www.facebook.com/UCLABLU,https://www.twitter.com/blultimate
coaches,Tiffanie Gallo
00,Crystal DeWeese
02,Sabrina Belkin
03,Willa Campion
04,Katherine Chawke
06,Zoe Saxer
07,Zora Bael-Cyr
09,Tomomi Shaw
10,Carol Tadros
11,Lise Tucker
12,Julia Kamm
13,Lillian Englert
16,Jade Nakama
17,Zhiyue Jiang
18,Kasey Parks
20,Sylvia Ng
22,Annika Bok
23,Mia  Shimomura
24,Anokhi Luthra
28,Maya Swartzberg
32,Mya Mitchell
34,Louise Goldman
37,Erina Sam
47,Charlotte Kurre O'Heaney
