Cooler Classic 37 (Men & Women),Club - Men ,8,8,2026
Milwaukee,WI,2026-08-08,2026-08-09
https://play.usaultimate.org/events/Cooler-Classic-37-Men-Women/schedule/Men/Club-Men/
Flying Dutchmen,1
8,Dillon Steeves
11,Brian Christiansen
12,Alex Hitchler
19,Dillon Riebe
22,Malik Williams
24,Jonathan Ip
27,John Lei
30,Boden Oelhafen
31,Aaron Casey-Fix
33,Ryan Schultz
47,Tyson Mach
80,Venice Fan
90,Ishan Sodhi
91,Erik Lindell
99,Leo Holcomb
b,r,e,a,k
Zoboomafoo,11
teamInfo,,"Madison, Wisconsin",https://www.instagram.com/zoboomafrisbae/,,
0,Daniel Seybold
03,Charles Camilli
04,Seamus  Sidney
05,Joseph Nelson
06,Nicholas Tangwall
08,Samuel Erickson
09,Nolan Baxendell
11,Jacob Calbaum
12,Jack Dipaolo
15,Justin Rummelhart
18,Ken Adams
19,August Williams
24,Max Junga
27,Jacob Meves
28,Noah Nicol
33,Caleb Sanders
33,Ian Westerberg
39,Sam Pieper
41,Jacob Schlaefer
47,Matteo Meyer
50,Colin Brown
52,Sean O'Malley
66,Frederick Grimm
77,Max Sponseller
87,Miles Nibbelink
99,Daniel Lang
b,r,e,a,k
NOx,13
teamInfo,,"Kansas City, Missouri",,,
0,Andrew Clayton
0,Brett Dare
0,Karl Kraemer
0,Zachary Sanders
0,Michael Nece
0,John Davis
0,Nickolas Krehbiel
0,Josiah Burger
0,KJ Bryant
0,David Hunt
0,Dominic Rizzo
0,Hudson Casady
0,Elijah Ray
1,Stephen Karst
10,Thomas Poskin
10,Dustin Wolfe
11,Colin O'Brien
11,Brennan Travis
13,Chris Basinski
25,Joe Miller
26,Parker Rhinehart
71,Austin Heineman
87,Brandon Cooper
88,John Redmond
b,r,e,a,k
Shift,15
teamInfo,,"Carol Stream, Illinois",,,
0,George Dore
0,Davis Parks
0,Adam Tornheim
0,Harrison Krebs
0,James Arnold
0,Ishaan Patel
0,Sam Kerner
0,Nathan Wahrman
0,Quinn deBolt
0,Samuel Lundstrum
0,William Nash
0,Rob Agnew
0,Will deBolt
2,Kacper Wujda
2,Dexter Straczek
7,Bill SooHoo
9,Lucas DeMatteis
12,Jonathan Berggren
18,Holden Wiegel
25,Jake Swalec
26,Nick Wollney
35,Zach Eiden
36,Jeff Burda
69,Neal Patel
75,Kyle Kent
88,Andrew Roth
b,r,e,a,k
M.Y.T.H.O.S.,18
teamInfo,,"Eagan, Minnesota",,,
0,Collin Lief
0,Ever O'Dowd
0,Conner Matuza
0,James (Jac) Cullen
0,Isaac Van Sistine
0,Liam Fretland
0,Lorenz Shih
0,Ryan Rowell
0,Adam Kalina
0,Micah Thompson
0,Walker Brownell
0,Phil Hug
3,Harper O'Dowd
4,Mino Whitley Mott
10,Gabriel Badillo Moorman
13,Liam Griffin
14,Murphy Galvin
17,Truett Jones
23,Eli Lessin Burris
24,Bjorn Lief
64,Hayden Fahnhorst
68,Maclain  Everson-Rose
99,Mark Hug
b,r,e,a,k
DINGWOP,16
teamInfo,,"Duluth, Minnesota",,https://www.facebook.com/DingwopUltimate,
0,Alex Griswold
0,Alexander Anderson
0,Garrett Chase-Geib
0,Cody Castonguay
0,Ben Blahosky
0,Nick Staudinger
0,Patrick La Course
0,Joseph Carland
0,Thomas  Carr
16,Riley Siewert
20,Noah White
27,Daniel Bates
69,Patrick Andresen
87,Trent Brunner
97,Joseph Blackman
99,Kyle DeJesus
b,r,e,a,k
Conspiracy Theory,23
teamInfo,,"Madison, Wisconsin",,,
0,Aaron Michaud
0,Andrew Mering
0,David Boehmer
0,Cory Smid
0,Jake Illing
0,Josh Hebert
0,Jonathan Schlaefer
0,Josh Olson
0,Kevin Oelstrom
0,Malek Champion
0,Sebastian Krausz
0,Samuel Qin
0,Tony Kaseman
0,Ryan Karnas
3,Jordan Farwell
11,Nathan Weiss
18,Riley Lamberty
24,Jace Gustafson
31,Andrew McGinley
36,Brian Niver
77,Kian Dilweg
b,r,e,a,k
Rubicon Rapids,17
teamInfo,,"Hartford, Wisconsin",,,
0,Hayden West
1,Jack Grimm Ketter
2,Aidan Garvey
5,Tafika-Kenan Valhmu
6,Kendrick Koehler
7,Aidan Obregon
8,Jeremiah Cantrall
9,Brian Peller
11,Elijah Rickenbach
14,Simi Fadiran
17,Spencer Pischke
17,Tyler Stiers
18,Samuel Pietz
20,William Noguera
24,Taylor Muth
25,Kyle West
26,Cooper Kleibor
29,Yuhao Wu
30,Stephen Cantrall
31,Caleb Hummel
32,Isaac Gamble
37,Daniel Sheldon
42,Joshua Hummel
50,Kevin Lui
66,Malachi Hummel
99,Lucas Frede
b,r,e,a,k
Mischief,21
teamInfo,,"Canton, Michigan",,,
0,Brendan Moore
0,Collin Henig
0,Eseosa Aguebor
0,Erik Schaefer
0,Evan Kumpelis
0,James Visnaw
02,Thomas Piaskowski
03,Alex Mardlin
12,Josh Kneisel
13,William Middlin
14,Corbin Fleming-Dittenber
20,Mark Dapkins
22,Joshua Osinski
25,William Bushey
26,Conner Marshall
27,Hugh MacWilliams
31,Caleb Holt
55,John-Mark Toth
57,Michael McGrath
67,Stephen Bloetscher
78,Matthew Bell
81,Camden Hayden
86,Nick Akers
98,John DePaul
b,r,e,a,k
Timber,19
teamInfo,,"Stevens Point & Fox Cities, Wisconsin",,https://www.facebook.com/TimberUltimate/,https://twitter.com/TimberUltimate
0,Erik Knight
0,David Jones
0,Edwin Moore
0,Joshua Kozlowski
0,Colin Flom
0,Jonathon Juedes
0,Brayden Nelson
0,Carlos Pérez
0,Kirk Prince
0,Zackory Runke
0,Peyton Winkelman
0,Thomas McKenna
2,Ben Resar
6,Rivers DeShano
7,Logan Mueller
9,Aaron Lichtenwalner
10,Nicholas Grzadzielewski
12,Chad Heldt
14,Jack Moore
16,Troy Roberts
19,Christian Piccioni
88,Jeremiah Kramasz
95,Mitchell Wood
96,Joshua Van Abel
b,r,e,a,k
STL Moonar,20
teamInfo,,"St. Louis, Missouri",,,
0,Gabriel Doringo
0,Bryce Kurfman
0,Nate Clancy
0,Luke Faust
0,Jonathan Clayton
0,Jack Wall
0,William Drexler
0,Reed Eschmann
0,Victor Chaidez
0,Nicholas Giannotti
0,Siddanth Kuchangi
0,Owen Dalpoas
0,Nathaniel Fischer
0,Tom Dupor
5,Michael McCormick
6,Matt Markiewicz
8,Timothy Duggan
9,David Zilkie
15,Zack Smith
22,Aidan Byrne
24,Adam Sherberg
25,Nathan Kamp
41,Austin Yuan
42,John Markiewicz
43,JP Torack
81,Zachary Szatkowski
b,r,e,a,k
Milwaukee Breaker,22
teamInfo,,"Milwaukee, Wisconsin",,,
0,Aaron George
0,Braden Updike
0,Alexander Jardine
0,John Gunville
0,Ian  Ottone
0,Liam Ryan
3,TJ Bartczak
06,Aidan Rosser
11,Curtis Knaack
17,Gabriel Rodriguez
19,Curt Hockers
19,Sean Thiel
20,Joseph Porebski
21,Devin Dumke
23,Charlie Bodendein
28,Charles Jetton
30,Holden Forgette
34,William Halm
40,Paul Grinstead
42,Ben Laird
45,Muthuu Svs
52,Jared Matthews
88,Yashas Abbott
96,Daniel Laritz
99,Alexander Utsis
b,r,e,a,k
Friendly Fire,24
teamInfo,,"Kansas City, Missouri",https://www.instagram.com/friendly_fire_ultimate/,,https://x.com/KC_FriendlyFire
0,Gavin McKlintic
0,George  Danek
0,Jake Heimlich
0,Kevin Wyle
0,Kaleb La Francis
0,Matt Dierksheide
0,Tyler Schooley
1,Uhunoma Amayo
6,Creighton Miller
7,Handel Aiken
19,Sam Phipps
38,Nathaniel Moffatt
42,Alan Morey
45,Thomas Clayton
55,Jacob Morrow
61,Aiden Jacobs
b,r,e,a,k
Kansas City Northern Lines,25
teamInfo,,"Gladstone, Missouri",,,
3,Xavyer Nouanlasy
02,Caleb Mohn
04,Kieu Duong
06,Theodore Guidry
07,Joshua Stegman
09,Dillon Caldwell
10,Derek Carter
11,Matthew Taylor
12,Gavin Jenks
13,Brady Van Vleck
14,Jackson Galetti
16,Drew Dollison
18,Zachary Kertz
23,James Bailey
25,Keaton Black
31,Matthew Zupan
34,Jacob Knott
35,Seth Scarborough
55,Patrick Stegman
69,Ethan Simon
73,Michael Anderson
99,Zach Westfall
b,r,e,a,k
Nomads,26
teamInfo,,"Sioux Falls, South Dakota",,,
0,Ira (Field) Mitchell VI
0,Joe Higgins
0,Cullen Belisle
0,Jordan Howard
0,Emmanuel Cabrera
0,Edward French
0,Kalen Pegeder
0,Owen Schweitzer
0,noah stude
0,Kaden Romkema-Schnider
0,Zachary Werner
0,Tyler Soldatke
0,Keegan Rotert
0,Connor Hodkinson
0,Carter Hodkinson
0,Augustus Talley
6,Daniel Cabrera
11,Andrew Hicks
13,Daniel Stork
17,Anthony Lesnar
20,Carter Whalen
b,r,e,a,k
s,t,a,g,e,s
clusters,Sat Round 1
cluster,Sat 10am Match
Flying Dutchmen,Knights of Ni,0,0,"08/08/2026, 10:00",,Scheduled
Trident,Fuse,14,12,"08/08/2026, 10:00",,Final
Mallard,DeMo,15,14,"08/08/2026, 10:00",,Scheduled
Lounar,Roundhouse,14,8,"08/08/2026, 10:00",,Final
Kansas City Smokestack,ELDL,12,11,"08/08/2026, 10:00",,Final
I-69,OPE,15,5,"08/08/2026, 10:00",,Final
Zoboomafoo,NOx,15,10,"08/08/2026, 10:00",,Final
Shift,M.Y.T.H.O.S.,7,11,"08/08/2026, 10:00",,Final
DINGWOP,Conspiracy Theory,15,8,"08/08/2026, 10:00",,Final
Rubicon Rapids,Mischief,11,14,"08/08/2026, 10:00",,Final
Timber,STL Moonar,13,14,"08/08/2026, 10:00",,Final
Milwaukee Breaker,Friendly Fire,12,13,"08/08/2026, 10:00",,Final
Kansas City Northern Lines,Nomads,11,12,"08/08/2026, 10:00",,Final
b,r,e,a,k
clusters,Sat Round 2
cluster,Sat 12pm Match
Flying Dutchmen,Zoboomafoo,0,0,"08/08/2026, 12:00",,Scheduled
Trident,Kansas City Smokestack,0,0,"08/08/2026, 12:00",,Scheduled
Mallard,I-69,0,0,"08/08/2026, 12:00",,Scheduled
Lounar,ELDL,15,12,"08/08/2026, 12:00",,Final
Knights of Ni,DeMo,0,0,"08/08/2026, 12:00",,Scheduled
Fuse,DINGWOP,15,12,"08/08/2026, 12:00",,Final
Roundhouse,STL Moonar,0,0,"08/08/2026, 12:00",,Scheduled
NOx,Rubicon Rapids,0,0,"08/08/2026, 12:00",,Scheduled
OPE,Timber,0,0,"08/08/2026, 12:00",,Scheduled
Shift,Milwaukee Breaker,15,5,"08/08/2026, 12:00",,Final
M.Y.T.H.O.S.,Kansas City Northern Lines,14,8,"08/08/2026, 12:00",,Final
Mischief,Nomads,0,0,"08/08/2026, 12:00",,Scheduled
Conspiracy Theory,Friendly Fire,0,0,"08/08/2026, 12:00",,Scheduled
b,r,e,a,k
clusters,Sat Round 3
cluster,Sat 2pm Match
Flying Dutchmen,Lounar,0,0,"08/08/2026, 14:00",,Scheduled
Trident,Mallard,0,0,"08/08/2026, 14:00",,Scheduled
Knights of Ni,I-69,0,0,"08/08/2026, 14:00",,Scheduled
Kansas City Smokestack,Fuse,0,0,"08/08/2026, 14:00",,Scheduled
ELDL,NOx,0,0,"08/08/2026, 14:00",,Scheduled
DeMo,Shift,0,0,"08/08/2026, 14:00",,Scheduled
Zoboomafoo,M.Y.T.H.O.S.,0,0,"08/08/2026, 14:00",,Scheduled
Roundhouse,DINGWOP,0,0,"08/08/2026, 14:00",,Scheduled
OPE,Mischief,0,0,"08/08/2026, 14:00",,Scheduled
Rubicon Rapids,Friendly Fire,0,0,"08/08/2026, 14:00",,Scheduled
Timber,Nomads,0,0,"08/08/2026, 14:00",,Scheduled
STL Moonar,Conspiracy Theory,0,0,"08/08/2026, 14:00",,Scheduled
Milwaukee Breaker,Kansas City Northern Lines,0,0,"08/08/2026, 14:00",,Scheduled
b,r,e,a,k
brackets,1st Place
bracket,1st
bracket,3rd
bracket,5th
bracket,7th
b,r,e,a,k
brackets,9th Place
bracket,9th
bracket,11th
bracket,13th
bracket,15th
b,r,e,a,k
pools,17th Place
pool,Pool A
b,r,e,a,k
pools,21st (3 games each) - times TBD
pool,Pool B
b,r,e,a,k
