Northeast Classic 2026,College - Men ,7,3,2026
San Diego,CA,2026-03-07,2026-03-08
https://play.usaultimate.org/events/Gnomageddon-2026/schedule/Women/CollegeWomen/
Amherst,1
teamInfo,Sparkle Motion,"Amherst, Massachusetts",,,http://@amherstspamo
0,Alexa Warrin
0,Allison Klingler
0,Anna Swanson
0,Ayana Alles
0,Bluma Hammarhead
0,Carys Shepard
0,Emma Rappoport
0,Gretta Komperda
0,Isabelle Sloan
0,Julia Teller
0,Mickie  Webbeking
0,Sarah Clarridge
b,r,e,a,k
Vassar,4
teamInfo,Boxing Nuns,"Poughkeepsie, New York",,,
0,Anna Rossman
0,Caroline Belanger
0,Eleanor Creel
0,Ella Sheidley
0,Emma Gollis-Pedelaborde
0,Kit Donovan
0,Livia Smollen
0,Meredith Lambert
0,Sasha Mayer
0,Tamar Weil
3,Paloma Oteiza
5,Beatrice Ishee
11,Violet Cubbin
12,Isabella Argote
13,Mason Spunt
15,Sophie Finkelstein
16,Eliana Mor
27,Anika Mehanian
49,Stuart Heintz
66,Vivian Belkin
b,r,e,a,k
Skidmore,5
teamInfo,Skidmore College Thoroughbears,"Saratoga Springs, New York",https://sites.google.com/view/skidmorewombatsultimate/home?authuser=0,,https://twitter.com/skidmorewombats
0,Anika Heppell
0,Cate Mulholland
0,Elaina Schlesinger
0,Eleanor Herbert
0,Emma Crespi
0,Madeline Bace
0,Madge Penna
0,Maeve Williams
0,Meelo Kriisa
0,Jane Grove
16,Peyton Moseley
19,Madeline Lutz
27,Catherine Scales
29,Naomi Melamede
35,Ashley Schlinger
56,Jenna Werchen
79,Gabriella DePlasco
b,r,e,a,k
Dickinson,8
teamInfo,Dumptrucks,"Carlisle, Pennsylvania",,,
0,Allie Gonzalez
0,Ashley Vadner
0,Ava Schneider
0,Cannon Daverin
0,Charlotte Durietz Bourdain
0,Cleo Evans
0,Ella Piergrossi
0,Fern Beede
0,Lindsey Hoffman
0,Madeline Harrison
0,Priya Chambers
0,Sam D'Asaro
0,Sophie Jones
78,Iris Ballard
b,r,e,a,k
Villanova,9
teamInfo,Main Line Ultimate,"Villanova, Pennsylvania",http://villanovaultimate.weebly.com,,https://twitter.com/VUMainLine
0,Noah Cady
0,Spencer Park
2,Nicholas Guenther
4,David Pinkowsky
6,Tommy Cruz
8,Nathanael Kassahun
9,Joshua Buck
11,Ethan Lewis
13,Atticus Ellis
15,Thomas Klauer
16,Marc Cannella
18,Zachary Mulhern
20,Joseph Kalamarides
21,Jordan Humdy
22,Zachary Wagner-Pizza
26,Nicholas Guillet
28,AJ Olczak
33,Max Allen
39,Jack Tobin
77,Amir Avdicevic
82,Jacob Cibilich
94,Quinn Songer
b,r,e,a,k
SUNY-Cortland,2
teamInfo,Team Rocket,"Cortland, New York",,,https://twitter.com/cortlandulti?s=21
0,Jackson Gillespie
0,Kurt Plattel
7,Alexander Cammarata
05,Sullivan Eager
08,Matthew Prendergast
10,Nicholas Staco
11,Ethan Rafuse
14,Connor McNeill
15,Andrew  Saam
18,Michael Coomes III
19,Benjamin Canino
20,Michael Levy
23,John Piszczatowski
24,James  Prendergast
32,James Weilert
33,Jake Kinnicutt
55,Tim Connolly
87,Caden Miata
b,r,e,a,k
Princeton,3
teamInfo,Clockwork,"Princeton, New Jersey",http://www.princeton.edu/~clockwrk/,https://www.facebook.com/ClockworkUltimate,https://twitter.com/clockworkultima
0,Christian Ganter
0,Dane Utley
0,Isaiah Fletcher
0,Jack Noymer
0,Jason Chinitz-Mital
0,Justin Bao
0,Kushaan Bahl
0,Liam Walsh
0,Nedim Begovic
0,Peter Calone
0,Peter Renga
0,Roni Shaham
0,Andrew Oliver
0,Benjamin Gitai
0,Sean Hession
0,Sean Egan
0,Yao Xiao
5,Brendan McCluskey
5,Samuel Hilbert
b,r,e,a,k
Vermont (C),6
teamInfo,UVM C,"BURLINGTON, Vermont",,,
0,Andy Iskowitz
0,Anna Metaxatos
0,Cecelia Mossi
0,Elisabeth Hunt
0,Lila Sargent
0,Lily  Siciliano
0,Maddie Lewis
0,Mira Pompei
0,Sarah Ewell
0,Sophie Woodward
7,Felice Martino
b,r,e,a,k
Penn State (B),7
teamInfo,LoveTap,"University Park, Pennsylvania",,,https://twitter.com/LovetapDisc
0,Benjamin Cottam
0,Charles Knoblock
0,Gage Umbriac
0,Henry Michael
0,Joshua Freshly
0,Justin Bentz
0,Nathaniel  Sweigart
0,Reagan Foley
0,Steven Remish
