Queen City Tune Up 2026,College - Women ,11,4,2026
Fairborn,OH,2026-04-11,2026-04-12
https://play.usaultimate.org/events/Ohio-D-I-Mens-Conferences-2026/schedule/Men/CollegeMen/
Vermont,1
0,Keona Burch
0,Lisa Wei
0,Lucy Murray
0,Martha Plaehn
0,Megan Buchsbaum
0,Mia Lanuti
0,Mya Burrows-Kurr
0,Piper Shunk
0,Tree Konvalinka
0,W Levine
0,Zhaorun Jia
6,Claudia Dare
19,Caroleen DeWolf
23,Bella Russell
41,Delphine Liu
b,r,e,a,k
Georgetown,11
teamInfo,Huckin' Foyas,"Washington, District of Columbia",,,https://twitter.com/huckinfoyas
coaches,Jordan Tippitt,Sally Simpson
0,Julia Maurer
02,Julia Swanson
03,Maya Moffat
04,Megan Geiger
05,Erika Wisby
10,Ava Terosky
11,Juliette Warga
12,Isabelle Estrada
15,Elisa Highton
17,Sofia Barr
19,Monica Amirbekian
22,Madeline Metz
25,Anna Isselhardt
29,Lila Gizzie
35,Sophie Westen
61,Sara  Kronenberg
71,michii flores-vargas
78,Olivia Tomaselli
80,Rachael Gross
b,r,e,a,k
Georgia,6
teamInfo,Athena,"Athens, Georgia",,https://www.facebook.com/UniversityOfGeorgiaWomensUltimate/,https://twitter.com/UGAUltimate
1,Jemia Johnson
2,Rithika Vatchavai
4,Sarah Annie Pickren
5,Keely Baker
6,Aeryn Craig
6,Sarah Lang
7,Zoe Hastings
9,May McDonnell
00,Nina Kline
10,Tristan Thompson
11,Quincy Booth
14,Lucy  Wylie
15,Cecilia Clarke
19,Kaiden Burkes
19,Ava Samford
20,Mae Kline
25,Delaney Higgenbottom
26,Lauren Vaughn
27,Abigail Clark
29,Alyssa Fallon
30,Emma Tucker
33,Evelyn Ford
33,Lillian Rachwalski
44,Audra Duncan
66,Anna White
b,r,e,a,k
Davenport,19
teamInfo,Davenport University,"Grand Rapids, Michigan",https://dupanthers.com/sports/ultimate-frisbee,https://www.facebook.com/profile.php?id=61551657640493,
coaches,Jessica Creamer
0,Amber Collins
2,Mya Maycroft
6,Sasha Fernandez-Ricci
8,Kara Higgins
9,Charlee Tannahill
13,Leilani Lepe
14,Jocelyn Richison
19,Aiva Zoldan
20,Avery Smith
21,Kylee Sipkema
24,Kyla Wiersema
28,Kira Straub
37,Elleythea Smith
b,r,e,a,k
McGill,14
teamInfo,MUT,"Montreal, Quebec CA",http://mcgillultimate.ca,https://www.facebook.com/mcgillultimateteam/,https://twitter.com/mcgillultimate?lang=en
0,Audrey Pearson
0,Clara Tung
0,Edith Harrington
0,Hanna Roemer-Block
0,Jacqueline Wong
0,Kayla Tashiro
0,Khoi Brooks
0,Kiera Ho
0,Madeleine Ghatavi
0,Maria Paquin
0,Savannah Dunberry
13,Shay Singer
15,Maya Frisani
22,Pia Bell
25,Madeline Williams
b,r,e,a,k
Pennsylvania,5
teamInfo,Venus,"Philadelphia, Pennsylvania",https://sites.google.com/view/venus-penn-ultimate/home?authuser=1,https://www.facebook.com/VenusUltimate,https://twitter.com/venusultimate
coaches,Jackson Dolan,Ashika Mani,Laine Cravotta
7,Alexa Seltzer
8,Jillian Walworth
9,Mira Agarwal
11,Sydney Neal
12,Susu Zhao
14,Sukhmani Grover
16,Molly Pete
18,Poppy Wagner
19,Grace Maroon
24,Sophie Lin
25,Abigail Smith
26,Aara Sampath
30,Lara Lancaster
31,Anisha Karunakaran
33,McKenna Parker
34,Madeline Scott
38,Phoenix Hart
88,Rayna Johnson
93,Shelby Loberg
99,Sharon Chen
b,r,e,a,k
Michigan,4
teamInfo,Flywheel,"Ann Arbor, Michigan",https://umichflywheel.wixsite.com/morecowbell,,https://www.twitter.com/UMichFlywheel
04,Alisha Esquivel
05,Sofia Oertel
07,Zejun Li
09,Sasha Klein
10,Alexa Chiang
12,Vivian Hakimi
13,Safya Biswal
14,Clara Moss
15,Calliope Cutchins
17,Markiana Schweitzer
19,Constanza Capriles
20,Caroline Bach
22,Arlene Dai
23,Rebecca  Lyons
26,Soph Irfani
36,Katelyn Abellera
41,Amiya Johnson
67,Eve  Goddard
82,Riley Dickson
86,Mattisen Cox
88,Maxine Chin
91,Gwendolyn McGuire
92,Cynthia Ju
95,Vanessa Kantor
97,Stella Moelis
99,Ani Xu
b,r,e,a,k
Northeastern,12
teamInfo,Valkyries A,"Boston, Massachusetts",https://valksultimate.sites.northeastern.edu/,,https://twitter.com/ValksUltimate
coaches,Amber Sinicrope
02,Camille Larsen-Humphreys
05,Lauren Duany
06,Sydney Adreon
07,Grace Schifilliti
12,Brooke Turner
13,Sonja Lee
14,Taylor Kenneth
15,Ellie Garrett
19,Sara Bauman
20,Maya Nowak
21,Lily Yan
23,Victoria Chin
24,Meirav Rosenheim
27,Jess Montgomery
32,Maddy Chang
33,Carly Cameron
35,Alice Crawford-Muscat
36,Kirsten Mauer
72,Emma Remien
96,Rona Liu-Zhong
99,Lucy Perkins
b,r,e,a,k
William & Mary,13
teamInfo,Cypress,"Williamsburg, Virginia",https://www.cypressultimate.com/,,https://twitter.com/WMultimateW
0,Eleanor Green
0,Julia Zorc
0,Kara Clapper
0,Kiran Rollins
0,Madeline Grab
0,Molly Zarro
0,Rosalyn Connor
0,Savannah Cook
0,Vivian Brown
2,Kelly Zoglin
3,Harper Wagner
10,Meredith Weiner
11,Coral Rankin
13,Jasmine Taylor
16,Sydney Clayton
20,Lucia  Drake
21,Sarah O'Reilly
22,Alina Schueman
27,Naomi Heilen
38,Kayla Schifferle
43,Abigail Freund
b,r,e,a,k
South Carolina,20
teamInfo,Scorch Ultimate,"Columbia, South Carolina",https://www.instagram.com/scorchultimate/,https://www.facebook.com/scorchultimate/,https://twitter.com/ScorchUltimate
4,Anna Watkins
7,Madison Meek
00,Savanna Pierson
00,Edy McGoldrick
00,Anna Bogdan
00,Annie Maier
00,Briellie Turner
00,Elle Rose
00,Irena Enuica
00,Jaden Conner
00,Julia Daquanno
00,Karina Sheth
00,Tristin Ray
00,Virginia Arnold
05,Leah Vanags
11,Megan Borseth
18,Ella Clipston
26,Shayna Gross
38,Sophia Scimemi
51,Kinalya Hughes
71,Catherine Willm
88,Katherine Batterson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Vermont,Liberty,10,9,"02/14/2026, 09:45",Pool A,Final
Pittsburgh,Wisconsin,7,13,"02/14/2026, 09:45",Pool A,Final
Vermont,Pittsburgh,13,4,"02/14/2026, 11:25",Pool A,Final
Texas,Wisconsin,13,12,"02/14/2026, 11:25",Pool A,Final
Vermont,Wisconsin,10,7,"02/14/2026, 13:05",Pool A,Final
Texas,Liberty,11,5,"02/14/2026, 13:05",Pool A,Final
Wisconsin,Liberty,11,8,"02/14/2026, 14:45",Pool A,Final
Texas,Pittsburgh,11,5,"02/14/2026, 14:45",Pool A,Final
Vermont,Texas,11,9,"02/14/2026, 16:25",Pool A,Final
Pittsburgh,Liberty,8,9,"02/14/2026, 16:25",Pool A,Final
pool,Pool B
Tufts,Case Western Reserve,13,2,"02/14/2026, 09:45",Pool B,Final
Notre Dame,Washington University,12,8,"02/14/2026, 09:45",Pool B,Final
Tufts,Notre Dame,13,5,"02/14/2026, 11:15",Pool B,Final
Virginia,Washington University,8,10,"02/14/2026, 11:15",Pool B,Final
Tufts,Washington University,13,9,"02/14/2026, 13:05",Pool B,Final
Virginia,Case Western Reserve,11,5,"02/14/2026, 13:05",Pool B,Final
Washington University,Case Western Reserve,10,7,"02/14/2026, 14:45",Pool B,Final
Virginia,Notre Dame,10,11,"02/14/2026, 14:45",Pool B,Final
Tufts,Virginia,13,4,"02/14/2026, 16:25",Pool B,Final
Notre Dame,Case Western Reserve,13,5,"02/14/2026, 16:25",Pool B,Final
pool,Pool C
North Carolina,Davenport,13,4,"02/14/2026, 09:45",Pool C,Final
Georgetown,McGill,13,5,"02/14/2026, 09:45",Pool C,Final
North Carolina,Georgetown,13,2,"02/14/2026, 11:25",Pool C,Final
Georgia,McGill,11,5,"02/14/2026, 11:25",Pool C,Final
North Carolina,McGill,13,2,"02/14/2026, 13:05",Pool C,Final
Georgia,Davenport,11,5,"02/14/2026, 13:05",Pool C,Final
McGill,Davenport,4,13,"02/14/2026, 14:45",Pool C,Final
Georgia,Georgetown,8,9,"02/14/2026, 14:45",Pool C,Final
North Carolina,Georgia,13,8,"02/14/2026, 16:25",Pool C,Final
Georgetown,Davenport,13,5,"02/14/2026, 16:25",Pool C,Final
pool,Pool D
Michigan,South Carolina,13,8,"02/14/2026, 09:45",Pool D,Final
Northeastern,William & Mary,12,8,"02/14/2026, 09:45",Pool D,Final
Michigan,Northeastern,10,7,"02/14/2026, 11:25",Pool D,Final
Pennsylvania,William & Mary,12,5,"02/14/2026, 11:25",Pool D,Final
Michigan,William & Mary,10,12,"02/14/2026, 13:05",Pool D,Final
Pennsylvania,South Carolina,11,4,"02/14/2026, 13:05",Pool D,Final
William & Mary,South Carolina,9,8,"02/14/2026, 14:45",Pool D,Final
Pennsylvania,Northeastern,10,8,"02/14/2026, 14:45",Pool D,Final
Michigan,Pennsylvania,11,13,"02/14/2026, 16:25",Pool D,Final
Northeastern,South Carolina,10,7,"02/14/2026, 16:25",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Pennsylvania,Tufts,14,15,"02/15/2026, 10:45",Championship,Final
Vermont,Pennsylvania,9,10,"02/15/2026, 09:00",Semis,Final
North Carolina,Tufts,9,11,"02/15/2026, 09:00",Semis,Final
Vermont,Notre Dame,13,9,"02/15/2026, 07:30",Quarters,Final
Georgetown,Pennsylvania,7,9,"02/15/2026, 07:30",Quarters,Final
North Carolina,Michigan,13,6,"02/15/2026, 07:30",Quarters,Final
Texas,Tufts,4,13,"02/15/2026, 07:30",Quarters,Final
bracket,3rd Place
Vermont,North Carolina,1,15,"02/15/2026, 10:45",3rd Place,Final
bracket,5th Place
Notre Dame,Michigan,0,0,"02/15/2026, 12:45",5th Place,Cancelled
Notre Dame,Georgetown,9,4,"02/15/2026, 09:00",5th Semis,Final
Michigan,Texas,8,7,"02/15/2026, 09:00",5th Semis,Final
bracket,7th Place
Georgetown,Texas,5,6,"02/15/2026, 12:45",7th Place,Final
bracket,11th Place
Wisconsin,Washington University,8,7,"02/15/2026, 09:00",11th Place,Final
bracket,13th Place
Liberty,Virginia,4,8,"02/15/2026, 09:00",13th Place,Final
Liberty,William & Mary,11,8,"02/15/2026, 07:30",13th Semis,Final
Virginia,Davenport,9,6,"02/15/2026, 07:30",13th Semis,Final
bracket,15th Place
William & Mary,Davenport,2,10,"02/15/2026, 09:00",15th Place,Final
bracket,9th Place
Northeastern,Georgia,8,7,"02/15/2026, 09:00",9th Place,Final
Wisconsin,Northeastern,5,11,"02/15/2026, 07:30",9th Semis,Final
Washington University,Georgia,8,10,"02/15/2026, 07:30",9th Semis,Final
bracket,17th Place
South Carolina,McGill,8,7,"02/15/2026, 09:30",17th Place,Final
Pittsburgh,South Carolina,3,9,"02/15/2026, 08:00",17th Semis,Final
Case Western Reserve,McGill,5,13,"02/15/2026, 08:00",17th Semis,Final
bracket,19th Place
Pittsburgh,Case Western Reserve,10,5,"02/15/2026, 09:30",19th Place,Final
b,r,e,a,k
