East Coast Invite 2026,College - Women ,11,4,2026
coaches,Jordan Tippitt,Sally Simpson
0,Julia Maurer
3,Maya Moffat
01,Devyn Klein
02,Julia Swanson
04,Megan Geiger
05,Erika Wisby
10,Ava Terosky
11,Juliette Warga
12,Isabelle Estrada
15,Elisa Highton
17,Sofia Barr
19,Monica Amirbekian
21,Eleanor Heller
22,Madeline Metz
25,Anna Isselhardt
29,Lila Gizzie
35,Sophie Westen
61,Sara  Kronenberg
71,michii flores-vargas
80,Rachael Gross
b,r,e,a,k
Pittsburgh,24
teamInfo,Danger,"Pittsburgh, Pennsylvania",https://danger-ultimate.wixsite.com/pittultimatew,https://www.facebook.com/groups/35601418785/,https://twitter.com/dangerulti
0,Amelia Staresinic
0,Cady Westkaemper
0,Claudia Porter
0,Colleen Kilpatrick
0,Eleanor Stein
0,Jaden Hunter
0,Julia Jordan
0,Min Joo Muskovitz
0,Olivia Cohen Freue
0,Rachel Kallan
0,Rebecca Vitale
0,Sofia Dillon
0,Tanushree Tejankar
0,Taylor Kuhn
0,Taylor Conroy
0,Giavanna Jacobs
0,Harlow Mahar-Piersma
3,Madeline Franz
11,Emily Feldstein
12,Chloe Acuna
16,Angela Ngo
17,Mia Pisacane
20,Margaret Sweitzer
21,Rina Meschke
28,Helen Bates
b,r,e,a,k
Middlebury,4
teamInfo,Middlebury Pranksters,"Middlebury, Vermont",http://sites.middlebury.edu/ultimate/,https://www.facebook.com/MiddleburyPranksters,https://www.twitter.com/Middpranksterz
0,Amy Li
0,Avery Goldstein
0,Cece Rhyneer
0,Elizabeth Schierman
0,Elizabeth Melican
0,Gretchen Fitzgerald
0,Jessica Berger
0,Madeleine Mitchell
0,Melanie Forney
0,Page Sparks
0,Riona O'Neill
0,Tessa Lake-Goldstein
1,Lizzie Madden
2,Kaia Ganzell
2,Caitlin Stanley
3,Sasha Hanna
7,Ella Widmyer
10,Ellie Sebesta
10,Annie Art
14,Izzy Laramee
16,Molly Snow
17,Lily Coughlan
18,Amelia Hayward
21,Hazel Stringer
22,Ruby Salisbury
23,Zora DeSilva
49,Finley Torrens-Martin
69,Makenna Bachman
95,Xintian Ge
b,r,e,a,k
Carleton College-Eclipse,16
teamInfo,Eclipse,"Northfield, Minnesota",http://carletoneclipse.weebly.com/,,https://twitter.com/eclipsethedisc
coaches,Christopher O'Mara
01,Sadie Begtrup
02,Nina Georgeson
06,Caroline Cooper
07,Lisa Li
08,Pilar Andruet
10,Maddy Brown
11,Sadie Eskola
13,Samantha Parker
14,Sophia Morse-deBrier
15,Molly Horstman Olson
16,Annika Yurcisin
17,Iris Noren
19,Eve Mullen
22,Alyssa Alvarez
27,Sasha  Monks
32,Amy McCormack
35,Rachel Poppleton
38,Jessica Yu
44,Rebecca Hazen
55,Charlotte Gingo
73,Lucy Zhang
b,r,e,a,k
Wellesley,11
teamInfo,Whiptails,"Wellesley, Massachusetts",https://sites.google.com/wellesley.edu/wellesleywhiptails/home,,https://twitter.com/thewholedamnbus
0,Addelyne Lilley
0,Avellina Colacurcio
0,Eleanor  Bogosian
0,Jaya Magavi
0,June Wolbach
0,Magdalena Johnson
0,Maple Bottinelli
0,Niko Reilly
0,Ruth Frederick
0,Solveig Unteroberdoerster
0,Sophie McIntosh
0,Sylva` Das
0,Victoria Nelbree
4,Ashley Chen
9,Owen Romberg
18,Kali Bate
20,Amanda Roberts
21,Erin  Fina
26,Lauren Wu
28,EmmaChaya Lipton-Praver
43,Tess Porter
b,r,e,a,k
Kenyon,12
teamInfo,Blu-Ray,"Gambier, Ohio",https://www.instagram.com/kenyonblu_ray/,,
01,Ellen Chadwick
02,Johanna Huelsman
03,Elizabeth Barnes
04,Caroline Sullivan
06,Mariah Szabo
08,Kaley Johnson
10,Sadie Clark
13,Will Johnson
14,Scarlett Flamm
17,Maia Church
18,Maeve Tholen
20,Lily Schoenfeld
23,Clara Nerbonne
24,Isabel Niño
25,Gillian Foley
27,Verity Berthelsen
33,Molly Hunt
45,Kate Tucker
73,Audrey Gibson
b,r,e,a,k
Ohio,8
teamInfo,Stacked Cats,"Athens, Ohio",https://sites.google.com/site/stackedou/home%20,,https://twitter.com/StackedOU
0,Bella Heddleson
0,Carl McCutcheon
0,Ella Wise
0,Emma Muck
0,Erin Baumann
0,Heather Davis
0,Izzy Ferreira
0,Jennifer Moore
0,Katie Callahan
0,Sienna DeMooy
6,Lauren Eggleston
8,Rachel Grant
12,Audrey Hale
13,Rosie Lipka
14,Aaliyah Edwards
18,Anastasia Petroff
22,Lindsey Rodgers
23,Clare Haddon
28,Madi Moen
35,Anna Jones
36,Trinna Davis
