Cooler Classic 37 (Mixed),Club - Mixed ,15,8,2026
Milwaukee,WI,2026-08-15,2026-08-16
https://play.usaultimate.org/events/Cooler-Classic-37-Mixed/schedule/Mixed/Club-Mixed
Spectre,1
teamInfo,,"Indianapolis, Indiana",https://www.instagram.com/indyspectre/,,https://twitter.com/indyspectre
0,Conner Blalack
0,Hannah Hainje
1,Jacob Felton
2,Jessica Sink
5,Connor Concannon
8,Jonathon Grgat
10,Colby Parker
11,Justin Hess
12,Peter Heneveld
17,Randi Lesler
19,Kelly Kerker
23,Berkley Humphries
24,Abby Swensen
29,Emily Hess
31,David  Cox
32,Caleb Texeira
33,Jalyn Baumgartner
36,Charity Felton
42,Laura Blackmon
55,Rachel Heneveld
69,Connor Ross
b,r,e,a,k
Pushovers,5
teamInfo,,"Lake Elmo, Minnesota",,,
0,Anna Benishek
0,Elizabeth Curtiss
0,Elise Gallup
0,Joseph Ling
0,Henry Horstman Olson
0,Hannah Hackenmueller
0,Sam Baker
0,Liv Myers
0,Rebecca Marshall
0,Kyra Anderson
0,Michael Scharlau
0,Miles Collins
1,Derek Anderson
2,Sydney Mier
3,Carly Rasmussen
8,Jing Jing Munson
8,Lilly Mendoza
9,Kendra Anderson
12,Joseph Lodahl
15,Molly Horstman Olson
25,Jalen Bolton-Steiner
31,Ross Screaton
33,Erick Knudson
39,Kai Assef
62,Marcus Cannon
95,Eric Volkmeier
b,r,e,a,k
No Touching!,2
teamInfo,,"Twin Cities, Minnesota",,,https://twitter.com/notouchingult
0,Arthur Harris
0,Sarah Jane Yockers
1,Jeffrey Trosvig
4,Tony Michaelson
5,Daniel Schultz
7,Andrew Lawrence
8,Alison Ling
9,Tyler McKean
11,Rachel Gage
12,Taylor Van Oosbree
15,Katie Godfrey
16,Lindsay Trosvig
17,Kristina Golling
19,Alyson Gagner
33,Roberto Caballero Jr
38,Kathryn Cleveland
78,Jeremy Keiser
83,Jeremiah Gagner
88,Patrick Jensen
89,Rebekah Swanson
94,Patrick Cashman
96,Brian Edgerton
97,Megan Asturias
b,r,e,a,k
Dispatch,3
teamInfo,,"Columbus, Ohio",,,
0,Andrew Bustle
0,Arden Piepho
0,Corinn Rains
0,Jennifer Perry
0,Joseph Rains
0,Caleb Andrews
0,Carter Limbert
0,Hannah Wilder
0,Nathan Morgan
0,Trimon Lamson
0,Sarah San Pedro
0,Rachel Hasseltine
0,Walker Branson
5,Milo Eder
12,Natalie Fancher
14,David Butz
16,Elizabeth Burkhardt
25,Timothy San Pedro
37,Tony Donato
39,Christopher Arevalo
69,Eric Shershen
72,Shane Spiegel
b,r,e,a,k
Bird,4
teamInfo,,"Minneapolis, Minnesota",http://www.birdultimate.com/,https://www.facebook.com/BirdUltimate,https://twitter.com/MNBirdUltimate
0,Adelaide Mahler
0,Adi Megiddo
0,Carter Petrella
0,Ethan Landgreen
0,Jasper Skinner-Sloan
0,Isaiah Klepfer
0,James Briscoe
0,Gwendolyn Stender
0,Molly Watson
0,Katherine Schaberg
0,Sarah Heinecke
0,Mari Shumaker
1,Grace Milhaupt
2,Tyler Wolf Williams
5,Mia Wieben
11,Nora Mitchell
14,Michael Kovash
17,Katie Fan
19,Benjamin Fjetland-Souza
27,Josh Yira
32,Makenna Samuels
33,Jacob Markus
38,Noah Johnson
44,Jonathan Lovagnini
73,Jordan Wright
87,Rachel Katzovitz
b,r,e,a,k
Armory,11
teamInfo,,"Oklahoma City, Oklahoma",,,
0,Abigail Ned
0,Chris Dellenbaugh
0,Brittany Parks
0,Jacob Pleasant
0,John Liaz
0,Geoffrey Henry
0,Zachary Johnson
0,Sarah Eitrheim
0,Natalie Carter
1,Garrett Taylor
3,Gillian Maleski
4,Alex Southard
11,Jason Davis
21,Tatiana Jamerson
23,Christina Helgeson
33,Kailee Craig
51,Samuel Mehan
57,Samuel Roberts
64,Eric Eitrheim
93,Alicia Howe
b,r,e,a,k
Fatal Attraction,7
teamInfo,,"Omaha, Nebraska",,,
0,Jacob Whempner
0,Eliora Kwok
1,Emily Anderson
2,Luke Walsdorf
3,Sean Rock
4,Richelle Rock
8,Grant Maynard
9,Ellie Stone
12,Christa Fisher
15,Nich Rush
17,Min Sze Ewe
18,Cassi Vallis
19,Stewart Buckley
23,David Forsyth
27,Cat  Henning
30,Aaron Bowles
31,Michaela Ott
32,Nicole Lenczowski
39,Thomas Sitorius
55,Derek Vallis
56,Kate Blankenship
77,Kayla Anderson
85,Peyton Thurman
87,Reid Sindelar
99,Grant Dunbar
b,r,e,a,k
Toast!,16
teamInfo,,"Grand Rapids, Michigan",https://www.instagram.com/toast_ulti?igsh=MTlrb2plZ3drMGFqNQ==,,
0,Alex Cooper
0,Emily Wittman
0,Melissa Witmer
2,Juraj Hurny
5,Owen O'Neil
5,Meredith Mann
7,Kira McManus
10,Shane McGlynn
12,Rebekah Van Zoest
16,Megan Isherwood
17,Michael Huang
17,Jacob Renkiewicz
20,Avery Smith
24,Tessa Williams
25,Katie Legatzke
33,Quinten Burlew
47,Christopher O'Brien
48,Seth Dykema
60,Ryan Fattal
64,Tomokai Timmer
77,Grant Ruschak
94,Zoe Hawkins-Smyk
b,r,e,a,k
CLX,8
teamInfo,,"Ames, Iowa",,https://www.facebook.com/profile.php?id=100086386637873,https://twitter.com/clxbttp
0,Ethan Levine
0,Ella Duster
0,Niko Beauchamp
1,Camden Boyde
2,Logan Grothus
3,Elle Stewart
6,Tara Lamb
9,Charlie Hubbard
10,David Dalton
13,Mia Jones
17,Emily Opsal
19,Kaitlyn Gehrels
23,Kelli Bormann
24,David Johnson
28,Alex Gustafson
29,Adam Levine
33,Sean Fjellman
40,Taylor Hanson
41,Brian Goode
42,Maeve Maher
52,Solomon Golden
61,Jayna Wanamaker
69,Jacob Thomae
71,Dayton Wright
b,r,e,a,k
Limbo,15
teamInfo,,"St. Paul, Minnesota",,,
0,Claire Knopf
0,Alex Roth
0,Alison Cotter
0,James Lehner
0,Elise Gautier
0,Clara DeForge
0,Donna January
0,Katherine Wilmes
0,Leo Dungan-Seaver
0,Nora de Rege
0,Sarah Heuss
0,Joe Brandt
2,John Stevenson
5,Cesario Velasco
13,Norah Gonzalez
16,Alex Hubley
16,Jay Lonetree
20,Adrian Haugee
30,Geez Dube
31,Else Gerber
45,Thomas Mattimiro
54,Sawyer Neske
69,Dylan Lian
76,Jackson Meehan
b,r,e,a,k
Stackcats,12
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/stackcatsultimate/,http://@stackcatsultimate
coaches,Benton Fletcher
0,Andrew Cory
0,Anthony Oplawski
0,Benjamin Golz
0,Isaiah Cochran
0,Emily Stanger
0,Jack Wolf
0,Haili McConnell
0,Ryan Kantor
0,Rachel Hunt
0,Joseph Roarty
0,Rhea Joshi
0,Mia Fischel
0,Lauren Levinson
0,Yang Qian
0,Rachel Xiao
0,Juan Amador
3,Hannah Amaya
3,Eric Klaus
14,Dennis Gisler
14,Claire Szilagyi
18,Erika Wagner
24,Dylan Mcgarr
26,Matthew Golz
30,Ryan Shore
30,Jessica Johnson
37,Carolina Szoepe
b,r,e,a,k
Mad Udderburn,19
teamInfo,,"Madison, Wisconsin",https://www.Instagram.com/madudderburn,https://www.facebook.com/MadUdderburn,https://twitter.com/mad_udderburn
0,Alex Henige
0,Alex Larsen
0,Abigail O'Callaghan
0,Annie Dreyfuss
0,Eva Eckel
