D-III River City Showdown,College - Men ,20,2,2026
Richmond,VA,2026-02-20,2026-02-22
https://play.usaultimate.org/events/D-III-River-City-Showdown/schedule/Men/CollegeMen/
Franciscan,1
teamInfo,Fatal,"Steubenville, Ohio",,https://www.facebook.com/franciscanfatalultimate/?fref=ts,
0,Caleb  LaFlamme
0,Dominic LaFrance
0,Edward Anderson
0,Emmanuel Pacas
0,Anthony Pucillo
0,John Parker
0,Patrick Fontenot
1,Justin Wallace
4,Andrew Carmody
11,Samuel Moreno
14,Joseph Duerr
17,Taylor Lange
19,Augustine Schmiesing
24,John McDonald
24,Peter Free
27,Brendan Vander Woude
35,Jacob Mayers
44,Nathaniel Scott-Avery
51,Matthew Gregor
63,Jude Schmiesing
98,Luke Updike
b,r,e,a,k
Berry,8
teamInfo,Bucks,"Mount Berry, Georgia",https://berryultimate.github.io/index.html,,https://twitter.com/berry_bucks
01,Elliot Green
02,Josh Zielke
03,David Carroll
04,Noah  Stolpe
07,Manuel Estevez
08,James Clark
09,Rory Strickland
10,Mikey Curtis
11,Tyner Rowley
12,Angelo Hernandez
13,Grant Sikes
14,John Drury
17,Jackson Knox
18,Domenic Ciavarro
19,Caleb Coons
21,Jacob Sloan
22,Elijah Hoshide
26,Elliot Mayo
30,Beckett Yelton
32,Wilson Hollis
33,Eli Preuer
55,Ben Rooke
67,Jonathan Blake
b,r,e,a,k
Haverford,12
teamInfo,Big Donkey Ultimate,"Haverford, Pennsylvania",,,https://twitter.com/donkeyultimate
01,Leo Wellmann
02,Ethan Furman
03,Darren Belanger
04,Emile Roth
05,Will Murdock
08,Arno Harden
10,Charlie Harris
11,Edwin Luebke
12,Aedan Shiffman
19,Milan Arado
22,Xilong Tie
23,Mateo Kietzman
25,Timothy Leon
29,Carter Rostron
32,Alexander Henry
38,Wyatt Staley-Bischoff
42,Billy Broker
48,Dylan Winning
50,Isaac Rivera
55,Isaac Roth
64,William Snyder
68,Caleb Nelson
b,r,e,a,k
Christopher Newport,13
teamInfo,Skymaul,"Newport News, Virginia",,,https://twitter.com/CNUultimate
0,Ben Buchanan
0,Myles Miller
0,Joshua Barnum
0,Joshua  Riutta
0,Riley Deer
0,William Fisher
2,Zachary Fox
3,Andrew Sobol
7,Caden Mills
8,Ryan  Hinton
9,Douglas Patrick
17,Nalin Theodore
21,Nathan Emmatty
24,Nolan Reynolds
35,Jackson Daughters
39,Joseph Baldi
58,Evan Hermosilla
67,Charles McCoy
69,Logan Pena-Bandalo
70,Joseph Schlossberg
90,Esteban Olivares
95,Palmer Bogdan
b,r,e,a,k
Wesleyan,2
teamInfo,Nietzsch Factor,"Middletown, Connecticut",,https://www.facebook.com/nietzschfactor/,https://twitter.com/nietzschfactor
0,Alexander Baneat
0,Charlie Bieler
0,Denis Cha
0,Gideon Siff
0,Grayson Nijbroek
0,Henry Turner
0,Isaac Hinton
0,Jacob Anderson
0,Jonah Eggemeier
0,Joseph Lechowicz
0,Max Keller
0,Ryland Kasperowski Breen
0,Trevor Schmeichel
1,Malen Cheung
3,Benjamin Schietinger
4,Ezekiel Appel
8,Joe Finkelstein
10,Aran Sheehan
13,Amit Piryatinsky
16,Jake Klasky
18,Alex Files
19,Daniel Becker
22,Dash Merrill
23,Isaac Janiak Stein
29,Daniel Gessel
32,Julian Fried
33,John Pagano
37,Cole Pepin
52,Eli Fellus
64,Ethan Chuan Qu
77,Dylan McCaleb
86,Jackson Barber-Just
99,Sam Korenbaum
b,r,e,a,k
Brandeis,11
teamInfo,TRON,"Waltham, Massachusetts",,https://www.facebook.com/brandeistron,https://twitter.com/brandeistron
coaches,Cameron Park
0,Eytan Sieger
0,Jeremy Sun
4,Noah Baumann
5,Nathaniel Pazos
00,Judah Goldman
02,Ezekiel Bloom
06,Jacob Budner
07,Arthur Winkelmann
08,Sihoc-Adam Ho
09,Max Klein
12,Nathaniel Friedman
13,Lars Kovamees
15,Noah Zall
18,Seth Rosenfeld
21,Aaron Gold
31,Lior Schifrin
36,Ethan Rosenfeld
42,Evan Reif
66,Jonah Grantz
77,Ryan Carmichael
88,Aaron Klein
99,Yaxin Jiao
b,r,e,a,k
Oberlin,7
teamInfo,Flying Horsecows,"Oberlin, Ohio",https://sites.google.com/oberlin.edu/flyinghorsecows/home,https://www.facebook.com/OberlinUltimate,https://x.com/horsecows
02,Zubin Ghoshal
07,Issei Robinson
08,Jack Ryan
09,Saul Chambers
10,Benjamin Eichner
12,Simon Korotzer-Mariani
13,Saxon Egge
16,Toby Fleischer
17,Mateo Gonzales
18,Carlos Sofge-Osorio
22,Luke Bennett
24,Shaswat Gajurel
25,Alexander Hunkins
27,Jonah Feinstein
28,Ryan Ward
33,Cooper Umbaugh
35,Adam Wright
41,Bruno Becker
44,Stevin Wallace
52,Aaron Bedi
66,Jackson Penney
71,Sebastien Kline
99,Gabe Kiron
b,r,e,a,k
Mary Washington,14
teamInfo,Mother of George,"Fredericksburg, Virginia",,,
0,Ashton Crawford
0,Brogan Jones
0,Cole Hopkins
0,Finnegan Brile
0,Graham Elliott
0,Ian Hess
0,Nathan Holmquist
0,Nicholas Leonard
0,Nolan Powers
0,Reid Feindt
0,Riley Vandell
0,Tavian Braxton
0,Wilson Dunn
0,Edmund Gable
0,Jem Nims
0,Josiah Schlechty
3,Mateo Schneider
10,Eli Mariani
57,Zachary Wolford
67,Duncan Sanders
99,James Hingst
b,r,e,a,k
Richmond,3
teamInfo,Spidermonkeys,"Richmond, Virginia",,,https://twitter.com/urspidermonkeys?s=21
coaches,Owen Donovan,Ariel Vogel
0,Chase Bingaman
0,Kimhor Bun
0,Miles Lee
0,Nate  Warren
0,Noah Fournier
0,Samuel  Long
0,Theo Burdick
1,Brenton Dolan
2,Chris Johnson
3,Foster McConnell
4,Jose Zertuche
6,Ian Silver
7,William Martin
9,Jack Healey
11,Anthony Longo
12,Kyle Bjornson
14,Seamus Mackinnon
15,Jackson Carbonier
17,Avery Todtfeld
18,Eric Harnisher
19,Conor Morrisroe
20,Will Sharpe
22,Garrett Jay
23,Ben Edelman
25,Sassan Fahim
28,Ryan Harris
30,Owen Smith
31,Devon Shepherd
33,Gabriel Gehtland
42,Jeyaraj Keeley
44,John Daglio
64,Griffin Newhouse
66,Carson Davis
77,Eli Amantia
99,Finn Garside
b,r,e,a,k
Davidson,6
teamInfo,DUFF,"Davidson, North Carolina",,https://www.facebook.com/DavidsonUltimate/,https://mobile.twitter.com/DUFF_Cats?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
0,Andre Phillips
0,Asa McCaleb
0,Azim Mithaiwala
0,Ben Atherton
0,Benjamin Council
0,Bennett Lappin
0,Christopher Layman
0,Declan Lonergan
0,Emerson Miller
0,Evan Jones
0,Jacob Suchman
0,Jerry Wang
0,Kavi Kurup
0,Lucas Hoffman
0,Mac McCall
0,Max Liebermann
0,Michael  Emerson
0,Nirvan Bernstein
0,Noah Hawkins
0,Ryan Wu
0,Srijit Banerjee
0,Trenton Thompson
0,Bradley Towner
0,Yuma Fukatsu
1,Biwon Ng
6,Nicholas Skarbek-Borowski
02,Wesley Smail
10,Campbell Lesher
11,Nate Green
30,Truman Sandy
33,John Ready
35,Beckett Ledahl
77,Josh Matushak
b,r,e,a,k
SUNY-Cortland,15
teamInfo,Team Rocket,"Cortland, New York",,,https://twitter.com/cortlandulti?s=21
coaches,Kevin O'Connor
0,Jackson Gillespie
0,Kurt Plattel
1,Drew Jashembowski
5,Sullivan Eager
07,Alexander Cammarata
08,Matthew Prendergast
10,Nicholas Staco
11,Ethan Rafuse
14,Connor McNeill
15,Andrew  Saam
17,Michael Coomes III
19,Benjamin Canino
20,Michael Levy
23,John Piszczatowski
24,James  Prendergast
32,James Weilert
55,Tim Connolly
87,Caden Miata
b,r,e,a,k
Dickinson,10
teamInfo,Dumptrucks,"Carlisle, Pennsylvania",,,
0,Caleb Grim
0,Carter Strang
0,Chris Marcil
0,Eli Claney
0,Eli Scott-Joseph
0,Felix Zehe
0,Garin Hoenig
0,Graham Bucci
0,Jack Kimbrell
0,Jeffrey  Nodelman
0,John Bartlett
0,Jordi Schuler
0,Matteo Roakes
0,Parker Cashio
0,Quinn Hart
0,Theo Stockton
0,Zachary Baskin
0,Andrew Ward
0,Archie Mumma
2,Michael Johnson
13,Ignatius Tower
14,Benjamin Lopez
19,Henry Hunsdorfer
20,Elio Baez-Estersohn
21,Hollin Barth
b,r,e,a,k
North Carolina-Asheville,5
teamInfo,Mudpuppy,"Asheville, North Carolina",,,
03,Forrest Nottingham
07,Emile Grignard
08,Owen Clifford
10,Owen Stout
11,Graham Hodge
15,Jackson Carawan
17,Harry Odem
19,Kyle Bernstein
21,Simon Segovia-Welsh
24,Julian Soto
25,Miles Wiley
44,Adam Pohl
47,Ethan Rhodes
71,John Deaver
72,Brandon Bass
99,Augustin Bullard
b,r,e,a,k
Rochester,4
teamInfo,Piggies,"Rochester, New York",https://piggiesultimate.weebly.com/,,https://twitter.com/piggiesultimate
0,Benjamin Goldstein
0,Cameron Lowe
0,Elijah Greenough
0,Elijah Clymer
0,Emerson Jenen
0,Miles Frank
0,Niels Weisbeek
0,Noah Robison
0,Rain Xia
0,Robert Vogt
0,Seth Rozen
0,Stephen DeBenedittis
0,Sumedh Anantha Krishna
0,Teddy Schwartz
0,Zach Greenwell
3,Avi Skolnick
10,Noah Paradise
17,Skylar Abruzese
22,Joel Escobar Amurrio
32,Timothy Loftus
47,Sopheakdey  Bov
50,Jack Ringel
69,Jackson Vetter
b,r,e,a,k
Messiah,9
teamInfo,Falcons,"Mechanicsburg, Pennsylvania",messiah.edu,https://www.facebook.com/messiahultimate,https://www.twitter.com/messiahultimate
0,Jacob Cruzan
0,Jacob McIntire
0,Jeron Zimmerman
0,Josh Cook
0,Judah Blankenbiller
0,Kyle Campbell
0,Levi Musser
0,Nathaniel Zarate
0,Noah Richert
0,Regan Tan
0,Aaron Smith
0,Aiden Brown
0,Andrew Michalewsky
0,Avery  Morrison
0,Spencer Lyon
0,Zachary Bisbort
0,Zachary Denlinger
15,Ryan Silvis
43,Gavin Kinch
b,r,e,a,k
William & Mary (B),16
teamInfo,Seahorse,"Williamsburg, Virginia",,,https://twitter.com/WM_Seahorse
0,Liam Hundley
2,Owen Rollins
3,Patrick Hoover
4,Luke Denman
5,Tobias Lee
6,William Larson
7,Matthew Norton
9,Brendan Perkins
11,John Trudeau
12,Cameron Paoloni
15,William Maxwell
17,Logan Andros
18,Krishna Swaminathan
22,Peter Vicente
23,Tyler Skeen
24,Liam Andros
26,Tyler Gittelman
29,Hugh Carney
32,Nathan Pease
36,William Barmby
47,James Lavender
52,Maddox Kromash
57,Barnaby Griffin
66,Walter Tracinski
67,Reuben Menk
87,Ryan Zamer
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Franciscan,Haverford,13,5,"02/21/2026, 10:30",Pool A,Final
Berry,Christopher Newport,13,6,"02/21/2026, 10:30",Pool A,Final
Franciscan,Christopher Newport,13,5,"02/21/2026, 12:00",Pool A,Final
Berry,Haverford,13,8,"02/21/2026, 12:00",Pool A,Final
Franciscan,Berry,13,9,"02/21/2026, 15:00",Pool A,Final
Haverford,Christopher Newport,12,9,"02/21/2026, 15:00",Pool A,Final
pool,Pool B
Wesleyan,Brandeis,13,12,"02/21/2026, 09:00",Pool B,Final
Oberlin,Mary Washington,13,5,"02/21/2026, 09:00",Pool B,Final
Wesleyan,Mary Washington,13,2,"02/21/2026, 10:30",Pool B,Final
Oberlin,Brandeis,10,11,"02/21/2026, 10:30",Pool B,Final
Wesleyan,Oberlin,9,10,"02/21/2026, 13:30",Pool B,Final
Brandeis,Mary Washington,13,2,"02/21/2026, 13:30",Pool B,Final
pool,Pool C
Richmond,Davidson,13,11,"02/20/2026, 20:00",Pool C,Final
Richmond,SUNY-Cortland,13,8,"02/21/2026, 09:00",Pool C,Final
Richmond,Dickinson,13,8,"02/21/2026, 10:30",Pool C,Final
Davidson,SUNY-Cortland,10,8,"02/21/2026, 10:30",Pool C,Final
Davidson,Dickinson,13,4,"02/21/2026, 12:00",Pool C,Final
Dickinson,SUNY-Cortland,7,11,"02/21/2026, 13:30",Pool C,Final
pool,Pool D
Rochester,Messiah,13,4,"02/21/2026, 09:00",Pool D,Final
North Carolina-Asheville,William & Mary (B),13,3,"02/21/2026, 09:00",Pool D,Final
Rochester,William & Mary (B),13,2,"02/21/2026, 12:00",Pool D,Final
North Carolina-Asheville,Messiah,13,2,"02/21/2026, 12:00",Pool D,Final
Rochester,North Carolina-Asheville,8,10,"02/21/2026, 13:30",Pool D,Final
Messiah,William & Mary (B),13,9,"02/21/2026, 13:30",Pool D,Final
b,r,e,a,k
brackets,Championship Sunday 
bracket,Champ Bracket
Franciscan,Messiah,0,0,"02/22/2026, 08:00",1st Place Quarters,Scheduled
North Carolina-Asheville,Davidson,0,0,"02/22/2026, 08:00",1st Place Quarters,Scheduled
Oberlin,Berry,8,11,"02/22/2026, 08:00",1st Place Quarters,Final
Richmond,Rochester,1,0,"02/22/2026, 08:00",1st Place Quarters,Scheduled
bracket,5th Place Backet
Oberlin,Rochester,0,0,"02/22/2026, 09:30",5th Place Semi,Scheduled
bracket,3rd Place Final
bracket,7th Place Final
b,r,e,a,k
pools,Pool Of Death
pool,Pool E
Dickinson,Mary Washington,0,0,"02/22/2026, 08:00",Pool E,Scheduled
