2026 D-I College Championships,College - Men ,22,5,2026
Rockford,IL,2026-05-22,2026-05-25
https://play.usaultimate.org/events/2026-d-i-college-championships/schedule/Men/CollegeMen/
Oregon,1
teamInfo,Ego,"Eugene, Oregon",,https://www.facebook.com/OneBigEgo/,https://twitter.com/egotime
coaches,Connor Matthews,Braedon Petrus,Trevor Smith,Christopher Strub
00,Isaac Blumklotz
02,Beckett Sessums
04,Alex Hall-Witt
06,Emanuel Berson
08,Adam Wulkan
09,Marcus Beidler
11,Lucas Terzic
13,Owen Sprague
14,Nicholas Cao
16,Emmett Warner
17,Reggie Masket
18,Marco Muralles
21,Jonah Hammes
23,Julian Saunt
24,Mica Glass
25,Nathan Williams
26,Raekwon Adkins
27,Mason  Weybright
28,Max Massey
38,Jude Small
48,Ben Horrisberger
49,Daniel Collier
72,Aaron Kaplan
77,Jackson Heglie
84,Owen Shaff
99,Will Dillender-Kinast
b,r,e,a,k
California-Santa Cruz,8
teamInfo,Slugs,"Santa Cruz, California",https://www.instagram.com/slugultimate/,https://www.facebook.com/slugultimate,https://twitter.com/slugultimate
coaches,Johnny Ortberg
02,Dylan Tams
03,Finnegan Barr
07,Cyrus Isaacs
11,Sulek Dopman
13,Weston Collard
14,Gabriel Schwartz-Ketchner
15,Milan Moslehi
16,Ryan Weng
19,Jackson Friday
20,Dimitrios Kokalis
21,Cole Mires
22,Cullen Keefe
23,Henry Bellevin
31,Toby Warren
32,James Joyce
35,Joseph Donovan
36,Selim Jones
38,Michael Masotti
42,Benjamin Pratt
45,Tyler Weng
70,Ranier Bissell
74,Nirel Barthelom
75,Bodie Shargel
77,Mario Ambrose
92,Seamus Shogren
b,r,e,a,k
Georgia Tech,13
teamInfo,Tribe,"Atlanta, Georgia",https://gttribe.github.io/,https://www.instagram.com/gt_tribe/,https://twitter.com/gttribe
coaches,Adam Miller,Matthew Hardman,Troy Baker,Brett Hulsmeyer
00,Sam Granade
01,Stefan McCall
02,Grover Grendzinski
04,Matthew Greenberg
05,Ethan Austin-Cruse
07,Jedidiah Cheng
08,Adithya Deepak
09,Nikos Verlenden
10,Nicholas Andrews
11,Ivan Sanchez
12,Jackson Armstrong
13,Sam Grossberg
17,Ganden Fung
22,Ephraim Connor
23,Connor Case
26,Keller Smith
31,Juan Camilo Castrillon Davis
33,Phillip Markovitz
37,Owen Hammond-Lee
39,Philip Emry
41,Neal Zeng
42,Adam Grossberg
69,Michael Poe
77,Flavius Penescu
91,Dhruvsai Dhulipudi
b,r,e,a,k
Texas,12
teamInfo,TUFF,"Austin, Texas",https://texasultimatefrisbee.weebly.com/,https://www.facebook.com/TexasUltimate,https://twitter.com/texas__tuff/
coaches,Matthew Armour,Calvin Lin,Joe Sefton,Jack Joshi
00,Vignesh Sanagala
01,Isaac Fuzat
03,Aaron Barcio
04,Sharan Sethi
05,Owen Smith
06,Kellen Watts
09,Rushil Randhar
10,Xavier Fuzat
12,Jacob Suchomel
14,Zachary White
15,Soh Nishiyama
17,Henry Charbeneau
18,Brandon Lemens
20,Andy Wang
21,Owen Johnson
22,Taylor Masterson
24,Dillon Doubrava
28,Luke Knight
34,Mitchell Blaha
38,Andy  Zhou
42,Joseph Sunukjian
69,Haedon Cunningham
71,Pavel Kraus
73,Nathaniel Tan
80,Elliot Ylagan
81,Jake Worthington
88,Cullen Baker
96,Talon Balcom
99,Joshua Cremer
b,r,e,a,k
Utah,17
teamInfo,Zion Curtain,"Salt Lake City, Utah",https://www.zioncurtainultimate.com/,,https://twitter.com/zioncurtainulti
coaches,Eric Christensen,Alex Walker
0,Cooper Bost
01,Daniel Watson
02,Oscar Brown
03,Solan Honore-Jones
04,Henri de St. Germain
05,Rainor Alin
06,Ian Cunningham-Ward
07,Elijah Watchalotone
08,Will Selfridge
09,George Shelby
11,Gerry McManus
17,Connor Lund
18,Lucas Reavy
19,Dustin Schrader
22,Isaiah Klepfer
23,Finley Wills
30,Jack Valentine
34,Malcolm Starr
39,Max  Dehlin
40,Grant Newkirk
44,Ben Sumrall
45,Nate Reavy
54,Maxwell White
77,Jackson Hammond
87,Max DeBroux
99,Grayson Rettberg
b,r,e,a,k
Colorado,2
teamInfo,Mamabird,"Boulder, Colorado",http://www.mamabird.com,https://www.facebook.com/University-of-Colorado-Mamabird-361160030582581,https://twitter.com/CUMamabird
coaches,Nathan Buchholz,Akane Kleinkopf,Lisa Pitcaithley,Jonathan Nethercutt
00,Tobias Brooks
01,Zeke Thoreson
02,Zach Weiss
03,Thomas Tasker
04,Finn Dougherty
05,Daniel Bauman
06,Axel Hartzog
07,Shaan Narayan
08,Simon Logan
09,Rami Rifaat
10,Alex Yu
11,Ezra Thoreson
12,Anders Pearson
14,Sam Kilgore
15,Geoffrey Tucker Kalmus
16,Noah Futterman
17,Curtis Pakgross
18,Noah Logan
20,Will Barnouw
22,Nicholas Kleinhelter
23,Elliot Hawkins
27,Lukas Alexander
