Easterns 2026,College - Men ,28,3,2026
Wilmington,NC,2026-03-28,2026-03-29
https://play.usaultimate.org/events/Easterns-2026/schedule/Men/CollegeMen/
Colorado,1
teamInfo,Mamabird,"Boulder, Colorado",http://www.mamabird.com,https://www.facebook.com/University-of-Colorado-Mamabird-361160030582581,https://twitter.com/CUMamabird
coaches,Nathan Buchholz,Jonathan Nethercutt,Lisa Pitcaithley
1,Tobias Brooks
1,Zeke Thoreson
2,Zach Weiss
3,Thomas Tasker
4,Finn Dougherty
5,Daniel Bauman
6,Axel Hartzog
7,Shaan Narayan
8,Simon Logan
9,Rami Rifaat
10,Alex Yu
11,Ezra Thoreson
14,Sam Kilgore
15,Geoffrey Tucker Kalmus
16,Noah Futterman
17,Curtis Pakgross
20,Will Barnouw
22,Nicholas Kleinhelter
23,Elliot Hawkins
27,Lukas Alexander
28,Finn McKenzie
33,Elijah Downs
40,Wesley Davis
42,Ryan Allenson
46,Nanda Min-Fink
58,John Baggenstoss
59,Harrison Berg
66,Ryan Shigley
84,Noah Logan
91,Joe Michaud
b,r,e,a,k
Western Washington,8
teamInfo,DIRT,"Bellingham, Washington",,,
coaches,Craig Harkey
0,Noah Magallanes
0,Otis Vinton
0,Sophia Dellapenta
0,Virgil Jones
0,William Schei
2,Phoenix  Laliberte
4,Brian Fosmark
5,Eliot Lundt
7,Gideon Knox
9,Elijah Diamond
11,Byron Jordan
15,Graham Peck
16,Cedar Hines
17,Thomas Simms
20,Calvin Dodge
21,Griffin Laliberte
32,Ben Hanson
39,Mason Herndon
42,Peter Eklund
47,Zoli Ishikawa-szabo
72,Marcus Hibpshman
74,Ethan Kelley
88,Hayden Zaske
95,Zach Sadow-Hasenberg
b,r,e,a,k
Pittsburgh,9
teamInfo,En Sabah Nur,"Pittsburgh, Pennsylvania",http://pittultimate.org,,http://@PittUltimateM
0,Owen Hall
0,Zachary Rachfal
1,Andrew Mennig
2,Tanner Norpel
4,Henry Everett
5,Peter Kotz
7,Andrew Gajan
8,Sam Gombiner
9,Julius Clyburn
10,Reid Duncan
11,Declan Murphy
12,Ezra Beidler-Shenk
13,Brenden Gasper
14,Ryan Dowdy
15,Thomas Mazur
17,David Friedman
18,Aaron McDaniel
21,Adam Ricci
23,Andres Granofsky
25,Morey Averill
30,Sean Mickel
44,Griffin Schlabach
48,Max Cowie
72,Jake Sperry
81,William Fath
88,Micah Davis
89,Lucius Christie
b,r,e,a,k
Northeastern,16
teamInfo,Huskies,"Boston, Massachusetts",http://www.ultimate.neu.edu/men,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
coaches,Angela Zhu
1,Skyler Davidman
3,Benjamin Saterbak
4,Krish Vasisht
6,Isaiah Jones
7,Carter Crooks
8,Sunay Patel
9,James (Jimmy) Beckman
10,Santiago Hernandez
11,Kavi McKinney
12,Ramsey Elder
14,Sean Jaffe
15,David Pinto
16,Michael Fink
17,Sam Agranat
18,Ciaran Pratley
20,Nathaniel Cramer
22,Mikel Leiva
24,Seth Fisher-Olvera
25,Simon Perez
30,Adam Cole
31,Griffin Majer
40,Austin Philp
47,Landon Schopp
85,Elliot Phifer
87,Austin Weiss
91,Kalten Toone
b,r,e,a,k
North Carolina-Wilmington,17
teamInfo,Seamen,"Wilmington, North Carolina",http://seamenultimate.com/,https://www.facebook.com/seamenultimate,https://twitter.com/seamenultimate
0,Cam Spong
0,Charlie  Mosner
0,Christian Belus
0,Clemens Liu
0,Connor OReilly
0,Grant Barbour
0,Ian Cobb
0,Isaac Castiglione
0,Jackson Walser
0,Justin Silver
0,Alexander Woodall
0,Benjamin Kinnaird
0,Logan Beane
0,MacCabe Tucker
0,Marcus Needham
0,Mustafa Hamed
0,Sawyer Williamson
0,Ty Yandle
0,Will Fischer
8,Ryan Manuel
11,Stewart Kelley
11,Atharv Patil
16,Busbee Pace
27,Karsten Heimel
97,Pablo Velosa
b,r,e,a,k
Oregon,2
teamInfo,Ego,"Eugene, Oregon",,https://www.facebook.com/OneBigEgo/,https://twitter.com/egotime
coaches,Connor Matthews,Braedon Petrus,Trevor Smith,Christopher Strub
4,Alex Hall-Witt
6,Emanuel Berson
8,Adam Wulkan
9,Marcus Beidler
11,Lucas Terzic
11,Beckett Sessums
13,Owen Sprague
14,Nicholas Cao
17,Reggie Masket
18,Marco Muralles
21,Jonah Hammes
23,Julian Saunt
24,Mica Glass
26,Raekwon Adkins
27,Mason  Weybright
28,Max Massey
38,Jude Small
48,Ben Horrisberger
72,Aaron Kaplan
77,Jackson Heglie
81,Emmett Warner
84,Owen Shaff
89,Isaac Blumklotz
99,Akash McMinnn
99,Daniel Collier
99,Nathan Williams
99,Will Dillender-Kinast
b,r,e,a,k
Brown,7
teamInfo,Brownian Motion,"Providence, Rhode Island",http://www.brown.edu/Athletics/Mens_Ultimate/,https://www.facebook.com/brownultimatefrisbee,https://twitter.com/BMoUltimate
coaches,James Smart,Jonathan Stout,Nate Taylor
0,Ben McLanahan
0,Camilo Tamayo-Rousseau
0,Chien-Yu Xiong
0,Connor Withey Evans
0,Devan Hernandez
0,Emmett Young
0,Eric Du
0,Isaac Holtz
0,Jack Conroy
0,Jeremiah Wiener
0,Karl Hokkanen
0,Luke Wang
0,Nolan McCloskey
0,Aayush Muthuswamy
0,Adrian Lin
0,Owen Erdman
0,Roshan Iyengar
0,Ryan Hsi
0,Siddharth Yende
0,Solomon Jackson
0,Zach Bensky
9,Jason Tapper
10,Amrik Eadara
20,Oliver Wicks
32,Oliver Kahn
44,Teo Huson
66,Eli Chang
77,Alexander Drogin
b,r,e,a,k
Georgia Tech,10
teamInfo,Tribe,"Atlanta, Georgia",https://gttribe.github.io/,https://www.instagram.com/gt_tribe/,https://twitter.com/gttribe
0,Sam Granade
01,Stefan McCall
02,Grover Grendzinski
04,Matthew Greenberg
05,Ethan Austin-Cruse
06,John Davis
07,Jedidiah Cheng
08,Adithya Deepak
09,Nikos Verlenden
10,Nicholas Andrews
11,Ivan Sanchez
12,Jackson Armstrong
13,Sam Grossberg
14,David Baker
17,Ganden Fung
22,Ephraim Connor
23,Connor Case
26,Keller Smith
31,Juan Camilo Castrillon Davis
33,Phillip Markovitz
37,Owen Hammond-Lee
39,Philip Emry
41,Neal Zeng
42,Adam Grossberg
69,Michael Poe
77,Flavius Penescu
91,Dhruvsai Dhulipudi
b,r,e,a,k
Texas,15
teamInfo,TUFF,"Austin, Texas",https://texasultimatefrisbee.weebly.com/,https://www.facebook.com/TexasUltimate,https://twitter.com/texas__tuff/
0,Cullen Baker
0,Nathaniel Tan
1,Isaac Fuzat
3,Aaron Barcio
5,Owen Smith
6,Kellen Watts
7,Saif Ansari
9,Rushil Randhar
10,Xavier Fuzat
10,Owen Johnson
12,Jacob Suchomel
14,Zachary White
15,Soh Nishiyama
17,Henry Charbeneau
18,Brandon Lemens
20,Andy Wang
22,Taylor Masterson
23,Ben Thollander
24,Dillon Doubrava
27,Kevin Rogers
28,Luke Knight
34,Mitchell Blaha
38,Andy  Zhou
42,Joseph Sunukjian
69,Haedon Cunningham
69,Sharan Sethi
71,Pavel Kraus
81,Jake Worthington
96,Talon Balcom
99,Joshua Cremer
b,r,e,a,k
North Carolina State,18
teamInfo,NC State Alpha,"Raleigh, North Carolina",,https://www.facebook.com/NCSUalpha/,https://twitter.com/ncsualpha
0,Willem Boshoff
1,Ethan Dadolf
2,Tate Wilson
3,Peter Xu
4,Jonathan Taylor
5,Sam Le Blanc V
6,Henri Lessard
7,Marco Butera
9,Walker Sanders
10,Liam Mitchell
11,Kyler Wieties
12,Sam Garber
13,Aiden Fields
14,Srikara Prithvi
15,Matti Lee
16,Noah Lawrence
17,Keaton Barish
18,Sebastian Boccieri
19,Endymion Ashton Liu
21,Caleb Rickers
23,Tejas Sivarajakumar
24,Drew Grinnell
25,Allen MacMillan
32,Warren Kinnaman
37,Vincent Zhang
39,Feliks Ciesielski
56,Maxwell Shearer
59,Sathvik Avulapati
77,Milo Ciccone
88,Sam Prochnau
95,Jack Hartingh
b,r,e,a,k
Carleton College,3
teamInfo,CUT,"Northfield, Minnesota",https://www.carleton.edu/student/orgs/cut/,https://www.facebook.com/CUTrules,https://twitter.com/cutrules
coaches,Noah Hanson,Timothy Schoch,Jace Dean
0,Archer  Burns
01,Ian Rock-Jones
02,Jonah Barry
05,Max Posner
06,Nobi (Masao) Lorenz
07,Jasper Priest
09,Kailas Campen
10,Tej Murthy
11,Ryan duSaire
12,Thomas Shope
13,Nathan Parker
14,Fin Fuhrmann
15,Denny Beaumon
16,Aage Bonnell
17,Tiarnan Babcock O’Neill
19,Sarek Mallareddy
21,Joel Simon
22,Declan Miller
23,Abraham Boardman
24,Sam Elliott
27,Leo Cogan-Drew
28,Jonah Marquart
29,Axel Olson
31,Nathan De Morgan
33,Vivek Manchala
