Ow My Knee! 2026,Club - Mixed ,22,8,2026
Schenectady,NY,2026-08-22,2026-08-23
https://play.usaultimate.org/events/Ow-My-Knee-2026/schedule/Mixed/Club-Mixed
Bench,1
34,Thomas Buckley
47,Martin Sak
69,Joey Marzocchi
b,r,e,a,k
Domino Effect,15
teamInfo,,"New York, New York",https://www.instagram.com/dominoeffect_ultimate,,
0,Ashley Wong
0,Bryan Frumkin
0,Amber Kline
0,Ella Sherman
0,Joshua Zinger
0,Jeremy Moles
0,Jack Wilson
0,Jed Higdon
0,Sara Allen
0,Sofia Taylor
0,Wynnter Millsaps
0,Mariah Szabo
9,Aidan Gold
03,Justin Tsang
18,Albert Rosario-Pichardo
19,Sophie Krichevsky
43,Dan McManus
55,Jason Hughes
96,Mia Ryan
98,Grainne Casey
b,r,e,a,k
Funk,3
teamInfo,,"Newburgh, New York",,https://www.facebook.com/HudsonValleyFunk/,https://twitter.com/HVFunk
0,Caroline Turner
0,Ida Vandamme
0,Matt Latvis
01,Isaiah Casiano
08,Thomas Santiago
10,Robert (Bobby) Owens
11,Lily Anninger
12,Jasper Smith
13,Rebecca Tucker
16,Robert Hsu
17,Liam McCarthy
19,Cheyenne Mallo
22,Jordan Chow
23,Elissa Picozzi
24,Jordan Acker
26,Anna Fluhler
28,Zoe Zhu
30,Ava Harnick
33,Sophie Stahl
35,Alicia Menduni
38,James  O'Connell
41,Brayden Begian
43,Sam Pastore
44,Siobhan Spies
47,Lucas Murphy
62,Wes Collins
b,r,e,a,k
Axolotls,6
teamInfo,,"New Jersey, New Jersey",https://www.instagram.com/theaxolotlsultimate/,,
0,Eveline Shiao
0,Delia Kenny
0,Milo Korman
0,Bridget Williams
0,Casey Kulik
0,Lisa Flanagan
0,Kyle Dew
0,Kahchi Fong
0,Jatzary Gutierrez
0,Tomoe Dew
0,Russell Borenstein-Burd
0,Moi Li
0,Rae Conklin
0,Sergio Rojas Leal
0,Valentina Vasquez Olarte
0,Praneeth Vijayakumar
1,Reed Rawhouser
5,Scott Harvey-Arnold
7,Kafre O'Connell
13,Pete Isler
17,Iris Kim
18,Jeremy Lonnman
25,Benjamin Nichols
25,Robert Patten
67,Christopher McLaughlin
b,r,e,a,k
Garbage Pla(C)e,11
teamInfo,C,"ROCHESTER, New York",,,
0,Aidan Vitticore
0,Anissa Elahi
0,Bradford Montgomery
0,Dudley Loew
0,Dara Levy
0,Jeff Diduro
0,Jaysen Howard
0,Dana Dale
0,Anthony Fitzpatrick
0,Ryan Gardner
0,Scott Seyboth
3,Patty Kerwan
4,Katie Goerl
10,Erin Riggio
11,Nicole Meo
13,William Johnson
20,Becky Gravenstede
29,Talia Brewer
32,Max Kesselring
69,Wilson Gardner
87,Thomas Benati
b,r,e,a,k
Kappa,14
teamInfo,,"Toronto, Ontario CA",,,
0,Athena Gonzales
0,Benny Gyorke-Wong
0,Darren Tang
0,Emily Thresher
0,Brandon Chong
0,Jenny Ly
0,Eugene Hong
0,Justin Liu
0,Jason Le
0,Emily Chong
0,Kate Thresher
0,Joan Hu
0,Terry Luk
0,Rosario Wong
0,Russell Ijaya
0,Merinda Yu
0,Sam Loveys
6,Sushaan Patel
10,Caleb Lee
15,Ivan Huynh
b,r,e,a,k
Lampshade,4
teamInfo,,"Cambridge, Massachusetts",,,
coaches,Axis Sivitz
0,Corinna Rhum
0,Bobby Lovitch
0,Karina Cruz
0,Maya Kalmus
0,Walden Ng
0,Varun Shah
0,Sean Cheng
0,Liz Anusauskas
0,Zoe Colman
0,Hannah Laibinis
0,Jennifer Fiore
3,Kyle Roke
6,Abigail Skerker
6,Justinne Guarin
9,Abe Kielar
17,Robert Shapiro
20,Kevin Murphy
24,Sajani Clerk
26,Jackson Gillenwaters
37,Anna Shorb
44,Eric Freitag
69,Man Nguyen
72,Joseph Sadok
81,Alexander Velberg
b,r,e,a,k
NY Swipes,5
teamInfo,,"New York, New York",,https://www.facebook.com/swipesultimate/,
0,Aimee Teplitskiy
0,Alana Hughes
0,Allie Hinsberg
0,Allie Mundis
0,Cara Brown
0,Asher Woodbury
0,Chris Pliszak
0,Danny Siegel
0,Julie Ha
0,William Xu
0,Wilson Chen
0,Marisa Schwartz
0,Michael Robertson
0,Ethan Chi
0,Dhara Gebo
0,Laura Jowett
4,Ben Moyer
21,Benjamin Korman
35,Gary Delia
45,Colton Doering
54,Anna West
69,David Wingate
73,Alex Baroody
b,r,e,a,k
Crucible,12
teamInfo,,"Pittsburgh, Pennsylvania",,,http://@pghcrucible
0,Abby Scheinberg
0,Charles Wei
0,Daniel Clark
0,Kara Mariani
0,Dillon Tranquillo
0,Henry Lin-David
0,Iniyaa Mohanraj
0,Marquis Cofer
0,Michaela Cushing-Daniels
0,Priyanka Tewani
0,Rowan M Wright
0,Valeria Duque Villegas
0,Sarah Tillinger
0,Stella Barrett
5,Kelsey Fink
7,Lucas Jones
8,Joseph Merante
9,Katelyn Stavinga
18,Bridget McCoy
24,Anna VanDusen
27,Quincy Washington
33,Christopher Turocy
47,Colson Voss
71,Kevin Stewart-Mercurio
80,Jay Walker
91,Jeremy Kanter
b,r,e,a,k
Philly Twist,13
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/TwistUltimate/,https://twitter.com/philly_twist
0,Barrett Doering
0,Chor In Lam
0,Janelle Gerardi
0,Katie Masell
0,Zachary Jacobs
0,Rebecca Shustack
4,Brian  Murphy
4,Emily Gallagher
5,Emma Finucane
7,Ben Fournier
15,Hunter Fu
21,Mia Kripke
27,James Leonard
42,Julia Terrell
56,Lauren Feder
75,Abraham Schroeder
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Bench,Brooklyn Hive,0,0,"08/22/2026, 09:00",Pool A,Scheduled
Rainbow,Buffalo Brain Freeze,0,0,"08/22/2026, 09:00",Pool A,Scheduled
Bench,Buffalo Brain Freeze,0,0,"08/22/2026, 10:45",Pool A,Scheduled
Rainbow,Brooklyn Hive,0,0,"08/22/2026, 10:45",Pool A,Scheduled
Bench,Rainbow,0,0,"08/22/2026, 12:30",Pool A,Scheduled
Brooklyn Hive,Buffalo Brain Freeze,0,0,"08/22/2026, 14:15",Pool A,Scheduled
pool,Pool B
Quahogs,Mashed,0,0,"08/22/2026, 09:00",Pool B,Scheduled
FLI,Domino Effect,0,0,"08/22/2026, 10:45",Pool B,Scheduled
Quahogs,Domino Effect,0,0,"08/22/2026, 12:30",Pool B,Scheduled
FLI,Mashed,0,0,"08/22/2026, 12:30",Pool B,Scheduled
Quahogs,FLI,0,0,"08/22/2026, 14:15",Pool B,Scheduled
Mashed,Domino Effect,0,0,"08/22/2026, 14:15",Pool B,Scheduled
pool,Pool C
Funk,Garbage Pla(C)e,0,0,"08/22/2026, 09:00",Pool C,Scheduled
Axolotls,Kappa,0,0,"08/22/2026, 09:00",Pool C,Scheduled
Funk,Kappa,0,0,"08/22/2026, 10:45",Pool C,Scheduled
Axolotls,Garbage Pla(C)e,0,0,"08/22/2026, 10:45",Pool C,Scheduled
Funk,Axolotls,0,0,"08/22/2026, 12:30",Pool C,Scheduled
Garbage Pla(C)e,Kappa,0,0,"08/22/2026, 14:15",Pool C,Scheduled
pool,Pool D
Lampshade,Crucible,0,0,"08/22/2026, 09:00",Pool D,Scheduled
NY Swipes,Philly Twist,0,0,"08/22/2026, 10:45",Pool D,Scheduled
Lampshade,Philly Twist,0,0,"08/22/2026, 12:30",Pool D,Scheduled
NY Swipes,Crucible,0,0,"08/22/2026, 12:30",Pool D,Scheduled
Lampshade,NY Swipes,0,0,"08/22/2026, 14:15",Pool D,Scheduled
Crucible,Philly Twist,0,0,"08/22/2026, 14:15",Pool D,Scheduled
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
bracket,Third Place
bracket,5th Place Bracket
bracket,7th Place Game
b,r,e,a,k
brackets,Chumpionship Bracket
bracket,Chumpionship Bracket (9th)
bracket,11th Place Game
bracket,13th Place Bracket
bracket,15th Place Game
b,r,e,a,k
