2026 D-I College Championships,College - Women ,16,5,2026
Waukegan,IL,2026-05-16,2026-05-18
https://play.usaultimate.org/events/2026-d-iii-college-championships/schedule/Women/CollegeWomen/
Carleton College,1
teamInfo,Syzygy,"Northfield, Minnesota",http://carletonsyzygy.weebly.com,https://www.facebook.com/Syzygy-Carleton-Womens-Ultimate-15998745997/,https://twitter.com/SyzygyUltimate
coaches,Louis Burruss,Courtney Kiesow,Logan Weiss,Sarah Meckstroth,Claire Thallon
01,Chloe Hakimi
02,Melba Henley
03,Florence Basile
05,Eliza Barton
06,Emily Kretschmer
07,Naomi Fina
08,Rebecca Marshall
09,Gwendolyn Morris
10,Kyliah Mcroy
11,Opal Burruss
12,Matilda Pro
13,Audrey Goeddeke
14,Helen Burruss
15,Zoe McDaniel
17,Weizhi Zhang
18,Fiona Wong
19,Chagall Gelfand
22,Pilar Abele
24,Samantha Merritt
25,Mia Fischer
49,Madeline Kallin
b,r,e,a,k
Colorado,8
teamInfo,Quandary,"Boulder, Colorado",,https://www.facebook.com/ColoradoWomensUltimate,https://twitter.com/quandaryult
coaches,Claire Chastain,Veronica Eder,Alika Johnston
0,Leyla Williams
01,Iris Sawyer
02,Eliana Weinstein
03,Simone Pierotti
04,Chaily Derecskey
07,Emma Williams
09,Arden Luckett
10,Madelyn Schmidt
12,Taylor Smith
13,Faye Burdick
16,Fiona Cashin
17,Jada Abdalati
18,Emma Smith
21,Nora Graham
26,Grace Mattox
27,Sarah Laughlin
30,Arianna Bump
33,Jovan Downs
36,Leo Dienstfrey
38,Campbell O'Neal
58,Liana Bradley
73,Corinne Kloss
77,Emma Williamson
84,Noah Fong
b,r,e,a,k
Georgia,17
teamInfo,Athena,"Athens, Georgia",,https://www.facebook.com/UniversityOfGeorgiaWomensUltimate/,https://twitter.com/UGAUltimate
coaches,David William Petmecky,Molly Schneider
00,Nina Kline
01,Jemia Johnson
02,Rithika Vatchavai
04,Sarah Annie Pickren
05,Keely Baker
06,Sarah Lang
07,Zoe Hastings
10,Tristan Thompson
11,Quincy Booth
12,Aeryn Craig
13,Ellison Martin
14,Lucy  Wylie
18,Kaiden Burkes
19,Ava Samford
20,Mae Kline
22,Camryn  Simpson
25,Delaney Higgenbottom
27,Cecilia Clarke
29,Alyssa Fallon
33,Lillian Rachwalski
44,Audra Duncan
66,Anna White
b,r,e,a,k
Victoria,13
teamInfo,Vikes,"Victoria, British Columbia CA",,https://www.facebook.com/UVicWomensUltimate,https://twitter.com/uvicwultimate
coaches,Nathan Lam,Amira Maddison,Taryn Webster
01,Nahal Keshtkaran
02,Lucy Robertson
03,Kate Campbell
05,Breanna Roussin
07,Mari Nielsen
11,Ericka Edgell
12,Steffi Mo
16,Taylor Betonte
17,Anabelle Traub
19,Brynn Freeland
20,Claire McJannet
21,Kylie Usher
23,Sage Millen
31,Elyse Siegel
36,Larkin Allan
44,Lana  Li
86,Erin An
88,Lucy Vickers
91,Georgia  Smith
99,Jaime Ovstaas
b,r,e,a,k
UCLA,12
teamInfo,BLU,"Los Angeles, California",http://uclaclubsports.com/index.aspx?path=wuf,https://www.facebook.com/UCLABLU,https://www.twitter.com/blultimate
coaches,Cheryl Prideaux,Malia Smith,Tiffanie Gallo
02,Sabrina Belkin
03,Willa Campion
04,Katherine Chawke
06,Zoe Saxer
07,Zora Bael-Cyr
12,Julia Kamm
13,Lillian Englert
17,Zhiyue Jiang
18,Kasey Parks
20,Sylvia Ng
22,Annika Bok
23,Mia  Shimomura
24,Anokhi Luthra
28,Maya Swartzberg
32,Mya Mitchell
34,Louise Goldman
47,Charlotte Kurre O'Heaney
66,Sage Frock
b,r,e,a,k
British Columbia,2
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",http://www.recreation.ubc.ca/sport-clubs/ultimate-w/,https://www.facebook.com/UBCWomensUltimateSC/,https://twitter.com/ubcwomensulti
coaches,Edward Guo,Jonathan He,Victoria Lam
02,Abigail Grunenberg
03,Claire Weng
05,Kathy Huang
06,Isabella  Lin
07,Noor Al-Tabbaa
08,Samantha Quan
09,Shaelyn Woo
10,Adeline Hui
11,Liza Ng
12,Audrey Nichols
13,Nina Tsai
15,Ella Bolan
17,Elisa  Ekeland
19,Mandy Li
21,Emily Ma
22,Makenzi Basas Harris
23,Grace Liu
27,Phoebe Chen
33,Arisa Gilbert
35,Amelie Marshall
36,Bryelle Wong
51,Meagan Chau
73,Jamie Jung
93,Mika Kurahashi
98,Lauren Szeto-Fung
b,r,e,a,k
North Carolina,7
