Snow Melt 2026,College - Men ,28,2,2026
Colorado Springs,CO,2026-02-28,2026-03-01
https://play.usaultimate.org/events/Snow-Melt-2026/schedule/Men/CollegeMen/
Utah State,1
teamInfo,Scotsmen,"Logan, Utah",,https://www.facebook.com/profile.php?id=100089442176571,https://twitter.com/USUMensUltimate
0,Bracken Nielson
0,Cameron MacAleese
0,Harrison Treat
0,Matthew Peña
0,Merick Moar
0,Paul Koch
0,Jeffrey Koch
0,Tyler Bateman
1,Elijah Huber
8,Scott Jackson
10,Henry Nguyen
16,Boston Musgrave
17,Jackson Egbert
21,Benjamin Hoffman
24,Jonny Hoffman
26,Isaac Anderson
45,Alan Poulsen
66,Truman Phillips
99,Jared Waite
b,r,e,a,k
Puget Sound,8
teamInfo,Postmen,"Tacoma, Washington",http://www.upsultimate.com/,https://www.facebook.com/PugetSoundPostmen,https://twitter.com/upsultimate
0,Elliot Williams
0,Gabriel Guinn
0,Jackson Stapleton
0,Kevin Cuda
0,Maxwell Reisinger
0,Aaron Donovan
0,Aidan Elsbernd
0,Parker Beall
0,Samuel Turner
0,Shota Fletcher
0,William Dunne
3,Alex Rossmeissl
37,Samuel Bequette
50,Nainoa Ohata
64,Daniel Johnson
69,Sahaj Olivar
69,Nathan Ludington
72,Noah Hornecker
b,r,e,a,k
Occidental,11
teamInfo,Detox,"Los Angeles, California",,https://www.facebook.com/detoxultimate/,
0,Liam O’Neill
3,Quentin Folds
5,Andrew Eisenberg
6,Noah Hebert-Lynch
7,Sander Lieberman
04,Alexander Nguyen
10,Ian Terell
12,Henry Karnan
13,Will Carter
14,Keean Stauber
17,William Crawford
20,Zachary Goldberger-Judd
23,Elias  Davatzes
25,Russell Yee
28,Nilaksh Iyer
36,Dylan Feldman
42,Jessie Lowpensky
88,Nathaniel Weldon
99,Nikhil Strasma
b,r,e,a,k
Oklahoma Christian,2
teamInfo,Eagles,"Edmond, Oklahoma",https://oceagles.com/sports/ultimate,,
coaches,Samuel Roberts
05,Cooper Hudson
06,Milton Adina
07,Alex Santai
10,Quinten Talamantes
11,Ian Hammersmith
12,Isaiah Platt
13,Ian Vallier
14,Jose Cantero
15,TJ Lee
16,Logan Krehbiel
17,Caleb Lance
18,Augustus  Reed
19,Kyra Brasel
21,Evan Card
22,Matthew Battles
24,Daniel Griffin
37,Logan Hammersmith
47,Noah Page
57,Samuel Roberts
60,Emmanuel Kameri
69,Couper Kerns
98,Micah Humby
b,r,e,a,k
Colorado College,7
teamInfo,Wasabi,"Colorado Springs, Colorado",https://wabenith.com,,
coaches,Jimmy Donnellon
0,Merrick Chapin
0,Rowan Keller
1,Matan Fields
2,Toby Briggs
2,Denver Brown
4,Cooper Quatrochi
5,Jack Hills
6,Filip Maleev
6,Garrett Ensing
9,Oliver Wells
11,Oliver van Linder
12,Josh  Lillie
15,Noah Jones
16,Ethan  Lapin
17,Tobin Spiller
18,Owen Mortell
19,Leo McGaraghan
20,Adam Walker
22,Ezra McGinley-Smith
23,Miles Katzen
25,Lev Sugerman-Brozan
27,Cameron Thompson
30,Mason Pancoast
32,Jennings Wilson
37,Oden Hoff
44,Nico Martinez
81,Austin Green
85,Walker Thompson
b,r,e,a,k
Michigan Tech,12
teamInfo,DiscoTech,"Houghton, Michigan",,,https://twitter.com/DiscoTechUlti
01,Donn Bacon
02,Ben Resar
03,Kelty Blastic
07,Alex Krawza
08,Rivers DeShano
09,Samuel Mayer
10,Liam Guenin
11,Jacob Logid
14,Hugh Hanlon
15,Tom Dolan
17,Hieu Theriault
19,Ben Perry
21,Matvey Mcgettigan
23,Isaac Hannewald
26,Isaiah Hilkemann
28,Joshua Kozlowski
32,Ethan Emerick
33,Quinten Burlew
45,Matthew Oujiri
48,Michael Friese
60,Aristotle Pappajohn-Goldade
69,Morrison Arendall
72,Caleb Hoyord
76,Palmer  Cornett
81,David Artman
82,Noah Bortle
85,Christian Conway
98,Mark Fieweger
b,r,e,a,k
Lewis & Clark,3
teamInfo,Bacchus,"Portland, Oregon",https://www.instagram.com/bacchusultimate/?hl=en,https://www.facebook.com/bacchusultimate/,https://twitter.com/BacchusUltimate?lang=en
coaches,Benjamin Whitenack,Amir Kaghazwala
0,Miles Samant
0,Ren Salisbury
0,Robert Kalnbach
1,Orlando Impas
4,Charlie Wagner
6,Sam London
8,Joniah Helperin-Lange
9,Elliot Deleger
10,Jonas Kra-Caskey
11,Zach Hungerford
13,Finn Sporrer
14,Levi Stahl
15,Henry Dodd
17,Uri Boaz
19,Theodore Peterson
20,Daniel Corbo
21,James Fishman-Morren
23,Aidan McPheeters
25,Joseph  Woessner
26,Aiden Jacobs
28,Jedidiah Friendly
29,Vincent Allen-Lyons
82,Kahlil Gould-Bayba
99,Jorge Rodriguez
b,r,e,a,k
Colorado (B),6
teamInfo,CUCU,"Denver, Colorado",,,
0,Daniel Sawai
0,Juan Castillero
0,Oscar Lechner
0,Quinn Jarvis
1,Andrew Swanson
2,Liam Vander Wyk
5,Ian Ledford
6,Beck Buskirk
8,Jonas Sogaard
10,Blake Musfeldt
17,Daniel Lepsch
19,Kaeden Batz
