Southeast D-I College Men's Regionals,College - Men ,25,4,2026
Decatur,AL,2026-04-25,2026-04-26
https://play.usaultimate.org/events/Southeast-D-I-College-Mens-Regionals-2026/schedule/Men/CollegeMen/
Georgia Tech,1
teamInfo,Tribe,"Atlanta, Georgia",https://gttribe.github.io/,https://www.instagram.com/gt_tribe/,https://twitter.com/gttribe
0,Dhruvsai Dhulipudi
0,Jedidiah Cheng
0,Jackson Armstrong
0,John Davis
0,Stefan McCall
0,Michael Poe
5,Ethan Austin-Cruse
00,Adithya Deepak
00,Sam Granade
02,Grover Grendzinski
04,Matthew Greenberg
09,Nikos Verlenden
10,Nicholas Andrews
11,Ivan Sanchez
13,Sam Grossberg
14,David Baker
17,Ganden Fung
22,Ephraim Connor
23,Connor Case
26,Keller Smith
31,Juan Camilo Castrillon Davis
33,Phillip Markovitz
37,Owen Hammond-Lee
39,Philip Emry
41,Neal Zeng
42,Adam Grossberg
77,Flavius Penescu
b,r,e,a,k
Mississippi State,13
teamInfo,Dark Horse,"Starkville, Mississippi",https://instagram.com/msudarkhorse?igshid=MzMyNGUyNmU2YQ%3D%3D&utm_source=qr,https://www.facebook.com/pages/MSU-Mens-Ultimate-Club/109943542442587?ref=hl,https://twitter.com/HailStateUlt
0,Audie Hauptman
0,Christopher Duncan
0,David Zwettler
0,David Sawaya
0,Dylan Magee
0,Luke Brockmeier
0,Jacob Davis
0,Jackson Picone
0,Luke Stegall
0,Logan Marcel
0,Matthew Morin
02,Caleb Byers
06,Graham Williams
08,Kaden Alvarez
09,Abe Young
16,Felix Airhart
16,Madison Glidewell
17,Joshua Hamann
20,Joshua Mitchell
21,Gideon Miller
24,Zachary Crane
27,Bastian Tully
29,Bryce Taneri
29,Noah Carpenter
31,Grant Houston
33,Drew Laird
35,Noah Probst
40,William Bryan
45,Jeremy Baxter
47,Dawson Johns
50,Ka'Von Spivey
55,Jacob Estel
69,Diego Torrez
73,Evan Garrison
77,Jackson Thomas
78,Barnes Lowry
b,r,e,a,k
Florida,8
teamInfo,Florida,"Gainesville, Florida",,https://www.facebook.com/floridaultimate,https://x.com/ufultimate
01,Benjamin Adair
03,Moses Jaffa
04,Caio Rudloff
07,Lucas Rudloff
08,Joseph Rudd
09,Charles Overdevest
10,Tristan  Carron
11,David Brainard
12,Thomas Chase
13,Davis Orr
15,Ian Goldwire
16,Ayden Moran
18,Alec Belteau
19,Bhagya Patel
23,Emerson Van Soest
26,Nevin Legare
27,Yuxuan Tao
29,Dheeraj Pedada
37,Samuel Fong
38,William Le
42,Harin Patel
43,Benjamin Burke
47,Ethan Dagostino
48,Rafael Casellas
61,Chase Kennedy
67,Justin Gordon
81,Brayden Przekwas
83,Jack Roberts
b,r,e,a,k
Tennessee-Chattanooga,12
