Boston Invite 2026,Club - Mixed ,11,7,2026
Devens,MA,2026-07-11,2026-07-12
https://play.usaultimate.org/events/Boston-Invite-2026/schedule/Mixed/Club-Mixed
Grand Army,1
12,Cynthia Chang
13,Tomer Poole-Dayan
17,Robert Shapiro
18,Rachel Swindell
20,Kevin Murphy
21,Emily Wanzer
24,Sajani Clerk
26,Jackson Gillenwaters
37,Anna Shorb
44,Eric Freitag
69,Man Nguyen
72,Joseph Sadok
81,Alexander Velberg
b,r,e,a,k
Quahogs,15
teamInfo,,"Providence, Rhode Island",,,
00,Aaron Wida
00,Brian Walsh
02,Allison Pereira
04,Gigi Welsh
05,Marc Gleason
07,Anna Carr
08,Bridget Mason
09,Samantha Bertherman
10,Maggie Coutts
12,Angelica Mirandou
13,Connor Steere
14,Lucia Paul
17,Paul Warmington
18,Jason Berube
22,Matthew Pacenka
24,Catarina Braz-Rocha
25,Miranda Kramer
26,Nick Love
27,Megan Reilly
29,Kaitlyn Dahlborg
30,Aidan Campolettano
33,Chase Flint
42,Collin Brown
45,Brandon DiGiulio
72,Sarah Heavren
94,Eric Rogers
b,r,e,a,k
Buffalo Lake Effect,10
teamInfo,,"Buffalo, New York",www.nickelcityultimate.com,https://www.facebook.com/groups/50331329455/,
0,Alexandra  Padilla
0,Colton Zack
0,Chi Huan Lei
0,Evan Bembenista
0,Georgie Andrews
0,Emily Federowicz
0,Elizabeth Lai
0,Timothy (TJ) Burns
0,Sarah Bryant
0,Emily Porterfield
0,Nick Lenhard
0,Stephen Sampson
0,Jacob Sigeti
0,Laina Bockus
3,Cianna Burr
5,Anthony Ceddia
7,Avery Nutting-Hartman
8,Shane Watts
9,Michelle Tran
20,Hales Pink
24,Julia Bembenista
26,Matthew Montera
63,Jack Puttre
96,Emma Romell
99,Eoin Joyce
b,r,e,a,k
Garbage Plates,6
teamInfo,,"Rochester, New York",,,https://twitter.com/gplatesulti?s=17
0,Dana Dale
0,Ken (KJ) Dziak
0,Kathryn Toffolo
0,David Leder
0,Nicholas Colucci
0,Nazahah Hasan
0,Mary  MacAdam
0,Olivia  Dramer
0,Sarah Sheldon
0,William Stone
4,Matthew Hall
8,Piper Van Kerkhove
00,Tay Harvey
17,Skylar Abruzese
17,Michael Sheldon
20,David Brown
23,Raleigh Haskins
24,Sopheakdey  Bov
24,Maggie MacAdam
36,Andrew Gallagher
88,Nate August
95,Peter Carter
b,r,e,a,k
Heat Wave,19
teamInfo,,"Brooklyn, New York",,,
0,Eileen Connor
0,Christina Secor
0,Eric Shen
0,Austin Uhl
0,Eric Wong
0,Jordan Eissner
0,Katie Fazio
0,Janet Tong
0,Lea Wang-Tomic
0,Theo Trefonides
0,Oliver Feder
0,Samuel Feder
0,Shelly Tsirulik
0,Kirsten Knisely
0,Sterre Hesseling
0,Pierce Clark
2,Tessa Jones
4,Gabriel Valencia
10,Devin Allard-Neptune
12,WillIam Altschul
21,Bayle Smith-Salzberg
42,Jackson Hill
b,r,e,a,k
League of Shadows,14
teamInfo,,"Boston, Massachusetts",,,http://www.twitter.com/los_ultimate
0,Alex Mitsopoulos
0,Allison Kingsley
0,Christina Stellwagen
0,Julia Leung
0,Jack Deschler
0,Edmund Burr
0,Irene Ren
0,Jonas von Milczewski
0,Hedy Yang
0,Andy Burris
0,Ryan Melone
0,Sam VanNoy
0,Matthew Landis
0,Lydia Qin
0,Mikayla Balatbat
0,Tianmou Zhu
0,Kelly He
0,Zoe Honigberg
2,Theodore Bisdikian
11,Annie DiClemente
15,Casey Zhu
18,Julian Ching Hei Chow
23,Rebecca FitzGerald
42,Ezra Rich
77,Walton (Yuito) Lee
96,Mina Bozeman
b,r,e,a,k
PS,12
teamInfo,,"Allentown, Pennsylvania",,https://www.facebook.com/peepshowultimate/?ref=bookmarks,
0,Brett Bealer
0,Amy Zimmerman
0,Dominic Donati
0,Jeffrey Yeager
0,AJ Pounds
0,Alexis Randall
0,Kimberly Polefka
0,Kaitlin Watts
0,Karen Hranek
0,Lauren Durant
0,Jasmyn Mathiesen
0,Matthew Foley
0,Timothy East
0,Micah Watts
0,Luke Laubscher
0,Vicki Ma
0,Luke Ryan
14,Seval Kanik
24,Nicholas Jakubowski
34,Emily Parker
44,Wesley Morgan
45,Jordan Chang
52,Alyson Brokaw
52,Michelle Dirkse
b,r,e,a,k
Young and the Restless,13
teamInfo,,"Sturbridge Village, Massachusetts",,,
0,Abigail Baer
0,Amanda Sagers
0,Bethany Kaplan
0,Bryan Forman
0,Anna Abou-Francis
0,Dan Bush
0,Christopher Cox
0,Joshua Kish
0,Jeff Vincent
0,Celina Daigle
0,Kayla Pollman
0,Naomi Shin
0,Steven Stanish
0,Sarah Rumrill
0,Sandra Lewis
3,Barb Banz
7,Katherine England
17,Mike Augustine
28,Matthew Bartell
77,Matthew Fasano
b,r,e,a,k
Domino Effect,20
teamInfo,,"New York, New York",https://www.instagram.com/dominoeffect_ultimate,,
00,Aidan Gold
01,Laura Romig
03,Justin Tsang
04,Jeremy Moles
08,Jake O'Brien
09,Jed Higdon
11,Alexander Abrams
12,Albert Rosario-Pichardo
14,Joseph Avallone
16,Lindsey Shi
19,Sophie Krichevsky
20,Youngeun Lee
21,Martina Irurita
26,Sara Allen
33,Joshua Zinger
42,Jack Wilson
43,Dan McManus
47,Bryan Frumkin
54,Ella Sherman
55,Jason Hughes
88,Jack Monness
96,Mia Ryan
98,Grainne Casey
99,Ashley Wong
b,r,e,a,k
s,t,a,g,e,s
brackets,1st place Bracket
bracket,1st
Grand Army,Big Rig,14,11,"07/12/2026, 15:00",1st,Final
Grand Army,Zero Strategy,13,10,"07/12/2026, 13:00",semi,Final
