2026 U.S. Open Youth Club Championships (YCC) D1,Youth Club U-20 - Boys DI,1,8,2026
Aurora,CO,2026-08-01,2026-08-03
https://play.usaultimate.org/events/2026-US-Open-Youth-Club-Championships-YCC/schedule/Boys/youth-club-u-20-boys/di/
Triforce,8
teamInfo,,"Raleigh/Durham/Chapel Hill, North Carolina",,,https://twitter.com/TriforceTYUL
coaches,Claire Revere,Matt Gouchoe-Hanas,Michael Lee
00,Logan Singh
01,Matthew Gorzkowski
02,James Park
03,Henry Mullen
04,Linus Spiller
05,Will Ferris
06,Dylan Chen
07,Noah Young
08,Harrison Cole
09,Eamon Mullen
11,Jack Costello
12,Matthieu Dummer
13,Hunter Schultz
14,Gabriel Redding
17,Sam Ragsdale
21,Wyatt Tremewan
22,Jackson Selleck
23,Ayden Perez
28,Gabe Grandis
30,James Wang
32,Connor Winstead
41,Joshua Rugani
44,JD Woodruff
55,Xander Tzendzalian
b,r,e,a,k
SmOAK,1
teamInfo,,"Oakland, California",https://oakultimate.com/,https://www.instagram.com/oakultimate/,https://twitter.com/oak_ultimate
coaches,Michael Peng,Jason Seidler,Colby Chuck,Leo Gordon
01,Muhammad  Awais
03,Ezra Grziwok Dowling
06,Alex Poy
07,Hugo Tsai
09,Jasper Graf
10,Aaron Cho
11,Niko Quale
14,Benji Hendlish
15,Eliseo Vaquerano
17,Elliot Mok
18,Zack Seidler
20,Son Mai-Clark
21,Alexander Masters
22,Ethan McLaughlin
23,Lane Mires
24,Jasper Kirsch
29,Timothy Draut
32,Evan Weinstein
35,Nicolas Rusa
38,Alessio Gilabert-Papagni
47,Matthew Wong
70,Jonathan Duerr
77,Elliot Elson
99,Anush Patel
b,r,e,a,k
Texas United,9
teamInfo,,"Austin, Texas",,,
coaches,Noah Chambers,Joe Feeney,Calvin Lin,Isaac Boothe
03,Cormac Edmond
04,Emmett Allen
05,Ronan Lin
07,Noah Dougherty
08,Ezra Lenfest
10,George Gust
11,Greyson Fell
12,Sean Camann Hackney
14,Noah Crowe
15,Skyyler  Buckley
18,James Rindfuss
19,Aidan Rubin
22,Evan Kaelin
23,Ari Patel
24,Reed Watts
38,Nicholas (Nick) Bentley
40,Leo Krumpe
42,Brooks Van Eman
70,Bodhi Weston
73,Santiago Morales
74,Owen Huels
94,Jude Loy
b,r,e,a,k
Flying Pig,16
teamInfo,,"Cincinnati, Ohio",https://cincyultimate.org/youth/ycc,,
