Women's Centex 2026,College - Women ,21,3,2026
Austin,TX,2026-03-21,2026-03-22
https://play.usaultimate.org/events/Womens-Centex-2026/schedule/Women/CollegeWomen/
UCLA,1
teamInfo,Pie Queens,"Berkeley, California",http://www.piequeens.org,https://www.facebook.com/piequeensultimate,https://www.twitter.com/piequeens
coaches,Charlotte Laseter
00,Kate Trevor
02,Maia Tu
03,Andrea Saal-Dalma
04,Annie Reynolds
05,Virginia Brogan
06,Zoey Stein
07,Ari Gonzalez
08,Nicole Barger
09,Josephine McCartney
10,Olivia Kim
11,Anoushka Chitnis
12,Amy Weiss
13,Caledonia Krieger
15,Janet Tong
16,Katryn Heine
19,Lena Sundin
24,Carmen Joines
25,Joanne Hu
36,Serafina Quercini
37,Leah Cederborg
42,Elizabeth Kasner
54,Anne Welman
55,Tess Campion
b,r,e,a,k
Colorado State,9
teamInfo,Hell's Belles,"Fort Collins, Colorado",https://csuhellsbelles.netlify.app,https://www.facebook.com/csuwomensultimate,http://@HellsBellesUlti
3,Grace Walker
7,Maya Beck-Kjer
8,Amelia Ernst
10,Lauren Feeney
11,Lucy Schweiss
11,Analisa  Appleyard
11,Gretchen Pohl
13,Rebecca Singh
18,Rachel  Prager
22,Ella Barker
24,Taylor Schlageter
27,Jamie Lederhos
44,Jasmine Puska
47,Kelsey Evenson
48,Elsa Semroc
54,Olivia Doehr
62,Juliet Beckton
64,Calvin Cvar
66,Klaudia Poplawski
88,Madden Hagood
91,Faith Isakson Stubbs
b,r,e,a,k
Texas,6
teamInfo,Melee,"Austin, Texas",https://texaswomensultimate.github.io/home/,,https://twitter.com/txmelee?lang=en
0,Advika Kamatar
0,Alyssa Riddell
0,Amelia Smith
0,Ana  Garcia
0,Atiana  Kochling
0,Caroline Mulry
0,Christine Goh
0,Karalie Morrison
0,Lauren Jones
0,Leyli Akhmedov
0,LiLi Xiong
0,Lilliana Forrest
0,Meredith  Linnell
0,Mikayla Smith
0,Sydney White
0,Violet Pyles
0,Yingen Lin
0,Evangeline Hillegeist
4,Harper Hall
9,Megan Palladino
16,Cristina Mussiett
b,r,e,a,k
Brown,10
teamInfo,Shiver,"Providence, Rhode Island",,,
0,Arianna Gerola
0,Ashley Xu
0,Bella Steedly
0,Dahlia Fuld
0,Aila Gutierrez
0,Emily Bao
0,Julien Song
0,Linnaea McGuinness
0,Margot Champigneulle
0,Marley Behin
0,Mia Oxer
0,Olivia Rodriguez
0,Phoebe Koehler
0,Sunday Labrucherie
4,Katerina Rumsey
9,Alice Cannon
10,Devin Allard-Neptune
11,Maya Keefer
12,Olivia Cox
17,Estella Hughes
19,Madeline Hu
27,Ina Wolovitz
71,Nadine Ansorge
b,r,e,a,k
Washington University,3
teamInfo,Iron Horse,"St. Louis, Missouri",https://sites.wustl.edu/womensultimate/,https://www.facebook.com/twoWUs,https://twitter.com/wuwultimate
04,Lauren Smith
10,Allison Millinger
11,Annika Olson
14,Erin Pollack
16,Caitlin Pedraja
17,Amanda Gary
19,Jiwei Wu
21,Talia Horn
22,Rebecca  Goldberg
23,Nina Laser
25,Karen Bose
27,Anna Cochran
28,Elise Gadson
30,Lucy Wei
32,Nicole Blake
41,Sarah Schifferle
48,Talia Scott
49,Jenna Petty
53,Kaitlyn Torack
72,Madeline  Nakashian
77,Mary Orlando
85,Julia Victor
b,r,e,a,k
Southern California,2
teamInfo,Hellions of Troy,"Los Angeles, California",http://www.uscwomensultimate.com/,,https://twitter.com/USCHellions
3,Kelly Lukito
5,Casey Zaiqing Wong
9,Komal Kackar
12,Amelie Nah
16,Shayne Kim
20,Preyashi Poddar
20,Jade LeSchack
22,Delilah Masket
26,Annamarie Ellazar
28,Gabrielle Abato
28,Parissa Teli
34,Aishwarya Sudan
44,Makenna Harding-Davis
63,Violet Wei
64,Charlotte Dixon
66,Xuanlin Liang
77,Xin Shen
88,Caroline Yim
99,Aiyanna Co
b,r,e,a,k
Colorado College,7
teamInfo,Zenith,"Colorado Springs, Colorado",https://wabenith.com/,https://www.instagram.com/zenithultimate/,https://twitter.com/ZENITHultimate
0,Adelaide Langworthy
0,Cassidy Recker
0,Dahlia Cohn
0,Eliza Kerstetter
0,Elizabeth Blanning
0,Ella Reese-Clauson
0,Fiona Rucker
0,Julia Rydzewski
0,Lucia Metz
0,Rose  Ryan
0,Sarah  Malone
0,Zoe Posner
8,Kate Bicks
10,Nora Ito
19,Zoe Williamson
28,Kelsey Viadro
41,Katie Craven
48,Sacha Levine
b,r,e,a,k
Illinois,14
teamInfo,Menace,"Champaign-Urbana, Illinois",https://www.illinoismenace.com/,https://www.instagram.com/illinoismenace/,
0,Anna Roberts
0,Ishani Kalavagunta
01,Yao Sun
05,Danielle Merrifield
06,Megan Yeung
09,Isabel Retterer
10,Thea Traw
12,Ava Kolodziej
13,Claire Perkins
14,Kailey Frangella
16,Claire Greenwell
17,Maya Taylor
29,Claire Zhu
41,Mia Kang
42,Katharine Weems
51,Vivian Chen
57,Huaning Dai
96,Amy Burna
b,r,e,a,k
Trinity,17
teamInfo,Altitude,"San Antonio, Texas",http://www.trinitytigers.com/information/recsports/Club_Sports/Ultimate_Frisbee,,
b,r,e,a,k
Arizona State,11
teamInfo,Caliente,"Tempe, Arizona",https://calienteultimate.wordpress.com/,https://www.facebook.com/ASUWomensUltimateCaliente,https://twitter.com/CalienteASU
0,Caitlyn Lyons
0,Yanssel Lin
3,Remiri Yamada
6,Sarah Nguyen
9,Paige Myos
10,Megan Kirchhardt
11,Sydney Johnson
12,Sophie Tubbs
20,Natalie Whipple
21,Hannah Barton
24,Sriya Sridhar
31,Sayaka Noya
33,Els Shepard
57,Neerja Gohil
b,r,e,a,k
Central Florida,15
teamInfo,Sirens,"Orlando, Florida",https://www.instagram.com/sirens_ultimate/,https://www.facebook.com/UCFWultimate/,https://twitter.com/UCFWUltimate
coaches,Joseph Tilley
2,Lindsay Paul
3,Olivia Meador
6,Angie Jiang
7,Salem Freya
8,Cierra Volz
10,Zoya Baloch
11,Lauren Fitzsimmons
12,Brianna Ramirez
14,Ainsley Dalton
18,Abigail Kohan
23,Maia Mikulcik
24,Katie Kwatinetz
27,Jayda Egan
b,r,e,a,k
Texas (B),20
teamInfo,Mayhem,"Austin, Texas",,https://www.facebook.com/utexasultimate/,https://twitter.com/tx_mayhem
0,Ariela Sarabia
0,Elizabeth  Dyer
0,Jacinta Huang
0,Kate Bradshaw
0,Katherin Leija
0,Lara Collard
0,Leila Ibrahim
0,Myla Quichocho
0,Sarai San Lucas
0,Shanie Spinler
0,Shruti Joshi
0,Swapna Venkat
0,Vanesa Figueroa
b,r,e,a,k
Rice,13
teamInfo,Torque,"Houston, Texas",http://torqueultimate.wix.com/rice-womens-ultimate,,
0,Hadja Bayo
2,Ephrath Aschalew
4,Sofie Rose Payne
5,Hannah Zhang
9,Adina Olson
16,Monica Mao
18,Astrid Allen
19,Lily Qin
21,Radhiya Bharmal
24,Dori Olson
27,Xintong Su
32,Juliana Strother
41,Selina Gu
76,Callista Baker
91,Ria Stevens
b,r,e,a,k
San Diego State,12
teamInfo,SDSU Gnomes,"San Diego, California",http://arc.sdsu.edu/womens_frisbee/,https://www.facebook.com/sdsugnomes,https://twitter.com/sdsuGNOMES
03,Ainsley Poast
06,Sophia Guerrero
08,Elea Mossay
10,Parker Velazquez
11,Leiah Martinez
12,Phoebe Roberts
15,Emily Travers
16,Emma Guerrero
19,Audrey Garcia
20,Zabrina Bateh
22,Britta Lunde
24,Jenna Mansfield
26,Genevieve Mousseau
32,Molly Boutelle
35,Jessica Courtney
36,Sadie Reiter
57,Xin Xuan Ng
71,Mikey Allison
72,Bailey Bartich
b,r,e,a,k
Texas-Dallas,16
teamInfo,Whiplash,"Richardson, Texas",,,
0,Abigail Bazyn
0,Eliza Barksdale
0,Hannah Parra Sabogal
0,Nandhini Parthipan
0,Nina Cherukuri
0,Nithya Bellomkonda
0,Sahasskrthi Satyanarayanan
0,Toby Estipona
5,Pragathi Mahesh
7,Nivedha Maniv
9,Rahi Patel
10,Sabrina Castillo
13,Katrina Lee
17,Virginia Jeffrey
24,Lily Spencer
25,Heather Joseph
43,Praharna Rajesh
71,Daniela Iraheta
b,r,e,a,k
Texas State,19
teamInfo,Trainwreck,"San Marcos, Texas",,,
0,Cassandra Vasquez
0,Georgia McMahan
0,Hannah Evans
0,Jessica Weegar
0,Kathryn Zimmerman
0,Kristy Ip
0,Samantha  Granger
0,Serafina Chew Ng
0,Shoadi Henshaw
0,Sydney Mathis
0,Abigail  Craft
09,Bryn Taylor
b,r,e,a,k
LSU,18
teamInfo,LSU Women's Ultimate,"Baton Rouge, Louisiana",http://lsuuniversityrec.com/lsuurec/,,
02,Addison Garza
05,Sarah Saxon
06,Caroline Meserve
07,Noah Flaherty
10,Jaclyn Silverman
14,Vivian Vazquez
17,Ann Marie Benoit
19,Mia Bonilla
22,James Roberts
26,Isabel Johnson
31,Abigail Roscoe
35,Kendryx Periban
49,Taylor Davis
88,Lauryn Boschulte
b,r,e,a,k
s,t,a,g,e,s
pools,Centex T1 Saturday
pool,Pool A
UCLA,Colorado State,13,4,"03/21/2026, 09:00",Pool A,Final
Utah,Florida,11,9,"03/21/2026, 09:00",Pool A,Final
UCLA,Utah,11,10,"03/21/2026, 10:45",Pool A,Final
California,Florida,5,13,"03/21/2026, 10:45",Pool A,Final
Florida,Colorado State,13,6,"03/21/2026, 12:30",Pool A,Final
California,Utah,5,10,"03/21/2026, 12:30",Pool A,Final
UCLA,Florida,10,9,"03/21/2026, 14:15",Pool A,Final
California,Colorado State,10,6,"03/21/2026, 14:15",Pool A,Final
UCLA,California,13,2,"03/22/2026, 08:00",Pool A,Final
Utah,Colorado State,12,11,"03/22/2026, 08:00",Pool A,Final
pool,Pool B
Southern California,Brown,7,9,"03/21/2026, 09:00",Pool B,Final
Texas,Colorado College,13,3,"03/21/2026, 09:00",Pool B,Final
Southern California,Texas,4,13,"03/21/2026, 10:45",Pool B,Final
Washington University,Colorado College,13,4,"03/21/2026, 10:45",Pool B,Final
Colorado College,Brown,9,10,"03/21/2026, 12:30",Pool B,Final
Washington University,Texas,6,11,"03/21/2026, 12:30",Pool B,Final
Southern California,Colorado College,10,7,"03/21/2026, 14:15",Pool B,Final
Washington University,Brown,8,7,"03/21/2026, 14:15",Pool B,Final
Southern California,Washington University,11,10,"03/22/2026, 08:00",Pool B,Final
Texas,Brown,10,8,"03/22/2026, 08:00",Pool B,Final
b,r,e,a,k
pools,Centex T2 Saturday
pool,Pool C
Arizona State,Central Florida,13,8,"03/21/2026, 09:00",Pool C,Final
Illinois,Texas (B),13,0,"03/21/2026, 09:00",Pool C,Final
Arizona State,Illinois,7,11,"03/21/2026, 10:45",Pool C,Final
Central Florida,Trinity,8,9,"03/21/2026, 10:45",Pool C,Final
Arizona State,Trinity,7,8,"03/21/2026, 12:30",Pool C,Final
Central Florida,Texas (B),13,0,"03/21/2026, 12:30",Pool C,Final
Illinois,Central Florida,9,6,"03/21/2026, 14:15",Pool C,Final
Trinity,Texas (B),13,2,"03/21/2026, 14:15",Pool C,Final
Arizona State,Texas (B),13,1,"03/22/2026, 08:00",Pool C,Final
Illinois,Trinity,9,6,"03/22/2026, 08:00",Pool C,Final
pool,Pool D
San Diego State,Texas-Dallas,13,3,"03/21/2026, 09:00",Pool D,Final
Rice,Texas State,13,4,"03/21/2026, 09:00",Pool D,Final
San Diego State,Rice,9,13,"03/21/2026, 10:45",Pool D,Final
Texas-Dallas,LSU,10,8,"03/21/2026, 10:45",Pool D,Final
San Diego State,LSU,9,4,"03/21/2026, 12:30",Pool D,Final
Texas-Dallas,Texas State,8,6,"03/21/2026, 12:30",Pool D,Final
Rice,Texas-Dallas,10,5,"03/21/2026, 14:15",Pool D,Final
LSU,Texas State,7,8,"03/21/2026, 14:15",Pool D,Final
San Diego State,Texas State,12,8,"03/22/2026, 08:00",Pool D,Final
Rice,LSU,13,5,"03/22/2026, 08:00",Pool D,Final
b,r,e,a,k
brackets,Centex Championship
bracket,Championship
Florida,California,12,9,"03/22/2026, 13:35",Championship,Final
UCLA,Florida,5,8,"03/22/2026, 23:40",Semi-Finals,Final
Washington University,California,8,11,"03/22/2026, 23:40",Semi-Finals,Final
UCLA,Southern California,11,6,"03/22/2026, 09:45",Quarter-Finals,Final
Florida,Brown,13,6,"03/22/2026, 09:45",Quarter-Finals,Final
Washington University,Utah,11,10,"03/22/2026, 09:45",Quarter-Finals,Final
California,Texas,10,9,"03/22/2026, 09:45",Quarter-Finals,Final
bracket,3rd Place
UCLA,Washington University,11,6,"03/22/2026, 13:35",3rd Place,Final
bracket,5th Place
Brown,Texas,5,10,"03/15/2026, 13:35",5th Place,Final
Southern California,Brown,7,8,"03/15/2026, 23:40",Semis,Final
Utah,Texas,9,10,"03/15/2026, 23:40",Semis,Final
bracket,7th Place
Southern California,Utah,11,8,"03/22/2026, 13:35",7th Place,Final
b,r,e,a,k
brackets,Centex Ninals Bracket
bracket,Ninals
Colorado State,Rice,15,4,"03/22/2026, 13:35",Ninals,Final
Colorado State,San Diego State,10,8,"03/22/2026, 23:40",Semis,Final
Rice,Colorado College,15,6,"03/22/2026, 23:40",Semis,Final
Colorado State,Arizona State,10,7,"03/22/2026, 09:45",Quarters,Final
Illinois,San Diego State,7,12,"03/22/2026, 09:45",Quarters,Final
Rice,Trinity,11,5,"03/22/2026, 09:45",Quarters,Final
Texas-Dallas,Colorado College,2,15,"03/22/2026, 09:45",Quarters,Final
bracket,11th Place
San Diego State,Colorado College,7,13,"03/22/2026, 13:35",11th Place,Final
bracket,13th Place
Arizona State,Texas-Dallas,12,1,"03/22/2026, 13:35",13th Place,Final
Arizona State,Illinois,10,9,"03/22/2026, 23:40",Semis,Final
Trinity,Texas-Dallas,6,8,"03/22/2026, 23:40",Semis,Final
bracket,15th Place
Illinois,Trinity,9,6,"03/15/2026, 13:35",15th Place,Final
b,r,e,a,k
brackets,17th Place
bracket,17th Place
Texas State,Central Florida,2,8,"03/22/2026, 11:40",17th Place,Final
Texas State,Texas (B),10,1,"03/22/2026, 09:45",Round Name,Final
Central Florida,LSU,10,7,"03/22/2026, 09:45",Round Name,Final
bracket,19th Place
Texas (B),LSU,0,13,"03/22/2026, 11:40",19th Place,Final
b,r,e,a,k
