2026 Select Flight Invite East,Club - Women ,25,7,2026
Sylvania,OH,2026-07-25,2026-07-26
http://play.usaultimate.org/events/2026-Select-Flight-Invite-East/schedule/Women/Club-Women/
6ixers,1
5,Anna Thorn
10,Grace Feehan
15,Jessica Wan
20,Rebecca Crown
20,Luisa Fernanda Sánchez
22,Charlotte Andreasen
22,Alex Ballinger
25,Hindeke Tewodros
29,Jade Hostein
51,Miki Ling
70,Julia Richardson
82,Claire Schmitt
b,r,e,a,k
Pizza Rat,12
teamInfo,,"New York City, New York",https://www.instagram.com/pizzarat_ultimate/,,
0,Akina Younge
0,Allie LaMonica
0,Becky Norling-Ruggles
0,Allison Marcellino
0,Julie Sussman
0,Kylie Sterling
0,Elizabeth Nowlin
0,Emma Scznsny
0,Elizabeth Bugayev
0,Renee Heller
0,Yuxi Ma
1,Heather Song
1,Avery Feingold
4,Isabella Chen
5,Lindsi Allman
6,Xuan Feldman
7,Corinne Barrett
22,Linda Weng
47,Olivia Kugiya
72,Logan Deming
97,Chris Grinley
b,r,e,a,k
Wicked,17
teamInfo,,"Kansas City, Kansas",https://www.instagram.com/kcwickedultimate/,https://www.facebook.com/kcwickedultimate,https://twitter.com/WickedUltimate
0,Catherine Mittlieder
5,Haylie Shoemaker
07,Jessica Smith
08,Stephanie Rupp
11,Jordan Warren
14,Liz Walters
17,Moriah Becquer
20,Nadine Rowen
22,Emma Lien
23,Rebekah Seyfert
24,Abby Acker
27,Karissa Jenesse
28,Carly Cameron
33,Jessica Tiller
37,Georgia Hansen
49,Heather Fielding Gebhardt
57,Emily Tucker
69,Kayla Gerlt
77,REMY NIMAN
87,Amanda Borders
93,Mei Lin Branit
99,Electa Ward
b,r,e,a,k
Heist,3
teamInfo,,"Madison, Wisconsin",http://heistultimate.com/,https://www.facebook.com/heistultimate,https://twitter.com/HeistUltimate
coaches,Nathan Kleinhans
0,Amber Heffernan
0,Elizabeth Innes
0,Helen Murphy
0,Ivy Fan
0,Lexi  Menendez
0,Lulu Nicks
0,Mika Stockner
0,Genevieve  Dockry
0,Regina Barcio
0,Sammi Wong
0,Stefanie Bugasch
4,Caroline Bantug
5,Rose Glinka
11,Heather Schmitt
15,Audrey Williams
17,Cassandra Doody
18,Rachael Kern
19,Sadie Reding
19,Anneke Vermaak
23,Allie Mueting
24,Heidi Umhoefer
43,Emily Xu
52,Erynn Schroeder
b,r,e,a,k
Agency,8
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/agencyulti/,https://twitter.com/agencyulti
0,Andrea Jones
0,Annie Mei
0,Anna Yuan
0,Heather Jentilet
0,Catalina Bennhold-Samaan
0,Hanna Finigan
0,Florence Brooks
0,Karen Shim
0,Katie Claggett
0,Emma Harbourne
0,Taylor Coursey
0,Sarah  King
0,Ya Chih Cheng
0,Lauren Kuhlman
