South Central D-I College Men's Regionals,College - Men ,25,4,2026
Colorado Springs,CO,2026-04-25,2026-04-26
https://play.usaultimate.org/events/South-Central-D-I-College-Mens-Regionals-2026/schedule/Men/CollegeMen/
Colorado,1
teamInfo,Mamabird,"Boulder, Colorado",http://www.mamabird.com,https://www.facebook.com/University-of-Colorado-Mamabird-361160030582581,https://twitter.com/CUMamabird
coaches,Nathan Buchholz,Akane Kleinkopf,Lisa Pitcaithley,Jonathan Nethercutt
0,Anders Pearson
00,Tobias Brooks
00,Will Barnouw
01,Zeke Thoreson
02,Zach Weiss
03,Thomas Tasker
04,Finn Dougherty
05,Daniel Bauman
06,Axel Hartzog
07,Shaan Narayan
08,Simon Logan
09,Rami Rifaat
10,Alex Yu
11,Ezra Thoreson
14,Sam Kilgore
15,Geoffrey Tucker Kalmus
16,Noah Futterman
17,Curtis Pakgross
22,Nicholas Kleinhelter
23,Elliot Hawkins
27,Lukas Alexander
28,Finn McKenzie
31,Dylan Dattilo
33,Elijah Downs
34,Ethan Burgess
40,Wesley Davis
42,Ryan Allenson
46,Nanda Min-Fink
58,John Baggenstoss
59,Harrison Berg
66,Ryan Shigley
84,Noah Logan
91,Joe Michaud
b,r,e,a,k
Texas,2
teamInfo,TUFF,"Austin, Texas",https://texasultimatefrisbee.weebly.com/,https://www.facebook.com/TexasUltimate,https://twitter.com/texas__tuff/
0,Nathaniel Tan
00,Vignesh Sanagala
00,Xavier Fuzat
00,Taylor Masterson
00,Andy Wang
00,Cullen Baker
00,Ben Thollander
00,Henry Charbeneau
00,Soh Nishiyama
01,Isaac Fuzat
03,Aaron Barcio
05,Owen Smith
06,Kellen Watts
07,Saif Ansari
09,Rushil Randhar
10,Owen Johnson
12,Jacob Suchomel
14,Zachary White
18,Brandon Lemens
24,Dillon Doubrava
27,Kevin Rogers
28,Luke Knight
34,Mitchell Blaha
38,Andy  Zhou
42,Joseph Sunukjian
69,Haedon Cunningham
69,Sharan Sethi
71,Pavel Kraus
80,Elliot Ylagan
81,Jake Worthington
96,Talon Balcom
99,Joshua Cremer
b,r,e,a,k
Colorado (B),5
teamInfo,CUCU,"Denver, Colorado",,,
0,Daniel Sawai
0,Juan Castillero
5,Ian Ledford
00,Oscar Lechner
01,Andrew Swanson
02,Liam Vander Wyk
06,Beck Buskirk
08,Jonas Sogaard
10,Blake Musfeldt
16,Quinn Jarvis
17,Daniel Lepsch
19,Kaeden Batz
21,Zackary Bacon
22,Noah Sentnor
24,Elijah Beard
25,Alexander Johnson
27,Tate Voeller
27,Zeke Dameron
34,Simon Alaimo
34,Tam Tran
40,Abram Yehle
50,Utkarsh Mandavilli
64,Evan Callahan
72,Quincy Roy
91,Elliot Frank
b,r,e,a,k
Colorado State,3
teamInfo,Hibida,"Fort Collins, Colorado",,,https://twitter.com/csuhibida
0,Charlie Nestman
0,Nathan Heckel
0,Evan Harris
0,Nick Goebel
0,Thomas Gale
00,Dexter Shafer-White
00,Jacob Evans
00,Zane Tschirhart
00,Rory Lenny
00,Theo Kim
00,Nolan Pardyjak
00,Sam Ruiz Harding
00,Ryan McCorrison
00,Timothy Elliott
00,Samuel Marek
00,Paul McKinley
00,Daniel Lucas
00,Benen Shea
00,Cade Colston
00,Davis Cutforth
00,Drew Grant
00,Dexter Luecke
00,Nathaniel Goodwin
26,Hayden  Daley
44,Dale Kaiser
b,r,e,a,k
Kansas,8
teamInfo,Horrorzontals,"Lawrence, Kansas",https://www.instagram.com/horrorzontals/,,https://twitter.com/HorrorZontals
0,Alan Morey
0,Christian Nola
0,Hudson Casady
0,Logan Hess
0,Gavin Littlejohn
0,Robert Ahsens
0,Ryan Klahr
0,Nathan Roxas
0,Zach Voloch
0,Uhunoma Amayo
00,Nickolas Krehbiel
00,Luke Dahlen
00,Ryan Looney
00,Ned Wanda
00,Keenan Dooley
00,Luke Wirtz
00,Curtis Criswell
00,Kevin Tiernan
00,Brennan Donner
02,Connor Looney
08,Ryley Ballard
17,Elijah Ditto
20,Oscar Sanchez Christensen
21,Manu Redd
22,Benjamin Abell
40,Liam Marsh
61,Aiden Jacobs
b,r,e,a,k
Washington University,4
teamInfo,Contra,"St. Louis, Missouri",http://contra.wustl.edu,,http://twitter.com/wucontra
0,Cash Budlong
0,Christopher Heron
0,Evan Tompkins
0,Ivan Riley
0,Noah Kaller
0,Nickolas Regas
0,Justin Lee
0,Jared Buckman
0,Hashim Benlhabib
0,Joshua Rifkin
3,Sykes Carlson
00,Dillon Lee
04,Ben Fuguet
04,Jackson Freeman
07,Campbell Tucker-Hill
