2026 Elite Select Challenge,Club - Women ,22,8,2026
Indianapolis,IN,2026-08-22,2026-08-23
http://play.usaultimate.org/events/2026-Elite-Select-Challenge/schedule/Women/Club-Women/
Pop,7
21,Meeri Chang
27,Ness Fajardo
33,Aviva Weinbaum
69,Bryn Levitan
69,Amanda Leahy
69,Mia Hagen
69,Paige Applegate
69,Kira Lou
69,Marlena Hartman-Filson
b,r,e,a,k
Vengeance,11
teamInfo,,"Austin, Texas",,https://www.instagram.com/vengeanceatx/,https://twitter.com/VengeanceAustin
coaches,Tiffany Schumacher
2,Elise Keeney
3,Tori Stoehr
4,Harper Hall
7,Elyse Hall
8,Mindy Radike
9,Summer Wilson
10,Gaby Cuina
11,Emma Britt
13,Olympia Walker
14,Karina Kumar
15,Claire LeJeune
16,Amy Broome
24,Allegra Donadio
28,Sophie Tao
30,Laura Landis
33,Sanja Royall
42,Meg Duffy
53,Maggie Rowell
68,Isabella Harker
73,Gabrielle Nguyen
88,Madelyn Easton
98,Agatha Scales
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Flipside,Parcha,11,9,"08/22/2026, 09:00",Pool A,Final
Pop,Siege,12,7,"08/22/2026, 09:00",Pool A,Final
Flipside,Siege,15,5,"08/22/2026, 10:50",Pool A,Final
Pop,Parcha,12,13,"08/22/2026, 10:50",Pool A,Final
Flipside,Pop,9,12,"08/22/2026, 12:40",Pool A,Final
Parcha,Siege,12,7,"08/22/2026, 12:40",Pool A,Final
pool,Pool B
Nightlock,Starling,12,10,"08/22/2026, 09:00",Pool B,Final
Colorado Kelp,Ozone,13,6,"08/22/2026, 09:00",Pool B,Final
Nightlock,Ozone,15,3,"08/22/2026, 10:50",Pool B,Final
Colorado Kelp,Starling,14,11,"08/22/2026, 10:50",Pool B,Final
Nightlock,Colorado Kelp,12,7,"08/22/2026, 12:40",Pool B,Final
Starling,Ozone,13,7,"08/22/2026, 12:40",Pool B,Final
pool,Pool C
Dimes,Heist,15,5,"08/22/2026, 09:00",Pool C,Final
Traffic,Grit,11,8,"08/22/2026, 09:00",Pool C,Final
Dimes,Grit,15,4,"08/22/2026, 10:50",Pool C,Final
Traffic,Heist,14,8,"08/22/2026, 10:50",Pool C,Final
Dimes,Traffic,8,9,"08/22/2026, 14:30",Pool C,Final
Heist,Grit,14,7,"08/22/2026, 14:30",Pool C,Final
pool,Pool D
Nemesis,Vengeance,13,7,"08/22/2026, 09:00",Pool D,Final
Flight,LOL,15,5,"08/22/2026, 09:00",Pool D,Final
Nemesis,LOL,9,8,"08/22/2026, 10:50",Pool D,Final
Flight,Vengeance,15,8,"08/22/2026, 10:50",Pool D,Final
Nemesis,Flight,11,9,"08/22/2026, 14:30",Pool D,Final
Vengeance,LOL,8,13,"08/22/2026, 14:30",Pool D,Final
b,r,e,a,k
brackets,Elite Select Women's Championship
bracket,Championship
Pop,Nightlock,6,15,"08/23/2026, 11:40",Final,Final
Pop,Nemesis,13,5,"08/23/2026, 09:50",Semifinals,Final
Flight,Nightlock,11,14,"08/23/2026, 09:50",Semifinals,Final
Pop,Colorado Kelp,13,12,"08/23/2026, 08:00",Quarterfinals,Final
Dimes,Nemesis,11,12,"08/23/2026, 08:00",Quarterfinals,Final
Traffic,Flight,12,13,"08/23/2026, 08:00",Quarterfinals,Final
Flipside,Nightlock,10,12,"08/23/2026, 08:00",Quarterfinals,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Third Place
Nemesis,Flight,7,15,"08/23/2026, 11:40",Third Place,Final
bracket,Fifth Place Bracket
Colorado Kelp,Flipside,9,11,"08/23/2026, 11:40",Fifth Place,Final
Colorado Kelp,Dimes,11,10,"08/23/2026, 09:50",Fifth Place Semifinal,Final
Traffic,Flipside,8,15,"08/23/2026, 09:50",Fifth Place Semifinal,Final
bracket,Seventh Place
Dimes,Traffic,12,6,"08/24/2026, 11:40",Seventh Place,Final
bracket,Ninth Place Bracket
Starling,Parcha,14,10,"08/23/2026, 11:40",Ninth Place,Final
Starling,Heist,13,11,"08/23/2026, 09:50",Ninth Place Semifinals,Final
LOL,Parcha,9,15,"08/23/2026, 09:50",Ninth Place Semifinals,Final
Starling,Siege,15,7,"08/23/2026, 08:00",Ninth Place Quarterfinals,Final
Vengeance,Heist,10,15,"08/23/2026, 08:00",Ninth Place Quarterfinals,Final
LOL,Grit,11,10,"08/23/2026, 08:00",Ninth Place Quarterfinals,Final
Ozone,Parcha,8,15,"08/23/2026, 08:00",Ninth Place Quarterfinals,Final
bracket,Eleventh Place
Heist,LOL,5,8,"08/23/2026, 13:30",Eleventh Place,In Progress
bracket,Thirteenth Place Bracket
Vengeance,Ozone,8,8,"08/23/2026, 13:30",Thirteenth Place,In Progress
Siege,Vengeance,9,12,"08/23/2026, 09:50",Thirteenth Place Semifinals,Final
Grit,Ozone,10,12,"08/23/2026, 09:50",Thirteenth Place Semifinals,Final
bracket,Fifteenth Place
Siege,Grit,3,4,"08/23/2026, 13:30",Fifteenth Place,In Progress
b,r,e,a,k
