JMU Bonanza 2016,College - Women ,19,3,2016
Liberty
02,Danielle Smith
03,Ashley Mast
04,Victoria Dissmore
05,Keziah Lewellyn
07,Doreen Barbagallo
14,Melanie Scherpereel
16,Katie Miller
17,Sydney Dawson
18,Krista Habermas
21,Hope Lewis
23,Taylor Thomas
24,Victoria Phan
32,Jenna Bibby
34,Katherine Clark
40,Lauren Neubauer
45,Megan Kinne
47,Jillianne  Engen
64,STEPHANIE ALBERT
68,Jennifer Schlabach
82,Hannah VerasAlba
b,r,e,a,k
Temple
 ,Kaitlyn Carpenter
 ,Julia Ryan
 ,Samantha Youngfelt
0,Eurica Yu
0,Emma Palacio
0,Danielle Walsh
10,Helen Van Natta
11,Rachel King
13,Kathleen Raftery
17,Cassandra Wolsh
20,Kaila DeFrancesco
22,Blake Cohen
29,Christina Ngo
b,r,e,a,k
George Mason
 ,Shannon Allen
 ,SHANNON PACE
 ,Emma Powers
0,Gabrielle Auza
0,Jessica Morris
0,Miranda Briseno
0,Rebecca Curtis
0,Mikaela Stephens
0,Kayla Powitz
0,Annelise Jensen
0,Amethyst Osborne
0,Sarah Burden
0,Taylor Goodman
0,Katherine Kane
0,Lexi Robbins
0,Alexandra Dilldine
10,Taylor Young
21,Laurel Robinson
b,r,e,a,k
Wake Forest 
 ,Lindsay Soo
 ,Christina Boyce
 ,Lauren Latham
 ,Sarah  Kingsley
 ,Katherine Phillips
10,Lauren Raveret
11,Alexandra Schlesinger
17,Renae Zengotita
18,Abigail Mrvos
22,Katherine Hunzinger
23,Lindsay Gilliland
25,ERINN SCHMIDT
26,Elizabeth Piontkowski
28,Gabriella Hunt
32,Rose O'Brien
33,Amanda Murphy
b,r,e,a,k
Georgetown
 ,MELISSA LEWIS
0,Signe Stroming
0,Delana Sobhani
0,Megan Logan
0,Madison Thomas
0,Kayla Noguchi
0,Katharine Kimmel
0,McKenzie  Schwarze
0,Catherine Ragonese
0,Eva Lucchino
0,Ines Jimenez-Ontiveros
0,Cara Keating
0,JORDANA ADLER
0,Cassandra Skapek
0,Claire Soisson
0,Katie Schmidt
0,Anna Pettee
