Washington Women's Club Sectional Championship 2021,Club - Women ,19,9,2021
Seattle Riot
00,Laura Mendomo
01,Jessica Spaulding
02,Emily  Cai
05,Lauren Goddu
07,Calise Cardenas
08,Rachel Bradshaw
10,Shira Stern
11,Melissa Merrick
13,Jessica Crowley
14,Stephanie Phillips
16,Samantha Rodenberg
17,Alexa Yadama
18,kinsey miller
20,Kristin (Charlie) Eide
21,Maddy Grassy
23,Claire Dunn
27,Julia Snyder
31,Ikran Elmi
32,Penny Nguyen
34,Loriana Berman
36,Alyssa Kelly
66,Crystal (Lok) Koo
77,Eleanor Joselyn
81,Lani Nguyen
88,Jean Russell
b,r,e,a,k
END
0,Amy Nguyen
0,Angelina Jeantette-Coca
0,Bryna Cortes
0,Christa-Andrea Baroma
0,Dionne Tugade
0,Erika Blackburn
0,Gabriella Payoyo
0,Hana Kawai
0,Jaemie Lam
0,Jessica Louie
0,Kayla Pianh
0,Laura To
0,Lauren Nguyen
0,Megan Louie
0,Monica Monda
0,Nhuy Huynh
0,Nicole Chan
0,Nikka Ibale
0,Nora Landri
0,Peixian Rong
0,Rena Bopha
0,Robyn Gamboa
0,Tien Hoang
0,Tiffany Phan
0,Yeh-Sun Lee
b,r,e,a,k
Underground
 ,Emily Zukowski
 ,Nina Janjic
0,Margaret Kassel
0,Petra Radmanovic
0,Rachel Enyeart
0,Rebekah Reynolds
0,Sandrine Girard
0,Zoe Debroux
0,Eugenia Prezhdo
0,Karen Rico
0,Kate Propp
0,Lily Moline
0,Claire Cyra
0,Doll Yaaah
0,Michaela Fallon
14,Madeline Stephenson
15,Noel Hanzel
19,Meagan Brown
25,Elise Rasmussen
33,Catherine (Cate) Roscoe
47,Anne Silver
b,r,e,a,k
Seattle Soul
 ,Alicia Kellogg
 ,Elizabeth Willsmore-Finkle
 ,Megan Baunsgard
 ,Molly O’Donnell
0,Peyton Pedrozo
0,Tamia Randolph
0,Meghan Gannon
0,Kellina Stamm
0,Eva Power
0,Austen Kelly
0,Corinne Burger
11,Jacqueline Chipkin
13,Melinda Ding
17,Harley Mueller
18,Rebecca Sirull
19,Haley Havens
22,Ximenna Hofsetz
24,Grace Baron
27,Kelly Choi
32,Elizabeth Rott
51,Michaela Cushing-Daniels
69,Danielle Osman
69,Christine Siebels-Lindquist
b,r,e,a,k
Seattle Riot,END,13,3,"09/19/2021, 09:00"
Underground,Seattle Soul,13,1,"09/19/2021, 09:00"
Seattle Riot,Seattle Soul,13,1,"09/19/2021, 10:50"
Underground,END,13,2,"09/19/2021, 10:50"
Seattle Riot,Underground,10,11,"09/19/2021, 12:40"
END,Seattle Soul,12,7,"09/19/2021, 12:40"
