Ski Town Classic 2022,Club - Mixed ,20,8,2022
Salt Lake City,UT,2022-08-20,2022-08-22
https://play.usaultimate.org/events/Ski-Town-Classic-2022/schedule/Mixed/Club-Mixed
BW Ultimate,1
teamInfo,,"Sunnyvale, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
0,Aaron Hom
0,Adeleen Khem
0,Alireza Mirafzal
0,Anthony Davis
0,Ashton Paulus
0,Cecilia Bao
0,Cullen Coyne
0,Emma Morimoto
0,Hidemasa Kato
0,Isabel Tripp
0,James Pollard
0,John Nguyen
0,John Dugan
0,Jordan Gatti
0,Kelly Liu
0,Lauren Carden
0,Liam Jay
0,Max Herrmannsfeldt
0,Melissa Slaughter
0,Michelle Slaughter
0,Monica Hsiue
0,Sam Asin
0,Sarah Pihl
0,Sunny Saini
0,William Chang
0,Wyatt Berreman
b,r,e,a,k
Garden Party,9
teamInfo,,"Portland, Oregon",,,
0,Pete Overright
99,Spencer Magnusson
99,Tahlia Hodes
99,Valerie Peacock
99,Aaron Kees
99,Adriana Cvitkovic
99,Alice White-Cyr
99,Brandy Turcotte
99,Carl Justin Hermosura
99,Cheri Young
99,David Marble
99,Dillon Roberts
99,Elizabeth Herzfeldt-Kamprath
99,Enrique Carranza
99,Jared Fitzpatrick
99,Jessica Whelan
99,John Staskal
99,Joseph Leo Pepper
99,Kendall Jorgensen
99,Kristin Moore
99,Max Vogel
99,Melanie Sawyer
b,r,e,a,k
Pegasus,8
teamInfo,,"Seattle, Washington",,https://www.facebook.com/peggyultimate/,@PegasusUltimate
0,Adam Elder
0,Alexander Zaug
0,Bailey Bonaci
0,Chloe Carothers-Liske
0,Clara Amorosi
0,Connor Dougherty
0,Eric Huynh
0,Goda Tarcijonas
0,Jacqueline Chipkin
0,Johnathan Hunter
0,Jordan Listo
0,Kyra Wortley
0,Landon Hill
0,Lauren Pichard
0,Livia Amorosi
0,Lorenzo Lalimarmo
0,Marlie Somers
0,Meghan Gannon
0,Nathan Narita
0,Peter Frost
0,Ryan Scuderi
0,Samuel Stearns
0,Sarah Hill
0,Sarah Teichman
0,Stephanie Huang
10,Kent Wu
b,r,e,a,k
Fishpix!,16
teamInfo,,"Missoula, Montana",,,
0,Alex Crisp
0,Anna Cline
0,Ashley Sinclair
0,Cian McGinn
0,Clarissa Orton
0,Damara Stewart
0,Elise Chan
0,Hattie Ransom
0,Jenna Krugler
0,Kyle Hansen
0,Otis Peterson
0,Ryan Natenstedt
0,Sean Nettleton
0,Ser Anderson
0,Shelbie White
0,Steven Kassebaum
0,Therese Robbins
0,Tom Hobday
