2022 USA Ultimate Masters Championships,Masters - Men ,15,7,2022
Aurora,CO,2022-07-15,2022-07-17
https://play.usaultimate.org/events/2022-USA-Ultimate-Masters-Championships/schedule/Men/Masters-Men/
Voltron2020,1
teamInfo,,"Seattle, Washington",,,
01,Theodore Laws
02,Jimmy Chu
04,Cody Bjorklund
05,Alex Nord
06,Chris Rupp
07,Jacob Speidel
09,Tom Doi
12,Patrick Baylis
13,Jason (Jay) Clark
14,Andrew Hagen
16,Mark Burton
19,Husayn Carnegie
22,Spencer Wallis
23,Danny Karlinsky
25,Will Chen
27,Adam Simon
29,Henry Schneider
33,Matthew Knowles
37,Sam Chatterton-Kirchmeier
51,Sam Harkness
53,Eli Friedman
55,Riley Meinershagen
70,Julian Hausman
84,Timothy Gehret
91,Cam Bailey
99,Christian Foster
b,r,e,a,k
Surly,8
teamInfo,,"MINNEAPOLIS, Minnesota",,,@surlyultimate
0,Andrew Dornbush
0,Brian Thompson
0,Clayton Thomas
0,David Wenzel
0,Eric Vandermolen
0,Evan Nothmann
0,Jamison Beek
0,John Groess
0,Lionel Wininger
0,Ryan Pesch
0,Sean Breaux
0,Thomas Murray
0,Patrick Jones
0,Peter Schmitt
07,Dan Monfre
11,Nathan Blumenshine
12,Cloid Green
14,Rob Mooers
16,Matthew Racky
17,Hans Peterson
19,Marcus Ellson
22,Dustin Berglin
23,Zach Howard
24,Matthew Bailey
33,Trevor Ruwitch
37,Daniel Snyder
91,Jeffrey Tuftin
b,r,e,a,k
Naptown,13
teamInfo,,"Indianapolis, Indiana",,,
0,Josh Phillips
01,Keenan Plew
02,Freddie Dixson
06,John Haselden
07,David Hortemiller
08,Peter Carleton
09,Brian Grace
12,Peter Heneveld
14,J.J. Yarbrough
17,Michael Wellman
21,Connor Nolan
24,Colton Steiner
31,Andrew Miller
33,Dana Granholm
49,Troy Stapleton
55,Terry Gaither
65,Steven Stanish
87,Kelvin Koster
88,Travis Tison
89,Noah Peyer
91,Alex Ho
92,Anthony Panozzo
b,r,e,a,k
Crutch City,12
teamInfo,,"Houston, Texas",,,
0,Aaron Dunn
0,Alex Bui
0,Ames Fegert
0,Bryce Lippitz
0,Cal Mummert
0,Chris McClean
0,Clay Warzecha
0,Cody Pierce
0,Daryl Wells
0,David Brooks
0,Evan Sattem
0,Fernando Lugo
0,Hunter Paddock
0,Jia Xie
0,Kevin Schmidt
0,Kyle Drugan
0,Louis Wersan
0,Matthew Brackney
0,Nick Thomas
0,Philip Nelson
0,Ryan Rundle
0,Trey Wong
01,Andrew Robbins
06,Nick Carranza
69,Clay Waldrop
b,r,e,a,k
Johnny Encore,2
teamInfo,,"Denver, Colorado",,https://www.facebook.com/pages/Johnny-Encore/1428961947365066,
 ,Andrew Mangan
 ,C Ryan Morgan
 ,Joseph Anderson
 ,Patrick (Ted) Barnett
0,Ryan Segal
0,Steve Schwab
0,Tim Hopp
0,Vinny Fiacco
0,Nicholas Snuszka
0,Bryan Downey
0,Jack (John) McShane
0,James Cantwell
0,Jesse Roehm
0,Curtis Salcedo
0,David Wiseman
0,Doug Stenclik
0,Henry Konker
0,Andrew Priester
10,Brett Kolinek
12,Hugh Carey
17,John Dunlop
18,Bart Watson
25,Justin Salvia
26,Owen Westbrook
27,Michael Lun
28,Joel Crandall
32,Andrew Stringer
81,Brandon Malecek
b,r,e,a,k
King Louie,11
teamInfo,,"Saint Louis, Missouri",,,
00,Aaron Swaney
00,Allen Jones
00,Blake Larson
00,Bryan Esmond
00,Chase Johnson
00,Chaz DeBord
00,Daniel Brennan
00,David Storey
00,David Henry
00,Dustin Tierney
00,George Brell
00,Grant Eschmann
00,Henry Samson
00,James McKenzie
00,Jeffrey Rehm
00,John Weaver
00,Kevin McCarthy
00,Matt Francis
00,Max Morgan
00,Patrick Stephens
00,Patrick Austermann
00,Ross Welch
00,Ryan Meinkoth
00,Spencer Hollenbach
00,Stan Parker
00,Timothy Halfmann-Morris
b,r,e,a,k
Oregon Donors,14
teamInfo,,"Eugene, Oregon",,,
0,Benjamin Mew
0,Chris Watkins
0,Daniel Walling
0,David Pete
0,Derek Seymour
0,Enrique Benitez
0,Jack Omlin
0,Joe (Jerome) Millon
0,John Cairns
0,Josh Mitts
0,Kory Northrop
0,Lucas Spiegel
0,Luke Weinstein
0,Nicolas Porter
0,Ted Shorack
0,Thad Arnold
0,Thomas Hibdon
0,Trevor Langston
b,r,e,a,k
Pacemaker,7
teamInfo,,"Chicago, Illinois",,,@Chi_Pacemaker
0,Adam Levine
0,Andrew Maturo
0,Benjamin Macalalad
0,Ethan Levine
0,Jorge Duarte
0,Mark Liu
0,Mark Hamm
0,Mauricio Galeano Rios
0,Michael McCafferty
0,Michael Brisbois
0,Mike L'Hommedieu
0,Nick Myhre
0,Preston Bailey
0,David Benda
42,David Valentine-Elam
72,Brandon Thomas
84,Michael Weber
b,r,e,a,k
Boneyard,3
teamInfo,,"Raleigh/Durham/chapel Hill, North Carolina",,https://www.facebook.com/boneyardultimate,https://twitter.com/boneyardUlt
00,Evan Howey
00,George Lampron
00,Dean Culver
00,Joshua Hartzog
00,Kurt Gibson
00,Matthew Smith
00,Micah Hood
00,Michael Pannone
00,Michael Panna
00,Rashaad Saunders
00,Thomas Larocco
00,Tyler DeGirolamo
01,Ken Porter
03,Casey Degnan
04,Matt Zumbrum
06,Ben Dieter
08,Josh Mullen
09,Taylor Pope
10,Tim Monahan
11,Jared Inselmann
13,Shane Sisco
18,David Snoke
20,Peter (PJ) Matulka
22,Brian Casey
32,Josh Berkowitz
33,Eric Martin
45,Brett Matzuka
54,Stephen Bender
b,r,e,a,k
All Bashed Out,10
teamInfo,,"Albany ""Cap City Bang Bang"", New York",,,
00,Alon Brown
00,Andrew Applegate
00,Austin Raymond
00,Brad Smith
00,Brandon Contarsy
00,Chris Neitzey
00,Elliott Gould
00,Eric Zimmerman
00,Jared Jandreau
00,John Palmer
00,John Sullivan
00,Jonathan Ginsberg
00,Ken (KJ) Dziak
00,Lewis Seton
00,Lucas Murphy
00,Matthew Foley
00,Michael Miller
00,Seth Canetti
00,William Olli
00,Young Jo Fontaine
b,r,e,a,k
Beyondors,6
teamInfo,,"Santa Barbara, California",https://beyondors.weebly.com/,,
00,Chris Godek
00,Jason Edelman
00,Trung Pham
02,Ryan Reynolds
03,Evan Valdes
04,Victor Smith
07,Cameron Armstrong
08,Mark Elbogen
10,Jamison Klang
13,James Erdmann
14,Dan  Greeley
15,Don Macatangay
18,Jake Rifkin
22,David Ryan
24,Jan Smogorzewski
28,Allan Jong
33,Danton Noriega-Goodwin
38,Justin Marsh
40,Ben Friedenson
44,Jeremy Moneta
54,Andrew Lorentson
79,Dan Dzoan
85,Jeremy Ziskind
91,Ben Banyas
99,Joel Conn
b,r,e,a,k
Outlaw,15
teamInfo,,"Fayetteville, Arkansas",,,
0,Alan Nguyen
0,Andrew Dunn
0,Benjamin Mills
0,Daniel Fritz
0,Daniel Searcy
0,Eric Kearney
0,J. Søren Viuf
0,JACOB PERRY
0,Jamey Kleinhenz
0,Joel Brown
0,Karl Doege
0,Justin Edwards
00,Justine Cherwink
00,Marcus Smith
00,Patrick Randall
00,Terrell Hoagland
00,Thomas Dockery
00,John Moore
00,Jon Champagne
00,Josh Hess
00,Josh McGee
00,Evan Hallmark
00,Ian Erly
00,Daniel Kleinhenz
00,Chris Passmore
00,Chris Brosh
00,Christopher Call
b,r,e,a,k
"JOIN, or DIE.",9
teamInfo,,"Philadelphia, Pennsylvania",,,
 ,Kevin Venose
 ,Robert (Robbie) Gillies
0,Michael Stephen
0,Reuben Saul
0,Steven Willis
0,David Brandolph
0,Austin Bonelli
00,Brian Mitchell
00,David Kiefer
00,Jake Rainwater
00,Justin Solis
00,Matthew Michelson
00,Matthew Gordon
00,Richard Rudnicki
00,Robert Roos
00,Ryan Forster
00,Steve Rosso
01,Colin McIntyre
03,Eric Gallagher
04,Andre Martinez
13,Bryant Dean
15,Adam Kracht
19,Chris Gray
27,David Boyer
36,Kyle Golrick
89,Ross Littauer
b,r,e,a,k
Skeetpocalypse,4
teamInfo,,"Bloomington, Indiana",,,
0,Kyle Cox
00,Zachary Price
01,Daniel Williams
02,Maxwell Klaben
05,Kevin Cho
06,Jeremy Cho
07,Andrew Novosad
08,Jared Payne
09,Benjamin Gerroll
13,Jason Jensen
15,Chase McCoy
17,Rob Greenberg
18,Peter Shayman
21,John Kolb
22,Brian Crabill
23,Alexander Rummelhart
27,C. Ryan Craven
29,Robert Mertz
37,Eric Bockelman
76,Jason Yoder
b,r,e,a,k
Wasted Talent,5
teamInfo,,"Lincoln, Nebraska",,,
02,Brad McKeen
03,Trevor Rice
05,Brad Ashley
06,Jonathan Kramer
07,Devon O'Connell
08,Grant Maynard
09,Chandler Good
10,Brian Lucido
11,Austin Wehrwein
12,Tim Scarrow
15,Lev Ginsburg
17,Kyle Watters
19,Alexander Zupan
20,Colin Punt
22,Brett DeHoogh
25,Kyle Orians
28,Andrew Curry
33,Austin DeHoogh
36,BEN BUSIEK
44,Timothy Hoarty
47,James West
55,Matt Stoker
66,William Schmitt
69,Kevin Cunningham
b,r,e,a,k
Burnside,16
teamInfo,,"Portland, Oregon",,,
 ,Eugene Lim
 ,Paul Telford
0,Sobir Bazarbayev
0,Joel Soltman
0,John Allan
0,Joshua Kessluk
0,Michael Morris-Pearce
0,Andrew Winterman
0,Anthony Shu
0,Blake Robillard
0,Chad Encinas
0,Christopher Breaux
0,Dale (Duke) Stebbins
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Voltron2020,Crutch City,13,8,"07/15/2022, 12:30",Pool A,Final
Surly,Naptown,15,7,"07/15/2022, 12:30",Pool A,Final
Voltron2020,Naptown,15,5,"07/15/2022, 14:30",Pool A,Final
Surly,Crutch City,15,7,"07/15/2022, 14:30",Pool A,Final
Voltron2020,Surly,13,5,"07/15/2022, 16:30",Pool A,Final
Crutch City,Naptown,9,10,"07/15/2022, 16:30",Pool A,Final
pool,Pool B
Johnny Encore,King Louie,15,7,"07/15/2022, 12:30",Pool B,Final
Pacemaker,Oregon Donors,8,12,"07/15/2022, 12:30",Pool B,Final
Johnny Encore,Oregon Donors,15,5,"07/15/2022, 14:30",Pool B,Final
Pacemaker,King Louie,7,12,"07/15/2022, 14:30",Pool B,Final
Johnny Encore,Pacemaker,15,8,"07/15/2022, 16:30",Pool B,Final
King Louie,Oregon Donors,15,7,"07/15/2022, 16:30",Pool B,Final
pool,Pool C
Boneyard,All Bashed Out,15,10,"07/15/2022, 12:30",Pool C,Final
Beyondors,Outlaw,15,8,"07/15/2022, 12:30",Pool C,Final
Boneyard,Outlaw,15,6,"07/15/2022, 14:30",Pool C,Final
Beyondors,All Bashed Out,6,15,"07/15/2022, 14:30",Pool C,Final
Boneyard,Beyondors,15,4,"07/15/2022, 16:30",Pool C,Final
All Bashed Out,Outlaw,15,4,"07/15/2022, 16:30",Pool C,Final
pool,Pool D
Skeetpocalypse,"JOIN, or DIE.",9,11,"07/15/2022, 12:30",Pool D,Final
Wasted Talent,Burnside,15,5,"07/15/2022, 12:30",Pool D,Final
Skeetpocalypse,Burnside,12,7,"07/15/2022, 14:30",Pool D,Final
Wasted Talent,"JOIN, or DIE.",9,11,"07/15/2022, 14:30",Pool D,Final
Skeetpocalypse,Wasted Talent,11,10,"07/15/2022, 16:30",Pool D,Final
"JOIN, or DIE.",Burnside,15,5,"07/15/2022, 16:30",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,1st Place
Voltron2020,Boneyard,12,11,"07/17/2022, 11:00",Finals,Final
Voltron2020,All Bashed Out,15,7,"07/16/2022, 14:30",Semis,Final
Boneyard,Johnny Encore,15,14,"07/16/2022, 14:30",Semis,Final
Voltron2020,King Louie,12,7,"07/16/2022, 10:30",Quarters,Final
"JOIN, or DIE.",All Bashed Out,6,9,"07/16/2022, 10:30",Quarters,Final
Boneyard,Skeetpocalypse,14,6,"07/16/2022, 10:30",Quarters,Final
Johnny Encore,Surly,15,6,"07/16/2022, 10:30",Quarters,Final
King Louie,Beyondors,15,11,"07/16/2022, 08:30",Pre-Quarters,Final
All Bashed Out,Oregon Donors,13,7,"07/16/2022, 08:30",Pre-Quarters,Final
Naptown,Skeetpocalypse,8,9,"07/16/2022, 08:30",Pre-Quarters,Final
Wasted Talent,Surly,9,14,"07/16/2022, 08:30",Pre-Quarters,Final
b,r,e,a,k
brackets,9th & 5th Place
bracket,9th Place
Oregon Donors,Wasted Talent,12,14,"07/17/2022, 09:00",9th Place,Final
Crutch City,Oregon Donors,12,15,"07/16/2022, 14:30",Semis,Final
Naptown,Wasted Talent,8,15,"07/16/2022, 14:30",Semis,Final
Beyondors,Crutch City,7,11,"07/16/2022, 12:30",Quarters,Final
Oregon Donors,Burnside,13,7,"07/16/2022, 12:30",Quarters,Final
Naptown,Outlaw,9,5,"07/16/2022, 12:30",Quarters,Final
Wasted Talent,Pacemaker,11,9,"07/16/2022, 12:30",Quarters,Final
bracket,5th Place
"JOIN, or DIE.",Surly,12,11,"07/17/2022, 09:00",5th Place,Final
King Louie,"JOIN, or DIE.",12,13,"07/16/2022, 14:30",Semis,Final
Skeetpocalypse,Surly,10,15,"07/16/2022, 14:30",Semis,Final
b,r,e,a,k
brackets,13th Place
bracket,13th Place
Beyondors,Pacemaker,13,7,"07/17/2022, 09:00",13th Place,Final
Beyondors,Burnside,10,9,"07/16/2022, 14:30",Semis,Final
Outlaw,Pacemaker,8,13,"07/16/2022, 14:30",Semis,Final
b,r,e,a,k
brackets,3rd Place
bracket,3rd Place
All Bashed Out,Johnny Encore,10,15,"07/17/2022, 09:00",3rd Place,Final
b,r,e,a,k
brackets,7th Place
bracket,7th Place
King Louie,Skeetpocalypse,12,10,"07/17/2022, 09:00",7th Place,Final
b,r,e,a,k
brackets,15th Place
bracket,15th Place
Burnside,Outlaw,9,10,"07/17/2022, 09:00",15th Place,Final
b,r,e,a,k
brackets,11th Place
bracket,11th Place
Crutch City,Naptown,13,9,"07/17/2022, 09:00",11th Place,Final
b,r,e,a,k
