Philly Open 2022,Club - Mixed ,6,8,2022
Allentown,PA,2022-08-06,2022-08-07
https://play.usaultimate.org/events/Philly-Open-2022/schedule/Mixed/Club-Mixed
Revival,1
 ,Griffin Schutte
 ,Mimi Tran
 ,Rebekah Forrer
0,Savannah Erwin
0,Torin Porter
0,Victoria Davis
0,Marcelo Ruggiero
0,Mary Molly Rowland
0,Jameson Hinkle
0,Joe Spaeth
0,Keys Pattie
0,Griffin Lang
0,Caylin Carbonell
0,Chloe Wade
0,Crystal Lowery
11,Matthew Reynolds
11,Skye Whitlow
17,Cullen Monahan
19,Akram Abudheer
21,Kristin Lue Chee Lip
24,Trent Cooper
26,Rachel Shannon
38,Ariel Vogel
47,Billy Harmon
48,Benjamin Broser
91,James Dangler
b,r,e,a,k
Heat Wave,16
0,Abigail Kauff
0,Adam Cusner
0,Annie Kean
0,Beatrice Ibes-Nedeljkovic
0,Bernard Wang
0,Caitlin Toner
0,Christina Secor
0,Clare Heine
0,Cullen MacDowell
0,Jasper Smith
0,Justin Thomas
0,Kevin Ludwig
0,Kyle Chylinski
0,Maia Donald
0,Maya Kikuchi
0,Meredyth Staunch
0,Miles Savitz
0,Nadine Meister
0,Nick Compton
0,Paul Goral
0,Peter Gilchrist
0,Saroja Erabelli
0,Tessa Jones
b,r,e,a,k
ColorBomb,24
00,Keshav Patel
02,Jason Chen
03,Corey Parker
08,Danny Le
10,Linda Liu
11,William Schultheis
12,Yaxin Wang
13,Maria Buxton
14,Kevin Stewart-Mercurio
14,Ruby Ginsburg
16,Jy Francis
18,Sunvy  Yalamarthy
19,Lauren Sitlinger
24,Imani Holness
25,Nate Little
27,Tolu Olubajo
29,Diana Vu
30,Jen Vu
33,Tyler Dickinson
58,Simon Covington
77,Saamir Baker
81,Eli Steiker-Ginzberg
96,Sarah Rowley
99,Jacob Prunes
b,r,e,a,k
Espionage,25
0,Abigail Austin
0,Ana Scoular
0,Ashley Pepple
0,AUBREY WAHL
0,Bradley Smith
0,BRIAN GOODELL
0,Caroline Bereuter
0,CeCelia Long
0,Christopher Grenier
0,Christopher Scoular
0,Dan Wall
0,Dana Egan
0,Daniel Bernstein
0,Daniela Reeve
0,David Erdley
0,Ian Decker
0,Jade Salamey
0,Jorge Chavez
0,JOSHUA SEFCIK
0,Katherine deCourcy
0,Marc Gottschalk
0,Nicholas Dacosta
0,Preston Brehm
0,Sara Genell
0,Scott Hetu
0,Tessa Reagan
b,r,e,a,k
FLI,23
0,Alex Shipps
0,Andrew Bogle
0,Anna Jao
0,Brandon Hughes
0,Christopher Cabot
0,Christopher Kizis
0,Collin Bartoldus
0,Dan Johnson
0,Elissa Picozzi
0,Elizabeth Kuzman-McRae
0,Emma Lian
0,Eric Cannella
0,Ivan Lerner
0,Joe Moyles
0,Katherine Herrera
0,Laura Marrin
0,May Patino
0,Naomi Miller
0,Philip Iaccarino
0,Samantha Gonzalez
0,Spencer Williams
0,Syed  Gillani
b,r,e,a,k
Columbus Chaos,2
0,David Slade
0,Karli  Predieri 
0,Lauren Payne
03,Kristy Elwell
07,Todd Grace
08,Delaney Marsalek
09,Christopher Wohl
11,Lucas Nestor
12,Alec Mathena
14,Leah Petitt
16,Jason Rosser
17,Benjamin Reith
19,Hannah Wilder
20,Parker Pennington
21,Mallory Griffith
22,Natalie Fancher
37,Curtis Kinnaman
41,Cody Petitt
42,David Valentine-Elam
44,Mandi Engler
48,Paul Zaleski
55,Joseph Rains
69,David Braden
99,Jennifer Dai
b,r,e,a,k
District Cocktails,15
 ,Daniel Bowman
0,Daniel Honold
0,Ian Edgell
0,Julianne Twomey
0,Molly Norrbom
13,Jessica Flagg
14,Natsu Kumagai
15,Geoffrey Horsfield
16,Collin Brooks
17,Frances Taschuk
21,Andrea Jones
22,Benjamin Holgash
25,Thomas Frazier
27,Jennifer Pridemore
29,Emily Xu
38,Eric Beier
