Wisconsin Swiss,Club - Mixed ,19,6,2022
https://play.usaultimate.org/events/Wisconsin-Swiss/schedule/Mixed/Club-Mixed
Gene Parmesan,4
0,Adam Morris
0,Alex Kensgaard
0,Ashley Nelson
0,Benjamin Nelson
0,Brendan Gessner
0,Brian Larson
0,Brianna Andrighetti
0,Chad Brinker
0,Daniel Bates
0,Jeffrey Trosvig
0,Jenni Konigsburg
0,Jeremy Keiser
0,Joe Andrighetti
0,Lindsay Trosvig
0,Megan Asturias
0,Patrick Cashman
0,Paul Norgaard
0,Rachel Elbing
0,Sadie Haas
0,Sam Valesano
0,Tyler McKean
b,r,e,a,k
Minnesota Star Power,3
 ,Kevin Ruda
0,Leah Barrett
0,Liliana Hobday
0,Lisa Barnes
0,Michelle Christy
0,Alex Kraft
0,Andrew Lawrence
0,Bradley Malmsten
0,Cole Jensen
0,Erin McFadden
0,Henry Mans
0,Jessica Haller
0,Joey Tillman
0,Kajsa Beatty
0,Neal Johnson
0,Nick Heid
0,Rachel Thompson
0,Rebecca Kline
0,Steven Anderson
0,Tracie Anderson
10,Tristan Grovender
21,Tyler Mahony
29,Kelsey Peterson
37,Ming Cheng Chew
b,r,e,a,k
RAMP,1
0,Alicia Chu
0,Annie Phan
0,Asher Lantz
0,Briana Morales
0,Conrad Nguyen
0,Daniel Buwalda
0,DeAngelo Barragan
0,Jocelyn Sun
0,Katie Bristol
0,Mateo Garcia
0,Matt Jaffe
0,Matthew Golz
0,Max Moore
0,Megan Morales
0,Michelle Farb
0,Sabina Hartnett
0,Sean McSweeney
0,Vedant Sachdeva
b,r,e,a,k
Chicago Parlay,2
 ,George Irving
 ,Gina Stees
 ,Hector Rivera
 ,Hindeke Tewodros
 ,Isabel Shapiro
 ,Jessica Louie
 ,Jordan Lange
 ,Kendra Griesman
 ,Kenneth Allen
 ,Laramie Aspegren
 ,Larkin Johnson
 ,Mary Hermann
 ,Max Trotter
 ,Nick Longo
 ,Adam Klaus
 ,Allison Chmaj
 ,Cassandra Singler
 ,Catherine Chen
 ,Claire Schwaba
 ,Elaine Sundberg
 ,Sarah Warren
 ,Tavis Leighton
 ,WillIam Altschul
0,Emily Muscat
12,Rodrigo Arcibar
b,r,e,a,k
Melt,8
0,Daniel Herrera
0,Derek Klein
0,Frieda Manthei
0,Hannah Higar
0,Helen Walz
0,Izzy Anderson
0,John Hall
0,Mariah Dorner
0,Mark Pennebecker
0,Michael Hall
0,Riley Higar
0,Alyssa Kleppe
0,Anna Wagner
0,Arthur Cheney
0,Ben Valley
0,Sarah Christie
13,Sam Eherenman
73,Charlie Enders
b,r,e,a,k
Northern Comfort,5
 ,Alex Ballinger
 ,Benjy Keren
 ,Drew Chapman
 ,Emily Zalinski
 ,Grace Zucchero
 ,Greg Maddox
 ,Gretchen Zirgaitis
 ,Hannah Frank
 ,Heather Posl
 ,Jacob Wham
 ,Jacob Scobey-Polacheck
 ,Jake Leutenegger
 ,Joseph Blankenheim
 ,Justine Espisito
 ,Kaleigh Wurster
 ,Lauren Williams
 ,Liam Scobey-Polacheck
 ,Mackenzie Carpenter
 ,Matthew Goetsch
 ,Max Carpenter
 ,Peter Guerin
 ,Raleke Hughes
 ,Rozelynn Becker
 ,Sarah Johnson
 ,Todd Miller
 ,Wyatt Meyer
b,r,e,a,k
Mad Udderburn,7
0,Julia Sauerhaft
02,Hannah Nygard
04,Joey Knutson
05,Adam Klopfenstein
07,Maria Signore Becker
08,Ben Schewe
09,Grant Hellestad
12,Regina Barcio
14,Esther Chovan
16,Jacob Dreves
19,Peter Reinhart
21,Taylor Grace Zietz
23,Allison Mueting
24,Bo Strauss
25,Paige Steinbauer
30,Carly Siewert
31,Amber Heffernan
32,Amanda Hellestad
34,Matthew Becker
94,Pieran Robert
b,r,e,a,k
The Force,6
0,Albert Wu
0,Alyssa Little
0,Amanda Huber
0,Andrew Little
0,Austin Lee
0,Brittany Faust
0,Ella Mullin
0,Grace Taylor
0,Jesse Stratton
0,Louis Stein
0,Lucy Berman
0,Matthew Lingam
0,Miriam Delrahim
0,Remy Eisendrath
0,Seija Stratton
