2022 USA Ultimate Masters Championships,Grand Masters - Men ,15,7,2022
https://play.usaultimate.org/events/2022-USA-Ultimate-Masters-Championships/schedule/Men/grand-masters-men/
Johnny Walker,1
01,Eric Albright
02,Charlie Stavlo
04,Lenny Correll
05,Keith Borsheim
06,David Bacci
07,Brian Carroll
08,Van Le
09,James Beeby
10,Aaron Moredock
11,Andrew Appell
12,Darin Delay
13,Mitchell Schminke
15,Theodore Tripoli
16,Steven Rouisse
20,Brian Bogle
23,Jeff Berget
26,Joe Iannacone
28,Louis Abramowski
29,Bob Krier
30,Michael Kapoor
32,Kevin Walsh
33,Jamian Jacobs
42,Andrew Thompson
52,James (Jim) Schoettler
77,Kelly Swiryn
99,Scott Salvati
b,r,e,a,k
Kalakala,8
 ,Dave Zucker
 ,David Lott
 ,David Ignacio
 ,Denis Blount
 ,Douglas Kawasaki
 ,Eric Feise
 ,Gary Owen
 ,Benjamin Wiggins
 ,Brian Benjamin
 ,Aldan Shank
 ,Ian Buchanan
 ,Joshua Lang
 ,Justin Twenter
 ,Michael Berkenwald
 ,Robert Bruggner
 ,Ted McClure
0,Rhetick Sengupta
0,Justin Deng
0,Arnold Larson
0,Charlie Ellis
0,Craig Black
0,Giora Proskurowski
66,Jason Barnes
b,r,e,a,k
8-bit,12
00,Jonathan Altschul
02,Sou Sou Phomsavanh
03,Young Byun
05,Corey Garrow
06,Michael Frenzel
07,Scott Warrington
08,Johnny Chang
09,Michael Citrin
10,Jonathan Gardner
11,Ken Ying
13,Jimmy Tseng
16,SEAN HOBDAY
17,Michael Berman
18,Darrell Zook
21,Brian Mente
29,Tyson Hart
33,Eric Peacock
41,Delvin Kelly
49,Robert Rader
77,John Martin
88,Lawrence Liu
b,r,e,a,k
Endless Sunset Blue,13
00,Jessup Ferris
00,Leonardo Figueroa
00,Michael Roberts
00,Michael June
00,Michael Simeone
00,Muhammad Ramadan
00,PATRICK NARDI
00,Sean Lindsay
00,Thien LeNguyen
00,Tim Streit
00,Andrew Garcia
00,Ash Schwartz
00,Brad Adam
00,Brad Alldredge
00,Christopher Pastore
00,Zacharias Martinez
56,Tyler Richins
80,Doug Hallack
b,r,e,a,k
Junkyard,2
 ,Brian Gane
 ,Chrystian Plachco
 ,Colin Cox
 ,Daniel West
 ,Jack Galloway
 ,James Mangum
 ,Jesse Overby
 ,Jim Heffernan
 ,Jimmy Holtzman
 ,Joseph Ax
 ,Kevin Calcagno
 ,Kris Bass
 ,Mark Strazzer
 ,Michael Gastaldo
 ,Michael Jolley
 ,Mike Moore
 ,Patrick Hard
 ,Robert Veit
 ,Roger Lassiter
 ,Sam Boyarsky
 ,Sion Stone
 ,Terry Kramer
 ,Thomas Cleveland
 ,Alan Hoyle
 ,Troy Revell
0,Alexander (Sandy) Hartwiger
0,Nick Poore
05,Tim Lupo
b,r,e,a,k
Bighorn,7
0,Charles Stone
02,Benjamin Potash
06,Tyson Nunemacher
07,Anshuman Boonapalli
09,Nathan Dauchy
11,Jake Frye
12,Nathan Speer
13,Jeffrey Kenney
14,Mike D'Onofrio
18,Pete Clapp
23,Gabe Hamilton
25,Aaron Leavy
33,Ernest Toney
35,Jason Howard
42,Adam Verner
43,Yusuke Igarashi
47,Robert Borger
61,Jordan Irvin
64,Patrick Gilman
71,Ian McClellan
75,Stanley Strunk
77,Jimmy Donnellon
80,Gerald Chen
81,Steve Limburg
88,Joshua Wadsworth
89,Ben Zeiger
b,r,e,a,k
Joystick,11
00,Aaron Sparrow
00,Andrew Portwine
00,Anthony David Adams
00,Brad Paris
00,Dan Romero
00,Dane O'Brien
00,David Weinberg
00,David Kallin
00,Dylan McPhetres
00,Evan Ritt
00,Henry Lee
00,Jesse Farrell
00,Jonathan Gilbert
00,Jonathan Davis
00,Josh Sohn
00,Lucas Carey
00,Lukas Wadya
00,Marco Funiciello
00,Mat Heinle
00,Neil Pallaver
00,Nick Gorevic
00,Pasquale Leonardo
00,Patrick Stoltz
00,Pavel Pepeliaev
00,Travis Norsen
00,Tushar Singh
b,r,e,a,k
Burnt Ends GM,14
01,Tim Oliphant
04,Nathan Crispin
08,Jason Reskin
15,Max Feldt
28,Eric Williams
32,Travis Thompson
39,Daniel Tyx
42,Jeremy Glasser
53,Eric Kneifel
59,Laif Wheeler
60,Nick Hildenbrandt
63,Chris McClure
87,Nicholas Semrau
b,r,e,a,k
Endless Sunset,3
00,Dominic Scarfe
00,Edward Lee
00,Galen Graham
00,Jake Hadziev
00,Jamison Gorin
00,Jason Yip
00,Jeff Grobe
00,Justin Goodman
00,Keith Kreinbihl
00,Kevin Lenaburg
00,Kyle Smith
00,Mark Worley
00,Paul Wheaton
00,Phillip Hailey
00,Ross Lenta
00,Ryan Plant
00,Adam Katzenmeier
00,Andy Sammons
00,Daniel Williams
00,Dave Knight
00,Steve Stratton
00,Ty Stevens
03,Dennis Kingery
07,Ryan Thoma
15,Bryan Monroe
84,Clif Smith
b,r,e,a,k
Surly GM,6
00,Aaron Hushagen
00,Brian Johnson
00,Tad Hadtrath
01,Robert Johnson
06,Joe Andrighetti
08,Dave Kuettner
10,kirk feasey
13,Doug Jacobs
17,Matthew (Bronx) Brent
20,Russ Barr
20,Chris Jandro
22,MARK SEMENEK
24,Matthew Anderson
28,Tim Jacobson
43,Dwayne McFaddin
66,Scott Alsleben
99,Donovan Wiebe
b,r,e,a,k
Gravemaker,10
00,Brian Powell
01,George  Buri
02,Michael Gwinn
05,Martin Wasserman
06,David Swedler
07,Benjamin Davis
10,Brian Keefe
11,Andrew Delorenzo
12,Paul Zaleski
13,Joshua Kemmerling
14,Nicholas Long
17,James Quill
18,Kevin Reitz
21,Todd Grace
23,Keith Hernandez
27,Joseph (Joey) Shapiro
34,Joshua Cooper
35,Paul Avilez
37,Jacob Schumacher
40,Joshua Swanson
44,Zach Higgs
45,Gary LeDonne
47,Dan Kang
55,Jason Cadwallader
71,Marc Furigay
79,Charles Cooper
88,Leo Wang
96,Daniel Baker
b,r,e,a,k
Bull,15
00,Aaron Hall
00,Alex Gross
00,Alfonso Cairo
00,Brian Lefferts
00,Chad Pendley
00,Charlie Johnson
00,Christopher Hall
00,David Soper
00,Jerin Yu
00,Lee Jensen
00,Nickolas Hight
00,Richard Wilcox
00,Robert Bochenek
00,Shane Iverson
00,Stephen Cook
00,Tom Timmel
00,Travis Peters
b,r,e,a,k
Burnside 40,9
0,Brian Kennett
0,David Conlon
0,Hayden Harker
0,Bill Freeman
0,Jesse King
0,Joe Kleffner
0,Keith Bucher
0,Matt Ryan
0,Michael Moren
