2022 North Central Mixed Regional Championship,Club - Mixed ,24,9,2022
Hartland,WI,2022-09-24,2022-09-25
https://play.usaultimate.org/events/2022-North-Central--Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Drag'n Thrust,1
0,Bret Bergmeier
02,Emma Peaslee
03,Bryan Vohnoutka
04,Tanner Barcus
05,Jordan Taylor
06,Rocco Essex-Linehan
07,Danielle Byers
10,Jane Koch
11,Rachel Johnson
12,Marty Adams
13,Nariah-Belle Sims
14,Jessica Hendrickson
18,Sam Berglund
20,Neal Hanke
21,Sarah Mondschein
25,Gerene Taylor
29,Josh Klane
31,Maggie Peck
33,Jaime Glader
44,Mimi Kniser
49,Caleb Denecour
53,Emma Piorier
55,Charlie Schuweiler
61,Brandon Matis
66,Jason Tschida
77,Julia Hill
b,r,e,a,k
Minnesota Star Power,8
0,Michelle Christy
01,Cole Jensen
02,Brennan Johnson
03,Shelby Meyer
04,Andrew Lawrence
06,Allyson Fenton
08,Kevin Ruda
10,Tristan Grovender
11,Rachel Thompson
12,Erin McFadden
16,Lisa Barnes
19,Henry Mans
20,Kajsa Beatty
21,Tyler Mahony
22,Leah Barrett
28,Nick Heid
29,Kelsey Peterson
31,Bradley Malmsten
37,Ming Cheng Chew
42,Lena Nyblade
44,Chuck  Dudek
60,Claire Cech
62,Rebecca Kline
63,Alex Kraft
88,Joey Tillman
97,Steven Anderson
b,r,e,a,k
Point of No Return,11
0,Zackory Runke
01,Thomas Umlauf
02,Tennyson Umlauf
03,Julie Edwards
04,Ali Swan
05,Nathan Daily
07,Thomas Roltgen
08,Kylie Abel
10,Pedro Ivo Saldanha
11,Angela Roltgen
12,Mary Kage
13,Zach Lepak
14,KRISTINA INGROUILLE
15,Abby Jones
16,Kylie Macdonald
17,Katie Daily
20,David Jones
21,Joel Hielema
22,Kaitlin Woyak
28,Anna Whitford
31,Steve Piazza
32,Jana Suriano
42,Brendon Fogelberg
44,Steven Swan
77,Jarrett Stanke
87,David Horgan
b,r,e,a,k
Pandamonium,14
0,Alison Kidd
0,Anna Williams
0,Arbor Otalora-Fadner
0,Ben Finkelstein
0,Brian Thompson
0,Daniel Snyder
0,Eric Vandermolen
0,Eric Alexander
0,Erik Bredesen
0,Ian Andre-Knudsen
0,Jesse Peterson-Brandt
0,Jessie Lambert
0,Julia Clare
0,Katelin Goebel
0,Katherine Frantz
0,Katherine Johnson
0,Kevin Pochatila
0,Kim Wurl
0,Linette Maeder
0,Matt Theisen
