2022 Great Lakes Mixed Regional Championship,Club - Mixed ,1,10,2022
https://play.usaultimate.org/events/2022-Great-Lakes-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Hybrid,1
02,Justin Perticone
03,Sara Nitz
04,Theo Shapinsky
05,Hayley Banas
06,Nora Mertz
08,Dan Donovan
10,Brittany Wright
11,Annalise Meilink
13,Raymond Lu
15,Jake Steslicki
16,Riely Kuznicki
18,Axel Agami Contreras
20,Madalyn Simko
21,Tracey Lo
22,Michael Dagher-Margosian
23,Alex Kapiamba
24,Charlotte Wilson
27,Bailey Besser
30,James Highsmith
33,James Hill
42,Nathan Champoux
55,Sean Clark
66,Mya Hernandez
76,Adam Stautberg
77,Katrina McGuire
88,Mark Whitton
b,r,e,a,k
Bandwagon,8
 ,Cullen Booth
 ,Robert Miller
0,Shannon Jones
0,Stephanie Nobbe
0,Zachery Berg
0,Adam Whitton
0,Addisyn Hill
0,Alex Green
0,Amelia Williams
0,Amelia Leenig
0,Arthur Small
0,Eric Palia
0,Hallie Schmucker
0,Jackson Moore
0,Jacob Mock
0,Jacob Fry
0,Karen Wentz
0,Lauren Kitten
0,Leanna Sequeira
0,Lowell Knight
0,Lydia Grorud
0,Margaret Nelson
0,Mary Braun
0,Matthew VanDokkenburg
0,Owen Miller
0,Patrick Dunn
b,r,e,a,k
Queen City Gambit,13
 ,Connor Shirley
 ,eric reed
 ,Michael Horner
03,Daniel Carle
08,Camilo Barrera
11,Kit Carle
13,Janey Vandegrift
14,Evan Mack
15,Aaron Bacon
17,Rachel Monnin
18,Lydia Riddell
20,Dave Richmond
22,Katherine Fry
25,Josh Keyser
26,Maria Dienger
27,Jacob Royster
31,Emily Kemen
37,Grace Heldwein
44,Aislinn DeSieghardt
48,Ryan Grabowski
49,Troy Stapleton
55,Samuel Lieberman
81,Kimberly Cooper
88,Timothy Hale
96,Chad Estill
99,Maddie Samson
b,r,e,a,k
Three Rivers Ultimate Club,12
0,audrey schroeder 
0,Grace  Lare 
0,Melissa Vanderbosch
01,John Haselden
04,Jacob Wunderlich
05,Collin Marshall
06,Andrew Perry
07,Ben Schwartz
08,Justin Hess
11,Thomas Yaste
12,Peter Heneveld
14,Lydia Yaste
14,Colby Parker
17,Holly Wallin
18,Anthony Phan
21,Abbie Haselden
24,Henry Connor
27,Jessica Sink
28,Jacob Felton
29,Emily Schloneger
31,David  Cox
54,Michael Bianski
55,Rachel Heneveld
73,Caleb Patterson
84,Andrew Warren
88,Ian Leazier
b,r,e,a,k
Cleveland Crocs,2
02,Elizabeth Lehman
03,Eliot Alexander
04,Zach Byrnes
05,David Picone
08,Jonathon Grgat
09,Iris Javersak
10,Eric Zarobila
11,Sion Agami Contreras
12,Mitch Cihon
13,Charlie Vukovic
14,Osvaldo Velez-Martinez
16,Anil Driehuys
17,Maxwell Devine
19,AJ Uthe
21,Rachel Mast
22,Chelsea Zhu
23,Chris Graber
24,Rachel Graber
25,Riley Dickson
28,Katherine Hoffman
33,Lexie Thomas
36,Griffin Binkley
38,Meghan Drews
41,Dan Urbanek
78,Sophia Vaccaro
88,Madeleine Pletzke
b,r,e,a,k
POW!,7
 ,Katy Ross
