Mixed Easterns 2022,Club - Mixed ,4,6,2022
Devens,MA,2022-06-04,2022-06-05
https://play.usaultimate.org/events/Mixed-Easterns-2022/schedule/Mixed/Club-Mixed
Obscure,9
teamInfo,,"Boston, Massachusetts",,,
 ,Benjamin Nelson
 ,Frank Qin
 ,Jacqueline Willwerth
 ,Jesse Schwartz
 ,Adrienne Wells
 ,Audrey Love
 ,Luke Diorio
 ,Sarah Jeung
 ,Tessa Bertozzi
 ,Thomas White
0,Zach Darbeloff
0,Luke Arnone
0,Nick DiOrio
0,Ryan Tucker
0,Benjamin Duffy
0,Aidan McLeod
0,Anna Shanedling
0,Katherine England
0,Kim Mahan
0,Kimberly Levins
0,Kristie Kelly
b,r,e,a,k
Slow,1
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/SlowWhiteUltimate/,https://twitter.com/SlowWhite_
0,Davis Whitehead
0,Dory Ziperstein
0,Dylan Frank
0,Gigi Downey
0,Hunter Lang
0,Jenny Wang
0,Langston Lee
0,Nilos Makino
0,Peter Prial
0,Alexi Zalk
0,Ryan Woodhouse
10,Ryan Turner
52,Alexander Trahey
56,Amy Stoddard
66,Emilia Scheemaker
b,r,e,a,k
Époq,8
teamInfo,,"Québec, Quebec CA",,,
 ,Nalini Gascon
 ,Yoland Fournier Cabot
00,Nathan Dandurand
00,Nicolas Vanasse
00,Philippe Poitras
00,Shaunagh Howard
00,Alexandre Beaulieu
00,ALEXANDRE ST-ONGE
00,Dan Turcotte
00,Dominic Savard
00,EMILIE ST-PIERRE
00,Félix-Antoine Daigle
00,Helene Paradis
00,Janique Arsenault
00,Jean-Philippe Riopel
00,Jean-Philippe Gérin
00,Jessica Circe
00,KATE BEAULIEU
00,LYDIA LEBEL
00,Marie-Laurence F. Laberge
00,Mathieu Bordeleau
00,Melissa Poulin-Cadovius
00,Mélissa Auger
b,r,e,a,k
Heat Wave,13
teamInfo,,"Brooklyn, New York",,,
0,Adam Cusner
0,Alex Becker
0,Anne Zhang
0,Annie Kean
0,Beatrice Ibes-Nedeljkovic
0,Bernard Wang
0,Christina Secor
0,Christopher Dunn
0,Clare Heine
0,Cullen MacDowell
0,Daniel Katz
0,Ethan Lieman
0,Kevin Ludwig
0,Maya Kikuchi
0,Meredyth Staunch
0,Miles Savitz
0,Nick Frost
0,Nick Compton
0,Nima Lhamo
0,Peter Gilchrist
0,Renee Heller
0,Saroja Erabelli
0,Tessa Jones
0,Victoria  Kerrigan
b,r,e,a,k
Sprocket,2
teamInfo,,"Lexington, Massachusetts",,https://www.facebook.com/sprocket.ultimate,
 ,Caroline Collis
 ,Kat Brock
0,Michael Humbert
0,Nikki Chang
0,Patrick Barron
0,Reuben Philip
0,Casey Zhu
0,Amanda Giles
0,Anthony Goss
0,Caitlin Go
0,Cody McInnis
0,Emma Lowenstein
0,Ivan Tran
0,Jerry  Wang
0,Sara Rudolph
0,Stephen Mock
0,Tahlia Quartin
0,Wilhelmina Graff
0,Zach Singer
01,Tannor Johnson
05,Ryan Flamberg
13,Leanne Go
20,Clara Stewart
28,Michael Shriver
30,Felipe Delgado
55,Cassandra Skapek
88,Kayla Huddell
95,Nolan Scheemaker
b,r,e,a,k
Grand Army,10
teamInfo,,"Brooklyn, New York",,https://www.facebook.com/GrandArmyUltimate,https://www.twitter.com/grandarmymixed
 ,Alex Baroody
0,Connor Chin
0,David Chen
0,Dena Behar
0,Eric Zimmerman
0,Helen Wu
0,Lily Gould
0,Mei Reffsin
0,Peter Luo
