2022 D-I College Championships,College - Men ,27,5,2022
Milwaukee,WI,2022-05-27,2022-05-30
https://play.usaultimate.org/events/2022-D-I-College-Championships/schedule/Men/CollegeMen/
Brown,1
02,Cal Nightingale
03,Morgann Thain
04,Noah Ball-Burack
06,Dylan Villeneuve
07,Leo Gordon
08,William Steinfeld
11,Luca Duclos-Orsello
12,Ian Layzer
14,Jackson de Campos
16,Cameron Curney
17,Zachary Kaufman
19,Matias Lee
22,Martin Trouilloud
24,Jacques Nissen
27,Elliott Rosenberg
29,Oscar Low
30,Caleb Moran
34,John Randolph
35,Patrick Connor
42,Kaleb Zuckerman
68,Talon Johnson
76,Andy Burris
b,r,e,a,k
Cal Poly-SLO,8
00,Joseph Thachet
01,Leo Lauritzen
05,Matt Miller
06,Keaton Orser
07,James Whealan
11,Evan Stock
12,Bailey Prochaska
13,Samuel Wedegaertner
14,Rafael Castillo
15,Anton Orme
16,Garrett Bush
17,Sander Fogarty
21,Peter Lenz
22,Dodger Middlebrook
23,Jake Thorne
25,Charles Camilli
27,Kenrick Koo
30,Seamus Robinson
36,Zach Riley
42,Keaton Bates
45,Alex Nelson
50,Kyle Lew
70,Emmet Holton
72,Carson Crouch
81,Calvin Brown
b,r,e,a,k
Texas,12
01,Kolbe Bauer
02,Saaketh Palchuru
03,Aaron Barcio
04,Peter Ngo
05,Jacob Radack
06,Jacob Sames
07,Christopher Layden
08,Calvin Nguyen
11,Michael Stinger
12,Matt Chambers
14,Cade White
18,Brandon Lemens
21,Elliot Lee
24,Noah Powell
25,John Clyde
36,Aly Hirani
69,Christopher Cassella
71,Zachary Slayton
73,Gavin Babbitt
81,Jake Worthington
b,r,e,a,k
Utah State,13
00,Kale Winterton
02,Zach Balls
05,Samuel Huntzinger
06,Ezra Kennedy
07,Henry Nguyen
11,Skyler Jones
12,Landon Lloyd
15,Garrett Martin
17,Jackson Egbert
19,Ashton McMahon
20,Ryan Beck
21,Benjamin Hoffman
23,Anthony Mounga
24,Jonny Hoffman
25,Tyler Anderson
26,Bracken Wright
29,Nathan Taylor
33,David Peterson
47,Calvin Clark
80,Jake Osborne
92,Jaren Newswander
95,Brock Hyatt
b,r,e,a,k
William & Mary,17
0,Aidan O'Connell
01,Griffin Must
03,Kent Grantz
03,Braxton Breed
04,Lucas Reichert
05,Ethan Ruh
06,George Hoak
07,Benjamin Greenberg
08,Langston Lee
09,Ryan Anderson
11,Jack Hayes
12,Leif Schuster
13,Bryce Whitney
14,Ethan Dewald
18,Eitan Gerstle
21,Benjamin O'Neill
23,Charles Tai
26,Patrick Schroeder
28,Harrison Littel
29,Myan Indugula
30,Sam Brothers
31,David Bishop
35,Theodore Bennett
62,Mark Edwards
98,David Lewis
b,r,e,a,k
Colorado,2
00,Alex Atkins
01,Aylen Learned
02,Rishi Assar
03,Atkin Arnstein
05,Calvin Stoughton
06,Axel Hartzog
07,Alex Borinstein
08,Daniel Landesman
09,Owen Wolford
10,Saeed Semrin
11,Aston Horton
12,Levi Tapper
16,Benton Shevlin
17,Benjamin Harris
20,Jace Pivonka
22,Thomas Brewster
24,Nathan Buchholz
25,Conor Tabor
26,Omar  Semrin
31,Dexter Luecke
33,Collin Ruprecht
47,Seth Wells
68,Cole Besser
72,Max Van Sickle
83,Walt Johnson
b,r,e,a,k
Minnesota,11
00,Brandon Macho
01,Maximilian Dewberry
02,Kenji Her
03,Ishaan Lukhey
04,Samuel Morris
06,Alex Tsvetkov
07,Erik Aadalen
08,Drew Bonnabeau
09,Sebastian Brauer
10,Anthony Jirele
11,Ian Mccosky
12,A.J. Larson
13,Cole Jurek
