2022 USA Ultimate Masters Championships,Masters - Mixed ,15,7,2022
Aurora,CO,2022-07-15,2022-07-17
https://play.usaultimate.org/events/2022-USA-Ultimate-Masters-Championships/schedule/Mixed/Masters-Mixed/
SOS,1
b,r,e,a,k
Default,15
teamInfo,,"Burlington, Vermont",,,
01,Richard Raabe
02,Bill Schrecker
04,Sharon Harper
07,Kat McGorry
09,Bryan Cho
10,Michelle Steele
12,Molly Smith
13,Scott Franklin
14,Claire Calise Raabe
15,Heng-Scheng Chuang
15,Karen Dolan
19,Carlos Orr
21,Ryan Nielsen
23,Sarah Wittman
24,Karen Spach
27,Alex Vorce
39,David Ross
42,Gregory Conway
44,Daron Byerly
69,Stacy Huffstetler
77,David Seaver
b,r,e,a,k
Super Drosts,4
teamInfo,,"New York, New York",,,
 ,Chuck Cantone
 ,Cory Salé
 ,Elly Ouellette
 ,Emily Prader
 ,Francoise Delisle
 ,Gary Dixon
 ,Jacqueline Lee
 ,Joe Babbino
 ,Jonathan Mast
 ,Joseph Ouellette
 ,Brendan Awerbuch
 ,Laura Marrin
 ,Matthew Auletta
 ,Michael Drost
 ,Ryan Drost
 ,Sarah Kay Dela Cruz
 ,Taylor Brooks
 ,Tricia Smit
0,Seneca Gray
0,Ryan Delaney
0,Lauren Woods
0,Matthew Mclaughlin
0,Brittany Kaplan
0,Karen Chalif
0,Katherine Cole
0,Hannah Garfield
12,Matthew Lemar
b,r,e,a,k
Old #7,5
teamInfo,,"Lynchburg, Tennessee",,,@OldNo7ultimate
00,Andrea Del Balso
00,Catherine Spencer
00,Christo Ferguson
00,Dana Bidot
00,Jackie Fane
00,Jacqueline Bekken
00,Lillian Ponitz
00,Michael Venezia
00,Stephen Brandon
01,Josiah Gamble
02,"Michael Guiles, Jr"
10,Amy Guiles
12,Bryan Sansbury
22,Cameron Heck
23,Melanie Thomas
42,Andy Barnhart
47,Stacie Coleman
50,Sean Allan
59,Jackie Sullivan
96,Mark Ullom
b,r,e,a,k
Portland Prime,9
teamInfo,,"Portland, Oregon",,,
0,Pete Overright
02,Jacob Artz
03,Emily Flock
07,Megan Mancini
11,Christine Beaulieu
13,Ash Wylder
23,Steven Rice
29,Taurin Skinner-Maginnis
31,Miguel Rodriguez
37,Jake Chang
41,Eric Laughlin
43,Dana Chang
47,Samuel Adamson
53,Carmen Ellis
59,Lauren Adrian
67,Jessica Rice
71,Rigel Berg
79,Lauren Truxillo
83,Ryan Wilder
89,Danielle Grooms
97,GREG INMAN
b,r,e,a,k
Run Like The Winded,16
teamInfo,,"Denver, Colorado",,https://www.facebook.com/groups/windedultimate,
0,Jonathan Brand
01,Melissa Masek
02,Jacqueline Burggraaf
04,Carolina Gonzalez-Llanos
05,Thomas Hunt
07,Derek Belka
09,Nina Vollmer
10,Bethany Mitch
11,John Jackson
12,Amy Rask
13,Jonathan Patterson
14,Lara Kreuter
15,Courtney Lake
17,Justin Dowsett
19,Alicia Cymbala
23,Victor Pulizzi
25,Scarlet Moody
32,Chelsea Verhasselt
33,Tiffany Lui
38,Eric Rask
41,Sean Johnston
44,Lukas Powers
48,Jae Berry
49,Matthew Cueva
86,Paul Phillips
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
SOS,Spikes Peaked,13,7,"07/15/2022, 08:30",Pool A,Final
Hey Babe,Distilled Fink,13,7,"07/15/2022, 08:30",Pool A,Final
SOS,Distilled Fink,14,6,"07/15/2022, 10:30",Pool A,Final
Hey Babe,Spikes Peaked,12,10,"07/15/2022, 10:30",Pool A,Final
SOS,Hey Babe,15,10,"07/15/2022, 12:30",Pool A,Final
Spikes Peaked,Distilled Fink,9,11,"07/15/2022, 12:30",Pool A,Final
pool,Pool B
Drag'n Rust,Gin and Chronic,12,8,"07/15/2022, 08:30",Pool B,Final
Shipwreck,Day Shift,14,6,"07/15/2022, 08:30",Pool B,Final
Drag'n Rust,Day Shift,11,7,"07/15/2022, 10:30",Pool B,Final
Shipwreck,Gin and Chronic,13,6,"07/15/2022, 10:30",Pool B,Final
Drag'n Rust,Shipwreck,13,10,"07/15/2022, 14:30",Pool B,Final
Gin and Chronic,Day Shift,7,13,"07/15/2022, 14:30",Pool B,Final
pool,Pool C
Cool Biz,Antiques Roadshow,12,6,"07/15/2022, 08:30",Pool C,Final
512,Default,12,11,"07/15/2022, 08:30",Pool C,Final
Cool Biz,Default,14,5,"07/15/2022, 10:30",Pool C,Final
512,Antiques Roadshow,8,12,"07/15/2022, 10:30",Pool C,Final
Cool Biz,512,11,9,"07/15/2022, 14:30",Pool C,Final
Antiques Roadshow,Default,14,8,"07/15/2022, 14:30",Pool C,Final
pool,Pool D
Super Drosts,Portland Prime,13,8,"07/15/2022, 08:30",Pool D,Final
Old #7,Run Like The Winded,10,7,"07/15/2022, 08:30",Pool D,Final
Super Drosts,Run Like The Winded,14,5,"07/15/2022, 10:30",Pool D,Final
Old #7,Portland Prime,10,9,"07/15/2022, 10:30",Pool D,Final
Super Drosts,Old #7,13,10,"07/15/2022, 12:30",Pool D,Final
Portland Prime,Run Like The Winded,13,6,"07/15/2022, 12:30",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,1st Place
SOS,Cool Biz,10,11,"07/17/2022, 11:00",Finals,Final
SOS,Super Drosts,10,9,"07/16/2022, 14:30",Semis,Final
Cool Biz,Drag'n Rust,11,9,"07/16/2022, 14:30",Semis,Final
SOS,512,12,10,"07/16/2022, 10:30",Quarters,Final
Super Drosts,Antiques Roadshow,11,7,"07/16/2022, 10:30",Quarters,Final
Cool Biz,Old #7,11,8,"07/16/2022, 10:30",Quarters,Final
Drag'n Rust,Portland Prime,13,5,"07/16/2022, 10:30",Quarters,Final
Shipwreck,512,7,9,"07/16/2022, 08:30",Pre-Quarters,Final
Antiques Roadshow,Day Shift,8,6,"07/16/2022, 08:30",Pre-Quarters,Final
Distilled Fink,Old #7,6,12,"07/16/2022, 08:30",Pre-Quarters,Final
Portland Prime,Hey Babe,11,9,"07/16/2022, 08:30",Pre-Quarters,Final
b,r,e,a,k
brackets,5th Place
bracket,5th Place
Old #7,Portland Prime,12,8,"07/17/2022, 09:00",5th Place,Final
512,Old #7,4,13,"07/16/2022, 12:30",Semis,Final
Antiques Roadshow,Portland Prime,8,13,"07/16/2022, 12:30",Semis,Final
b,r,e,a,k
brackets,9th Place
bracket,9th Place
Shipwreck,Hey Babe,11,12,"07/17/2022, 09:00",9th Place,Final
Shipwreck,Day Shift,13,6,"07/16/2022, 12:30",Semis,Final
Distilled Fink,Hey Babe,6,13,"07/16/2022, 12:30",Semis,Final
Shipwreck,Spikes Peaked,12,8,"07/16/2022, 10:30",Quarters,Final
Day Shift,Run Like The Winded,9,8,"07/16/2022, 10:30",Quarters,Final
Distilled Fink,Default,11,9,"07/16/2022, 10:30",Quarters,Final
Hey Babe,Gin and Chronic,13,7,"07/16/2022, 10:30",Quarters,Final
b,r,e,a,k
brackets,13th Place
bracket,13th Place
Spikes Peaked,Gin and Chronic,9,10,"07/17/2022, 09:00",13th Place,Final
Spikes Peaked,Run Like The Winded,11,4,"07/16/2022, 12:30",Semis,Final
Default,Gin and Chronic,8,13,"07/16/2022, 12:30",Semis,Final
b,r,e,a,k
brackets,3rd Place
bracket,3rd Place
Super Drosts,Drag'n Rust,10,8,"07/17/2022, 09:00",3rd Place,Final
b,r,e,a,k
brackets,7th Place
bracket,7th Place
512,Antiques Roadshow,12,9,"07/17/2022, 09:00",7th Place,Final
b,r,e,a,k
brackets,11th Place
bracket,11th Place
Day Shift,Distilled Fink,12,11,"07/17/2022, 09:00",11th Place,Final
b,r,e,a,k
brackets,15th Place
bracket,15th Place
Run Like The Winded,Default,11,12,"07/17/2022, 09:00",15th Place,Final
b,r,e,a,k
