Philly Open 2022,Club - Men ,6,8,2022
https://play.usaultimate.org/events/Philly-Open-2022/schedule/Men/Club-Men/
Redwolves,1
 ,Andrew Sington
 ,Austin Alvarado
 ,Benjamin Greenberg
 ,Jacky Chung
 ,Jason Hawkins
 ,Joel Brown
 ,Neil Nicholson
 ,Noah Gross
 ,Sean Walsh
 ,Xavier Schafer
 ,Matt Thomas
0,Matthew Thornton
0,AJ Merriman
0,Kyle Morgan
0,Christian Gemond
0,Christopher King
0,Daniel Marlin
0,Eric Yoon
0,Hyosam Jeon
0,Isaac Lee
b,r,e,a,k
Magma Bears,14
0,Andrew  Seiden
0,Brandon Chan
0,Christopher Novielli
0,Christopher Wong
0,Colton Lubaszka
0,Deven Amann-Rao
0,Drew Woods
0,Elan Kane
0,Ethan Underweiser
0,Ethan Rouen
0,Ian Soderlund
0,Jacob Margolis
0,James Leonard
0,James McEwan
0,Jared Kim
0,Jesse Charpentier
0,John Brancato
0,Johnny Jiang
0,Lee Martel
0,Matteo Focchi
0,Michael Lovisa
0,Philip Liu
0,Quinn Hauck
0,Ricky Chen
0,Ryan Blazejewski
0,Sal Pepe
b,r,e,a,k
Winc City Fog of War,21
 ,Daniel Hillgren
 ,Harry Neidig
 ,Joshua Alger
 ,Shawn Miller
0,Nathaniel Belk
0,Samuel Fitzhugh
0,Luke Willis
0,John Hall
0,Jonathan Payne
0,Joseph  Duthie
0,Josh Bollinger
0,Jacob Harnage
0,Goutham Kommanaboyina
10,Paul Froeschle
11,Neill Hensler
13,Joshua Carter
15,Brendan Jarrell
24,Kyle Derr
33,William Lauffer
43,Jacob Ham
47,Bryan Frumkin
48,Mykiah Bonhom
77,Jonathan (Charlie) Smedberg
92,John Maxwell
b,r,e,a,k
Chimney,22
 ,Gabriel Doringo
 ,Jacob Warmath
 ,Nick Demchak
0,Noah Spaetti
0,Dmitriy Estrin
02,Malachi Marshall
04,Ben Anderson
10,Vlad Estrin
12,Clark Seese
13,Benjamin March
20,Tristan Greiner
21,Ben Alexander
24,Pete Digre
31,Martin Oswald
41,Joseph Molina
42,Anthony Ricci
44,Josh Shamburger
61,Derek Lin
76,Logan Heck
94,Owen Zhou
99,Alex Warrington
b,r,e,a,k
Red Tide,13
0,Adam Cloutier
0,Aidan Hayes
0,Bailey Kirwin
0,Ben Fasciano
0,Benjamin Scharadin
0,Benjamin Payson
0,Cameron Jack
0,Charlie Hepburn
0,Daniel Bronshvayg
0,Davis Ritger
0,Elijah Babcock
0,Eric Chen
0,James Flynn
0,John Malcom
0,John Sands
0,Justin Strout
0,Matthew Wilbanks
0,Matthew Toothaker
0,Patrick Kelsey
b,r,e,a,k
Brickhouse,2
 ,Bailey Laberteaux
 ,Blake Stratton
 ,Christopher Saacks
0,Brennan Kramling
0,Alexander Tayyeb
0,Jacob Levine
0,Jamie Williford
0,John Laney
0,John Bradley
0,Matthew Nightingale
0,Matti Lee
0,Nathan Khot
0,Ryan Bliss
0,Sean Wiles
0,Shaan Narayan
0,Will Scudder
0,Zac Kuelz
12,Hiatt von Alten
17,Aaron Wei
21,Justin-Cooper Williams
25,Avery Acierno
29,Paul James
49,Daniel Ferriter
b,r,e,a,k
Hazard,20
01,Ryan  Spangenberg
03,Keven Gregg
07,Cory Ruff
09,Justin Fraser
10,Blaine Taylor
11,Ben Lyle
12,Ray Cunningham
13,Zachary Risinger
16,Edward Hoffman
17,Steven Bizon
19,Ryan Kindell
22,Connor Tipping
29,Mahlon Beiler
37,Nick Bozich
41,Jacob DeWoody
47,Lawson Fisher
50,Zach Dahm
52,Jonathan McGee
55,Nathan Conroy
66,Connor Dembiczak
80,Jay Walker
83,Zachary Murray
88,Matt Mafrici
92,Wally Gaida
95,Calvin Szewczyk
b,r,e,a,k
Richmond Floodwall,23
 ,Alexander Williamson
 ,Austin Swift
 ,Austin Smith
 ,Isaiah Epps
 ,Jacob Tongier
 ,Jeremy Via
 ,Jonathan Nahmias
 ,Matias Pineiro
 ,Mehmet Kutlug
 ,Michael Chisholm
 ,Ray Varner
 ,Thomas Campbell
 ,Trent Tolley
 ,Tyler Davis
0,Luke Sahli
0,Daniel Owecke
21,Sohail Syed
b,r,e,a,k
Big Wrench,12
0,Conor McManamy
0,Alexander Riahi
0,Alan Scarth
0,John Wellers
0,Samuel Letcher
69,Walden Ng
69,Noah Weintraub
69,Phillip Joyce
69,Reed Browning
69,Aaron Saylor
69,Matt Sehgal
69,Alexander Roche
69,Andrew Zaccardi
69,August Williams
69,Ben Krupp
69,Benjamin Jafek
69,Eli Standard
69,Elias Benghiat
69,Eric Shaw
69,Gene Buonaccorsi
69,Ilya Yudkovich
69,Jack Facey
69,Jacob Marsh
69,Jared Schwallie
96,Nick Jewell
b,r,e,a,k
Rumspringa,3
 ,Robert Yu
 ,Will Hoehne
0,Zach Thurston
0,Ryan Forster
0,Samuel Esser
0,Sean Johnston
0,Steve Rosso
0,Andrew Landes
0,Brett Sawyer
0,Colin McIntyre
0,Greg Esser
0,Jeff George
0,Matt Esser
0,Michael Reeves
0,Rob Allan
b,r,e,a,k
Spring Break '93,19
 ,Justin Badgett
0,Leo White
0,Linus Koepfer
0,Martin Niemiec
0,Michael Schriefer
0,Steven Lee
0,TIMOTHY TOZIER
0,David Rundio
0,Dean Bhatt
0,Jaquan Washington
0,Jordan Greene
0,Joshua Friedman
31,Zachary Putney
43,Joshua Kish
b,r,e,a,k
Rebels,24
02,Stephen Rivera-Lau
03,Andrew Cameron
04,Andrew Healey
05,Brian Rivera-Lau
06,Collin Westcott
09,Stephen Burner
12,Dylan Regan
13,Nick Piotti
14,Brandon Bergman
15,Colin Finnigan
17,Stephen Gordon
22,Shawn Lawson
24,Shawon Nixon
25,Jay Spangler
26,Mark Butler
28,Jacob Romero
30,Aryeh Kempler-DeLugach
35,Joey Rosta
43,Patrick Irvine
50,Kevin Curtin
52,Lewin Levine
56,Zachary Hunt
64,Dillon Strieffler
70,Matthew Trotter
77,Andrew Burgess
78,Bryant Hall
87,Christian Obuchowski
b,r,e,a,k
Blueprint,4
 ,Evan Ma
 ,Joseph Copeland
 ,Sam Alston
 ,Walter Roosa
0,Samuel Ross
0,Samuel Pollack
0,Alex Pistolesi
0,Andrés Rodríguez Hernández
0,Andrew Edelman
0,Carter Wang
0,Josh Imhoff
0,Julian Quintero Rodriguez
0,Leo Xiao
0,Leo Jordan
0,Max Cohen
0,Owen Marschall
0,Patrick Stegemoeller
0,Ruozhou Ye
0,Garrett Wibbelsman
0,Gary Delia
0,Geoffrey Zheng
0,Jacob  Cowan
0,James  O'Connell
0,Jesse Gan
0,John Kern
0,Jordan Richmond
b,r,e,a,k
SUPA FC,11
0,Bobby Leiphart
0,Christian Becker
0,Christopher Cookerly
0,Daniel Naylor
0,Derek Rabold
0,Eric Grosh
0,Jacob Farnham
