Easterns 2022,College - Men ,2,4,2022
Little River,SC,2022-04-02,2022-04-03
https://play.usaultimate.org/events/Easterns-2022/schedule/Men/CollegeMen/
Brown,1
teamInfo,Brownian Motion,"Providence, Rhode Island",http://www.brown.edu/Athletics/Mens_Ultimate/,https://www.facebook.com/brownultimatefrisbee,https://twitter.com/BMoUltimate
coaches,James Smart
 ,Dylan Villeneuve
 ,Jackson de Campos
0,Jacques Nissen
0,Elliott Rosenberg
0,Ian Layzer
0,Andy Burris
0,Cal Nightingale
0,Caleb Moran
0,Cameron Curney
0,Kaleb Zuckerman
0,Leo Gordon
0,Luca Duclos-Orsello
0,Matias Lee
0,Morgann Thain
0,Noah Ball-Burack
0,Oscar Low
0,Patrick Connor
0,William Steinfeld
0,Zachary Kaufman
22,Martin Trouilloud
34,John Randolph
68,Talon Johnson
b,r,e,a,k
Michigan,8
teamInfo,MagnUM,"Ann Arbor, Michigan",http://www.magnumultimate.com/,https://www.facebook.com/magnUMultimatefrisbee/,https://twitter.com/magnUMultimate
 ,Ashwin Pothukuchi
 ,Max Vogel
 ,Owen O'Neil
 ,Zachary Loyd
0,Tobey Chang
0,Zach Eichenberg
0,Jonathan Ramsay
0,Kenneth Tien
0,Aaron Bartlett
0,Max Karnik
0,Cole Rynbrandt
0,Eli Friedman
0,Elior Waskow
0,Gabriel Scheck
0,James Baker Jr
12,Leonard Miller
13,Eli Weaver
22,Bradley Kerr
23,Theo Shapinsky
25,Nicholas Colucci
26,Noah Gross
33,James Hill
38,Yipeng Wang
84,Cian Johnson
87,Pavel Mazza
b,r,e,a,k
Ohio State,9
teamInfo,Leadbelly,"Columbus, Ohio",,https://www.facebook.com/LeadbellyUltimate,https://twitter.com/pbultimate
 ,David Snead
 ,Jiayou Liu
 ,Joe Spofforth
 ,Michael Kopechek
 ,Max Scheetz
0,Maxwell Devine
0,Logan Frey
0,Matt Nuoffer
0,David Braden
0,Charlie Vukovic
10,Noah Krumme
15,Ben Haywood
16,Anthony Sanderell
18,Axel Agami Contreras
19,Avery Gleeson
20,Andrew Osborn
21,Alex Rudy
22,Eric Binder
23,Ryan DeGeeter
24,Tanion Misawayee
28,Patrick Diehl
30,Trevor Jones
39,Christopher Arevalo
43,Tyler McCarthy
55,Eric Coglianese
78,Aidan Stevens
93,Peter Zhang
99,Alex Warrington
b,r,e,a,k
North Carolina-Wilmington,17
teamInfo,Seamen,"Wilmington, North Carolina",http://seamenultimate.com/,https://www.facebook.com/seamenultimate,https://twitter.com/seamenultimate
coaches,Brian Casey
 ,Quinn Garner
 ,Sean Kim
0,Pablo Velosa
0,Rafael Hopf
0,James Thomas
0,Luke Merrill
0,Chase Korabik
0,Colin Hines
0,Isaac Abelson
06,Jack Liebling
08,Owen Maskelony
09,Gabe Thomas
10,Ryan Watson
11,Patrick Grossheim
12,Benjamin Hauptli
15,Jup Patel
17,Colby Francfort
31,Cole Feltman
48,Santiago Velosa
88,Lukas Becker
96,Ethan Ylizarde
b,r,e,a,k
Wisconsin,16
teamInfo,Hodags,"Madison, Wisconsin",https://www.hodaglove.org,https://www.facebook.com/Wisconsin-Hodags-118125241585256/,https://twitter.com/hodaglove
0,Oscar Felcan
01,Kevin Tan
02,Oliver Walke
03,Ryan Yee
04,Henry Goldenberg
05,Patrick LaVallee
07,Michael Yee
08,Carson Batchelor
09,Gabriel Solomon
