Easterns Qualifiers 2022,College - Men ,26,2,2022
Little River,SC,2022-02-26,2022-02-27
https://play.usaultimate.org/events/Easterns-Qualifiers-2022/schedule/Men/CollegeMen/
Auburn,1
teamInfo,Aetos,"Auburn, Alabama",,https://www.facebook.com/auburnultimate,https://twitter.com/AuburnUltimate
0,Brett Hulsmeyer
0,Carson Owen
0,Clark Rice
0,Garrett Nix
0,Gavin Collins
0,Grayson Smith
0,Hugh Fournier
0,John Williamson
0,John Shields
0,John Tidwell
0,Jonathan Holladay
0,Joshua Thomas
0,Kody Shively
0,Lee Thomas
0,Marcus Evans
0,Matthew Green
0,Nicholas Smith
0,Ron Warren
0,William Bianca
0,Alex Simpson
69,Brandon Beers
b,r,e,a,k
North Carolina-Charlotte,9
teamInfo,Charlotte Skyrise,"Charlotte, North Carolina",,https://www.facebook.com/groups/UNCCfrisbee/,
 ,Carson Borter
 ,Samuel Angiulli
0,Jackson Franke
0,James Visconti
0,Matthew Nightingale
0,Christian Silio
0,Angel Maldonado
0,Erik Kirby
05,Daniel Eure
06,Kevin Zhang
11,Timothy Rees
13,Brandon Cousar
14,Simon Jenkins
15,Munir Fleurizard
16,Carson Goins
17,Andrew Lam
18,Tre Hinton
19,Jaren Robbins
20,Jack Simmons
24,Ransome Martin
25,Ben Simmons
26,Peter Geniac
27,Joseph  Pazyra
31,Jack Walsh
33,Jamie Williford
36,Cole Headley
41,Dhairya Desai
44,Avery Dunham
51,Damian Delgado
59,Thomas Yoxsimer
77,Joshua Clevenger
87,Daniel Lindsay
88,Christopher Saacks
91,Robert Niven
b,r,e,a,k
Cincinnati,8
teamInfo,Bearcats,"Cincinnati, Ohio",,,https://twitter.com/UCUltimate
coaches,Joel Houmes,Steven Kolp
 ,Jacob McEachern
 ,Jake Blue
0,Jalal Sylvester
0,Dermot Fox
0,Dominic Stegman
0,Donovan Duffy
0,Kyle Giess
0,Kyle Bates
0,Linus Dombrosky
0,Ben Kempe
0,Brent Porotsky
0,Maximillian  Humbert
0,Michael Bruggeman
0,Mike Finke
0,Nate Montgomery
0,Nick Miller
0,Nihaal Sidhu
0,Hunter McIntosh
0,Tyson Neff
0,Zachary Belegrin
0,Zachary Lewis
01,Elliot Skindzier
10,Calvin Caldwell
15,Michael Horner
22,Trevor Hirsch 
29,Yuhao Wu
30,Jordan Bell
48,Ryan Grabowski
74,Matthew Bruggeman
b,r,e,a,k
Clemson,16
teamInfo,Joint Chiefs of Waft,"Clemson, South Carolina",http://www.clemson.edu/ultimate/,,
0,Aaron Baymiller
0,Aaron Slaven
0,Adam Monn
0,Bowen DuVal
0,Caelan Paquette
0,Chapman Lee
0,Clay Wells
0,Colin Sauls
0,Frank Boysia
0,Hank Schmidt
0,Jack Cioffi
0,Jackson  Dye
0,Jake Chipper
0,Kevin Gaber
0,Kevin Salvatierra-Gohering
0,Kyle Jones
0,Luke Philbin
0,Luke Garden
0,Michael  Berros
0,Nathaniel Bieling
0,Thomas Watson
0,Will Pear
0,Will Bramlet
0,William Cathey
0,Wilson Bradley
b,r,e,a,k
Vermont,2
teamInfo,Chill,"Burlington, Vermont",,https://www.facebook.com/Team.Chill.33/,https://twitter.com/team_chill
0,Andrew Plumb
0,Benjamin Payson
0,Carl Crawford
0,Carter Lawless
0,Chase Drinkwater
0,Christopher Kiepert
0,Declan Kervick
0,Eli Standard
0,Gabriel Smestad
0,Gabriele Kautz
0,Jack Rice
0,John Sickles
0,Kuochuan Ponzio
0,Luca Stuccio
0,Nathaniel Whitten
0,Nico Christakos
0,Parker Lin-Butler
0,Reed Browning
0,Ryan Bliss
0,Timothy Bliss
0,Turner Allen
0,Walden Ng
0,Zachary Watson-Stevens
b,r,e,a,k
South Carolina,15
teamInfo,Gamecock Ultimate,"Columbia, South Carolina",https://garnetgate.sa.sc.edu/organization/ufrisb,https://facebook.com/GamecockUltimate/,https://twitter.com/CocksUltimate
 ,Evan Sanderson
 ,John Pellegrino
 ,Robert Gunshefski
 ,Thomas Nye
0,Tyler Catton
0,William Caspino
0,Keegan Ford
0,Luke Hatchl
0,Michael Murawski
0,Michael Cote
0,Jonathan Brennan
0,Jaida King
0,Elizabeth Pung
0,Ethan Ho 
0,Alex Labrador
0,Alex Euston
0,Andrew Bernhardt
0,Carter Hayes
0,Colleen Morton
11,Nicholas Headden
12,James Davis
17,Joseph  Cammarata
17,Jackson  Giovanelli
31,Luke Colwell
81,Deven Riley
88,Andy Larsen
90,Coleman Devaney
b,r,e,a,k
